Наименование,Описание,Категория,Цена,Фото
Булочка мини пустышка,,Булочки,25 с,https://nambafood.kg/dish_image/141666.png
Булочка мини с джемом,,Булочки,25 с,https://nambafood.kg/dish_image/141668.png
Булочка мини с изюмом,,Булочки,25 с,https://nambafood.kg/dish_image/141670.png
Булочка мини с корицей,,Булочки,25 с,https://nambafood.kg/dish_image/141672.png
Булочка мини с творогом,,Булочки,25 с,https://nambafood.kg/dish_image/141674.png
Булочка мини с шоколадом,,Булочки,25 с,https://nambafood.kg/dish_image/141676.png
Булочка Пустышки,,Булочки,30 с,https://nambafood.kg/dish_image/141678.png
Булочка Рогалик Рижский,,Булочки,30 с,https://nambafood.kg/dish_image/141680.png
Булочка Рогалик Рижский орех,,Булочки,30 с,https://nambafood.kg/dish_image/141682.png
Булочка с джемом ассорти,,Булочки,30 с,https://nambafood.kg/dish_image/141684.png
Булочка с изюмом,,Булочки,30 с,https://nambafood.kg/dish_image/141686.png
Булочка с корицей,,Булочки,30 с,https://nambafood.kg/dish_image/141688.png
Булочка с кусочками банана,,Булочки,30 с,https://nambafood.kg/dish_image/141690.png
Булочка с маком,,Булочки,35 с,https://nambafood.kg/dish_image/141692.png
Булочка с повидлом,,Булочки,30 с,https://nambafood.kg/dish_image/141694.png
Булочка с сухофруктами,,Булочки,30 с,https://nambafood.kg/dish_image/141696.png
Булочка с творогом,,Булочки,30 с,https://nambafood.kg/dish_image/141698.png
Булочка с шоколадом,,Булочки,30 с,https://nambafood.kg/dish_image/141700.png
Булочка с яблоками,,Булочки,30 с,https://nambafood.kg/dish_image/141702.png
Булочка со сгущенкой,,Булочки,30 с,https://nambafood.kg/dish_image/141704.png
Круассан мини,,Булочки,40 с,https://nambafood.kg/dish_image/141706.png
Круассан со сгущенкой,,Булочки,55 с,https://nambafood.kg/dish_image/141708.png
Круассаны весовые,,Булочки,700 с,https://nambafood.kg/dish_image/141710.png
Ашлям-Фу,,Первые блюда,130 с,https://nambafood.kg/dish_image/141722.png
Ашлян-фу каракольское,,Первые блюда,100 с,https://nambafood.kg/dish_image/141720.png
Борщ зеленый,,Первые блюда,100 с,https://nambafood.kg/dish_image/141745.png
Борщ красный,,Первые блюда,100 с,https://nambafood.kg/dish_image/141746.png
Каша манная,,Первые блюда,60 с,https://nambafood.kg/dish_image/141728.png
Суп гороховый,,Первые блюда,100 с,https://nambafood.kg/dish_image/141730.png
Суп гречневый,,Первые блюда,100 с,https://nambafood.kg/dish_image/141732.png
Суп лапша по-домашнему,,Первые блюда,100 с,https://nambafood.kg/dish_image/141734.png
Суп мампар,,Первые блюда,120 с,https://nambafood.kg/dish_image/141736.png
Суп рисовый,,Первые блюда,100 с,https://nambafood.kg/dish_image/141738.png
Суп с фрикадельками,,Первые блюда,150 с,https://nambafood.kg/dish_image/141740.png
Суп чечевичный,,Первые блюда,120 с,https://nambafood.kg/dish_image/141747.png
Суп шорпо,,Первые блюда,120 с,https://nambafood.kg/dish_image/141744.png
Салат Винегрет,,Салаты,280 с,https://nambafood.kg/dish_image/141753.png
Салат Греческий,,Салаты,400 с,https://nambafood.kg/dish_image/141751.png
Салат Крабовые палочки,,Салаты,450 с,https://nambafood.kg/dish_image/141755.png
Салат Мимоза,,Салаты,350 с,https://nambafood.kg/dish_image/141766.png
Салат Морковча,,Салаты,300 с,https://nambafood.kg/dish_image/141764.png
Салат Оливье,,Салаты,400 с,https://nambafood.kg/dish_image/141757.png
Салат Свежий,,Салаты,400 с,https://nambafood.kg/dish_image/141762.png
Салат Сельдь под шубой,,Салаты,450 с,https://nambafood.kg/dish_image/141768.png
Салат Спаржа,,Салаты,550 с,https://nambafood.kg/dish_image/141770.png
Салат Спаржа с морковью,,Салаты,580 с,https://nambafood.kg/dish_image/141772.png
Салат Цезарь,,Салаты,500 с,https://nambafood.kg/dish_image/141749.png
Салат Шакарап,,Салаты,400 с,https://nambafood.kg/dish_image/141761.png
"Чебуреки джусай, мясо",,Вторые блюда,70 с,https://nambafood.kg/dish_image/81331.png
"Чебуреки лук, яйцо",,Вторые блюда,60 с,https://nambafood.kg/dish_image/81332.png
Чебуреки с мясом,,Вторые блюда,60 с,https://nambafood.kg/dish_image/141827.png
Бифштекс с рисом,,Вторые блюда,170 с,https://nambafood.kg/dish_image/141776.png
Босо лагман,,Вторые блюда,130 с,https://nambafood.kg/dish_image/141778.png
Бризоль,,Вторые блюда,550 с,https://nambafood.kg/dish_image/141780.png
Ганфан,,Вторые блюда,130 с,https://nambafood.kg/dish_image/141782.png
Голубцы 2 шт.,,Вторые блюда,140 с,https://nambafood.kg/dish_image/141784.png
Гуляш с гречкой,,Вторые блюда,170 с,https://nambafood.kg/dish_image/141786.png
Гуляш с макаронами,,Вторые блюда,170 с,https://nambafood.kg/dish_image/141790.png
Гуляш с пюре,,Вторые блюда,170 с,https://nambafood.kg/dish_image/141788.png
Гуляш с рисом,,Вторые блюда,170 с,https://nambafood.kg/dish_image/141792.png
Котлета куринная,,Вторые блюда,80 с,https://nambafood.kg/dish_image/141796.png
Котлеты говяжьи,,Вторые блюда,700 с,https://nambafood.kg/dish_image/141794.png
Котлеты с рисом,,Вторые блюда,170 с,https://nambafood.kg/dish_image/141798.png
Плов,,Вторые блюда,450 с,https://nambafood.kg/dish_image/141800.png
Сосиски с гречкой,,Вторые блюда,140 с,https://nambafood.kg/dish_image/141802.png
Сосиски с пюре,,Вторые блюда,140 с,https://nambafood.kg/dish_image/141804.png
Фрикасе с гречкой,,Вторые блюда,170 с,https://nambafood.kg/dish_image/141806.png
Фрикасе с пюре,,Вторые блюда,170 с,https://nambafood.kg/dish_image/141808.png
Фрикасе с рисом,,Вторые блюда,170 с,https://nambafood.kg/dish_image/141810.png
Манты дрожевые говядина 5 шт.,,Вторые блюда,250 с,https://nambafood.kg/dish_image/141814.png
Манты пресные Говядина 5 шт.,,Вторые блюда,175 с,https://nambafood.kg/dish_image/141815.png
Манты дрожевые с мясом и джусаем 5 шт.,,Вторые блюда,250 с,https://nambafood.kg/dish_image/141821.png
Манты пресные с мясом и тыквой 5 шт.,,Вторые блюда,175 с,https://nambafood.kg/dish_image/141819.png
Оромо с джусаем и картошкой 1 кг,,Вторые блюда,360 с,https://nambafood.kg/dish_image/141817.png
Ханум с картошкой 5 шт.,,Вторые блюда,150 с,https://nambafood.kg/dish_image/141825.png
Ханум с тыквой 5 шт.,,Вторые блюда,150 с,https://nambafood.kg/dish_image/141826.png
Гарнир Гречка,,Гарниры,40 с,https://nambafood.kg/dish_image/141712.png
Гарнир пюре,,Гарниры,40 с,https://nambafood.kg/dish_image/141714.png
Гарнир рис,,Гарниры,40 с,https://nambafood.kg/dish_image/141716.png
Гарнир фри,,Гарниры,40 с,https://nambafood.kg/dish_image/141718.png
Coca-Cola 0.5 л,,Напитки,41 с,https://nambafood.kg/dish_image/60599.png
Fanta 0.5 л,,Напитки,41 с,https://nambafood.kg/dish_image/60600.png
Sprite 0.5 л,,Напитки,41 с,https://nambafood.kg/dish_image/60601.png
Coca-Cola 1 л,,Напитки,69 с,https://nambafood.kg/dish_image/60602.png
Fanta 1 л,,Напитки,69 с,https://nambafood.kg/dish_image/60603.png
Sprite 1 л,,Напитки,69 с,https://nambafood.kg/dish_image/60604.png
"Coca-Cola 1,5 л",,Напитки,88 с,https://nambafood.kg/dish_image/60605.png
"Fanta 1,5 л",,Напитки,88 с,https://nambafood.kg/dish_image/60606.png
"Sprite 1,5 л",,Напитки,88 с,https://nambafood.kg/dish_image/60607.png
Fuse tea 0.5 л,,Напитки,39 с,https://nambafood.kg/dish_image/60610.png
Fuse tea 1 л,,Напитки,69 с,https://nambafood.kg/dish_image/60611.png
