Наименование,Описание,Категория,Цена,Фото
Шаурма из говядины,"Чесночный соус, чили соус на выбор, натуральная говядина, свежие огурцы, свежий помидор, картофель фри, капустный салат, кетчуп, майонез",Fast food,175 с,https://nambafood.kg/dish_image/72989.png
Гамбургер из говядины,"Чесночный соус, чили соус на выбор, натуральная говядина, свежие огурцы, свежий помидор, картофель фри, капустный салат, кетчуп, майонез",Fast food,135 с,https://nambafood.kg/dish_image/72981.png
Хот-Дог,"Чесночный соус, чили соус на выбор, сосиска, маринованные огурцы, капустный салат, кетчуп, майонез",Fast food,80 с,https://nambafood.kg/dish_image/8092.png
Двойной Хот-Дог,"Чесночный соус, чили соус на выбор, сосиска, маринованные огурцы, капустный салат, кетчуп, майонез",Fast food,90 с,https://nambafood.kg/dish_image/8093.png
Чизбургер из говядины со свежими овощами,"Чесночный соус, чили соус на выбор, лист салата, говяжья котлета, сыр, свежие огурцы, свежий помидор, фирменный соус",Fast food,130 с,https://nambafood.kg/dish_image/8118.png
Чизбургер из курицы со свежими овощами,"Чесночный соус, чили соус на выбор, лист салата, куриная котлета, сыр, свежие огурцы, свежий помидор, фирменный соус",Fast food,130 с,https://nambafood.kg/dish_image/8117.png
Двойной Чизбургер из говядины,"Чесночный соус, чили соус на выбор, лист салата, говяжья котлета, сыр, огурцы, фирменный соус",Fast food,200 с,https://nambafood.kg/dish_image/72986.png
Двойной Чизбургер из курицы,"Чесночный соус, чили соус на выбор, лист салата, куриная котлета, сыр, огурцы, фирменный соус",Fast food,200 с,https://nambafood.kg/dish_image/8116.png
Картошка Фри,жареная картошка,Fast food,80 с,https://nambafood.kg/dish_image/8121.png
Картофель по-деревенски,,Fast food,95 с,https://nambafood.kg/dish_image/140765.png
Запеченая шаурма с говядиной,"Чесночный соус, чили соус на выбор, мясо, фри, сыр, огурцы, помидоры, томатный соус, майонез",Fast food,175 с,https://nambafood.kg/dish_image/136659.png
Шаурдог запеченный,"Чесночный соус, чили соус на выбор. Состав: Лаваш, 2 сосиски, кетчуп-майонез, морковно-капустный салат, огурцы, помидоры, фри",Fast food,120 с,https://nambafood.kg/dish_image/72826.png
Coca cola 0.5 л,,Напитки,50 с,https://nambafood.kg/dish_image/68368.png
Coca-Cola 1 л.,1 л.,Напитки,90 с,https://nambafood.kg/dish_image/140761.png
Coca cola 1.5 л,,Напитки,120 с,https://nambafood.kg/dish_image/140764.png
"Fuse Tea 0,5 л",0.5 л.,Напитки,50 с,https://nambafood.kg/dish_image/140762.png
Fuse Tea 1 л,1 л.,Напитки,95 с,https://nambafood.kg/dish_image/140763.png
Чалап,280 мл.,Напитки,35 с,https://nambafood.kg/dish_image/100145.png
