Наименование,Описание,Категория,Цена,Фото
"Комбо №1 Coca-Cola 0,5 л + Филадельфия гранд","Филадельфия гранд + Coca-Cola 0,5",Coca-Cola Комбо,"345 с


                    470 с",https://nambafood.kg/dish_image/121637.png
"Комбо №2 Coca-Cola 0,5 мл + Филадельфия гранд, фри","Филадельфия гранд, фри + Coca-Cola 0,5",Coca-Cola Комбо,"425 с


                    590 с",https://nambafood.kg/dish_image/121638.png
"Комбо №3 2 шт. Coca-Cola 0,5 л + Филадельфия гранд, унаги хот, фри","Филадельфия гранд, унаги хот, фри + 2 Coca-Cola 0,5",Coca-Cola Комбо,"735 с


                    1015 с",https://nambafood.kg/dish_image/121639.png
"Комбо №4 3 шт Coca-Cola 0,5 л + Филадельфия гранд, нежный, темпура с лососем, фри","Филадельфия гранд, нежный, темпура с лососем, фри + 3 Coca-Cola 0,5",Coca-Cola Комбо,"995 с


                    1405 с",https://nambafood.kg/dish_image/121640.png
Запеченые мидии с сыром,"Мидии, сырный соус 5шт 150 гр.",Закуски,325 с,https://nambafood.kg/dish_image/40585.png
Креветка в кляре,5 шт,Закуски,315 с,https://nambafood.kg/dish_image/40586.png
Картофель Фри,160гр.,Закуски,120 с,https://nambafood.kg/dish_image/40587.png
Чука Салат,140гр.,Закуски,150 с,https://nambafood.kg/dish_image/40588.png
Сашими лосось,,Закуски,320 с,https://nambafood.kg/dish_image/130723.png
Сашими угорь,,Закуски,350 с,https://nambafood.kg/dish_image/130724.png
Сашими ассорти,,Закуски,340 с,https://nambafood.kg/dish_image/136036.png
Сашими креветки,,Закуски,300 с,https://nambafood.kg/dish_image/130726.png
Сашими копченый лосось,,Закуски,320 с,https://nambafood.kg/dish_image/130727.png
Том Ям с морепродуктами,"том ям паста, куриный бульон, мидии, креветки, помидор черри, лимон",Супы / Soups,285 с,https://nambafood.kg/dish_image/136030.png
Том Ям с курицей,"том ям паста, куриный бульон, филе курицы, помидор черри, лимон",Супы / Soups,265 с,https://nambafood.kg/dish_image/136037.png
Мисо суп,"мисо паста, сыр тофу, вакамэ, лук зеленый, хандаши",Супы / Soups,160 с,https://nambafood.kg/dish_image/40592.png
Кимчи суп,"мисо паста, яйцо, вакамэ, острый соус кимчи, кунжут, хандаши",Супы / Soups,150 с,https://nambafood.kg/dish_image/40593.png
Сливочный суп,"лосось, мисо паста, сливки, вакамэ, рис, лук зеленый",Супы / Soups,160 с,https://nambafood.kg/dish_image/40594.png
Рамен классический,,Супы / Soups,230 с,https://nambafood.kg/dish_image/130728.png
Рамен с курицей,,Супы / Soups,260 с,https://nambafood.kg/dish_image/130729.png
Рамен ассорти,,Супы / Soups,290 с,https://nambafood.kg/dish_image/130730.png
Рамен с сыром,,Супы / Soups,240 с,https://nambafood.kg/dish_image/130731.png
Филадельфия с авокадо,"210 гр. 8 шт. сливочный сыр, лосось, авокадо",Роллы,360 с,https://nambafood.kg/dish_image/40579.png
Калифорния с авокадо,"210 гр. 8 шт. Краб.Крем, тобико, авокадо",Роллы,295 с,https://nambafood.kg/dish_image/40580.png
Эби калифорния,"210 гр.8 шт. Краб.крем, тобико, креветка",Роллы,305 с,https://nambafood.kg/dish_image/40581.png
Ролл с авокадо,110 гр.,Роллы,140 с,https://nambafood.kg/dish_image/136032.png
Америка маки,"230 гр. сливочный сыр, копченый лосось , угорь, огурец",Роллы,410 с,https://nambafood.kg/dish_image/40604.png
Калифорния,"210 гр. краб. крем, огурец, тобико",Роллы,275 с,https://nambafood.kg/dish_image/40605.png
Калифорния в кунжуте,"210 гр. краб. крем, огурец, кунжут",Роллы,270 с,https://nambafood.kg/dish_image/40606.png
Филадельфия гранд,"230 гр. сливочный сыр, лосось, огурец",Роллы,410 с,https://nambafood.kg/dish_image/40607.png
Овощной,"140 гр. огурец, паприка, помидор, салатый лист",Роллы,220 с,https://nambafood.kg/dish_image/40608.png
Филадельфия «Люкс»‎‎,"230 гр. лосось, сливочный сыр, краб крем, огурец",Роллы,340 с,https://nambafood.kg/dish_image/40609.png
Филадельфия в угре,"230 гр. сливочный сыр, угорь, такуан",Роллы,410 с,https://nambafood.kg/dish_image/40610.png
Филадельфия,"210 гр. сливочный сыр, лосось, огурец",Роллы,350 с,https://nambafood.kg/dish_image/40611.png
Филадельфия «Тобико»‎‎,"210 гр. сливочный сыр, лосось, тобико, огурец",Роллы,350 с,https://nambafood.kg/dish_image/40612.png
Хиноки,"210 гр. сливочный сыр, жареный лосось, огурец, тобико",Роллы,350 с,https://nambafood.kg/dish_image/40613.png
Самурай,"210 гр. копченый лосось, сливочный сыр, огурец, тобико",Роллы,365 с,https://nambafood.kg/dish_image/40614.png
Бонито,"210 гр. сливочный сыр, жареный лосось, огурец, стружка тунца",Роллы,350 с,https://nambafood.kg/dish_image/136041.png
Аляска,"210 гр. лосось, огурец, тобико",Роллы,390 с,https://nambafood.kg/dish_image/40616.png
