Наименование,Описание,Категория,Цена,Фото
Кукси с говядиной,,Кукси,220 с,https://nambafood.kg/dish_image/39058.png
Кукси с говядиной 0.7,,Кукси,190 с,https://nambafood.kg/dish_image/39059.png
Тыби-тяй,Суп с тыби с добавлением соевой пасты и кабачков.,Корейская кухня. Супы,260 с,https://nambafood.kg/dish_image/39051.png
Тыби-тяй 0.7,Суп с тыби с добавлением соевой пасты и кабачков.,Корейская кухня. Супы,220 с,https://nambafood.kg/dish_image/39052.png
Пуг-тяй,"Овощной суп с добавлением кабачков, картошка и мяса.",Корейская кухня. Супы,260 с,https://nambafood.kg/dish_image/39053.png
Пуг-тяй 0.7,"Овощной суп с добавлением кабачков, картошка и мяса.",Корейская кухня. Супы,210 с,https://nambafood.kg/dish_image/39054.png
Сиряги-тямури (с тыби),Пикантный суп с добавлением молодой корейской капусты.,Корейская кухня. Супы,210 с,https://nambafood.kg/dish_image/39055.png
Сиряги-тямури (с тыби) 0.7,Пикантный суп с добавлением молодой корейской капусты.,Корейская кухня. Супы,180 с,https://nambafood.kg/dish_image/39056.png
Юкедян,"Суп из говяжьего бульона с соусом тобаске, грибов, папоротника, бамбука и фунчезы.",Корейская кухня. Супы,350 с,https://nambafood.kg/dish_image/39057.png
Пельмени по-корейски,"Пельмени сделанные в ручную, обладающие особым корейским вкусом с добавлением чеснока и соевого соуса.",Корейская кухня. Супы,240 с,https://nambafood.kg/dish_image/39062.png
Рамен,"Южно-корейская лапша с добавлением грибов и яиц, обладающая острым вкусом.",Корейская кухня. Супы,260 с,https://nambafood.kg/dish_image/39063.png
Cheese рамен,,Корейская кухня. Супы,280 с,https://nambafood.kg/dish_image/96124.png
Кимчи-тиге,"Суп из кимчи с добавлением кочитяна, мяса из тыби.",Корейская кухня. Супы,320 с,https://nambafood.kg/dish_image/101104.png
Суп Том-ям,400 г,Корейская кухня. Супы,450 с,https://nambafood.kg/dish_image/67808.png
Рыба-хе,250 г. Судак маринованный в кисло-сладком маринаде с добавлением лука.,Корейская кухня. Салаты,360 с,https://nambafood.kg/dish_image/39064.png
Хе из куриных желудков,"300 г. Отварные куриные желудки, обжариваются с луком и специями.",Корейская кухня. Салаты,280 с,https://nambafood.kg/dish_image/39065.png
Хе из свиных желудков,350 г,Корейская кухня. Салаты,200 с,https://nambafood.kg/dish_image/16150.png
Требуха-хе,"300 г. Требуха, овощи, уксус, специи.",Корейская кухня. Салаты,290 с,https://nambafood.kg/dish_image/39067.png
Хе из свинины,"300 г. Мясо обжаривается с луком, чесноком и специями.",Корейская кухня. Салаты,320 с,https://nambafood.kg/dish_image/39068.png
Хе из курицы,"300 г. Курица, овощи, специи.",Корейская кухня. Салаты,260 с,https://nambafood.kg/dish_image/39069.png
Хе из говядины,"300 г. Маринованная говядина обжаривается с овощами, чесноком и специями.",Корейская кухня. Салаты,360 с,https://nambafood.kg/dish_image/67144.png
Хе из свиных ушей,"300 г. Отварные свиные уши заправляются соевым соусом, чесноком и специями.",Корейская кухня. Салаты,270 с,https://nambafood.kg/dish_image/16151.png
Хе из свиных патронов,Свиные рёбрышки обжариваются с красным зелёным дунгаским перцем и заправляются уксусом и кинзой,Корейская кухня. Салаты,300 с,https://nambafood.kg/dish_image/101105.png
Хе из грибов (вешенки),250 г. Вешенки обжариваются и заправляются хе заправкой.,Корейская кухня. Салаты,210 с,https://nambafood.kg/dish_image/39072.png
Хе из грибов (древесные),"250 г. Белые, черные древесные грибы заправляются хе заправкой.",Корейская кухня. Салаты,200 с,https://nambafood.kg/dish_image/39073.png
Хе из спаржи,"250 г. Спаржа, овощи, уксус, специи.",Корейская кухня. Салаты,190 с,https://nambafood.kg/dish_image/39074.png
Хе из кальмаров,"250 г. Кальмары, огурцы, дунганский перец, хе заправка.",Корейская кухня. Салаты,270 с,https://nambafood.kg/dish_image/67146.png
Хе из баранины,300 г. Маринованная баранина обжаривается с красным зелёным дунгаским перцем и заправляются уксусом и кинзой.,Корейская кухня. Салаты,450 с,https://nambafood.kg/dish_image/101103.png
Токпокки,320 г,Корейская кухня. Салаты,380 с,https://nambafood.kg/dish_image/119942.png
Пан-чан,250 г. Острый салат из рыбы судака и редьки. Имеет специфический вкус.,Корейская кухня. Мясо,290 с,https://nambafood.kg/dish_image/39075.png
Чимчи,250 г. Китайская капуста заправленная острой начинкой с красным перцем.,Корейская кухня. Мясо,150 с,https://nambafood.kg/dish_image/39076.png
Грибы древесные,250 г. Грибы обжариваются со специями и маринованным мясом.,Корейская кухня. Мясо,240 с,https://nambafood.kg/dish_image/39078.png
