Наименование,Описание,Категория,Цена,Фото
Каша рисовая,,Фирменные блюда,80 с,https://nambafood.kg/dish_image/136651.png
Каша манная,,Фирменные блюда,80 с,https://nambafood.kg/dish_image/136650.png
Омлет с сосисками,,Фирменные блюда,110 с,https://nambafood.kg/dish_image/136652.png
Манты с мясом 5 шт,,Фирменные блюда,200 с,https://nambafood.kg/dish_image/124474.png
Манты с мясом без жира 5 шт,,Фирменные блюда,210 с,https://nambafood.kg/dish_image/124475.png
Манты с курицей 5 шт,,Фирменные блюда,180 с,https://nambafood.kg/dish_image/124476.png
Манты с картошкой 5 шт,,Фирменные блюда,160 с,https://nambafood.kg/dish_image/124479.png
Гюро лагман,,Фирменные блюда,200 с,https://nambafood.kg/dish_image/124484.png
Босо лагман,,Фирменные блюда,200 с,https://nambafood.kg/dish_image/124485.png
Лагман жидкий,,Фирменные блюда,200 с,https://nambafood.kg/dish_image/124486.png
Мастава,,Фирменные блюда,130 с,https://nambafood.kg/dish_image/132851.png
Мампар,,Фирменные блюда,130 с,https://nambafood.kg/dish_image/132852.png
Ганфан с рисом,,Фирменные блюда,180 с,https://nambafood.kg/dish_image/132853.png
Плов,,Фирменные блюда,180 с,https://nambafood.kg/dish_image/132854.png
Хлеб,,Фирменные блюда,30 с,https://nambafood.kg/dish_image/127730.png
Бифштекс с яйцом,,Фирменные блюда,200 с,https://nambafood.kg/dish_image/132858.png
Котлета с рисом,,Фирменные блюда,180 с,https://nambafood.kg/dish_image/133027.png
Coca Cola 1 л.,,Напитки,70 с,https://nambafood.kg/dish_image/124767.png
Coca Cola 0.5 л.,,Напитки,50 с,https://nambafood.kg/dish_image/124768.png
Fuse tea 1 л.,,Напитки,70 с,https://nambafood.kg/dish_image/125035.png
Fuse tea 0.5 л.,,Напитки,50 с,https://nambafood.kg/dish_image/125036.png
Sprite 1 л.,,Напитки,70 с,https://nambafood.kg/dish_image/125037.png
Sprite 0.5 л.,,Напитки,50 с,https://nambafood.kg/dish_image/125038.png
Вода без газа Bonaqua 0.5 л.,,Напитки,30 с,https://nambafood.kg/dish_image/125040.png
Fanta 1 л.,,Напитки,70 с,https://nambafood.kg/dish_image/132855.png
Pepsi 1л.,,Напитки,70 с,https://nambafood.kg/dish_image/132856.png
"Pepsi 0,5 л.",,Напитки,50 с,https://nambafood.kg/dish_image/132857.png
