Наименование,Описание,Категория,Цена,Фото
Морковный,150 гр.,Салаты,70 с,https://nambafood.kg/dish_image/52784.png
Капустный,150 гр.,Салаты,70 с,https://nambafood.kg/dish_image/140440.png
Греческий,150 гр.,Салаты,180 с,https://nambafood.kg/dish_image/52787.png
Азу,"150 гр.  говядина, помидоры, огурцы,",Салаты,160 с,https://nambafood.kg/dish_image/53006.png
Свежий,150 гр.,Салаты,120 с,https://nambafood.kg/dish_image/52786.png
Свекольный,"150 гр.  яблоки, яйцо, орехи, майонез",Салаты,160 с,https://nambafood.kg/dish_image/52788.png
Яичница,2 шт.,Завтраки,75 с,https://nambafood.kg/dish_image/52791.png
Сосиски,2 шт.,Завтраки,80 с,https://nambafood.kg/dish_image/52898.png
Омлет с зеленью,3 шт.,Завтраки,90 с,https://nambafood.kg/dish_image/52792.png
Омлет с овощами,3 шт.,Завтраки,120 с,https://nambafood.kg/dish_image/52793.png
Омлет с сыром,3 шт,Завтраки,160 с,https://nambafood.kg/dish_image/84373.png
Каша рисовая,300 гр.,Завтраки,80 с,https://nambafood.kg/dish_image/52794.png
Блинчики со сметаной,3 шт.,Завтраки,75 с,https://nambafood.kg/dish_image/52798.png
Блинчики со сгущенкой,3 шт.,Завтраки,75 с,https://nambafood.kg/dish_image/52799.png
Блинчики с творогом,2 шт.,Завтраки,125 с,https://nambafood.kg/dish_image/52800.png
Блинчики с мясом,2 шт.,Завтраки,135 с,https://nambafood.kg/dish_image/52801.png
Окрошка овощная,350 гр.,Первые блюда,160 с,https://nambafood.kg/dish_image/52802.png
"Окрошка овощная 0,7",300 гр.,Первые блюда,150 с,https://nambafood.kg/dish_image/52897.png
Щи зеленые (с щавелем),350 гр.,Первые блюда,140 с,https://nambafood.kg/dish_image/52805.png
"Щи зеленые (с щавелем) 0,7",300гр,Первые блюда,130 с,https://nambafood.kg/dish_image/52806.png
Борщ,350 гр.,Первые блюда,110 с,https://nambafood.kg/dish_image/52807.png
"Борщ 0,7",300 гр.,Первые блюда,100 с,https://nambafood.kg/dish_image/52808.png
Чечевичный,350 гр.,Первые блюда,110 с,https://nambafood.kg/dish_image/52809.png
"Чечевичный 0,7",300 гр.,Первые блюда,100 с,https://nambafood.kg/dish_image/52810.png
Солянка,350 гр.,Первые блюда,180 с,https://nambafood.kg/dish_image/52811.png
"Солянка 0,5",300 гр,Первые блюда,170 с,https://nambafood.kg/dish_image/52812.png
Хинкали с бульоном (по турецки),18 шт.,Первые блюда,180 с,https://nambafood.kg/dish_image/52813.png
Куриный суп с лапшой,350 гр,Первые блюда,190 с,https://nambafood.kg/dish_image/85037.png
Вареники с картошкой,12 шт.,Вторые блюда,130 с,https://nambafood.kg/dish_image/52816.png
Вареники со шпинатом,18 шт.,Вторые блюда,180 с,https://nambafood.kg/dish_image/52817.png
Хинкали по турецки (с чесночным соусом),23 шт.,Вторые блюда,240 с,https://nambafood.kg/dish_image/53138.png
Бифштекс с яйцом,200 гр.,Вторые блюда,200 с,https://nambafood.kg/dish_image/52819.png
Котлеты (говядина),2 шт.,Вторые блюда,170 с,https://nambafood.kg/dish_image/52820.png
Отбивная из куриной грудки,"250 гр. помидоры, сыр",Вторые блюда,260 с,https://nambafood.kg/dish_image/52822.png
Гуляш,200 гр.,Вторые блюда,260 с,https://nambafood.kg/dish_image/52827.png
Печень жареная с картошкой,300 гр.,Вторые блюда,230 с,https://nambafood.kg/dish_image/52829.png
Долма,10 шт.,Вторые блюда,240 с,https://nambafood.kg/dish_image/52830.png
Голубцы,2 шт.,Вторые блюда,210 с,https://nambafood.kg/dish_image/52831.png
Стейк из семги с гарниром на выбор,300 гр.,Вторые блюда,700 с,https://nambafood.kg/dish_image/52833.png
Форель жареная с гарниром на выбор,250 гр.,Вторые блюда,550 с,https://nambafood.kg/dish_image/52834.png
Манты 5шт,5 шт.,Вторые блюда,200 с,https://nambafood.kg/dish_image/52835.png
Манты 1шт,1 шт.,Вторые блюда,40 с,https://nambafood.kg/dish_image/52836.png
Лагман жидкий,350 гр.,Вторые блюда,220 с,https://nambafood.kg/dish_image/52837.png
Рис,100 гр.,Гарниры,60 с,https://nambafood.kg/dish_image/52846.png
Пюре,100 гр.,Гарниры,60 с,https://nambafood.kg/dish_image/52847.png
Гречка,100 гр.,Гарниры,60 с,https://nambafood.kg/dish_image/52853.png
Кетчуп,50 гр.,Соусы,40 с,https://nambafood.kg/dish_image/52859.png
Майонез,50 гр.,Соусы,40 с,https://nambafood.kg/dish_image/52860.png
Сметана,50 гр.,Соусы,40 с,https://nambafood.kg/dish_image/52861.png
Чесночный соус,50 гр.,Соусы,40 с,https://nambafood.kg/dish_image/52862.png
Кутаб с жусаем и мясом,1 шт.,Выпечка,80 с,https://nambafood.kg/dish_image/52864.png
Самсы,1 шт.,Выпечка,50 с,https://nambafood.kg/dish_image/52866.png
Курник,1 шт.,Выпечка,50 с,https://nambafood.kg/dish_image/52867.png
Сосиска в тесте,1 шт.,Выпечка,35 с,https://nambafood.kg/dish_image/52893.png
