Наименование,Описание,Категория,Цена,Фото
Кавказская закуска,"300 гр. (брынза, помидоры, огурцы, болгарский перец, редиска, зелень)",Холодные закуски,290 с,https://nambafood.kg/dish_image/51024.png
Сырное ассорти,"( брынза, чечель, сулугуни орех ) 300 гр.",Холодные закуски,220 с,https://nambafood.kg/dish_image/51025.png
Домашний погребок,"300 гр. (квашенная капуста, соленые огурцы, черри, патисон)",Холодные закуски,220 с,https://nambafood.kg/dish_image/51026.png
Русская закуска,"(селедка, картошка, солен.огурцы)  300 гр.",Холодные закуски,220 с,https://nambafood.kg/dish_image/51028.png
Фирменный салат «Кавказский дворик»,"400 гр. баклажан в кляре, кисло-сладкий соус, черри, кинза.",Салаты,330 с,https://nambafood.kg/dish_image/84940.png
Салат Цезарь с курицей,"250 гр. (куриная грудка, айсберг, яйцо перепелиное, черри, сыр пармезан, соус цезарь)",Салаты,340 с,https://nambafood.kg/dish_image/51029.png
Салат Цезарь с креветками,"250 гр. (креветки, айсберг, яйцо перепелиное, черри, сыр пармезан, соус цезарь)",Салаты,390 с,https://nambafood.kg/dish_image/51030.png
Салат «Саамо»,"250 гр. (баклажаны, зелень, помидор, брынза, майонез)",Салаты,200 с,https://nambafood.kg/dish_image/51031.png
Салат «Чобан»,"250 гр. (огурцы, помидоры, болгарский перец, зелень, лук)",Салаты,190 с,https://nambafood.kg/dish_image/51032.png
Гнездо,"250 гр. (куриное филе, яйцо, огурцы, кукуруза, майонез, пай)",Салаты,210 с,https://nambafood.kg/dish_image/51094.png
По-китайски,"300 гр. (огурцы, помидор, говядина, лук, чеснок, кунжутное масло)",Салаты,270 с,https://nambafood.kg/dish_image/51095.png
Грибной салат,"300 гр. (шампиньоны, говядина, шпинат, пармезан, лимонный сок)",Салаты,300 с,https://nambafood.kg/dish_image/51037.png
Мясной салат,"300 гр. (говядина, соленые огурцы, свежие огурцы, кинза, чеснок, бальзамический соус)",Салаты,270 с,https://nambafood.kg/dish_image/57940.png
Греческий салат,"250 гр. (помилоры, огурцы, сыр фетакса, маслины, салатные листья, лимонный сок, болгарский перец)",Салаты,270 с,https://nambafood.kg/dish_image/51039.png
