Наименование,Описание,Категория,Цена,Фото
Блинчики с мясом,3 шт.,Завтраки,170 с,https://nambafood.kg/dish_image/140888.png
Блинчики с творогом,3 шт.,Завтраки,150 с,https://nambafood.kg/dish_image/67495.png
Блинчики с творогом и сладостями,3 шт.,Завтраки,220 с,https://nambafood.kg/dish_image/140889.png
Ишефс завтрак,"Яйца, тостерный хлеб, арабская пита, помидоры, хумус, огурцы, оливки, халва, сузмо, мед, соус виногр., сыр, чай",Завтраки,500 с,https://nambafood.kg/dish_image/140890.png
Омлет микс,"Яйца, сосиски кур., говяжьи, зелень, листья сал., огурц",Завтраки,280 с,https://nambafood.kg/dish_image/140891.png
Омлет с сосисками,"Яйца, сосиски куринные, зелень, листья сал., огурцы, черри, тостерный хлеб",Завтраки,200 с,https://nambafood.kg/dish_image/140892.png
Яйца вареные,3 шт.,Завтраки,90 с,https://nambafood.kg/dish_image/20748.png
Яйца жареные,3 шт.,Завтраки,90 с,https://nambafood.kg/dish_image/106901.png
Шакшука,"Яйца, помидоры, болгарский перец, зелень.",Завтраки,220 с,https://nambafood.kg/dish_image/140893.png
Каша манная,350 гр.,Завтраки,120 с,https://nambafood.kg/dish_image/140896.png
Каша рисовая,350 гр.,Завтраки,120 с,https://nambafood.kg/dish_image/105214.png
Каша овсяная,350 гр.,Завтраки,120 с,https://nambafood.kg/dish_image/105215.png
Фуль Айран,"Бобы, чеснок, огурцы солен., помидоры, айран",Завтраки,380 с,https://nambafood.kg/dish_image/140894.png
Сырники,3 шт.,Завтраки,180 с,https://nambafood.kg/dish_image/140895.png
Боул суши,"Семга копченая, авакадо, свежие огурцы, редиска, нори, кунжут, лимон, икра красная, чеснок, рис, крем чиз",Боулы,420 с,https://nambafood.kg/dish_image/140897.png
Боул с курицей,"Куриная грудка, яйцо, кукуруза, творожный сыр, шпинат, черри, гречка, авакадо",Боулы,310 с,https://nambafood.kg/dish_image/140898.png
Боул с курицей «ПП»‎‎,,Боулы,360 с,https://nambafood.kg/dish_image/140899.png
Золотые креветки,"Креветки в кляре, соус тартар, фри, лимон",Закуски,400 с,https://nambafood.kg/dish_image/140900.png
Куриные наггетсы,"Курин. грудка в кляре, соус тартар, фри",Закуски,370 с,https://nambafood.kg/dish_image/140901.png
Сырные палочки,"Мацарелла в хлопьях, соус тартар, фри",Закуски,350 с,https://nambafood.kg/dish_image/140902.png
Кальмары в кольцах,"Кальмары в кляре, соус коктейль, фри, лимон",Закуски,470 с,https://nambafood.kg/dish_image/140903.png
Рыбные палочки,"Судак в кляре, соус тартар, фри, лимон",Закуски,350 с,https://nambafood.kg/dish_image/140904.png
Ассорти овощное,"Огурцы, помидоры, листья салата, перец болг., зелень, черр",Закуски,260 с,https://nambafood.kg/dish_image/18816.png
Закуска по-русски,"Сельдь, картофель, огурцы соленные, лук",Закуски,240 с,https://nambafood.kg/dish_image/18814.png
Фруктовая тарелка,"Апельсины, киви, банан, груша, яблоки",Закуски,380 с,https://nambafood.kg/dish_image/141299.png
Ассорти хрустящее,"Кальмарные кольца, сырные палочки, рыбные палочки, кур. нагетцы, золотые креветки, коктейль соус, соус тартар",Закуски,650 с,https://nambafood.kg/dish_image/140906.png
Хумус,"Пюре из ноката, лимон. сок, соус Тахини, масло оливк.",Арабские закуски,260 с,https://nambafood.kg/dish_image/140907.png
Сузмо каурма,"Сузмо, бон филе, черри, мята, орехи грецкие",Арабские закуски,270 с,https://nambafood.kg/dish_image/140908.png
Хумус каурма,"Пюре из ноката, бон филе, лимон. сок, соус Тахини, масло оливк.",Арабские закуски,350 с,https://nambafood.kg/dish_image/140909.png
Сузмо,"Сузмо, огурцы свеж., маслины, масло оливковое",Арабские закуски,180 с,https://nambafood.kg/dish_image/140910.png
Хумус со свеклой,"Пюре из ноката, свекла, лимон. сок, соус Тахини, масло оливк.",Арабские закуски,270 с,https://nambafood.kg/dish_image/140911.png
Хайдари,"Сузмо, огурцы свеж., масло оливк., чеснок, петрушка",Арабские закуски,180 с,https://nambafood.kg/dish_image/140912.png
Изме,"Болг. перец, помидоры, огурцы, чеснок, лук",Арабские закуски,160 с,https://nambafood.kg/dish_image/140913.png
Мутабель,"Баклажаны, соус Тахини, чеснок, лимон. сок, гранат",Арабские закуски,230 с,https://nambafood.kg/dish_image/140914.png
Язык по-китайски,"300 гр. Отварной язык, свежие огурцы, болгарский перец, лук, чеснок, заправляется кунжутным маслом.",Салаты,300 с,https://nambafood.kg/dish_image/67514.png
Салат «Цезарь»‎‎ с курицей,"300 гр. Листья салата, сухарики, куриная грудка, сыр пармезан, помидоры черри, перепелиные яйца, соус цезарь.",Салаты,320 с,https://nambafood.kg/dish_image/18838.png
Нисуаз,"Яйца, картофель, помидоры, тунец конс., фасоль зеленая, маслины, лимон",Салаты,300 с,https://nambafood.kg/dish_image/140915.png
Цезарь с креветками,"Айсберг, сыр пармезан, тостер. хлеб, соус Цезарь, креветки, черри, яйца перепел",Салаты,420 с,https://nambafood.kg/dish_image/140916.png
Шакарап,"Помидоры, лук, масло",Салаты,190 с,https://nambafood.kg/dish_image/140917.png
Салат «Гватемала»‎‎,"Баклажаны, помидоры, сыр Пармезан, листья салата, чеснок, майонез",Салаты,340 с,https://nambafood.kg/dish_image/106920.png
Салат «Свежий»,"Помидоры, огурцы, листья салата, лук, масло",Салаты,210 с,https://nambafood.kg/dish_image/140918.png
Табуле,"Помидоры, бургуль, лук зеленный, петрушка, лимон. сок и мята, масло оливковое",Салаты,240 с,https://nambafood.kg/dish_image/140919.png
Фатуш,"Помидоры, огурцы, редиска, зелень, лук, сухарики, гранатовый сок",Салаты,250 с,https://nambafood.kg/dish_image/140920.png
Китайский салат с говядиной,"Говядина, перец болг., помидоры, лук, чеснок, соевый соус",Салаты,340 с,https://nambafood.kg/dish_image/140921.png
Оливье,"Колбаса или мясо на выбор, картофель, морковь, яйца, майонез, зелень, огурцы",Салаты,260 с,https://nambafood.kg/dish_image/140922.png
Баклажаны в кисло-сладком соусе,"Баклажаны, перец полугор., кунжут",Салаты,300 с,https://nambafood.kg/dish_image/140923.png
Сяке сарада,"Лосось, орехи грецкие, черри, кунжутное масло, листья салата, маслины",Салаты,350 с,https://nambafood.kg/dish_image/140924.png
Гриль салат с говядиной,"Бон филе, перец болг., цукини, шампиньоны, шпинат, руккола",Салаты,370 с,https://nambafood.kg/dish_image/140925.png
Греческий,"Огурцы, помидоры, листья салата, сыр Фета, лимонный сок, перец, масло оливковое",Салаты,340 с,https://nambafood.kg/dish_image/140926.png
Теплый салат с куриной печенью,"Печень кур., вешенки, листья салата, помидоры, кунж. семечки, заправка салата чесночным соусом",Салаты,240 с,https://nambafood.kg/dish_image/140927.png
Салат «Пияз»‎‎,"Помидоры, огурцы св., фасоль белая, лук красный, гранат. соус, сумак, болг. перец, яйцо отварное,петрушка, лимон. сок, масло олив.",Салаты,240 с,https://nambafood.kg/dish_image/140928.png
Шорпо из баранины,,Супы,250 с,https://nambafood.kg/dish_image/18852.png
Шорпо из говядины,,Супы,250 с,https://nambafood.kg/dish_image/106927.png
Томатный суп,"Помидоры, соус из помидоров, морковь, чеснок",Супы,200 с,https://nambafood.kg/dish_image/106925.png
Острый суп «Сан-торо»‎‎,"Говядина, перец полуг., перец чили, фунчеза, басай, специи, чеснок, яйцо перепелинное, лапиза, кинза",Супы,240 с,https://nambafood.kg/dish_image/140929.png
Солянка,"350 гр. Колбаса докт., копч., охотн., куриная грудка копченная, огурцы соленые",Супы,240 с,https://nambafood.kg/dish_image/18851.png
Уха по-фински,"Семга, форель, овощи, сливки, картофель, морковь, специи",Супы,350 с,https://nambafood.kg/dish_image/140930.png
Уха классическая,"Судак, форель, картофель, морковь, зелень",Супы,260 с,https://nambafood.kg/dish_image/106929.png
Мерджимек,"Чечевица, морковь, картофель",Супы,180 с,https://nambafood.kg/dish_image/67528.png
Суп из шпината,"Шпинат, сливки, тостерный хлеб",Супы,160 с,https://nambafood.kg/dish_image/140931.png
Суп из брокколи,"Брокколи, сливки, тостерный хлеб",Супы,170 с,https://nambafood.kg/dish_image/140933.png
Чиз суп,"Куриная грудка, сливки, грибы, тостерный хлеб",Супы,220 с,https://nambafood.kg/dish_image/67530.png
Грибной крем-суп,"Шампиньоны, сливки",Супы,190 с,https://nambafood.kg/dish_image/106930.png
Келле пача,350 гр. Наваристый крем-суп из головы барашка.,Супы,280 с,https://nambafood.kg/dish_image/140934.png
Пельмени со сметаной,350 гр.,Супы,180 с,https://nambafood.kg/dish_image/18850.png
Пельмени в айране,350 гр.,Супы,200 с,https://nambafood.kg/dish_image/141298.png
Окрошка,"Колбаса докт., огурцы, картофель, яйцо, редис, зелень, айран",Супы,180 с,https://nambafood.kg/dish_image/18846.png
Тавук,"Кур. грудинка, картофель, лапша",Супы,180 с,https://nambafood.kg/dish_image/141297.png
Фалафель,"7 шт. Вегетарианские котлеты из ноката, соленые огурчики, свежие помидорчики, соус.",Арабские блюда,190 с,https://nambafood.kg/dish_image/140935.png
