Наименование,Описание,Категория,Цена,Фото
Каша рисовая,300 гр.,Завтраки,100 с,https://nambafood.kg/dish_image/106786.png
Каша манная,300 гр.,Завтраки,100 с,https://nambafood.kg/dish_image/106788.png
Каша гречневая,300 гр.,Завтраки,100 с,https://nambafood.kg/dish_image/106789.png
Блинчики со сметаной,3 шт.,Завтраки,75 с,https://nambafood.kg/dish_image/106791.png
Блинчики с медом,3 шт.,Завтраки,80 с,https://nambafood.kg/dish_image/106787.png
Блинчики с джемом,3 шт.,Завтраки,100 с,https://nambafood.kg/dish_image/106792.png
Блинчики со сгущенкой,3 шт.,Завтраки,80 с,https://nambafood.kg/dish_image/106793.png
Блинчики с творогом,2 шт.,Завтраки,120 с,https://nambafood.kg/dish_image/106795.png
Омлет с овощами,200 гр.,Завтраки,100 с,https://nambafood.kg/dish_image/106796.png
Омлет с сыром,200 гр.,Завтраки,120 с,https://nambafood.kg/dish_image/106797.png
Яичница глазунья,3 шт.,Завтраки,70 с,https://nambafood.kg/dish_image/106798.png
Гренки,,Завтраки,90 с,https://nambafood.kg/dish_image/129899.png
Сырники,,Завтраки,90 с,https://nambafood.kg/dish_image/129900.png
"Фирменный лагман ""Шафран""","Говядина, джусай, перец, лук, помидоры, специи, тесто.",Лагманы,200 с,https://nambafood.kg/dish_image/77703.png
Лазыру лагман,"Говядина, болгарский перец, лук, тесто.",Лагманы,220 с,https://nambafood.kg/dish_image/57109.png
Могуру лагман,"Говядина, шампиньоны, лук, болгарский перец, тесто.",Лагманы,220 с,https://nambafood.kg/dish_image/50787.png
Гуйру лагман,"Говядина, басай, болгарский перец, сельдерей, тесто.",Лагманы,200 с,https://nambafood.kg/dish_image/67838.png
Цомян,"Говядина, басай, болгарский перец, сельдерей, тесто.",Лагманы,200 с,https://nambafood.kg/dish_image/67834.png
Суйру лагман,"Говядина, басай, болгарский перец, сельдерей, тесто.",Лагманы,180 с,https://nambafood.kg/dish_image/50535.png
Лагман с овощами,"Джусай, перец, лук, маш, древесные грибы, басай, специи, тесто.",Лагманы,180 с,https://nambafood.kg/dish_image/77704.png
"Фирменный ганфан ""Шафран""","Говядина, джусай, болгарский перец, рис, помидоры, специи.",Ганфан,200 с,https://nambafood.kg/dish_image/72973.png
Могуру ганфан,"Говядина, болгарский перец, рис, сельдерей, шампиньоны, специи.",Ганфан,220 с,https://nambafood.kg/dish_image/50795.png
Лазыру ганфан,"Говядина, лук, болгарский перец, рис.",Ганфан,200 с,https://nambafood.kg/dish_image/50793.png
Гуйру ганфан,"Говядина, басай, болгарский перец, сельдерей, рис.",Ганфан,200 с,https://nambafood.kg/dish_image/50792.png
Суйру ганфан,"Говядина, басай, болгарский перец, сельдерей, рис.",Ганфан,180 с,https://nambafood.kg/dish_image/106816.png
Пельмени,,Первые блюда,150 с,https://nambafood.kg/dish_image/72960.png
Чучвара,"Говядина, лук, тесто.",Первые блюда,160 с,https://nambafood.kg/dish_image/72961.png
Куриный суп-лапша,"Курица, морковь, лук, тесто.",Первые блюда,150 с,https://nambafood.kg/dish_image/50373.png
Чечевичный суп,"Чечевица, картофель, лук, морковь, специи.",Первые блюда,150 с,https://nambafood.kg/dish_image/50516.png
Мампар,"Говядина, чеснок, болгарский перец, басай, тесто.",Первые блюда,150 с,https://nambafood.kg/dish_image/50519.png
Суп с фрикадельками по-восточному,,Первые блюда,170 с,https://nambafood.kg/dish_image/50521.png
Сантанру,"Говядина, болгарский перец, басай, чеснок, черные грибы, фунчоза.",Первые блюда,170 с,https://nambafood.kg/dish_image/67840.png
Шорпо,"Баранина, морковь, картофель, лук",Первые блюда,180 с,https://nambafood.kg/dish_image/50518.png
Суп с фрикадельками классические,"Говяжий фарш, рис, зелень, картофель, морковь.",Первые блюда,150 с,https://nambafood.kg/dish_image/72962.png
Мастава,"Говядина, чеснок, болгарский перец, рис.",Первые блюда,150 с,https://nambafood.kg/dish_image/96373.png
Рыба с овощами,,Европейские блюда,300 с,https://nambafood.kg/dish_image/106813.png
Котлета,,Европейские блюда,170 с,https://nambafood.kg/dish_image/50528.png
Фрикасе,"Филе курицы, грибы, лук, сливки, сметана, кукуруза, специи.",Европейские блюда,200 с,https://nambafood.kg/dish_image/129911.png
Бефстроганов,"Говядина соломкой, лук, специи.",Европейские блюда,230 с,https://nambafood.kg/dish_image/129905.png
Балык сяй,"Судак, перец, лук, специи.",Горячие салаты,270 с,https://nambafood.kg/dish_image/50364.png
Лазиру сяй,"Говядина, перец, лук, специи.",Горячие салаты,250 с,https://nambafood.kg/dish_image/67839.png
Баклажаны с мясом,"Говядина, баклажаны, болгарский перец, лук.",Горячие салаты,250 с,https://nambafood.kg/dish_image/50368.png
Мушуру сяй,"Древесные грибы, говядина, яйцо, болгарский перец.",Горячие салаты,250 с,https://nambafood.kg/dish_image/72958.png
Горячая фунчоза,"Говядина, басай, фунчеза, болгарский перец.",Горячие салаты,230 с,https://nambafood.kg/dish_image/50367.png
Лазыджи сяй,"Курица, перец, лук, специи.",Горячие салаты,200 с,https://nambafood.kg/dish_image/50365.png
Требуха сяй,"Требуха, перец, лук, специи.",Горячие салаты,220 с,https://nambafood.kg/dish_image/67486.png
Шашлык Баранина,,Шашлык,250 с,https://nambafood.kg/dish_image/57115.png
Шашлык Говядина,,Шашлык,280 с,https://nambafood.kg/dish_image/57114.png
Антрекот баранина,,Шашлык,320 с,https://nambafood.kg/dish_image/50818.png
Ребра баранины,,Шашлык,310 с,https://nambafood.kg/dish_image/50819.png
Печень баранины в рубашке,,Шашлык,200 с,https://nambafood.kg/dish_image/50822.png
Люля кебаб из баранины,,Шашлык,200 с,https://nambafood.kg/dish_image/50823.png
Цыпленок табака на мангале,,Шашлык,490 с,https://nambafood.kg/dish_image/50825.png
Шашлык Филе куриное,,Шашлык,200 с,https://nambafood.kg/dish_image/50826.png
Шашлык Крылышки,,Шашлык,210 с,https://nambafood.kg/dish_image/50828.png
Шашлык Шампиньоны,,Шашлык,190 с,https://nambafood.kg/dish_image/50830.png
Шашлык Овощной,,Шашлык,160 с,https://nambafood.kg/dish_image/67490.png
Форель на мангале,,Шашлык,350 с,https://nambafood.kg/dish_image/50832.png
Шашлычный соус,,Соусы,60 с,https://nambafood.kg/dish_image/50842.png
Тар-тар,,Соусы,60 с,https://nambafood.kg/dish_image/50841.png
Соус острый,,Соусы,60 с,https://nambafood.kg/dish_image/50844.png
Сметана,,Соусы,50 с,https://nambafood.kg/dish_image/72930.png
Филе рыбы на жаровне,"Филе судака, лук, болгарский перец, специи.",Жаровня,270 с,https://nambafood.kg/dish_image/50807.png
Говядина на жаровне,"Говядина, болгарский перец, лук, специи.",Жаровня,300 с,https://nambafood.kg/dish_image/50805.png
Баранина на жаровне,"Баранина, лук, болгарский перец, специи.",Жаровня,280 с,https://nambafood.kg/dish_image/72970.png
Филе курицы на жаровне,"Филе курицы, болгарский перец, лук, специи.",Жаровня,250 с,https://nambafood.kg/dish_image/50806.png
Куриная пицца,,Пицца,550 с,https://nambafood.kg/dish_image/106819.png
Пепперони,,Пицца,450 с,https://nambafood.kg/dish_image/106820.png
Маргарита,"Помидор, базилик, сыр, соус.",Пицца,350 с,https://nambafood.kg/dish_image/130100.png
Хачапури Имеритинский,"Сливочное масло, сыр сулугуни.",Хачапури,300 с,https://nambafood.kg/dish_image/50811.png
Хачапури Мегрельский,"Сулугуни, брынза, яйцо.",Хачапури,350 с,https://nambafood.kg/dish_image/50810.png
Хачапури Аджарский,"Сливочное масло, сулугуни, яйцо.",Хачапури,370 с,https://nambafood.kg/dish_image/50812.png
Кавказская закуска,"Огурцы, помидоры, брынза, перец болгарский, зелень.",Закуски,300 с,https://nambafood.kg/dish_image/50357.png
Погребок,"Корнишоны, маринованные помидоры черри, маринованные патиссоны, квашеная капуста, зелень.",Закуски,250 с,https://nambafood.kg/dish_image/50359.png
Казачий круг,"Сельдь, картофель, лук, соленые огурцы.",Закуски,200 с,https://nambafood.kg/dish_image/67837.png
"Фирменный салат ""Шафран""",,Салаты,300 с,https://nambafood.kg/dish_image/77700.png
Цезарь,"Айсберг, яйцо перепел, черри, сыр, куриное филе, гренки, соус.",Салаты,300 с,https://nambafood.kg/dish_image/50356.png
Греческий салат,"Помидоры, огурцы, фетакса, оливки, листья салата, лимон, оливковое масло.",Салаты,200 с,https://nambafood.kg/dish_image/50354.png
Салат «Кайф»‎‎,"Говядина, баклажаны, помидоры, болгарский перец, зелень.",Салаты,250 с,https://nambafood.kg/dish_image/72937.png
"Салат ""Чили""","Говядина, лук, перец чили, чеснок помидоры, огурцы, зелень, соевый соус.",Салаты,200 с,https://nambafood.kg/dish_image/67475.png
Салат Бишкек,"картофель, яйцо, горошек, кукуруза, сыр,ветчина гов, майонез",Салаты,180 с,https://nambafood.kg/dish_image/67835.png
"Салат ""Мюнхен""","Куриное филе, болгарский перец, огурцы, лук, фасоль, зелень, специи.",Салаты,200 с,https://nambafood.kg/dish_image/72935.png
"Салат ""Фреш""","Помидоры, огурцы, зелень, лист салата, растительное масло.",Салаты,150 с,https://nambafood.kg/dish_image/72938.png
Фри,,Гарниры,100 с,https://nambafood.kg/dish_image/50835.png
Картофельные крокеты,,Гарниры,100 с,https://nambafood.kg/dish_image/50839.png
Рис,,Гарниры,70 с,https://nambafood.kg/dish_image/50836.png
Картофель по деревенски,,Гарниры,70 с,https://nambafood.kg/dish_image/50838.png
Картофельное пюре,,Гарниры,60 с,https://nambafood.kg/dish_image/50840.png
Гречка,,Гарниры,70 с,https://nambafood.kg/dish_image/72976.png
