Наименование,Описание,Категория,Цена,Фото
Яичница,2 шт.,Завтраки,60 с,https://nambafood.kg/dish_image/75024.png
Блины со сметаной,3 шт.,Завтраки,60 с,https://nambafood.kg/dish_image/75025.png
Блинчики с мясом,2 шт.,Завтраки,80 с,https://nambafood.kg/dish_image/75026.png
Блинчики с творогом,2 шт.,Завтраки,70 с,https://nambafood.kg/dish_image/75027.png
Блинчики с джемом,3 шт.,Завтраки,60 с,https://nambafood.kg/dish_image/75029.png
Блинчики с медом,3 шт.,Завтраки,60 с,https://nambafood.kg/dish_image/75028.png
Блины со сгущенкой,3 шт.,Завтраки,60 с,https://nambafood.kg/dish_image/75030.png
Сырники,150 г,Завтраки,80 с,https://nambafood.kg/dish_image/75031.png
"Сосиски ""ХАЛАЛ""",2 шт.,Завтраки,80 с,https://nambafood.kg/dish_image/75241.png
Творог со сметаной,100 г,Завтраки,70 с,https://nambafood.kg/dish_image/75033.png
Каша рисовая,400 г,Завтраки,80 с,https://nambafood.kg/dish_image/75034.png
Каша манная,400 г,Завтраки,80 с,https://nambafood.kg/dish_image/75035.png
Каша гречневая,400 г,Завтраки,80 с,https://nambafood.kg/dish_image/75036.png
Каша пшенная,400 г,Завтраки,80 с,https://nambafood.kg/dish_image/75037.png
Морковный салат,200 г,Салаты,70 с,https://nambafood.kg/dish_image/75039.png
Салат из фунчезы,200 г,Салаты,150 с,https://nambafood.kg/dish_image/75040.png
Свежесть,150 г,Салаты,80 с,https://nambafood.kg/dish_image/75041.png
Оливье,200 г,Салаты,150 с,https://nambafood.kg/dish_image/78758.png
Огуречный салат,200 г,Салаты,250 с,https://nambafood.kg/dish_image/117735.png
Гасконский салат,200 г,Салаты,200 с,https://nambafood.kg/dish_image/75044.png
Пачак сяй,300 г,Салаты,220 с,https://nambafood.kg/dish_image/75046.png
Салат из требухи,300 г,Салаты,220 с,https://nambafood.kg/dish_image/79477.png
Греческий салат,200 г,Салаты,180 с,https://nambafood.kg/dish_image/75048.png
Салат «Цезарь»,250 г,Салаты,220 с,https://nambafood.kg/dish_image/75049.png
Салат со шпинатом и говядиной на гриле,200 г,Салаты,250 с,https://nambafood.kg/dish_image/78738.png
Салат со шпинатом и куриной грудкой на гриле,200 г,Салаты,220 с,https://nambafood.kg/dish_image/79478.png
Салат белковый с курицей,200 г,Салаты,180 с,https://nambafood.kg/dish_image/117737.png
Салат из курицы,300 г,Салаты,230 с,https://nambafood.kg/dish_image/75038.png
Салат белковый с говядиной,200 г,Салаты,200 с,https://nambafood.kg/dish_image/75242.png
Витаминка,200 г,Салаты,70 с,https://nambafood.kg/dish_image/75053.png
Суп с фрикадельками,400 г,Первые блюда,160 с,https://nambafood.kg/dish_image/75054.png
"Суп с фрикадельками 0,7",300 г,Первые блюда,150 с,https://nambafood.kg/dish_image/75055.png
Борщ,400 г,Первые блюда,160 с,https://nambafood.kg/dish_image/78753.png
"Борщ 0,7",300 г,Первые блюда,150 с,https://nambafood.kg/dish_image/78754.png
Чучвара,450 г,Первые блюда,170 с,https://nambafood.kg/dish_image/79479.png
"Чучвара 0,7",300 г,Первые блюда,155 с,https://nambafood.kg/dish_image/79480.png
Мампар,400 г,Первые блюда,170 с,https://nambafood.kg/dish_image/78727.png
"Мампар 0,7",300 г,Первые блюда,155 с,https://nambafood.kg/dish_image/78728.png
Шорпо из баранины,400 г,Первые блюда,220 с,https://nambafood.kg/dish_image/83505.png
"Шорпо из баранины 0,7",300 г,Первые блюда,200 с,https://nambafood.kg/dish_image/83506.png
Шорпо из говядины,400 г,Первые блюда,220 с,https://nambafood.kg/dish_image/79488.png
"Шорпо из говядины 0,7",300 г,Первые блюда,200 с,https://nambafood.kg/dish_image/79489.png
Солянка,400 г,Первые блюда,180 с,https://nambafood.kg/dish_image/75243.png
"Солянка 0,7",300 г,Первые блюда,160 с,https://nambafood.kg/dish_image/75244.png
Рассольник,400 г,Первые блюда,150 с,https://nambafood.kg/dish_image/75066.png
"Рассольник 0,7",300 г,Первые блюда,140 с,https://nambafood.kg/dish_image/75067.png
Куриный бульон,400 г,Первые блюда,140 с,https://nambafood.kg/dish_image/79473.png
"Куриный бульон 0,7",300 г,Первые блюда,130 с,https://nambafood.kg/dish_image/79474.png
Пельмени со сметаной,350 г,Первые блюда,180 с,https://nambafood.kg/dish_image/79481.png
"Пельмени со сметаной 0,7",250 г,Первые блюда,170 с,https://nambafood.kg/dish_image/79482.png
Шорпо по-кульджински,500 г,Первые блюда,300 с,https://nambafood.kg/dish_image/79483.png
Чечевичный суп,400 г,Первые блюда,130 с,https://nambafood.kg/dish_image/78749.png
"Чечевичный суп 0,7",300 г,Первые блюда,120 с,https://nambafood.kg/dish_image/78750.png
Острый суп из требухи,500 г,Первые блюда,300 с,https://nambafood.kg/dish_image/75077.png
Лагман,350 г,Горячие блюда,220 с,https://nambafood.kg/dish_image/78723.png
"Лагман 0,7",250 г,Горячие блюда,200 с,https://nambafood.kg/dish_image/78724.png
Тохо-лагман с курицей,350 г,Горячие блюда,220 с,https://nambafood.kg/dish_image/75080.png
"Тохо-лагман с курицей 0,7",300 г,Горячие блюда,200 с,https://nambafood.kg/dish_image/75081.png
Яплак-лагман,350 г,Горячие блюда,250 с,https://nambafood.kg/dish_image/75082.png
"Яплак-лагман 0,7",300 г,Горячие блюда,230 с,https://nambafood.kg/dish_image/78741.png
Гуйру лагман,350 г,Горячие блюда,250 с,https://nambafood.kg/dish_image/78721.png
"Гуйру лагман 0,7",300 г,Горячие блюда,230 с,https://nambafood.kg/dish_image/78722.png
Босо лагман,350 г,Горячие блюда,250 с,https://nambafood.kg/dish_image/78725.png
"Босо лагман 0,7",300 г,Горячие блюда,230 с,https://nambafood.kg/dish_image/78726.png
Лагман из ребрышек,500 г,Горячие блюда,300 с,https://nambafood.kg/dish_image/75088.png
Лазиру лагман,500 г,Горячие блюда,350 с,https://nambafood.kg/dish_image/113874.png
Лазиру ганфан,500 г,Горячие блюда,350 с,https://nambafood.kg/dish_image/113875.png
Гуйру ганфан,350 г,Горячие блюда,250 с,https://nambafood.kg/dish_image/75089.png
"Гуйру ганфан 0,7",250 г,Горячие блюда,230 с,https://nambafood.kg/dish_image/75090.png
Ганфан,350 г,Горячие блюда,220 с,https://nambafood.kg/dish_image/75091.png
"Ганфан 0,7",250 г,Горячие блюда,200 с,https://nambafood.kg/dish_image/75092.png
Ганфан из ребрышек,500 г,Горячие блюда,300 с,https://nambafood.kg/dish_image/75093.png
Лазиру,300 г. Жареное мясо с овощами.,Горячие блюда,300 с,https://nambafood.kg/dish_image/75094.png
Лазиджи,300 г. Жареное куриное филе с овощами.,Горячие блюда,300 с,https://nambafood.kg/dish_image/75095.png
Фрикадельки в соусе,300 г,Горячие блюда,280 с,https://nambafood.kg/dish_image/78757.png
Балык сяй,300 г. Филе рыбы жареное с овощами.,Горячие блюда,300 с,https://nambafood.kg/dish_image/75097.png
Фунчеза жареная с овощами,300 г,Горячие блюда,280 с,https://nambafood.kg/dish_image/117739.png
Тушеные ребрышки в остром соусе,400 г,Горячие блюда,370 с,https://nambafood.kg/dish_image/75100.png
Да-Пан-Джи (на заказ),1500 г,Горячие блюда,1200 с,https://nambafood.kg/dish_image/75101.png
Казан кавап,300 г. Маринованное мясо жареное с луком.,Горячие блюда,320 с,https://nambafood.kg/dish_image/78745.png
Мясо жареное с шампиньонами,300 г,Горячие блюда,300 с,https://nambafood.kg/dish_image/113876.png
Говядина с чесночными стрелками,300 г,Горячие блюда,300 с,https://nambafood.kg/dish_image/75103.png
Фирменное блюдо,300 г. Маринованное мясо с картофелем фри.,Горячие блюда,280 с,https://nambafood.kg/dish_image/75104.png
Фри по-урумчински,"300 г. Перец, мясо, фри.",Горячие блюда,300 с,https://nambafood.kg/dish_image/75105.png
Казан кавап из курицы,300 г. Жареное филе курицы с луком.,Горячие блюда,280 с,https://nambafood.kg/dish_image/75106.png
Куриное филе жареное со стрелками чеснока,300 г,Горячие блюда,280 с,https://nambafood.kg/dish_image/75107.png
Требуха жареная,300 г,Горячие блюда,280 с,https://nambafood.kg/dish_image/75108.png
