Наименование,Описание,Категория,Цена,Фото
Яичница,2 шт.,Завтраки,70 с,https://nambafood.kg/dish_image/36484.png
Сосиска «Халал»,2 шт.,Завтраки,90 с,https://nambafood.kg/dish_image/36483.png
Творог со сметаной,100 г,Завтраки,100 с,https://nambafood.kg/dish_image/36485.png
Блины со сметаной,3 шт.,Завтраки,80 с,https://nambafood.kg/dish_image/36486.png
Блины с мёдом,3 шт.,Завтраки,80 с,https://nambafood.kg/dish_image/36488.png
Блины со сгущенкой,3 шт.,Завтраки,80 с,https://nambafood.kg/dish_image/36489.png
Блины с творогом,3 шт.,Завтраки,110 с,https://nambafood.kg/dish_image/36487.png
Блины с мясом,3 шт.,Завтраки,120 с,https://nambafood.kg/dish_image/36490.png
Сырники,3 шт.,Завтраки,120 с,https://nambafood.kg/dish_image/87272.png
Каша овсяная,400 г,Завтраки,90 с,https://nambafood.kg/dish_image/87274.png
Каша рисовая,400 г,Завтраки,100 с,https://nambafood.kg/dish_image/36491.png
Каша манная,400 г,Завтраки,90 с,https://nambafood.kg/dish_image/36492.png
Гречка с молоком,400 г,Завтраки,90 с,https://nambafood.kg/dish_image/36493.png
Морковный салат,150 г,Салаты,70 с,https://nambafood.kg/dish_image/36494.png
Капустный салат,150 гр,Салаты,70 с,https://nambafood.kg/dish_image/120343.png
Морковно-капустный салат,150 г,Салаты,80 с,https://nambafood.kg/dish_image/120342.png
Свежий салат с майонезом,150 г,Салаты,90 с,https://nambafood.kg/dish_image/120348.png
Свежий салат со сметаной,150 г,Салаты,90 с,https://nambafood.kg/dish_image/120349.png
Шакарап,150 г,Салаты,90 с,https://nambafood.kg/dish_image/36499.png
Винегрет,150 г,Салаты,100 с,https://nambafood.kg/dish_image/120350.png
Оливье,150 г,Салаты,110 с,https://nambafood.kg/dish_image/36502.png
Салат свекольный,150 г. С майонезом,Салаты,100 с,https://nambafood.kg/dish_image/63095.png
Салат из фунчеза,150 г,Салаты,120 с,https://nambafood.kg/dish_image/36508.png
Греческий салат,"200 г. Огурцы, помидоры, сыр, салатный лист, соус.",Салаты,150 с,https://nambafood.kg/dish_image/36510.png
Салат «Цезарь»,"200 г. Листья салата, помидор, курица, сухари, соус.",Салаты,200 с,https://nambafood.kg/dish_image/63096.png
Салат «Нежный»,"200 г. Копченая курица, огурцы, яйца, картофель пай, майонез.",Салаты,150 с,https://nambafood.kg/dish_image/36511.png
Салат из языка,"200 г. Говяжий язык, перец, чеснок, лук.",Салаты,170 с,https://nambafood.kg/dish_image/36513.png
Фирменный салат,"200 г. Говядина, баклажаны, помидоры, болгарский перец.",Салаты,160 с,https://nambafood.kg/dish_image/36514.png
Гасконский салат,200 г,Салаты,150 с,https://nambafood.kg/dish_image/63098.png
Салат «Малибу»,200 г,Салаты,150 с,https://nambafood.kg/dish_image/63099.png
"Борщ 0,7",300 г,Первые блюда,130 с,https://nambafood.kg/dish_image/36515.png
Борщ,400 г,Первые блюда,140 с,https://nambafood.kg/dish_image/36516.png
"Щи зеленые 0,7",300 г,Первые блюда,130 с,https://nambafood.kg/dish_image/120351.png
Щи зеленые,400 г,Первые блюда,140 с,https://nambafood.kg/dish_image/120352.png
"Рассольник 0,7",300 г,Первые блюда,130 с,https://nambafood.kg/dish_image/36519.png
Рассольник,400 г,Первые блюда,140 с,https://nambafood.kg/dish_image/36520.png
"Чечевичный суп 0,7",300 г,Первые блюда,120 с,https://nambafood.kg/dish_image/120355.png
Чечевичный суп,400 г,Первые блюда,130 с,https://nambafood.kg/dish_image/120356.png
Солянка,400 г,Первые блюда,180 с,https://nambafood.kg/dish_image/120357.png
"Мампар 0,7",300 г,Первые блюда,140 с,https://nambafood.kg/dish_image/36528.png
Мампар,400 г,Первые блюда,150 с,https://nambafood.kg/dish_image/36529.png
"Пельмени со сметаной 0,7",300 г,Первые блюда,140 с,https://nambafood.kg/dish_image/36526.png
Пельмени со сметаной,400 г,Первые блюда,150 с,https://nambafood.kg/dish_image/36527.png
"Чучвара 0,7",300 г,Первые блюда,150 с,https://nambafood.kg/dish_image/36532.png
Чучвара,400 г,Первые блюда,160 с,https://nambafood.kg/dish_image/36533.png
Шорпо,400 г,Первые блюда,180 с,https://nambafood.kg/dish_image/36534.png
Уха,400 г,Первые блюда,180 с,https://nambafood.kg/dish_image/63100.png
"Суп с фрикадельками 0,7",300 г,Первые блюда,140 с,https://nambafood.kg/dish_image/120358.png
Суп с фрикадельками,400 г,Первые блюда,150 с,https://nambafood.kg/dish_image/120359.png
Сантайро,300 г,Первые блюда,200 с,https://nambafood.kg/dish_image/63101.png
Лагман жидкий,250 г,Восточные блюда,190 с,https://nambafood.kg/dish_image/36537.png
Ганфан,250 г,Восточные блюда,190 с,https://nambafood.kg/dish_image/36549.png
"Гюро лагман 0,7",300 г,Восточные блюда,230 с,https://nambafood.kg/dish_image/36541.png
Гюро лагман,350 г,Восточные блюда,240 с,https://nambafood.kg/dish_image/36542.png
"Гюро ганфан 0,7",300 г,Восточные блюда,230 с,https://nambafood.kg/dish_image/36551.png
Гюро ганфан,350 г,Восточные блюда,240 с,https://nambafood.kg/dish_image/36552.png
"Босо лагман 0,7",300 г,Восточные блюда,240 с,https://nambafood.kg/dish_image/36545.png
Босо лагман,350 г,Восточные блюда,250 с,https://nambafood.kg/dish_image/36546.png
Суйру лагман,350 г,Восточные блюда,240 с,https://nambafood.kg/dish_image/36538.png
Суйру ганфан,350 г,Восточные блюда,240 с,https://nambafood.kg/dish_image/63102.png
Лагман особый с грибами,350 г,Восточные блюда,250 с,https://nambafood.kg/dish_image/36547.png
"Тохо лагман 0,7",300 г,Восточные блюда,230 с,https://nambafood.kg/dish_image/36544.png
Тохо лагман,350 г,Восточные блюда,240 с,https://nambafood.kg/dish_image/36543.png
Фунчеза сяй,300 г. Говядина с овощами и фунчезой.,Восточные блюда,240 с,https://nambafood.kg/dish_image/36553.png
Лазиро,350 г. Говядина с овощами.,Восточные блюда,280 с,https://nambafood.kg/dish_image/36556.png
Лазджи,350 г. Курица с овощами.,Восточные блюда,280 с,https://nambafood.kg/dish_image/36557.png
Мушуру,350 г,Восточные блюда,280 с,https://nambafood.kg/dish_image/36598.png
Балык сяй,350 г,Восточные блюда,300 с,https://nambafood.kg/dish_image/36599.png
Чынсяй ру,350 г,Восточные блюда,280 с,https://nambafood.kg/dish_image/36555.png
Жусай тухум,200 г,Восточные блюда,150 с,https://nambafood.kg/dish_image/36554.png
Казан кавап из курицы,300 г,Восточные блюда,280 с,https://nambafood.kg/dish_image/62867.png
Казан кавап из говядины,250 г,Восточные блюда,300 с,https://nambafood.kg/dish_image/62868.png
Фирменное блюдо,300 г,Восточные блюда,300 с,https://nambafood.kg/dish_image/63103.png
Дапанджи,1200 г,Восточные блюда,1100 с,https://nambafood.kg/dish_image/36594.png
Манты,5 шт.,Восточные блюда,190 с,https://nambafood.kg/dish_image/36591.png
Манты жареные,5 шт.,Восточные блюда,200 с,https://nambafood.kg/dish_image/36590.png
Пельмени жаренные,250 г,Восточные блюда,180 с,https://nambafood.kg/dish_image/36593.png
Плов,300 г,Восточные блюда,210 с,https://nambafood.kg/dish_image/36588.png
Ашлям-фу,250 г,Восточные блюда,130 с,https://nambafood.kg/dish_image/38688.png
"Вареники с картофелем 0,7",200 г,Европейские блюда,120 с,https://nambafood.kg/dish_image/36585.png
Вареники с картофелем,300 г,Европейские блюда,130 с,https://nambafood.kg/dish_image/36584.png
Котлеты,2 шт.,Европейские блюда,150 с,https://nambafood.kg/dish_image/120360.png
Бифштекс с яйцом,150 г,Европейские блюда,160 с,https://nambafood.kg/dish_image/36582.png
Фрикасе,200 г,Европейские блюда,200 с,https://nambafood.kg/dish_image/36581.png
Бризоль,200 г,Европейские блюда,190 с,https://nambafood.kg/dish_image/36580.png
Гуляш,150 г,Европейские блюда,190 с,https://nambafood.kg/dish_image/36579.png
Бефстроганов,150 г,Европейские блюда,190 с,https://nambafood.kg/dish_image/36578.png
Куриные медальоны в сливочном соусе с баклажанами,150 г,Европейские блюда,200 с,https://nambafood.kg/dish_image/63105.png
Мясо по-французски,150 г,Европейские блюда,220 с,https://nambafood.kg/dish_image/63106.png
Рис,150 г,Гарниры,65 с,https://nambafood.kg/dish_image/36575.png
Гречка,150 г,Гарниры,65 с,https://nambafood.kg/dish_image/36574.png
Пюре,150 г,Гарниры,65 с,https://nambafood.kg/dish_image/36573.png
Фри,100 г,Гарниры,85 с,https://nambafood.kg/dish_image/36572.png
Сложный гарнир,200 г,Гарниры,75 с,https://nambafood.kg/dish_image/36576.png
Каймак,50 г,Гарниры,50 с,https://nambafood.kg/dish_image/36571.png
Мед,50 г,Гарниры,60 с,https://nambafood.kg/dish_image/36570.png
Сгущенка,50 г,Гарниры,40 с,https://nambafood.kg/dish_image/36569.png
Кетчуп,50 г,Гарниры,30 с,https://nambafood.kg/dish_image/36568.png
Самсы с мясом,1 шт.,Выпечка,60 с,https://nambafood.kg/dish_image/36567.png
Лепешка,1 шт.,Выпечка,30 с,https://nambafood.kg/dish_image/36566.png
Самсы с курицей 1 шт.,,Выпечка,55 с,https://nambafood.kg/dish_image/108787.png
Компот 1 л,,Напитки,110 с,https://nambafood.kg/dish_image/140709.png
Coca cola 1 л,,Напитки,90 с,https://nambafood.kg/dish_image/140710.png
Fanta 1 л,,Напитки,90 с,https://nambafood.kg/dish_image/140711.png
Sprite 1 л,,Напитки,90 с,https://nambafood.kg/dish_image/140712.png
Натуральный сок 1 л,,Напитки,120 с,https://nambafood.kg/dish_image/36562.png
