Наименование,Описание,Категория,Цена,Фото
Салат из говяжьего языка,250 гр.,Салаты,280 с,https://nambafood.kg/dish_image/37723.png
Курица с чесноком,250 гр.,Салаты,160 с,https://nambafood.kg/dish_image/16044.png
"Салат ""Ма-Ла-Джи""",250 гр.,Салаты,150 с,https://nambafood.kg/dish_image/38898.png
Салат из морской капусты,250 гр.,Салаты,100 с,https://nambafood.kg/dish_image/37838.png
Салат из грибов,250 гр.,Салаты,150 с,https://nambafood.kg/dish_image/16046.png
Чипсы из грибов,250 гр.,Салаты,220 с,https://nambafood.kg/dish_image/37738.png
Салат из спаржи,250 гр.,Салаты,150 с,https://nambafood.kg/dish_image/37730.png
Салат из туфу,250 гр.,Салаты,120 с,https://nambafood.kg/dish_image/37845.png
Салат из фунчезы,250 гр.,Салаты,120 с,https://nambafood.kg/dish_image/38830.png
Салат из огурцов и помидоров,250 гр.,Салаты,150 с,https://nambafood.kg/dish_image/37728.png
Салат из огурцов с мясом,250 гр.,Салаты,170 с,https://nambafood.kg/dish_image/38382.png
Салат из огурцов с чесноком,250 гр.,Салаты,150 с,https://nambafood.kg/dish_image/37744.png
Салат из баклажанов с чесноком,250 гр.,Салаты,150 с,https://nambafood.kg/dish_image/37743.png
Баклажаны в кисло-сладком соусе,250 гр.,Салаты,150 с,https://nambafood.kg/dish_image/67111.png
Салат из маша,250 гр.,Салаты,120 с,https://nambafood.kg/dish_image/38377.png
Салат из шпината,250 гр.,Салаты,130 с,https://nambafood.kg/dish_image/37641.png
Черные грибы с арахисом,250 гр.,Салаты,170 с,https://nambafood.kg/dish_image/38828.png
Картофельная соломка,250 гр.,Салаты,140 с,https://nambafood.kg/dish_image/37844.png
Салат из зеленой фасоли,250 гр.,Салаты,160 с,https://nambafood.kg/dish_image/37750.png
Шакарап,,Салаты (Национальной кухни),100 с,https://nambafood.kg/dish_image/61201.png
Салат овощной,,Салаты (Национальной кухни),100 с,https://nambafood.kg/dish_image/61202.png
Оливье,,Салаты (Национальной кухни),150 с,https://nambafood.kg/dish_image/61204.png
Кисло-острый суп,300 гр.,Супы,150 с,https://nambafood.kg/dish_image/37740.png
Суп с помидорами и яйцами,300 гр.,Супы,100 с,https://nambafood.kg/dish_image/37735.png
Суп с фрикадельками,300 гр.,Супы,130 с,https://nambafood.kg/dish_image/37742.png
Пельмени с бульоном,300 гр.,Супы,150 с,https://nambafood.kg/dish_image/37749.png
Туфу с зеленым луком,350 гр.,Основные блюда,170 с,https://nambafood.kg/dish_image/37725.png
Туфу со шпинатом,350 гр.,Основные блюда,170 с,https://nambafood.kg/dish_image/37843.png
Жареные яйца со шпинатом,350 гр.,Основные блюда,170 с,https://nambafood.kg/dish_image/37852.png
Жареные яйца с помидорами,350 гр.,Основные блюда,170 с,https://nambafood.kg/dish_image/38825.png
Фасоль жареная (зеленая),350 гр.,Основные блюда,200 с,https://nambafood.kg/dish_image/38386.png
Маш в остром соусе,350 гр.,Основные блюда,160 с,https://nambafood.kg/dish_image/67112.png
Баранина с луком,350 гр.,Основные блюда,280 с,https://nambafood.kg/dish_image/37837.png
Баранина с перцем,350 гр.,Основные блюда,280 с,https://nambafood.kg/dish_image/38381.png
Баранина с черными грибами,350 гр.,Основные блюда,280 с,https://nambafood.kg/dish_image/38664.png
Шашлык по-китайски,350 гр.,Основные блюда,290 с,https://nambafood.kg/dish_image/37643.png
Говядина с яйцом,350 гр,Основные блюда,290 с,https://nambafood.kg/dish_image/38379.png
Говядина с перцем,350 гр,Основные блюда,290 с,https://nambafood.kg/dish_image/38380.png
Говядина с грибами,350 гр,Основные блюда,290 с,https://nambafood.kg/dish_image/140703.png
Говядина с луком,350 гр,Основные блюда,290 с,https://nambafood.kg/dish_image/140704.png
Говядина с машем,350 гр,Основные блюда,290 с,https://nambafood.kg/dish_image/67114.png
Говядина с овощами,350 гр,Основные блюда,290 с,https://nambafood.kg/dish_image/37727.png
Говядина с картофельной соломкой,350 гр,Основные блюда,290 с,https://nambafood.kg/dish_image/37836.png
Говядина с картофелем,350 гр,Основные блюда,290 с,https://nambafood.kg/dish_image/37741.png
Говядина в кисло-сладком соусе,350 гр,Основные блюда,290 с,https://nambafood.kg/dish_image/140701.png
Говядина в кисло-остром соусе,350 гр,Основные блюда,290 с,https://nambafood.kg/dish_image/140702.png
Говядина со спаржей,350 гр,Основные блюда,290 с,https://nambafood.kg/dish_image/37854.png
