Наименование,Описание,Категория,Цена,Фото
Салат из языка по-китайски,"200 г. Острый салат.  Язык говяжий, огурцы, помидоры, лук, специй, зелень, соевый соус.",Салаты,195 с,https://nambafood.kg/dish_image/136826.png
Гриль салат «Цезарь»,150 г,Салаты,205 с,https://nambafood.kg/dish_image/27790.png
Салат из говядины по-китайски,,Салаты,195 с,https://nambafood.kg/dish_image/75612.png
Свежий зеленый салат,160 г. Заправленный соусом Песто,Салаты,95 с,https://nambafood.kg/dish_image/19574.png
Греческий салат,150 г,Салаты,165 с,https://nambafood.kg/dish_image/140631.png
Шакарап,160 г,Салаты,105 с,https://nambafood.kg/dish_image/140632.png
Свежий салат,,Салаты,105 с,https://nambafood.kg/dish_image/66659.png
Салат из требухи по-китайски,"200 г. Острый салат. Требуха, огурцы, помидоры, лук, специй , зелень, соёвый соус.",Салаты,140 с,https://nambafood.kg/dish_image/28272.png
Оливье,200 г,Салаты,100 с,https://nambafood.kg/dish_image/19575.png
Салат из красной свеклы,150 г,Салаты,85 с,https://nambafood.kg/dish_image/27791.png
Морковный салат,150 г,Салаты,75 с,https://nambafood.kg/dish_image/19535.png
Капустный салат,150 г,Салаты,75 с,https://nambafood.kg/dish_image/19576.png
Чечевичный крем суп,1 порция,Первые блюда,135 с,https://nambafood.kg/dish_image/19599.png
Чечевичный крем суп 0.7,0.7,Первые блюда,120 с,https://nambafood.kg/dish_image/19598.png
Суп с фрикадельками,1 порция,Первые блюда,155 с,https://nambafood.kg/dish_image/19608.png
Суп с фрикадельками  0.7,0.7,Первые блюда,145 с,https://nambafood.kg/dish_image/19603.png
Пельмени,1 порция,Первые блюда,160 с,https://nambafood.kg/dish_image/19609.png
Пельмени 0.7,0.7,Первые блюда,150 с,https://nambafood.kg/dish_image/19610.png
Шорпо,1 порция,Первые блюда,170 с,https://nambafood.kg/dish_image/19591.png
Окрошка,1 порция,Первые блюда,130 с,https://nambafood.kg/dish_image/19605.png
Окрошка 0.7,0.7,Первые блюда,115 с,https://nambafood.kg/dish_image/19604.png
Ашлям-фу,1 порция,Первые блюда,140 с,https://nambafood.kg/dish_image/75537.png
Ашлям-фу 0.7,0.7,Первые блюда,125 с,https://nambafood.kg/dish_image/75538.png
Борщ,1 порция,Первые блюда,150 с,https://nambafood.kg/dish_image/19597.png
Борщ 0.7,0.7,Первые блюда,135 с,https://nambafood.kg/dish_image/19596.png
Суп лапша куриная,1 порция,Первые блюда,165 с,https://nambafood.kg/dish_image/19602.png
Суп из щавеля,1 порция. С отварной телятиной,Первые блюда,150 с,https://nambafood.kg/dish_image/27797.png
"Суп из щавеля 0,7",0.7. С отварной телятиной,Первые блюда,145 с,https://nambafood.kg/dish_image/27796.png
Мампар,1 порция,Первые блюда,155 с,https://nambafood.kg/dish_image/19601.png
Мампар 0.7,0.7,Первые блюда,140 с,https://nambafood.kg/dish_image/19600.png
Чучвара,1 порция,Первые блюда,155 с,https://nambafood.kg/dish_image/19606.png
Чучвара 0.7,0.7,Первые блюда,150 с,https://nambafood.kg/dish_image/19607.png
Солянка,1 порция,Первые блюда,175 с,https://nambafood.kg/dish_image/19593.png
Солянка 0.7,0.7,Первые блюда,160 с,https://nambafood.kg/dish_image/19592.png
Мясо со шпинатом,,Вторые блюда,265 с,https://nambafood.kg/dish_image/136827.png
Курица со шпинатом,,Вторые блюда,260 с,https://nambafood.kg/dish_image/112222.png
Бешбармак,,Вторые блюда,265 с,https://nambafood.kg/dish_image/75613.png
Пельмени жареные,1 порция,Вторые блюда,200 с,https://nambafood.kg/dish_image/19626.png
Азу по-татарски,"350 г. Говядина, соленые огурцы, фри, лук.",Вторые блюда,245 с,https://nambafood.kg/dish_image/19638.png
Фрикасе без гарнира,"190 г. Куриное филе, грибы, кукуруза.",Вторые блюда,185 с,https://nambafood.kg/dish_image/130080.png
Бифштекс с яйцом,Без гарнира,Вторые блюда,185 с,https://nambafood.kg/dish_image/32162.png
Бризоль,Без гарнира,Вторые блюда,200 с,https://nambafood.kg/dish_image/136776.png
Бефстроганов,Без гарнира,Вторые блюда,195 с,https://nambafood.kg/dish_image/32163.png
Гуляш,Без гарнира,Вторые блюда,195 с,https://nambafood.kg/dish_image/130079.png
Котлета с говядиной,1 шт,Вторые блюда,120 с,https://nambafood.kg/dish_image/136824.png
Манты,1 порция,Вторые блюда,190 с,https://nambafood.kg/dish_image/19621.png
Манты по шт.,1 шт.,Вторые блюда,38 с,https://nambafood.kg/dish_image/66661.png
Манты жареные,1 порция,Вторые блюда,200 с,https://nambafood.kg/dish_image/19625.png
Манты жареные по шт.,1 шт,Вторые блюда,40 с,https://nambafood.kg/dish_image/66662.png
Плов,350 г. Рис лазер.,Вторые блюда,220 с,https://nambafood.kg/dish_image/19629.png
Плов на заказ,1 кг.,Вторые блюда,1800 с,https://nambafood.kg/dish_image/27793.png
Куриные наггетсы,без гарнира,Вторые блюда,255 с,https://nambafood.kg/dish_image/136770.png
Рис,,Гарниры,65 с,https://nambafood.kg/dish_image/19590.png
Рис в сливочном соусе,,Гарниры,80 с,https://nambafood.kg/dish_image/27962.png
Рис в шпинатно-сливочном соусе,,Гарниры,85 с,https://nambafood.kg/dish_image/27964.png
Картофельное пюре,,Гарниры,65 с,https://nambafood.kg/dish_image/19588.png
Картофель фри,,Гарниры,75 с,https://nambafood.kg/dish_image/27969.png
Картофель по-домашнему,,Гарниры,75 с,https://nambafood.kg/dish_image/27970.png
Овощи на гриле (по сезону),,Гарниры,115 с,https://nambafood.kg/dish_image/66663.png
Гречка,,Гарниры,65 с,https://nambafood.kg/dish_image/27973.png
Макароны,,Гарниры,65 с,https://nambafood.kg/dish_image/27975.png
Сложный гарнир,"Рис, пюре, макароны.",Гарниры,85 с,https://nambafood.kg/dish_image/28294.png
Жареный рис с овощами и яицом,,Гарниры,115 с,https://nambafood.kg/dish_image/112220.png
Жареный рис с яйцом,,Гарниры,100 с,https://nambafood.kg/dish_image/77965.png
Боорсоки,100 г,Мучные изделия,30 с,https://nambafood.kg/dish_image/27960.png
Лепёшка маленькая,,Мучные изделия,20 с,https://nambafood.kg/dish_image/27961.png
Домашние песочные самсы из рубленной телятины,1 шт.,Мучные изделия,55 с,https://nambafood.kg/dish_image/32165.png
Баклава,,Мучные изделия,175 с,https://nambafood.kg/dish_image/87619.png
Котлета с сыром,без гарнира,Блюда на гриле,380 с,https://nambafood.kg/dish_image/72715.png
Кебаб из филе курицы,без гарнира,Блюда на гриле,365 с,https://nambafood.kg/dish_image/27952.png
Кебаб из рублённой телятины,без гарнира,Блюда на гриле,365 с,https://nambafood.kg/dish_image/136775.png
Молочная телятина,без гарнира,Блюда на гриле,400 с,https://nambafood.kg/dish_image/136825.png
Филе озёрной форели,без гарнира,Блюда на гриле,390 с,https://nambafood.kg/dish_image/27955.png
Калама с телятиной,,Блюда на гриле,315 с,https://nambafood.kg/dish_image/136773.png
Калама с курицей,,Блюда на гриле,315 с,https://nambafood.kg/dish_image/136774.png
Филе с домашней курицы,250 г. Подается с гарниром на выбор.,Блюда на гриле,370 с,https://nambafood.kg/dish_image/27951.png
Жареный тофу,с грибами моэр,Китайская кухня,245 с,https://nambafood.kg/dish_image/64745.png
Курица с фри,с кунжутом,Китайская кухня,275 с,https://nambafood.kg/dish_image/64746.png
Дапаннюро,,Китайская кухня,310 с,https://nambafood.kg/dish_image/64749.png
Курица с пикантным перцем,,Китайская кухня,290 с,https://nambafood.kg/dish_image/64748.png
Гуйро лагман с грибами муэр,1 порция,Китайская кухня,250 с,https://nambafood.kg/dish_image/66669.png
Гуйро лагман с грибами муэр 0.7,0.7 порция,Китайская кухня,240 с,https://nambafood.kg/dish_image/66670.png
Босо лагман,1 порция,Китайская кухня,235 с,https://nambafood.kg/dish_image/19633.png
Босо лагман 0.7,0.7 порция,Китайская кухня,225 с,https://nambafood.kg/dish_image/19634.png
Лагман из бараньих ребер,1 порция,Китайская кухня,235 с,https://nambafood.kg/dish_image/66671.png
Лагман из бараньих ребер 0.7,0.7 порция,Китайская кухня,225 с,https://nambafood.kg/dish_image/66672.png
Лагман из курицы,1 порция,Китайская кухня,230 с,https://nambafood.kg/dish_image/19648.png
Лагман из курицы 0.7,0.7 порция,Китайская кухня,220 с,https://nambafood.kg/dish_image/19647.png
Лагман жидкий,1 порция,Китайская кухня,215 с,https://nambafood.kg/dish_image/39635.png
Лагман жидкий 0.7,0.7 порция,Китайская кухня,205 с,https://nambafood.kg/dish_image/39636.png
Ганфан,1 порция,Китайская кухня,215 с,https://nambafood.kg/dish_image/19643.png
Ганфан 0.7,0.7 порция,Китайская кухня,205 с,https://nambafood.kg/dish_image/19640.png
Гуйро ганфан,1 порция,Китайская кухня,235 с,https://nambafood.kg/dish_image/19641.png
Гуйро ганфан 0.7,0.7 порция,Китайская кухня,225 с,https://nambafood.kg/dish_image/19642.png
Соомян,1 порция,Китайская кухня,235 с,https://nambafood.kg/dish_image/19646.png
Соомян 0.7,0.7 порция,Китайская кухня,225 с,https://nambafood.kg/dish_image/19645.png
Мешоро,"350 г. Говядина, грибы, яйца, овощи.",Китайская кухня,290 с,https://nambafood.kg/dish_image/20327.png
Лазуро,300 г. Говядина с овощами.,Китайская кухня,290 с,https://nambafood.kg/dish_image/20326.png
Лазыджи,300 г.  Курица с овощами.,Китайская кухня,290 с,https://nambafood.kg/dish_image/28277.png
Печень с луком,250 г. Печень говяжья.,Китайская кухня,225 с,https://nambafood.kg/dish_image/28276.png
Казан-кавап говядина,200 г. Говядина с луком.,Китайская кухня,300 с,https://nambafood.kg/dish_image/19617.png
Казан кавап из курицы,"200 г. Куриное филе, лук, специи.",Китайская кухня,290 с,https://nambafood.kg/dish_image/136828.png
Куурдак,1 порция,Китайская кухня,300 с,https://nambafood.kg/dish_image/19644.png
Мясо с грибами,"350 г. Говядина, грибы моэр и шиитаки.",Китайская кухня,290 с,https://nambafood.kg/dish_image/19627.png
Курица с грибами,"350 г. Куриное филе, грибы моэр и шиитаки.",Китайская кухня,290 с,https://nambafood.kg/dish_image/19624.png
Почки с луком,"200 г. Почки бараньи, лук.",Китайская кухня,230 с,https://nambafood.kg/dish_image/19618.png
Требуха с овощами,1 порция,Китайская кухня,225 с,https://nambafood.kg/dish_image/19619.png
Рыба в кисло-сладком соусе без гарнира,"300 г. Судак в кляре, томат, огурцы.",Китайская кухня,300 с,https://nambafood.kg/dish_image/19615.png
Рыба в кисло-остром соусе без гарнира,"300 г. Судак в кляре, томат, огурцы.",Китайская кухня,300 с,https://nambafood.kg/dish_image/19614.png
Жареная лапша с курицей,"350 г. Лапша, грибы, курица, проросшие бобы, морковь, соевый соус.",Китайская кухня,270 с,https://nambafood.kg/dish_image/19630.png
Жареная лапша с мясом,"350 г. Лапша, грибы, говядина, проросшие бобы, морковь, соевый соус.",Китайская кухня,270 с,https://nambafood.kg/dish_image/19622.png
Дапанджи,1 порция,Китайская кухня,295 с,https://nambafood.kg/dish_image/66666.png
Фирменное мясо с фри,"300 г. Говядина, свежий перец, фри.",Китайская кухня,290 с,https://nambafood.kg/dish_image/66667.png
Фирменное блюдо «Вкус востока»,"Говядина, свежий перец, лук, специи.",Китайская кухня,310 с,https://nambafood.kg/dish_image/66668.png
Жареная лапша с грибами,"350 г. Лапша, грибы, проросшие бобы, морковь, соевый соус.",Китайская кухня,245 с,https://nambafood.kg/dish_image/19623.png
Фирменное мясо с фри,"300 гр. Курица, перец, фри",Китайская кухня,290 с,https://nambafood.kg/dish_image/81492.png
Гуйро лагман,1 порция,Китайская кухня,230 с,https://nambafood.kg/dish_image/19631.png
Гуйро лагман 0.7,0.7 порция,Китайская кухня,215 с,https://nambafood.kg/dish_image/19632.png
Фирменный куурдак,"Говядина с косточкой, лук, картошка, специи.",Китайская кухня,310 с,https://nambafood.kg/dish_image/66675.png
Компот,1 л.,Напитки,100 с,https://nambafood.kg/dish_image/20269.png
