Наименование,Описание,Категория,Цена,Фото
Яичница,2 шт.,Завтраки до 11:00,65 с,https://nambafood.kg/dish_image/117621.png
Сырники,3 шт.,Завтраки до 11:00,125 с,https://nambafood.kg/dish_image/117622.png
Блины со сметаной,,Завтраки до 11:00,81 с,https://nambafood.kg/dish_image/117623.png
Блины со сгущенкой,,Завтраки до 11:00,81 с,https://nambafood.kg/dish_image/117625.png
Блины с медом,,Завтраки до 11:00,84 с,https://nambafood.kg/dish_image/117624.png
Блины с шоколадом,,Завтраки до 11:00,115 с,https://nambafood.kg/dish_image/117626.png
Блины с творогом,,Завтраки до 11:00,96 с,https://nambafood.kg/dish_image/37777.png
Блины с мясом,3 шт.,Завтраки до 11:00,144 с,https://nambafood.kg/dish_image/37775.png
Каша гречневая,,Завтраки до 11:00,105 с,https://nambafood.kg/dish_image/117730.png
Каша рисовая,,Завтраки до 11:00,105 с,https://nambafood.kg/dish_image/117729.png
Каша манная,,Завтраки до 11:00,105 с,https://nambafood.kg/dish_image/117728.png
Каша «5 злаков»,,Завтраки до 11:00,110 с,https://nambafood.kg/dish_image/117727.png
Салат с копченой курицей,,Салаты,190 с,https://nambafood.kg/dish_image/117627.png
Баклажаны с мясом,,Салаты,205 с,https://nambafood.kg/dish_image/117628.png
Яичный салат,,Салаты,115 с,https://nambafood.kg/dish_image/117629.png
Корейский салат,,Салаты,195 с,https://nambafood.kg/dish_image/117630.png
Пачак сяй,,Салаты,220 с,https://nambafood.kg/dish_image/117631.png
Грибной салат,,Салаты,115 с,https://nambafood.kg/dish_image/117632.png
Оливье,,Салаты,120 с,https://nambafood.kg/dish_image/117633.png
Мельница,"Отварная говядина, огурцы маринованные, морковь, отварное яйцо, сыр, майонез.",Салаты,195 с,https://nambafood.kg/dish_image/117634.png
Фунчеза,,Салаты,120 с,https://nambafood.kg/dish_image/117635.png
Цезарь с курицей,,Салаты,225 с,https://nambafood.kg/dish_image/117636.png
Греческий салат,,Салаты,180 с,https://nambafood.kg/dish_image/117637.png
Фунчеза с мясом,,Салаты,120 с,https://nambafood.kg/dish_image/117638.png
Морковный салат,,Салаты,70 с,https://nambafood.kg/dish_image/117639.png
Капустный с маслом,,Салаты,70 с,https://nambafood.kg/dish_image/117640.png
Шакарап,,Салаты,75 с,https://nambafood.kg/dish_image/117642.png
Шакарап со сметаной,,Салаты,80 с,https://nambafood.kg/dish_image/117648.png
