Наименование,Описание,Категория,Цена,Фото
Шпинат с грибами,"200 г. Шпинат, опята, свинина.",Корейские салаты,240 с,https://nambafood.kg/dish_image/21723.png
Шпинат,"200 г. Шпинат, соевый соус, специи.",Корейские салаты,210 с,https://nambafood.kg/dish_image/67742.png
Опята жареные,"200 г. Грибы, мясо, специи, масло.",Корейские салаты,240 с,https://nambafood.kg/dish_image/22102.png
Древесные грибы,"200 г. Грибы, говядина, лук, специи.",Корейские салаты,260 с,https://nambafood.kg/dish_image/67743.png
Хе из свиных ушек,"200 г. Свиные уши, перец, лук, уксус.",Корейские салаты,250 с,https://nambafood.kg/dish_image/21727.png
Уши свиные жареные,"200 г. Свиные уши, масло, перец, лук.",Корейские салаты,250 с,https://nambafood.kg/dish_image/21726.png
Требуха жареная,"200 г. Требуха говяжья, масло, перец, лук.",Корейские салаты,260 с,https://nambafood.kg/dish_image/22074.png
Хе из требухи,"200 г. Требуха говяжья, перец, лук, уксус, морковь.",Корейские салаты,260 с,https://nambafood.kg/dish_image/21720.png
Хе из куриных желудков,"200 г. Куриные желудки, перец, лук.",Корейские салаты,260 с,https://nambafood.kg/dish_image/22079.png
Хе из рыбы,"200 г. Филе судака, огурцы, перец, лук, специи.",Корейские салаты,290 с,https://nambafood.kg/dish_image/21713.png
Хе из рульки,"200 г. Свиная рулька, перец, лук.",Корейские салаты,225 с,https://nambafood.kg/dish_image/21715.png
Хе из баклажан,"250 г. Баклажаны, перец, морковь, помидоры.",Корейские салаты,270 с,https://nambafood.kg/dish_image/21716.png
Хе из грибов,"200 г. Грибы вешенки, лук, специи.",Корейские салаты,205 с,https://nambafood.kg/dish_image/67745.png
Кади ча,200 г. Жареные баклажаны.,Корейские салаты,250 с,https://nambafood.kg/dish_image/103361.png
Папоротник,"200 г. Зеленый папоротник, свинина.",Корейские салаты,240 с,https://nambafood.kg/dish_image/21719.png
Пекинский салат,"200 г. Язык говяжий, огурцы, помидоры, соевый соус, специи.",Корейские салаты,280 с,https://nambafood.kg/dish_image/21717.png
Кимчи жареный,"250 г. Говядина, капуста, морковь, лук зеленый.",Корейские салаты,225 с,https://nambafood.kg/dish_image/103362.png
Огурцы с мясом,"200 г. Говядина, огурцы, перец, лук зелень.",Корейские салаты,240 с,https://nambafood.kg/dish_image/22014.png
Острый салат,"200 г. Помидор, говядина, кунжутное масло, специи.",Корейские салаты,250 с,https://nambafood.kg/dish_image/21798.png
Золотые нити,"200 г. Китайские грибы, помидоры, огурцы, перец, специи.",Корейские салаты,280 с,https://nambafood.kg/dish_image/21799.png
Камди ча,"200 г. Картофель соломка, масло, специи.",Корейские салаты,145 с,https://nambafood.kg/dish_image/21800.png
Греческий салат,"200 г. Огурцы, помидоры, лист салата, оливки, брынзы, масло.",Салаты,230 с,https://nambafood.kg/dish_image/21797.png
Канкасэ,"200 г. Семга соленая, помидоры, брынза, лист салата, масло.",Салаты,280 с,https://nambafood.kg/dish_image/21796.png
Нежность,"200 г. Куриная грудка, кукуруза, яйцо, ананас, сыр, майонез.",Салаты,260 с,https://nambafood.kg/dish_image/22076.png
Оливье,200 г,Салаты,205 с,https://nambafood.kg/dish_image/21795.png
Пикантный салат,"200 г. Язык говяжий, огурцы, майонез, грецкие орехи.",Салаты,260 с,https://nambafood.kg/dish_image/22072.png
Цезарь с курицей,200 г,Салаты,330 с,https://nambafood.kg/dish_image/21808.png
Салат «Принц»,"200 г. Говядина отварная, огурцы соленые, яйцо, грецкий орехи, майонез.",Салаты,250 с,https://nambafood.kg/dish_image/21803.png
Салат «Тиффани»,"200 г. Говядина отварная, огурцы, капуста, яйцо, сыр, майонез.",Салаты,250 с,https://nambafood.kg/dish_image/87768.png
Кя хе,300 г,Закуски,195 с,https://nambafood.kg/dish_image/22018.png
Хрустящая курочка,300 г,Закуски,310 с,https://nambafood.kg/dish_image/87733.png
Хе из крылышек,400 г,Закуски,310 с,https://nambafood.kg/dish_image/67746.png
Хе из свиных ребрышек,300 г,Закуски,330 с,https://nambafood.kg/dish_image/67747.png
Тыби по-домашнему,400 г,Закуски,230 с,https://nambafood.kg/dish_image/67748.png
Ким паб с мясом,250 г,Закуски,240 с,https://nambafood.kg/dish_image/87734.png
Ким паб с рыбой,250 г,Закуски,260 с,https://nambafood.kg/dish_image/21817.png
Ким паб с колбасой,250 г,Закуски,205 с,https://nambafood.kg/dish_image/21816.png
Партёги,350 г. Свиные ножки,Закуски,260 с,https://nambafood.kg/dish_image/22085.png
