Наименование,Описание,Категория,Цена,Фото
Семга (B1),,Холодные салаты,1800 с,https://nambafood.kg/dish_image/132690.png
Домашняя курица в пряно-остром соусе (B2),,Холодные салаты,890 с,https://nambafood.kg/dish_image/132691.png
Вареная говядина в остром соусе (B3),,Холодные салаты,460 с,https://nambafood.kg/dish_image/132692.png
Говядина с требухой (B4),,Холодные салаты,470 с,https://nambafood.kg/dish_image/132693.png
Вареный гусь (B5),,Холодные салаты,990 с,https://nambafood.kg/dish_image/132694.png
Мясо кролика (B6),,Холодные салаты,650 с,https://nambafood.kg/dish_image/132695.png
Шпинат с фунчезой (B7),,Холодные салаты,360 с,https://nambafood.kg/dish_image/132696.png
Огурцы в чесночном соусе (B8),,Холодные салаты,360 с,https://nambafood.kg/dish_image/132697.png
Черная фунчеза в кисло-остром соусе (B9),,Холодные салаты,340 с,https://nambafood.kg/dish_image/132698.png
Шпинат с арахисом (B10),,Холодные салаты,380 с,https://nambafood.kg/dish_image/70597.png
Черные грибы с луком (B11),,Холодные салаты,380 с,https://nambafood.kg/dish_image/132699.png
Маш в кисло-остром соусе (B12),,Холодные салаты,320 с,https://nambafood.kg/dish_image/132700.png
Черные яйца с зеленым перцем (B13),,Холодные салаты,400 с,https://nambafood.kg/dish_image/132701.png
Жареный арахис (B14),,Холодные салаты,420 с,https://nambafood.kg/dish_image/132702.png
Мойва в кляре (В15),,Холодные салаты,460 с,https://nambafood.kg/dish_image/133461.png
Шпинат с фунчезой (B7),,Холодные салаты,360 с,https://nambafood.kg/dish_image/132703.png
Жареный баклажан в соевом соусе (I1),,Салаты овощные,380 с,https://nambafood.kg/dish_image/133362.png
Кисло-острый картофель соломкой (I23),350 г. Полусырой.,Салаты овощные,380 с,https://nambafood.kg/dish_image/130091.png
Жареная фасоль с красным перцем (I2),,Салаты овощные,400 с,https://nambafood.kg/dish_image/133363.png
Жареный баклажан (I3),,Салаты овощные,350 с,https://nambafood.kg/dish_image/133445.png
Жареный сельдерей с бобами (I4),,Салаты овощные,380 с,https://nambafood.kg/dish_image/133364.png
Жареный Дун Гуа (I5),,Салаты овощные,420 с,https://nambafood.kg/dish_image/104865.png
Жареная капуста (I6),,Салаты овощные,360 с,https://nambafood.kg/dish_image/133365.png
Жареная капуста в кисло-остром соусе (I7),,Салаты овощные,360 с,https://nambafood.kg/dish_image/133366.png
Пекинская капуста в бульоне (I8),,Салаты овощные,380 с,https://nambafood.kg/dish_image/133367.png
Жареные черные грибы с зеленым луком (I9),,Салаты овощные,400 с,https://nambafood.kg/dish_image/133368.png
Жареная редька с черными грибами (I10),,Салаты овощные,450 с,https://nambafood.kg/dish_image/133369.png
Джусай с яйцом (I11),,Салаты овощные,380 с,https://nambafood.kg/dish_image/133370.png
Помидор с яйцом (I12),,Салаты овощные,380 с,https://nambafood.kg/dish_image/133371.png
Тофу по-домашнему (I13),,Салаты овощные,350 с,https://nambafood.kg/dish_image/133372.png
Тофу в остром соусе (I14),,Салаты овощные,350 с,https://nambafood.kg/dish_image/133373.png
