Наименование,Описание,Категория,Цена,Фото
Кавказская нарезка,,Салаты,320 с,https://nambafood.kg/dish_image/101935.png
Салат «Фазенда»,250 г,Салаты,320 с,https://nambafood.kg/dish_image/119584.png
Салат «Пекин»,"250 г. Говядина, огурцы, помидор, болгарский перец, чеснок, соевый соус.",Салаты,250 с,https://nambafood.kg/dish_image/94736.png
Цезарь с курицей,"350 г. Листья салата, куриная грудка, крутоны, соус цезарь, пармезан.",Салаты,320 с,https://nambafood.kg/dish_image/94608.png
Греческий салат,250 г,Салаты,250 с,https://nambafood.kg/dish_image/94609.png
Салат «Мечта»,"250 г. Курица, яйца, грибы, огурцы, голландский сыр, майонез.",Салаты,250 с,https://nambafood.kg/dish_image/96726.png
Брокколи с мясом,250 г,Салаты,250 с,https://nambafood.kg/dish_image/94611.png
Баклажановый салат,250 г,Салаты,250 с,https://nambafood.kg/dish_image/96728.png
Салат «Эверест»,"250 г. Свекла, морковь, вешенки, чеснок, картофель пай, мацонез.",Салаты,200 с,https://nambafood.kg/dish_image/96727.png
Оливье,250 г,Салаты,250 с,https://nambafood.kg/dish_image/94614.png
Салат «Крабик»,"250 г. Крабовые палочки, рис, кукуруза, яйца, огурцы, майонез.",Салаты,250 с,https://nambafood.kg/dish_image/140602.png
Шакарап,200 г,Салаты,150 с,https://nambafood.kg/dish_image/94616.png
Свежий салат,"200 г. Огурцы, помидоры, лук.",Салаты,180 с,https://nambafood.kg/dish_image/140601.png
Морковный салат,170 г,Салаты,100 с,https://nambafood.kg/dish_image/119586.png
Витаминка,"150 г. Капуста, морковь, яблоко, свекла.",Салаты,150 с,https://nambafood.kg/dish_image/119588.png
Фруктовая нарезка,,Холодные закуски,450 с,https://nambafood.kg/dish_image/120152.png
Казачий круг,"250 г. Селедка, картофель, огурцы, квашеная капуста.",Холодные закуски,300 с,https://nambafood.kg/dish_image/120154.png
Мясное ассорти,400 г,Холодные закуски,700 с,https://nambafood.kg/dish_image/120156.png
Погребок,250 г,Холодные закуски,300 с,https://nambafood.kg/dish_image/120158.png
