Наименование,Описание,Категория,Цена,Фото
Ким-паб с семгой,"250 г. Рис, кунжут, болгарский перец, копченая семга, огурец, морковь, яичный блин.",Закуски,300 с,https://nambafood.kg/dish_image/59827.png
Ким паб с говядиной,"250 г. Рис, кунжут, болгарский перец, яичный блин, огурец, кабачки, говядина, джусай, шпинат.",Закуски,290 с,https://nambafood.kg/dish_image/104881.png
Тыби жареный с овощами,"350 г. Тыби, говядина, огурцы, помидоры, лук репчатый, болгарский перец, специи.",Закуски,300 с,https://nambafood.kg/dish_image/59885.png
Кавказская нарезка,"300 г. Зелень в ассортименте, огурцы, помидоры, брынза.",Закуски,280 с,https://nambafood.kg/dish_image/59824.png
Перец фаршированный,250 г,Закуски,300 с,https://nambafood.kg/dish_image/71357.png
Сундя,200 г. Корейская колбаса,Закуски,270 с,https://nambafood.kg/dish_image/59873.png
Сосиски на шпажках,200 г,Закуски,270 с,https://nambafood.kg/dish_image/59871.png
Курица на шпажках,"250 г. Куриная грудка, болгарский перец, лук репчатый, специи.",Закуски,270 с,https://nambafood.kg/dish_image/59839.png
Рыба хе,"230 г. Судак, лук, чеснок, огурцы, уксус, кинза, специи.",Салаты,320 с,https://nambafood.kg/dish_image/59862.png
Мясо хе,"230 г. Филе говядины, соевый соус, лук, чеснок, уксус, кинза, специи.",Салаты,320 с,https://nambafood.kg/dish_image/59893.png
Хе из куриных желудков,"250 г. Куриные желудки, соевый соус, лук, чеснок, уксус, кинза, специи.",Салаты,290 с,https://nambafood.kg/dish_image/59896.png
Требуха хе,"250 г. Требуха, болгарский перец, морковь, лук, чеснок, уксус, кинза, специи.",Салаты,260 с,https://nambafood.kg/dish_image/59880.png
Требуха жареная,"250 г. Требуха, болгарский перец, морковь, лук, чеснок, уксус, кинза, специи.",Салаты,260 с,https://nambafood.kg/dish_image/59879.png
Хе из свиных ушек,230 г,Салаты,280 с,https://nambafood.kg/dish_image/59898.png
Жареные свиные ушки,250 г,Салаты,280 с,https://nambafood.kg/dish_image/104884.png
Морковь-ча,"200 г. Морковь, лук, чеснок, уксус, салатное масло, кинза, специи.",Салаты,120 с,https://nambafood.kg/dish_image/59842.png
Кади-ча,"250 г. Филе говядины, баклажаны, помидор, болгарский перец, стручковый перец, лук репчатый, масло салатное, специи.",Салаты,280 с,https://nambafood.kg/dish_image/59825.png
Тиргум-ча,"200 г. Маш, лук репчатый, зелень, чеснок, дайкон, специи.",Салаты,170 с,https://nambafood.kg/dish_image/59877.png
Косари-ча,"230 г. Филе говядины, папоротник, зелень, чеснок, соевый соус, специи.",Салаты,300 с,https://nambafood.kg/dish_image/59831.png
Чимчи,"200 г. Корейская капуста, острый перец, специи.",Салаты,140 с,https://nambafood.kg/dish_image/59902.png
Емдича,"200 г. Джусай, болгарский перец, лук репчатый, специи.",Салаты,200 с,https://nambafood.kg/dish_image/71359.png
Чесночные стрелки,"250 г. Филе говядины, чесночные стрелки, кочижан, болгарский перец, лук репчатый, специи.",Салаты,270 с,https://nambafood.kg/dish_image/53267.png
Шпинат,"200 г. Шпинат, филе говядины, лук репчатый, болгарский перец, кинза, масло салатное, специи.",Салаты,270 с,https://nambafood.kg/dish_image/59905.png
Шпинат в кисло-сладком соусе,200 г,Салаты,275 с,https://nambafood.kg/dish_image/104885.png
Огурцы с мясом,"250 г. Филе говядины, огурцы, помидоры, морковь, кинза, специи.",Салаты,260 с,https://nambafood.kg/dish_image/59846.png
Грибы хе,"250 г. Вешенки, лук, чеснок, уксус, специи.",Салаты,280 с,https://nambafood.kg/dish_image/59894.png
Грибы маринованные,"200 г. Вешенки, лук репчатый, салатное масло.",Салаты,260 с,https://nambafood.kg/dish_image/59822.png
Теплый салат из баклажанов,"250 г. Баклажан, морковь, лук репчатый, болгарский и стручковый перец, зелень, специи.",Салаты,320 с,https://nambafood.kg/dish_image/59875.png
Фунчеза холодная,250 г,Салаты,260 с,https://nambafood.kg/dish_image/84302.png
Фунчеза жареная,"250 г. Филе говядины, болгарский перец, морковь, огурцы, зелень, чеснок, специи.",Салаты,270 с,https://nambafood.kg/dish_image/59891.png
Цезарь с курицей,"250 г. Куриные грудки, листья салата, айсберг, черри, сухарики, орегано, чеснок, горчица, соус, сыр.",Салаты,340 с,https://nambafood.kg/dish_image/59900.png
Цезарь с семгой,"300 г. Сёмга копченая, листья салата айсберг, помидор, сухарики, орегано, чеснок, горчица, соус сыр.",Салаты,350 с,https://nambafood.kg/dish_image/118284.png
Греческий салат,"250 г. Сыр фетакса, листья салата, айсберг, черри, огурцы, маслины, лимон, оливковое масло.",Салаты,260 с,https://nambafood.kg/dish_image/59821.png
Шампиньоны жареные,"260 г. Шампиньоны, филе говядины, огурцы, помидоры, болгарский и стручковый перец, кинза, специи.",Салаты,290 с,https://nambafood.kg/dish_image/104886.png
Свежий салат,"250 г. Огурцы, помидоры, лук репчатый, майонез, или салатное масло.",Салаты,200 с,https://nambafood.kg/dish_image/118287.png
Жареный чимчи,"250 гр. Чимчи, говядина",Салаты,230 с,https://nambafood.kg/dish_image/84301.png
"Кукси 0,7 холодный",,Первые блюда,180 с,https://nambafood.kg/dish_image/59836.png
Кукси холодный,,Первые блюда,200 с,https://nambafood.kg/dish_image/59835.png
Кукси 0.7 горячий,,Первые блюда,180 с,https://nambafood.kg/dish_image/64167.png
Кукси горячий,,Первые блюда,200 с,https://nambafood.kg/dish_image/64166.png
"Кя-дя 0,7",,Первые блюда,180 с,https://nambafood.kg/dish_image/53236.png
Кя-дя,,Первые блюда,200 с,https://nambafood.kg/dish_image/53235.png
