Наименование,Описание,Категория,Цена,Фото
Рамен классический,,Рамен,170 с,https://nambafood.kg/dish_image/143491.png
Рамен с яйцом,,Рамен,190 с,https://nambafood.kg/dish_image/143452.png
Рамен с сыром,,Рамен,210 с,https://nambafood.kg/dish_image/143453.png
Рамен с кимчи,,Рамен,220 с,https://nambafood.kg/dish_image/143454.png
Рамен с мясом,,Рамен,220 с,https://nambafood.kg/dish_image/143455.png
Рамен с курицей,,Рамен,220 с,https://nambafood.kg/dish_image/143456.png
Рамен ассорти,,Рамен,260 с,https://nambafood.kg/dish_image/143457.png
Кимпаб овощной,,Ким-паб,250 с,https://nambafood.kg/dish_image/143458.png
Кимпаб с колбасой,,Ким-паб,270 с,https://nambafood.kg/dish_image/143459.png
Кимпаб с сыром,,Ким-паб,250 с,https://nambafood.kg/dish_image/143460.png
Кимпаб с мясом,,Ким-паб,270 с,https://nambafood.kg/dish_image/143461.png
Кимпаб жареный,,Ким-паб,300 с,https://nambafood.kg/dish_image/143462.png
Кимчи тиге + панчан,"Кимчи, мясо, тофу, рис",Супы,350 с,https://nambafood.kg/dish_image/143487.png
Юккедян + панчан,"Мясо, фунчоза, маш",Супы,380 с,https://nambafood.kg/dish_image/143488.png
Кукси,"Тонкая лапша, говядина, чеснок и овощи",Супы,260 с,https://nambafood.kg/dish_image/143489.png
Кукси теплый,"Тонкая лапша, говядина, чеснок и овощи",Супы,260 с,https://nambafood.kg/dish_image/143490.png
Суджеби + панчан,Суп с рисовыми клецками и морепродуктами,Супы,470 с,https://nambafood.kg/dish_image/144286.png
Кальбитан + панчан,Суп из ребрышек подаётся с рисом,Супы,420 с,https://nambafood.kg/dish_image/144480.png
Токпокки + панчан,Бруски из рисовой муки в остром соусе,Вторые блюда,350 с,https://nambafood.kg/dish_image/143463.png
Раппоки + панчан,"Лапша, ток (бруски из рисовой муки), колбаски",Вторые блюда,370 с,https://nambafood.kg/dish_image/143464.png
Пибимпаб + панчан,"Мясо, яйцо, овощи, рис",Вторые блюда,370 с,https://nambafood.kg/dish_image/143465.png
Кун манду + панчан,"Мясо, джусай и фунчеза",Вторые блюда,320 с,https://nambafood.kg/dish_image/143466.png
Бульгоги + панчан,Мясо с рисом,Вторые блюда,380 с,https://nambafood.kg/dish_image/143467.png
Чикен кас + панчан,Жареная курица с рисом и овощами,Вторые блюда,380 с,https://nambafood.kg/dish_image/143468.png
Крылышки в кисло-сладком соусе,,Вторые блюда,280 с,https://nambafood.kg/dish_image/143469.png
"Жареная скумбрия 0,5 + панчан",,Вторые блюда,490 с,https://nambafood.kg/dish_image/143470.png
Чачжанмен + панчан,,Вторые блюда,360 с,https://nambafood.kg/dish_image/144287.png
Корн-дог,,Закуски,100 с,https://nambafood.kg/dish_image/143471.png
Хлеб,,Закуски,30 с,https://nambafood.kg/dish_image/143492.png
Корн-дог микс-сыр,,Закуски,120 с,https://nambafood.kg/dish_image/143472.png
Панчан,Сет из маленьких корейских закусок,Закуски,200 с,https://nambafood.kg/dish_image/143473.png
Кимчи,,Закуски,150 с,https://nambafood.kg/dish_image/143474.png
Кимчи 1 кг,,Закуски,400 с,https://nambafood.kg/dish_image/143475.png
Фри,,Закуски,100 с,https://nambafood.kg/dish_image/143476.png
Рис,,Закуски,80 с,https://nambafood.kg/dish_image/143477.png
Грибы эноки,,Закуски,280 с,https://nambafood.kg/dish_image/144288.png
Ток на шпажке,,Закуски,120 с,https://nambafood.kg/dish_image/144289.png
Керанмари,,Закуски,250 с,https://nambafood.kg/dish_image/144290.png
Coca-Cola 1 л,,Напитки,100 с,https://nambafood.kg/dish_image/143478.png
Fanta 1 л,,Напитки,100 с,https://nambafood.kg/dish_image/143479.png
Sprite 1 л,,Напитки,100 с,https://nambafood.kg/dish_image/143480.png
"Fanta 0,5 л",,Напитки,60 с,https://nambafood.kg/dish_image/143481.png
"Sprite 0,5 л",,Напитки,60 с,https://nambafood.kg/dish_image/143482.png
Fuse tea 1 л,,Напитки,100 с,https://nambafood.kg/dish_image/143483.png
Bonaqua 1 л,,Напитки,50 с,https://nambafood.kg/dish_image/143484.png
"Borjomi 0,5 л",,Напитки,30 с,https://nambafood.kg/dish_image/143485.png
Кофе «Korea»‎‎,,Напитки,50 с,https://nambafood.kg/dish_image/143486.png
