Наименование,Описание,Категория,Цена,Фото
Комбо «Мега Плюс»‎‎ Попкорн Мега V170 + Coca cola 1 л.,Попкорн Мега V170 450   + Coca cola 1 л. 70,Coca-Cola Комбо,"685 с


                    735 с",https://nambafood.kg/dish_image/139763.png
"Комбо «Оптимальный»‎‎ Попкорн большой V85 +. Coca cola 0,5 л.","Попкорн большой V85 250   +. Coca cola 0,5 л.",Coca-Cola Комбо,"390 с


                    415 с",https://nambafood.kg/dish_image/139764.png
"Комбо «Для двоих»‎‎ Попкорн большой V85 + 2 шт. Coca cola 0,5 л.","Попкорн большой V85 250   + 2 шт. Coca cola 0,5 л.",Coca-Cola Комбо,"430 с


                    470 с",https://nambafood.kg/dish_image/139765.png
"Комбо «Классный»‎‎ Попкорн большой V85 + Fuse Tea 0,5 л.","Попкорн большой V85 250   + Fuse Tea 0,5 л. 55",Coca-Cola Комбо,"395 с


                    420 с",https://nambafood.kg/dish_image/139766.png
Попкорн Мега сладкий,V170,Попкорн,630 с,https://nambafood.kg/dish_image/81858.png
Попкорн Мега соленый,V170,Попкорн,630 с,https://nambafood.kg/dish_image/81859.png
Попкорн Мега фруктовый,V170,Попкорн,630 с,https://nambafood.kg/dish_image/81860.png
Попкорн Большой сладкий,V85,Попкорн,360 с,https://nambafood.kg/dish_image/81240.png
Попкорн Большой соленый,V85,Попкорн,360 с,https://nambafood.kg/dish_image/81242.png
Попкорн Большой фруктовый,V85,Попкорн,360 с,https://nambafood.kg/dish_image/81244.png
Попкорн Маленький сладкий,V46,Попкорн,200 с,https://nambafood.kg/dish_image/81249.png
Попкорн Маленький соленый,V46,Попкорн,200 с,https://nambafood.kg/dish_image/81250.png
Попкорн Карамелизированный с Арахисом,v46,Попкорн,250 с,https://nambafood.kg/dish_image/108028.png
Попкорн Сырный,V46,Попкорн,250 с,https://nambafood.kg/dish_image/81238.png
Попкорн карамелизированный,V32,Попкорн,250 с,https://nambafood.kg/dish_image/81252.png
Попкорн шоколадный,V32,Попкорн,250 с,https://nambafood.kg/dish_image/81307.png
Попкорн шоколадный,в пластиковых стаканах V32,Попкорн,250 с,https://nambafood.kg/dish_image/81303.png
"Пластиковый стакан для напитков 0,5 л","Сувенирный стакан для напитков с Coca Cola V0,5 л.",Сувениры,170 с,https://nambafood.kg/dish_image/81140.png
Железное Ведро V130,Сувенирное Ведро V130 в ограниченном количестве. На выбор сладкий соленый,Сувениры,600 с,https://nambafood.kg/dish_image/81927.png
Топпер,Сувенирная игрушка,Сувениры,270 с,https://nambafood.kg/dish_image/81788.png
Snickers,,Шоколад,85 с,https://nambafood.kg/dish_image/81910.png
Bounty,,Шоколад,85 с,https://nambafood.kg/dish_image/81912.png
Twix,,Шоколад,85 с,https://nambafood.kg/dish_image/81913.png
M&M's,,Шоколад,160 с,https://nambafood.kg/dish_image/81915.png
Snickers маленький,,Шоколад,55 с,https://nambafood.kg/dish_image/81905.png
Bounty маленький,,Шоколад,55 с,https://nambafood.kg/dish_image/81906.png
Twix маленький,,Шоколад,55 с,https://nambafood.kg/dish_image/81907.png
M&M's маленький,,Шоколад,55 с,https://nambafood.kg/dish_image/81908.png
Orbit,,Прочее,40 с,https://nambafood.kg/dish_image/82049.png
