Наименование,Описание,Категория,Цена,Фото
"A1 Пекинская утка (филе, жареные косточки, суп)",Блюдо готовится 3 часа.,Салаты,2080 с,https://nambafood.kg/dish_image/80084.png
A2 Сашими из лосося,,Салаты,1880 с,https://nambafood.kg/dish_image/79865.png
A3 Ароматная говядина,,Салаты,510 с,https://nambafood.kg/dish_image/79925.png
A4 Говядина с огурцами,,Салаты,460 с,https://nambafood.kg/dish_image/80087.png
A5 Говяжий язык,,Салаты,490 с,https://nambafood.kg/dish_image/79928.png
A6 Требуха в масле чили,,Салаты,440 с,https://nambafood.kg/dish_image/79870.png
A7 Требуха с перцами чили,,Салаты,490 с,https://nambafood.kg/dish_image/79949.png
A8 Шинкованные бычьи легкие с говядиной,,Салаты,580 с,https://nambafood.kg/dish_image/79921.png
A9 Требуха,,Салаты,640 с,https://nambafood.kg/dish_image/79956.png
A10 Острая курица «Жомажи»,,Салаты,920 с,https://nambafood.kg/dish_image/79915.png
"A11 Курица,запеченная в соли",,Салаты,920 с,https://nambafood.kg/dish_image/79878.png
A12 Цыпленок на пару под соусом,,Салаты,510 с,https://nambafood.kg/dish_image/79913.png
A13 Утиное мясо в чесночном соусе,,Салаты,440 с,https://nambafood.kg/dish_image/79857.png
A14 Морская капуста,,Салаты,330 с,https://nambafood.kg/dish_image/80088.png
A15 Черное яйцо с перцем,,Салаты,450 с,https://nambafood.kg/dish_image/79957.png
A16 Черная фунчоза,,Салаты,380 с,https://nambafood.kg/dish_image/79958.png
A17 Черные грибы с луком,,Салаты,370 с,https://nambafood.kg/dish_image/79927.png
A18 Грибы «золотые нити» в остром соусе,,Салаты,380 с,https://nambafood.kg/dish_image/79935.png
A19 Шпинат с грибами,,Салаты,380 с,https://nambafood.kg/dish_image/79959.png
A20 Шпинат с тонкими фунчозами,,Салаты,335 с,https://nambafood.kg/dish_image/79960.png
A21 Шпинат в имбирно-соевом соусе,,Салаты,340 с,https://nambafood.kg/dish_image/79834.png
A22 Огурцы в чесночном соусе,,Салаты,300 с,https://nambafood.kg/dish_image/79953.png
A23 Огурцы с помидорами в соевом соусе,,Салаты,300 с,https://nambafood.kg/dish_image/79885.png
A24 Жареный арахис,,Салаты,380 с,https://nambafood.kg/dish_image/79963.png
A25 Шпинат с арахисом,,Салаты,335 с,https://nambafood.kg/dish_image/79964.png
A26 Брокколи в чесночном соусе,,Салаты,330 с,https://nambafood.kg/dish_image/79942.png
A27 Острый крахмал (Лянфэнь),,Салаты,260 с,https://nambafood.kg/dish_image/79876.png
A28 Салат из морской капусты,,Салаты,300 с,https://nambafood.kg/dish_image/79965.png
A29 Спаржа с огурцами,,Салаты,350 с,https://nambafood.kg/dish_image/79933.png
A30 Холодная красная водоросль,,Салаты,440 с,https://nambafood.kg/dish_image/79923.png
A31 Холодный маш в соусе,,Салаты,270 с,https://nambafood.kg/dish_image/79966.png
A32 Холодный шинкованный картофель в соусе,,Салаты,275 с,https://nambafood.kg/dish_image/79911.png
A33 Холодная горькая тыква (момордика),,Салаты,440 с,https://nambafood.kg/dish_image/79835.png
A34 Фруктовый салат,,Салаты,480 с,https://nambafood.kg/dish_image/79854.png
A35 Фруктовое ассорти,,Салаты,980 с,https://nambafood.kg/dish_image/79907.png
A36 Утиное мясо  в остром соусе,,Салаты,1280 с,https://nambafood.kg/dish_image/79939.png
A37 Острая рыбка,,Салаты,520 с,https://nambafood.kg/dish_image/79934.png
A38 Холодная медуза в соусе,,Салаты,490 с,https://nambafood.kg/dish_image/79948.png
A39 Арахис с сельдереем,,Салаты,360 с,https://nambafood.kg/dish_image/79894.png
A40 Салат из сельдерей и сердцевина(ядро)грецкого ореха,,Салаты,380 с,https://nambafood.kg/dish_image/79879.png
A41 бамия,,Салаты,420 с,https://nambafood.kg/dish_image/79912.png
B1 Кисло-острый суп с фунчезой,,Супы,350 с,https://nambafood.kg/dish_image/80024.png
B2 Куриный бульон с сморчоками,,Супы,1980 с,https://nambafood.kg/dish_image/80089.png
B3 Китайский куриный бульон с косточками,,Супы,1800 с,https://nambafood.kg/dish_image/80083.png
B4 Куриный бульон с морским гребешками и с бамбуковыми грибами,,Супы,1980 с,https://nambafood.kg/dish_image/80027.png
B5 Суп с зеленью,,Супы,290 с,https://nambafood.kg/dish_image/80085.png
B6 Суп с яицом и морскими водорослями,,Супы,310 с,https://nambafood.kg/dish_image/80029.png
B7 Суп с помидорами и яйцом,,Супы,290 с,https://nambafood.kg/dish_image/80030.png
B8 Кукурузный сладкий суп,,Супы,290 с,https://nambafood.kg/dish_image/80031.png
B9 Суп с измельченным мяcос  и яйцом,,Супы,310 с,https://nambafood.kg/dish_image/80032.png
B10 Суп с клецками,,Супы,335 с,https://nambafood.kg/dish_image/80086.png
B11 Суп из утки с кислом реди,,Супы,1680 с,https://nambafood.kg/dish_image/80033.png
B12 Баранина бульон на косточке,,Супы,1280 с,https://nambafood.kg/dish_image/80034.png
C3 Говядина соломкой в рыбном соусе,,Блюда из говядины,470 с,https://nambafood.kg/dish_image/79836.png
C4 Домашная жареная говядина,,Блюда из говядины,470 с,https://nambafood.kg/dish_image/79887.png
C5 Жареная говядина с жусаем,,Блюда из говядины,465 с,https://nambafood.kg/dish_image/80090.png
C6 Говядина соломкой с острым перцем,,Блюда из говядины,470 с,https://nambafood.kg/dish_image/80092.png
C7 Говядина с грибами,,Блюда из говядины,480 с,https://nambafood.kg/dish_image/79872.png
C8 Говядина в кисло-сладком соусе,,Блюда из говядины,440 с,https://nambafood.kg/dish_image/79954.png
C9 Говядина в кисло-остром соусе,,Блюда из говядины,440 с,https://nambafood.kg/dish_image/80091.png
C10 Говядина с сельдереем,,Блюда из говядины,460 с,https://nambafood.kg/dish_image/79938.png
C11 Говядина с бамбуками,,Блюда из говядины,470 с,https://nambafood.kg/dish_image/79971.png
C12 Говядина с овощями в соусе чили,,Блюда из говядины,565 с,https://nambafood.kg/dish_image/79862.png
C13 Говядина со стрелками чеснока,,Блюда из говядины,465 с,https://nambafood.kg/dish_image/79970.png
C14 Говядина со спаржей,,Блюда из говядины,470 с,https://nambafood.kg/dish_image/79882.png
C15 Говядина с черными грибами,,Блюда из говядины,470 с,https://nambafood.kg/dish_image/79968.png
C16 Говяжьи кишки с перцами чили,,Блюда из говядины,565 с,https://nambafood.kg/dish_image/79969.png
C17 Жареные кусочки говядины с перцем и пампушками,,Блюда из говядины,535 с,https://nambafood.kg/dish_image/79919.png
C18 Баранина с капустой и фунчозой,,Блюда из говядины,535 с,https://nambafood.kg/dish_image/79858.png
C19 Говядина с капустой и фунчозой,,Блюда из говядины,535 с,https://nambafood.kg/dish_image/79859.png
C21 Говядина пряно в остром соусе,,Блюда из говядины,595 с,https://nambafood.kg/dish_image/79866.png
C22 Яйцо на пару с говядиной,,Блюда из говядины,580 с,https://nambafood.kg/dish_image/79874.png
C23 Говядина нарезанная соломкой с перцем,,Блюда из говядины,460 с,https://nambafood.kg/dish_image/79837.png
C24 Говядина в коричнево-соевом соусе,,Блюда из говядины,990 с,https://nambafood.kg/dish_image/79838.png
C25 Хрупкий бамбук и говядина в горшочке,,Блюда из говядины,690 с,https://nambafood.kg/dish_image/79864.png
C26 Три вида грибов с тушеной говядиной в горшочке,,Блюда из говядины,540 с,https://nambafood.kg/dish_image/79967.png
C27 Белый перец жареное мясо,,Блюда из говядины,880 с,https://nambafood.kg/dish_image/79931.png
C28 жирная говядина в кислый суп,,Блюда из говядины,695 с,https://nambafood.kg/dish_image/79839.png
D1 Отварные бараньи ребра,,Блюда из баранины,1100 с,https://nambafood.kg/dish_image/79897.png
D2 Жареные бараньи ребра,,Блюда из баранины,1020 с,https://nambafood.kg/dish_image/79888.png
D3 Ребра баранины в самоваре,,Блюда из баранины,1020 с,https://nambafood.kg/dish_image/79840.png
D4 Тушенная бараньи ребра,,Блюда из баранины,1020 с,https://nambafood.kg/dish_image/79901.png
D5 Большая отбивная из баранины и картофель,,Блюда из баранины,1020 с,https://nambafood.kg/dish_image/79973.png
D6 Жареная баранина с перцем,,Блюда из баранины,470 с,https://nambafood.kg/dish_image/79886.png
D7 Жареная баранина с луком,,Блюда из баранины,470 с,https://nambafood.kg/dish_image/79974.png
D8 Баранина в кисло-сладком соусе,,Блюда из баранины,440 с,https://nambafood.kg/dish_image/79975.png
D9 Баранина в кисло-остром соусе,,Блюда из баранины,460 с,https://nambafood.kg/dish_image/80093.png
D10 Шашлык из баранины по-китайски,,Блюда из баранины,475 с,https://nambafood.kg/dish_image/79898.png
D11 Жареная баранина с блинчиками,,Блюда из баранины,480 с,https://nambafood.kg/dish_image/79976.png
D12 Жареная говядина с блинчиками,,Блюда из баранины,480 с,https://nambafood.kg/dish_image/79977.png
D13 Ребрышки с ароматом чеснока,,Блюда из баранины,1320 с,https://nambafood.kg/dish_image/79881.png
D14 Баранье копыто,,Блюда из баранины,1680 с,https://nambafood.kg/dish_image/79890.png
E1 Жареная «рыба-виноград»в кисло-остром соусе,,Блюда из морепродуктов,910 с,https://nambafood.kg/dish_image/80106.png
E2 Жареная «рыба-виноград»в кисло-сладком соусе,,Блюда из морепродуктов,910 с,https://nambafood.kg/dish_image/80105.png
E3 Рыба кусочками в кисло-остром соусе,,Блюда из морепродуктов,450 с,https://nambafood.kg/dish_image/79980.png
E4 Рыба кусочками в кисло-сладком соусе,,Блюда из морепродуктов,450 с,https://nambafood.kg/dish_image/79981.png
E5 Жареная мойва,,Блюда из морепродуктов,440 с,https://nambafood.kg/dish_image/79880.png
E6 Осетр на пару,цена за 1 кг,Блюда из морепродуктов,1580 с,https://nambafood.kg/dish_image/79936.png
E7 Целая рыба на пару,цена за 1 кг,Блюда из морепродуктов,980 с,https://nambafood.kg/dish_image/79920.png
E8 Свежая рыба с маринованной капустой,цена за 1 кг,Блюда из морепродуктов,980 с,https://nambafood.kg/dish_image/79937.png
E9 Отварная свежая рыба в остром сычуаньском соусе,цена за 1 кг,Блюда из морепродуктов,980 с,https://nambafood.kg/dish_image/79884.png
E10 Тушеная целая рыба в коричнево-соевом соусе,цена за 1 кг,Блюда из морепродуктов,980 с,https://nambafood.kg/dish_image/80094.png
E11 Рыба на гриле по-чунцински,,Блюда из морепродуктов,1680 с,https://nambafood.kg/dish_image/79982.png
E12 Рыба кусочками на жаровне,,Блюда из морепродуктов,450 с,https://nambafood.kg/dish_image/79983.png
E13 Кальмары на жаровне,,Блюда из морепродуктов,1080 с,https://nambafood.kg/dish_image/79984.png
E14 Креветки с кальмарами в самоваре,,Блюда из морепродуктов,1880 с,https://nambafood.kg/dish_image/79985.png
E15 Мидии с фунчозой и чесноком,,Блюда из морепродуктов,1580 с,https://nambafood.kg/dish_image/79932.png
E16 Креветки в самоваре,,Блюда из морепродуктов,1880 с,https://nambafood.kg/dish_image/79986.png
E17 Осьминог с перцем,,Блюда из морепродуктов,1580 с,https://nambafood.kg/dish_image/79871.png
E18 Креветки с фруктами,,Блюда из морепродуктов,1980 с,https://nambafood.kg/dish_image/79875.png
E19 Отварные креветки,,Блюда из морепродуктов,1880 с,https://nambafood.kg/dish_image/79987.png
E20 Осьминог с маринованной капустой,,Блюда из морепродуктов,1580 с,https://nambafood.kg/dish_image/79861.png
E21 Хрустящие креветки с арахисом и сухим перцем,,Блюда из морепродуктов,1880 с,https://nambafood.kg/dish_image/79988.png
E24 Рыба в хлопьях красного перца,цена за 1 кг,Блюда из морепродуктов,1020 с,https://nambafood.kg/dish_image/79867.png
E25 Жареные креветки,,Блюда из морепродуктов,1880 с,https://nambafood.kg/dish_image/79842.png
E26 тушеная рыба в прозрачном супе,цена за 1 кг,Блюда из морепродуктов,980 с,https://nambafood.kg/dish_image/79989.png
F1 Курица по-гунбао,,Блюда из птицы,455 с,https://nambafood.kg/dish_image/79900.png
F2 Курица с перцем,,Блюда из птицы,440 с,https://nambafood.kg/dish_image/79889.png
F3 Курица в кисло-сладком соусе,,Блюда из птицы,445 с,https://nambafood.kg/dish_image/79860.png
F4 Курица в кисло-остром соусе,,Блюда из птицы,445 с,https://nambafood.kg/dish_image/79877.png
F5 Жареная курица с острым сухим перцем,,Блюда из птицы,675 с,https://nambafood.kg/dish_image/79930.png
F6 Курица с кешью,,Блюда из птицы,535 с,https://nambafood.kg/dish_image/79990.png
F7 Курица в самоваре,,Блюда из птицы,680 с,https://nambafood.kg/dish_image/79991.png
F8 Курица с перцами чили,,Блюда из птицы,1280 с,https://nambafood.kg/dish_image/79992.png
F9 Куриные крылышки с чесноком,10 шт.,Блюда из птицы,675 с,https://nambafood.kg/dish_image/79993.png
F10 Курица с цветной капустой,,Блюда из птицы,450 с,https://nambafood.kg/dish_image/79994.png
F11 Дапанджи,,Блюда из птицы,785 с,https://nambafood.kg/dish_image/79995.png
