Наименование,Описание,Категория,Цена,Фото
Фирменный торт «Медовый» - 850 г,"Нежнейшие четырёхслойные медовые коржи, в сочетании с натуральным сметанным кремом.",Торты,410 с,https://nambafood.kg/dish_image/118237.png
Фирменный торт «Медовый» - 1200 г,"Нежнейшие четырёхслойные медовые коржи, в сочетании с натуральным сметанным кремом.",Торты,613 с,https://nambafood.kg/dish_image/118239.png
Торт «Шоколадно-медовый» - 850 г,Нежнейшие четырехслойные шоколадно-медовые коржи в сочетании c натуральным сметанно-шоколадным кремом.,Торты,410 с,https://nambafood.kg/dish_image/118240.png
Торт «Сникерс» - 850 г,"Нежнейший трёхслойный шоколадный бисквит, в сочетании натурального карамельного крема  с отборным арахисом и шоколадно- ореховым кремом.",Торты,433 с,https://nambafood.kg/dish_image/118241.png
Торт «Шоколадный рай» - 1200 г,Воздушный трёхслойный бисквит в сочетании с  натуральным трюфельным суфле и настоящим шоколадом.,Торты,590 с,https://nambafood.kg/dish_image/118242.png
Торт «Рафаэлло» - 850 г,"Воздушный двухслойный бисквит в сочетании с натуральным сгущённым молоком, кокосом, воздушным безе и отборными орехами.",Торты,390 с,https://nambafood.kg/dish_image/118243.png
Торт «Рафаэлло» - 1200 г,"Воздушный двухслойный бисквит в сочетании с натуральным сгущённым молоком, кокосом, воздушным безе и отборными орехами.",Торты,590 с,https://nambafood.kg/dish_image/118244.png
Торт «Красный бархат» - 850 г,Трехслойный маслинный шоколадный бисквит красного цвета с сливочно-сырным кремом.,Торты,420 с,https://nambafood.kg/dish_image/118245.png
Торт «Прага» - 850 г,"Воздушный, трюфельный, трёхслойный бисквит в сочетании с натуральным сметанным кремом и отборными орехами.",Торты,420 с,https://nambafood.kg/dish_image/118246.png
Торт «Трюфельный шоколадный» 850 г,"Воздушный трехслойный бисквит в сочетании с натуральным сметано-шоколадным кремом, трюфельным суфле и настоящим шоколадом.",Торты,410 с,https://nambafood.kg/dish_image/118272.png
Торт «Трюфельный шоколадный» - 1200 г,"Воздушный трехслойный бисквит в сочетании с натуральным сметано-шоколадным кремом, трюфельным суфле и настоящим шоколадом.",Торты,633 с,https://nambafood.kg/dish_image/118273.png
Торт «Творожный» - 1200 г,"Воздушный трёхслойный бисквит, сметано-творожный крем в сочетании с натуральным творогом и дольками ананаса.",Торты,610 с,https://nambafood.kg/dish_image/118249.png
Торт «Мечта» - 1200 г,"Нежнейший двухслойный бисквит, воздушные медовые коржи в сочетании с натуральным сметанным кремом и вареной сгущенкой.",Торты,590 с,https://nambafood.kg/dish_image/118250.png
Торт «Бисквитный белый» - 1200 г,Воздушный четырёхслойный бисквит в сочетании с натуральным сметанным кремом и дольками ананаса.,Торты,590 с,https://nambafood.kg/dish_image/118251.png
Торт «Бисквитный красный» - 1200 г,Воздушный четырёхслойный бисквит в сочетании с натуральным сметанным кремом и дольками ананаса.,Торты,590 с,https://nambafood.kg/dish_image/118262.png
Торт «Фисташковый» - 850 г,Трехслойный маслинный бисквит изумрудного цвета в сочетании с заварным сливочным кремом.,Торты,410 с,https://nambafood.kg/dish_image/118252.png
