Наименование,Описание,Категория,Цена,Фото
"Торт «Белый пинчер»  Гранд 1,300 кг","Мука высший сорт, яйцо куриное, сахар-песок, сметана, молоко сгущенное, сливки пастеризованные 38% из цельного коровьего молока, грецкий орех, изюм, разрыхлитель, крахмал кукурузный.",Торты Гранд,1450 с,https://nambafood.kg/dish_image/99020.png
"Торт «Домашний»  (творожный) 1,000 кг","Мука высший сорт, творог, сливки пастеризованные 38% из цельного коровьего молока, молоко сгущенное, яйцо куриное, сахар-песок, шоколад натуральный (черный), разрыхлитель.",Торты Гранд,950 с,https://nambafood.kg/dish_image/104117.png
"Торт «Каприз»‎‎ 1,000 кг","Мука высший сорт, сливки пастеризованные 38% из цельного коровьего молока, яйцо куриное, сахар-песок, молоко сгущеное, орех грецкий, изюм, мак, шоколад натуральный (черный), глюкоза, разрыхлитель.",Торты Гранд,890 с,https://nambafood.kg/dish_image/145325.png
"Торт «Клубничка»‎‎ Гранд 1,040 кг","Мука высший сорт, яйцо куриное, сахар-песок, сливки пастеризованные 38% из цельного коровьего молока, молоко сгущенное, джем клубничный (клубника, сахар-песок), шоколад натуральный (белый), загуститель желатин, разрыхлитель, клубничный ароматизатор, пищевой краситель.",Торты Гранд,890 с,https://nambafood.kg/dish_image/139117.png
Торт «Красный бархат»‎‎ 1000 г,"Сливки пастеризованные 38% из цельного коровьего молока, сыр сливочный, творог, сметана, сахар-песок, яйцо куриное, шоколад натуральный (белый), крошка бритон, крахмал, загуститель желатин, масло сливочное, краситель пищевой.",Торты Гранд,1090 с,https://nambafood.kg/dish_image/71688.png
"Торт «Кудрявый пинчер»‎‎ Гранд 1,350 кг","Мука высший сорт, яйцо куриное, сахар-песок, сметана, молоко сгущенное, сливки пастеризованные 38% из цельного коровьего молока, грецкий орех, изюм, шоколад натуральный, какао-порошок, рыхлитель.",Торты Гранд,1450 с,https://nambafood.kg/dish_image/71689.png
"Торт «Магнолия»‎‎ 1,100 кг","Мука высший сорт, яйцо куриное, сахар-песок, сливки пастеризованные 38% из цельного коровьего молока, молоко сгущеное, грецкий орех, шоколад натуральный, какао-порошок, разрыхлитель.",Торты Гранд,890 с,https://nambafood.kg/dish_image/145328.png
"Торт «Медовик со сгущенкой»‎‎ гранд 0,800 кг.","Мука высший сорт, сливки пастеризованные 38% из цельного коровьего молока, масло сливочное, молоко сгущенное, молоко сгущенное вареное, яйцо куриное, сахар-песок, мёд, пищевая сода.",Торты Гранд,750 с,https://nambafood.kg/dish_image/135642.png
"Торт «Медовик со сливками»‎‎ гранд 0,850 кг","Мука высший сорт, сливки пастеризованные 38% из цельного коровьего молока, яйцо куриное, масло сливочное, молоко сгущенное, сахар-песок, шоколад натуральный (белый), мёд, сода пищевая, краситель пищевой.",Торты Гранд,750 с,https://nambafood.kg/dish_image/71692.png
"Торт «Нежный со сгущенкой»‎‎ 0,950 кг","Мука высший сорт, молоко сгущенное, молоко сгущенное вареное, сливки пастеризованные 38% из цельного коровьего молока, шоколад натуральный, яйцо куриное, сахар-песок, разрыхлитель.",Торты Гранд,790 с,https://nambafood.kg/dish_image/71693.png
"Торт «Прага»‎‎ Гранд 1,250 кг","Мука высший сорт, сливки пастеризованные 38% из цельного коровьего молока, сгущенное молоко, сгущенное молоко вареное, масло сливочное, сметана, сахар-песок, яйцо куриное, шоколад натуральный (черный, белый), какао-порошок, коньяк, сода пищевая, глюкоза.",Торты Гранд,1350 с,https://nambafood.kg/dish_image/145333.png
"Торт «Смородинка»‎‎ 1,000 кг","Мука высший сорт, сливки пастеризованные 38% из цельного коровьего молока, смородиновый джем (смородина, сахар-песок, загуститель натуральный пектин), яйцо куриное, сахар-песок, шоколад натуральный (черный), молоко сгущенное, гель фруктовый, разрыхлитель",Торты Гранд,890 с,https://nambafood.kg/dish_image/71695.png
"Торт «Снежок»‎‎ 0,900 кг","900 гр. Нежный воздушный бисквит прослоен взбитыми сливками, декорирован кокосовой стружкой и шариками из белкового крема",Торты Гранд,790 с,https://nambafood.kg/dish_image/145338.png
"Торт «Три шоколада»‎‎ Гранд 1,150 кг","Мука высший сорт, яйцо куриное, сахар-песок, крахмал кукурузный, масло сливочное, миндальная пудра, сливки пастеризованные 38% из цельного коровьего молока, шоколад натуральный (черный, молочный, белый), какао-порошок, грецкий орех.",Торты Гранд,1550 с,https://nambafood.kg/dish_image/145340.png
"Торт «Фиолетовый блюз»‎‎ 1,150 кг","Мука высший сорт, сливки пастеризованные 38% из цельного коровьего молока, масло сливочное, молоко сгущенное, творог, смородиновый джем (смородина, сахар-песок, загуститель натуральный пектин), яйцо куриное, сахар-песок, шоколад натуральный (белый), кокос, разрыхлитель, краситель пищевой.",Торты Гранд,990 с,https://nambafood.kg/dish_image/135646.png
"Торт «Наполеон»‎‎ гранд 1,350 кг",,Торты Гранд,1150 с,https://nambafood.kg/dish_image/145330.png
"Торт «Вупи пай»‎‎ 0,650 кг",Нежнейший торт на основе шоколадного бисквита и сливочно-сырного крема,Торты Гранд,890 с,https://nambafood.kg/dish_image/145323.png
Торт «Кудрявый Пинчер»‎‎ гранд плюс 1800 гр.,"кексовые шоколадные коржи, выпеченные на основе сметаны и сгущенного молока, прослоенные сливочным кремом и изюмом с орехами. Вся поверхность торта обсыпана стружкой из темного шоколада.",Торты Гранд,1890 с,https://nambafood.kg/dish_image/123832.png
"Торт «Красный бархат» гранд плюс 1,400 кг","Торт «Красный бархат» - шоколадный бисквит темно – красного цвета имеющий нежную, пористую структуру и прослоенный сливочно – сырным кремом. Поверхность торта обсыпана бисквитной крошкой и декорирована фигурками из белого шоколада.",Торты Гранд,1590 с,https://nambafood.kg/dish_image/123833.png
"Торт «Каприз»  плюс 1,500 кг",,Торты Гранд,1390 с,https://nambafood.kg/dish_image/135631.png
"Торт «Медовик с орехами»‎‎ гранд плюс 1,500 кг",,Торты Гранд,1390 с,https://nambafood.kg/dish_image/135632.png
"Торт «Домашний»‎‎ Плюс 1,600 кг",,Торты Гранд,1490 с,https://nambafood.kg/dish_image/135649.png
"Торт «Три шоколада» гранд плюс 1,500 кг",,Торты Гранд,1990 с,https://nambafood.kg/dish_image/135634.png
"Торт «Снежок»‎‎ 0,600 кг","0,600 кг. Нежный воздушный бисквит прослоен взбитыми сливками. Торт декорирован кокосовой стружкой",Торты бисквитные,550 с,https://nambafood.kg/dish_image/145337.png
"Торт «Смородинка»‎‎ 0,650 кг","0,650 кг. Нежный воздушный бисквит прослоен взбитыми сливками и смородиновым джемом",Торты бисквитные,550 с,https://nambafood.kg/dish_image/80210.png
"Торт «Клубничка»‎‎ 0,620 кг","620 гр. Нежный воздушный бисквит прослоен взбитыми сливками со вкусом клубники, торт залит клубничным желе",Торты бисквитные,550 с,https://nambafood.kg/dish_image/139118.png
"Торт «Нежный со сгущенкой»‎‎ 0,600 кг","600 гр. Нежный воздушный бисквит прослоен взбитыми сливками с добавлением вареной сгущенки, торт обсыпан стружкой из белого шоколада",Торты бисквитные,550 с,https://nambafood.kg/dish_image/145332.png
"Торт «Домашний»‎‎ (творожный) 0,680 кг","680 гр. Нежный воздушный бисквит прослоен кремом из взбитых сливок и домашнего творога. Торт декорирован крошкой из ""Безе""",Торты бисквитные,650 с,https://nambafood.kg/dish_image/104118.png
"Торт «Красный бархат»‎‎ 0,600 кг","600 гр. Изысканный, яркий торт, состоящий из шоколадных коржей темно-красного цвета, прослоенных сливочно-сырным кремом",Торты бисквитные,650 с,https://nambafood.kg/dish_image/49388.png
"Торт Шоколадная мозайка 0,740 кг",740 гр. Ассорти из шоколадных тортов,Торты бисквитные,890 с,https://nambafood.kg/dish_image/96731.png
"Торт «Truffle»‎‎ 0,680 кг","680 гр. Шоколадные коржи выпечены на основе сливочного масла и черного шоколада, прослоены шоколадно-коньячным кремом. Торт декорирован трюфельной крошкой. Содержит алкоголь",Торты бисквитные,790 с,https://nambafood.kg/dish_image/145341.png
"Торт «Кариолла»‎‎ 0,640 кг",640 гр Нежный бисквит и воздушное безе с грецким орехом прослоены сливочно-коньячным кремом,Торты бисквитные,650 с,https://nambafood.kg/dish_image/131855.png
"Торт «Фиолетовый блюз»‎‎ 0,730 кг",730 гр. Нежный воздушный бисквит прослоен натуральным смородиновым джемом и кремом из взбитых сливок и домашнего творога. Торт декорирован кусочками белого шоколада,Торты бисквитные,650 с,https://nambafood.kg/dish_image/135651.png
"Торт ""Каприз"" 0,700 кг","700 гр. Нежный воздушный бисквит с изюмом и грецкими орехами прослоен взбитыми сливками, обсыпан маком",Торты бисквитные,590 с,https://nambafood.kg/dish_image/145326.png
"Торт «Кудрявый пинчер»‎‎ 0,750 кг","750 гр. Шоколадный корж,  выпеченный на основе сметаны и сгущенного молока, прослоен кремом из взбитых сливок и сгущенного молока с добавлением грецких орехов и изюма. Торт декорирован ганашом из черного шоколада",Торты бисквитные,850 с,https://nambafood.kg/dish_image/135639.png
"Торт «Caramel»‎‎ 0,860кг","860 кг. Бисквит, выпечен на основе вареной сгущенки. В слоях бисквита - сливочно-заварной крем с белым шоколадом и вкуснейшей карамелью, сваренной из меда и сливок.",Торты бисквитные,790 с,https://nambafood.kg/dish_image/145327.png
"Торт «Белый пинчер»‎‎ 0,720 кг","720 гр. Мука высший сорт, яйцо куриное, сахар-песок, сметана, молоко сгущенное, сливки пастеризованные 38% из цельного коровьего молока, грецкий орех, изюм, разрыхлитель, крахмал кукурузный.",Торты бисквитные,850 с,https://nambafood.kg/dish_image/99021.png
"Торт «Магнолия»‎‎ 0,700 кг",700 гр. Шоколадный бисквит с грецкими орехами прослоен взбитыми сливками,Торты бисквитные,650 с,https://nambafood.kg/dish_image/145329.png
"Торт «Прага»‎‎ 0,750 кг","750 гр. Нежный шоколадный корж выпечен на основе сметаны и сгущенного молока, прослоен шоколадным сливочно-коньячным кремом. Содержит алкоголь",Торты бисквитные,790 с,https://nambafood.kg/dish_image/145334.png
"Торт «Hazelnut»‎‎ 0,600 кг.","Торт «Hazelnut» - это торт, разработанный технологами кондитерского дома «Куликовский». Те, кто любит шоколад с орехами — это изделие создано специально для вас. Нежные воздушные шоколадные бисквиты, пропитанные сахарным сиропом и прослоенные сливочно-шоколадно-ореховым кремом с добавлением грильяжа. Поверхность обсыпана грильяжем из миндаля. В качестве декора используется монета из молочного шоколада.",Торты бисквитные,650 с,https://nambafood.kg/dish_image/96806.png
"Торт «Птичье молоко» 0,650 кг","650 гр. Нежный бисквит залит сливочно-молочным суфле, торт покрыт ганашом из черного шоколада",Торты муссовые,650 с,https://nambafood.kg/dish_image/145335.png
"Торт «Три шоколада» 0,740 кг","740 гр. Тонкий шоколадный бисквит прослоен муссом из черного, молочного и белого шоколада",Торты муссовые,950 с,https://nambafood.kg/dish_image/145339.png
"Торт «Тирамису» 0,810 кг","810 гр. Итальянский десерт на основе сливочного сыра и бисквитного печенья ""Savoiardi"", пропитанного кофейно-коньячным сиропом",Торты муссовые,950 с,https://nambafood.kg/dish_image/145324.png
