Наименование,Описание,Категория,Цена,Фото
Филадельфия 8 шт.,,Роллы,500 с,https://nambafood.kg/dish_image/106987.png
Унаги ролл 8 шт.,,Роллы,500 с,https://nambafood.kg/dish_image/106986.png
Калифорния классик 8 шт.,,Роллы,500 с,https://nambafood.kg/dish_image/106983.png
Ролл с угрем 8 шт.,,Роллы,450 с,https://nambafood.kg/dish_image/106985.png
Овощной ролл 8 шт.,,Роллы,220 с,https://nambafood.kg/dish_image/106984.png
Сет 32 шт.,"Калифорния, филадельфия, ролл с угрем, унаги ролл.",Роллы,2150 с,https://nambafood.kg/dish_image/106993.png
Тыби жареный с овощами,"400 гр. Тыби, говядина, огурцы, помидоры, лук репчатый, болгарский перец, специи.",Закуски,310 с,https://nambafood.kg/dish_image/78677.png
Сундя,200 гр. Корейская колбаса.,Закуски,320 с,https://nambafood.kg/dish_image/78671.png
Куриные потрошки,"500 гр. Крылья, шея, печень, желудки, сердце, лук, кинза, специи.",Закуски,380 с,https://nambafood.kg/dish_image/78636.png
Ким-паб семга,"250 гр. Рис, кунжут, болгарский перец, огурец, морковь, яичный блин, копченая семга морская капуста.",Закуски,320 с,https://nambafood.kg/dish_image/78621.png
Ким-паб говядина,"250 гр. Рис, кунжут, болгарский перец, огурец, морковь, яичный блин, говядина, морская капуста.",Закуски,260 с,https://nambafood.kg/dish_image/78620.png
Перец фаршированный,"250 гр. Стручковый перец, говяжий фарш, специи, яичный кляр.",Закуски,320 с,https://nambafood.kg/dish_image/45255.png
Овощное ассорти по-корейски,"400 гр. Огурцы, зелень, соевая паста.",Закуски,350 с,https://nambafood.kg/dish_image/78650.png
Мясо Хе,"200 гр. Филе говядины, соевый соус, лук, чеснок, кинза, стручковый и болгарский перец, морковь, помидоры, специи, уксус.",Салаты,320 с,https://nambafood.kg/dish_image/78648.png
Рыба-Хе,"220 гр. Судак, лук, чеснок, уксус, кинза, специи.",Салаты,320 с,https://nambafood.kg/dish_image/78664.png
Хе из свиных ушек,"230 гр. Свиные ушки, стручковый и болгарский перец, помидор, лук репчатый, морковь, чеснок, специи.",Салаты,290 с,https://nambafood.kg/dish_image/78688.png
Требуха-Хе,"230 гр. Требуха, стручковый и болгарский перец, помидор, морковь, лук, чеснок, уксус, кинза, специи.",Салаты,260 с,https://nambafood.kg/dish_image/78676.png
Жареные свиные ушки,"250 гр. Свиные ушки, стручковый и болгарский перец, морковь, лук, чеснок, уксус, кинза, специи.",Салаты,290 с,https://nambafood.kg/dish_image/78616.png
Хе из куриных желудков,"250 гр. Куриные желудки, соевый соус, лук, стручковый и болгарский перец, морковь, помидор, чеснок, уксус, кинза, специи.",Салаты,290 с,https://nambafood.kg/dish_image/78687.png
Требуха жареная,"250 гр. Требуха, болгарский перец, морковь, лук, чеснок, уксус, кинза, специи.",Салаты,260 с,https://nambafood.kg/dish_image/78675.png
Хе из баклажана,"200 гр. Баклажаны, лук, стручковый и болгарский перец, морковь, чеснок, уксус, кинза, специи.",Салаты,260 с,https://nambafood.kg/dish_image/78686.png
Морковь-ча,"200 гр. Морковь, лук, чеснок, уксус, салатное масло, кинза, специи.",Салаты,170 с,https://nambafood.kg/dish_image/78644.png
Тиргум ча,"200 гр. Маш, лук репчатый, зелень, чеснок, специи.",Салаты,190 с,https://nambafood.kg/dish_image/78674.png
Кади-ча,"250 гр. Филе говядины, баклажаны, помидор, болгарский перец, стручковый перец, лук репчатый, масло салатное, специи.",Салаты,280 с,https://nambafood.kg/dish_image/78617.png
Косари-Ча,"230 гр. Филе говядины, папоротник, зелень, чеснок, специи, соевый соус.",Салаты,310 с,https://nambafood.kg/dish_image/78624.png
Чимчи,"200 гр. Корейская капуста, острый, перец. специи.",Салаты,180 с,https://nambafood.kg/dish_image/78692.png
Язык по-корейски,"230 гр. Говяжий язык, огурцы, помидоры, лук репчатый, лук зеленый, кинза, масло салатное, специи.",Салаты,300 с,https://nambafood.kg/dish_image/78695.png
Чимчи Жареный,"250 гр. Говядина, корейская капуста, острый перец, лук, специи, соя.",Салаты,220 с,https://nambafood.kg/dish_image/78691.png
Чесночные стрелки,"250 гр. Говядина, чесночные стрелки, лук, болгарский перец, кунжутное масло, соя, тяй, специи.",Салаты,295 с,https://nambafood.kg/dish_image/78690.png
Греческий,"250 гр. Листья салата, огурцы, помидоры, маслины, лимон, оливковое масло, сыр фетакса.",Салаты,300 с,https://nambafood.kg/dish_image/78611.png
Салат Шпинат,"180 гр. Филе говядины, лук репчатый, болгарский перец, кинза, масло салатное, специи.",Салаты,295 с,https://nambafood.kg/dish_image/78693.png
Цезарь с курицей,"300 гр. Микс салата, куриная грудка, сухари, помидоры черри, соус Цезарь, тертый пармезан.",Салаты,400 с,https://nambafood.kg/dish_image/78689.png
Огуречно-острый,"230 гр. Филе говядины, огурцы, стручковый и болгарский перец,  помидоры, морковь, кинза, специи.",Салаты,285 с,https://nambafood.kg/dish_image/78651.png
Мужской каприз,"200 гр. Яичный блин, говядина, укроп, чеснок, майонез.",Салаты,270 с,https://nambafood.kg/dish_image/78645.png
Салат Восточный,"250 гр. Говяжий язык, яичный блин, огурец, помидор, лук, соя, специи.",Салаты,295 с,https://nambafood.kg/dish_image/78610.png
Салат по-домашнему,"270 гр. Огурцы, помидоры, лук, майонез или масло растительное на выбор.",Салаты,200 с,https://nambafood.kg/dish_image/78666.png
Грибы-Хе,"230 гр. Вешенки, стручковый и болгарский перец, помидоры, морковь, лук, чеснок, уксус, специи.",Салаты,290 с,https://nambafood.kg/dish_image/78613.png
Оливье с говядиной,"220 гр. Отварной картофель, вареная колбаса, говядина, морковь, зеленый горошек, соленые огурчики, яйцо, майонез, специи.",Салаты,250 с,https://nambafood.kg/dish_image/78652.png
Грибы Маринованные,"230 гр. Вешенки маринованные, лук, укроп, специи, чеснок, масло.",Салаты,280 с,https://nambafood.kg/dish_image/78612.png
Фунчеза,"350 гр. Филе говядины, болгарский перец, морковь, огурцы, зелень, чеснок, специи.",Салаты,280 с,https://nambafood.kg/dish_image/78685.png
Жареные грибы шиетаки,"Грибы шиетаки, говядина, лук репчатый, cоевый соус, уксус, специи, чеснок",Салаты,275 с,https://nambafood.kg/dish_image/132590.png
Кукси (на горячем бульоне),450 гр.,Корейская кухня. Первые блюда,220 с,https://nambafood.kg/dish_image/78631.png
"Кукси (на горячем бульоне) 0,7",400 гр.,Корейская кухня. Первые блюда,210 с,https://nambafood.kg/dish_image/78632.png
Кукси (холодный),450 гр.,Корейская кухня. Первые блюда,220 с,https://nambafood.kg/dish_image/78633.png
"Кукси (холодный) 0,7",400 гр.,Корейская кухня. Первые блюда,210 с,https://nambafood.kg/dish_image/78634.png
Кукси с гречневой лапшой (на горячем бульоне),450 гр.,Корейская кухня. Первые блюда,270 с,https://nambafood.kg/dish_image/78627.png
"Кукси с гречневой лапшой (на горячем бульоне)  0,7",400 гр.,Корейская кухня. Первые блюда,250 с,https://nambafood.kg/dish_image/78628.png
Кукси с гречневой лапшой (холодный),450 гр.,Корейская кухня. Первые блюда,270 с,https://nambafood.kg/dish_image/78629.png
"Кукси с гречневой лапшой (холодный) 0,7",400 гр.,Корейская кухня. Первые блюда,250 с,https://nambafood.kg/dish_image/78630.png
Сиряги-чамури со свиными ребрышками,"500 гр. Свиные ребрышки, домашний тяй, корейская капуста, лук, стручковый перец, тыби.",Корейская кухня. Первые блюда,285 с,https://nambafood.kg/dish_image/78668.png
Сиряги-чамури с говядиной,"500 гр. Говядина, домашний тяй, корейская капуста, лук, стручковый перец, тыби.",Корейская кухня. Первые блюда,285 с,https://nambafood.kg/dish_image/78669.png
Тыби-тяй со свиными ребрышками,"500 гр. Свиные ребрышки, домашний тяй, стручковый перец, помидор, кинза , тыби.",Корейская кухня. Первые блюда,290 с,https://nambafood.kg/dish_image/78680.png
Тыби-тяй с говядиной,"500 гр. Говядина, домашний тяй, стручковый перец, помидор, кинза, тыби.",Корейская кухня. Первые блюда,290 с,https://nambafood.kg/dish_image/78681.png
Пук-тяй со свиными ребрышками,"500 гр. Свиные ребрышки, домашний тяй, стручковый перец, помидор, грибы вешенки, тыби.",Корейская кухня. Первые блюда,295 с,https://nambafood.kg/dish_image/45257.png
Пук-тяй с говядиной,"500 гр. Говядина, домашний тяй, стручковый перец, помидор, грибы вешенки, тыби.",Корейская кухня. Первые блюда,295 с,https://nambafood.kg/dish_image/45258.png
Кимчи-циге (свинина),"500 гр. Кимчи, свинина, тыби, грибы вешенки, южно-корейская приправа, тяй, специи.",Корейская кухня. Первые блюда,330 с,https://nambafood.kg/dish_image/78622.png
Кимчи-циге (говядина),"500 гр. Кимчи, говядина, тыби, грибы вешенки, южно-корейская приправа, тяй, специи.",Корейская кухня. Первые блюда,330 с,https://nambafood.kg/dish_image/78623.png
Юккядян,"500 гр. Грибы вешенки, шиетаки, тиргуми, фунчеза, яйцо, перечная паста, имбирь, кунжутное масло, чеснок, специи, тасида мясная, говядина",Корейская кухня. Первые блюда,350 с,https://nambafood.kg/dish_image/130918.png
Рамен,"450 гр. Яйцо, кимчи.",Корейская кухня. Первые блюда,250 с,https://nambafood.kg/dish_image/78663.png
Рамен с сыром,"450 гр. Рамен, яйцо, чимчи.",Корейская кухня. Первые блюда,270 с,https://nambafood.kg/dish_image/106995.png
Ю- кядян,"500 гр. Говядина, папоротник, фунчеза",Корейская кухня. Первые блюда,290 с,https://nambafood.kg/dish_image/132591.png
