Наименование,Описание,Категория,Цена,Фото
Кимчитиге с говядиной,"550 гр. Острый суп из кимчи, говядина. Порция риса включительно",Супы,550 с,https://nambafood.kg/dish_image/101023.png
Чамчи Кимчи Тиге,550 гр. Острый суп из кимчи с тунцом. Порция риса включительно,Супы,600 с,https://nambafood.kg/dish_image/101024.png
Кимчитиге со свининой,"550 гр. Острый суп из кимчи, свинина. Порция риса включительно",Супы,550 с,https://nambafood.kg/dish_image/101022.png
Сокогичиге,550 гр. Суп из говядины. Порция риса включительно,Супы,550 с,https://nambafood.kg/dish_image/101025.png
Хемуль Твендян Тиге,550 гр. Острый суп с морепродуктами и соевой пастой. Порция риса включительно,Супы,650 с,https://nambafood.kg/dish_image/101026.png
Юккеддян,600 гр.  Острый суп из говядины. Порция риса включительно,Супы,650 с,https://nambafood.kg/dish_image/101027.png
Чампон Паб,600 гр. Острый суп с морепродуктами. Порция риса включительно,Супы,710 с,https://nambafood.kg/dish_image/101028.png
Сундубу Чиге,550 гр. Острый суп из мягкого тофу с морепродуктами. Порция риса включительно,Супы,650 с,https://nambafood.kg/dish_image/101029.png
Тубу чиге,550 гр. Острый суп из тофу с морепродуктами. Порция риса включительно,Супы,650 с,https://nambafood.kg/dish_image/100170.png
Миеккук,550 гр. Суп из водорослей. Порция риса включительно,Супы,630 с,https://nambafood.kg/dish_image/101030.png
Ожиночиге,550 гр. Острый суп с кальмарами. Порция риса включительно,Супы,630 с,https://nambafood.kg/dish_image/101031.png
Солонтан,550 гр. Костный суп из телятины. Порция риса включительно,Супы,550 с,https://nambafood.kg/dish_image/101032.png
Хвангтехежангук,Суп из минтая с овощами. Порция риса включительно,Супы,650 с,https://nambafood.kg/dish_image/100174.png
Конгнамульхежанкук,600 гр. Острый суп из проросших ростков фасоли с морепродуктами. Порция риса включительно,Супы,650 с,https://nambafood.kg/dish_image/101035.png
Кальбитан,600 гр. Суп из говяжьих ребрышек. Порция риса включительно,Супы,650 с,https://nambafood.kg/dish_image/101036.png
