Наименование,Описание,Категория,Цена,Фото
Тыби жареный с овощами,"400 гр. Тыби, говядина, огурцы, помидоры, лук репчатый, болгарский перец, специи.",Закуски,310 с,https://nambafood.kg/dish_image/79614.png
Сундя,200 гр. Корейская колбаса.,Закуски,320 с,https://nambafood.kg/dish_image/79602.png
Хе из куринных потрошков,"500 гр. Куриные сердечки, печень, крылышки, шейка, лук, специи, уксус.",Закуски,380 с,https://nambafood.kg/dish_image/79540.png
Ким паб с говядиной,"250 гр. Рис, кунжут, болгарский перец, огурец, морковь, яичный блин, говядина, завернутый в лист морской капусты.",Закуски,260 с,https://nambafood.kg/dish_image/79528.png
Ким-паб с семгой,"250 гр. Рис, кунжут, болгарский перец, огурец, морковь, яичный блин, копченая семга, завернутый в лист морской капусты.",Закуски,320 с,https://nambafood.kg/dish_image/79531.png
Овощное ассорти по-корейски,"400 гр. Огурцы, зелень, соевая паста.",Закуски,350 с,https://nambafood.kg/dish_image/79553.png
Перец фаршированный,"250 гр. Стручковый перец, говяжий фарш, специи, яичный кляр.",Закуски,320 с,https://nambafood.kg/dish_image/79565.png
Рыба-Хе,"220 гр. Судак, лук, чеснок, уксус, кинза, специи.",Корейская кухня. Салаты,320 с,https://nambafood.kg/dish_image/79586.png
Мясо-Хе,"200 гр. Филе говядины, соевый соус, лук, чеснок, кинза, специи, уксус.",Корейская кухня. Салаты,320 с,https://nambafood.kg/dish_image/79551.png
Хе из свиных ушек,"230 гр. Свиные ушки, стручковый и болгарский перец, помидор, лук репчатый, морковь, чеснок, специи.",Корейская кухня. Салаты,290 с,https://nambafood.kg/dish_image/79635.png
Жареные свиные ушки,"250 гр. Свиные ушки, болгарский перец,  морковь, лук, чеснок, уксус, кинза, специи.",Корейская кухня. Салаты,290 с,https://nambafood.kg/dish_image/79521.png
Хе из куриных желудков,"250 гр. Куриные желудки, соевый соус, лук, чеснок, уксус, кинза, специи.",Корейская кухня. Салаты,290 с,https://nambafood.kg/dish_image/79633.png
Требуха-Хе,"230 гр. Требуха, болгарский перец, морковь, лук, чеснок, уксус, кинза, специи.",Корейская кухня. Салаты,260 с,https://nambafood.kg/dish_image/79612.png
Требуха жареная,"250 гр. Требуха, болгарский перец, морковь, лук, чеснок, уксус, кинза, специи.",Корейская кухня. Салаты,260 с,https://nambafood.kg/dish_image/79609.png
Хе из баклажана,"200 гр. Баклажаны, лук, чеснок, уксус, кинза, специи.",Корейская кухня. Салаты,260 с,https://nambafood.kg/dish_image/79631.png
Морковь-ча,"200 гр. Морковь, лук, чеснок, уксус, салатное масло, кинза, специи.",Корейская кухня. Салаты,170 с,https://nambafood.kg/dish_image/79547.png
Кади-ча,"250 гр. Филе говядины, баклажаны, помидор, болгарский перец, стручковый перец, лук репчатый, масло салатное, специи.",Корейская кухня. Салаты,280 с,https://nambafood.kg/dish_image/79523.png
Косари-Ча,"230 гр. Филе говядины, папоротник, зелень, чеснок, специи, соевый соус.",Корейская кухня. Салаты,310 с,https://nambafood.kg/dish_image/79537.png
Язык по-корейски,"230 гр. Говяжий язык, огурцы, помидоры, лук репчатый, лук зеленый, кинза, масло салатное, специи.",Корейская кухня. Салаты,300 с,https://nambafood.kg/dish_image/79649.png
Чим-чи,200 гр.,Корейская кухня. Салаты,180 с,https://nambafood.kg/dish_image/79642.png
Чим-Чи жареный с говядиной,"250 гр. Говядина, корейская капуста, острый перец, лук, специи, соя.",Корейская кухня. Салаты,220 с,https://nambafood.kg/dish_image/79640.png
Чесночные стрелки,"250 гр. Говядина, чесночные стрелки, лук, болгарский перец, кунжутное масло, соя, тяй, специи.",Корейская кухня. Салаты,295 с,https://nambafood.kg/dish_image/79638.png
Огуречно-острый,"230 гр. Филе говядины, огурцы, помидоры, морковь, кинза, специи.",Корейская кухня. Салаты,285 с,https://nambafood.kg/dish_image/79554.png
Шпинат,"180 гр. Филе говядины, лук репчатый, болгарский перец, кинза, масло салатное, специи.",Корейская кухня. Салаты,295 с,https://nambafood.kg/dish_image/79644.png
Тиргум ча,"200 гр. Проросшие бобы, лук, салатное масло.",Корейская кухня. Салаты,190 с,https://nambafood.kg/dish_image/79607.png
Грибы-Хе,"230 гр. Вешенки, лук, чеснок, уксус, кинза, специи.",Корейская кухня. Салаты,290 с,https://nambafood.kg/dish_image/79519.png
Фунчеза,"350 гр. Говядина, фунчеза, лук, болгарский перец, стручковый перец, морковь, шпинат.",Корейская кухня. Салаты,280 с,https://nambafood.kg/dish_image/79629.png
Грибы маринованные,"200 гр. Вешенки, лук репчатый, салатное масло.",Салаты,280 с,https://nambafood.kg/dish_image/79517.png
Греческий,"260 гр. Сыр фетаки, листья салата, помидор, огурец, маслины, лимон, оливковое масло.",Салаты,300 с,https://nambafood.kg/dish_image/79515.png
Цезарь с курицей,"300 гр. Листья салата, сухарики, орегано, чеснок, горчица, куриные грудки, соус, сыр.",Салаты,400 с,https://nambafood.kg/dish_image/79637.png
Мужской каприз,"200 гр. Филе говядины, яичный блин, чеснок, майонез домашний.",Салаты,270 с,https://nambafood.kg/dish_image/79548.png
