Наименование,Описание,Категория,Цена,Фото
Кя хе,250 гр.,Закуски мясные,300 с,https://nambafood.kg/dish_image/93151.png
Мулькоги Хе (рыба судак),200 гр.,Закуски мясные,340 с,https://nambafood.kg/dish_image/93152.png
Панчан,250 гр. Маринованная редька с рыбой (судак),Закуски мясные,340 с,https://nambafood.kg/dish_image/93153.png
Сэкоги Хе,250 гр. Говядина.,Закуски мясные,320 с,https://nambafood.kg/dish_image/145664.png
Тхядикоги Хе,250 гр. Свинина.,Закуски мясные,290 с,https://nambafood.kg/dish_image/145665.png
Хе из языка,250 гр. Говядина.,Закуски мясные,360 с,https://nambafood.kg/dish_image/145661.png
Хе из куриных желудков,200 гр.,Закуски мясные,290 с,https://nambafood.kg/dish_image/145662.png
Закуска из требухи,200 гр.,Закуски мясные,280 с,https://nambafood.kg/dish_image/34081.png
Закуска из свиных желудков,200 гр.,Закуски мясные,250 с,https://nambafood.kg/dish_image/145676.png
Закуска из свиных ушек,200 гр.,Закуски мясные,250 с,https://nambafood.kg/dish_image/145675.png
Закуска из кальмаров,200 гр.,Закуски мясные,300 с,https://nambafood.kg/dish_image/145677.png
Сундя,250 гр.,Закуски мясные,290 с,https://nambafood.kg/dish_image/30021.png
Пегодя дрожжевые,4 шт.,Закуски мясные,320 с,https://nambafood.kg/dish_image/145669.png
Пегодя крахмальные,4 шт.,Закуски мясные,320 с,https://nambafood.kg/dish_image/145682.png
Тыби жареный,250 гр. Соевый белок.,Закуски мясные,300 с,https://nambafood.kg/dish_image/145663.png
Ким-паб с овощами,150 гр.,Ким-паб,250 с,https://nambafood.kg/dish_image/145684.png
Ким-паб с лососем,150 гр.,Ким-паб,310 с,https://nambafood.kg/dish_image/145685.png
Ким-паб с мясом,150 гр.,Ким-паб,290 с,https://nambafood.kg/dish_image/145686.png
Ким-паб с креветками,150 гр.,Ким-паб,300 с,https://nambafood.kg/dish_image/145826.png
Чимчи жареный с мясом,250 гр.,Корейские салаты,240 с,https://nambafood.kg/dish_image/145658.png
Чимчи,250 гр.,Корейские салаты,160 с,https://nambafood.kg/dish_image/30104.png
«Золотые нити» (грибы),250 гр.,Корейские салаты,220 с,https://nambafood.kg/dish_image/30670.png
Грибы маслята,250 гр.,Корейские салаты,220 с,https://nambafood.kg/dish_image/30681.png
Грибы опята,250 гр.,Корейские салаты,270 с,https://nambafood.kg/dish_image/30711.png
Белый бамбук,250 гр.,Корейские салаты,320 с,https://nambafood.kg/dish_image/30697.png
Косари ча (папоротник),250 гр.,Корейские салаты,310 с,https://nambafood.kg/dish_image/30674.png
Морковь ча,250 гр.,Корейские салаты,150 с,https://nambafood.kg/dish_image/30111.png
Камди ча (картофель),250 гр.,Корейские салаты,160 с,https://nambafood.kg/dish_image/145673.png
Кади ча (баклажан),250 гр.,Корейские салаты,300 с,https://nambafood.kg/dish_image/145674.png
Диргуми ча (маш),250 гр.,Корейские салаты,170 с,https://nambafood.kg/dish_image/145678.png
Меги ча (морская капуста),250 гр.,Корейские салаты,280 с,https://nambafood.kg/dish_image/145824.png
Морская капуста с креветками,250 гр.,Корейские салаты,320 с,https://nambafood.kg/dish_image/34083.png
Фунчеза,250 гр.,Корейские салаты,270 с,https://nambafood.kg/dish_image/30671.png
Корейский салат (огурцы с мясом),250 гр.,Корейские салаты,275 с,https://nambafood.kg/dish_image/30669.png
Кочи ниппи (листочки перца),250 гр.,Корейские салаты,270 с,https://nambafood.kg/dish_image/145683.png
Салат из шпината,250 гр.,Корейские салаты,280 с,https://nambafood.kg/dish_image/34084.png
Салат из спаржи (соевая),250 гр.,Корейские салаты,265 с,https://nambafood.kg/dish_image/145668.png
Морская капуста с кальмарами,,Корейские салаты,320 с,https://nambafood.kg/dish_image/145825.png
Салат из языка,"200 гр. Язык, огурцы, майонез.",Европейские салаты,360 с,https://nambafood.kg/dish_image/145667.png
Ласточкино гнездо,"200 гр. Говядина, пай, огурцы соленые и свежие, яйцо, майонез.",Европейские салаты,270 с,https://nambafood.kg/dish_image/87919.png
Мельница,"200 гр. Говядина, грибы, огурцы, морковь, картофель, сыр, майонез.",Европейские салаты,270 с,https://nambafood.kg/dish_image/30673.png
Свежий,200 гр.,Европейские салаты,200 с,https://nambafood.kg/dish_image/30127.png
Оливье,200 гр.,Европейские салаты,280 с,https://nambafood.kg/dish_image/145671.png
Великолепный,"200 гр. Копченая курица, грибы, кириешки, помидор, лук, кетчуп, майонез.",Европейские салаты,280 с,https://nambafood.kg/dish_image/87920.png
Греческий,"200 гр. Сыр фетакса, огурцы, помидоры, листья салата, лук, оливки, лимонный сок.",Европейские салаты,280 с,https://nambafood.kg/dish_image/30135.png
Цезарь,"200 гр. Куриное филе, чесночные гренки, листья айсберг, сыр пармезан, соус «Цезарь».",Европейские салаты,340 с,https://nambafood.kg/dish_image/145666.png
Язычки баклажановые,200 гр.,Европейские салаты,300 с,https://nambafood.kg/dish_image/145657.png
Кукси,,Первые блюда,240 с,https://nambafood.kg/dish_image/34085.png
"Кукси 0,5",,Первые блюда,220 с,https://nambafood.kg/dish_image/34086.png
Кя тямури,,Первые блюда,220 с,https://nambafood.kg/dish_image/68169.png
"Кя тямури 0,5",,Первые блюда,200 с,https://nambafood.kg/dish_image/68170.png
Сираги тямури,,Первые блюда,250 с,https://nambafood.kg/dish_image/68171.png
"Сираги тямури 0,5",,Первые блюда,230 с,https://nambafood.kg/dish_image/68172.png
Тыби тяй с говядиной,,Первые блюда,250 с,https://nambafood.kg/dish_image/145651.png
Тыби тяй со свининой,,Первые блюда,250 с,https://nambafood.kg/dish_image/145652.png
