Наименование,Описание,Категория,Цена,Фото
Тубу-Чиге,Острый суп с тофу.,Корейские блюда,500 с,https://nambafood.kg/dish_image/54954.png
Суту тубу-чиге,Острый суп с тофу.,Корейские блюда,500 с,https://nambafood.kg/dish_image/100917.png
Кимчи-Чиге с говядиной,Суп из кимчи с говядиной.,Корейские блюда,500 с,https://nambafood.kg/dish_image/54909.png
Кимчи-Чиге со свининой,Суп из кимчи со свининой.,Корейские блюда,500 с,https://nambafood.kg/dish_image/54910.png
Твенджан-Чиге со свининой,Суп из пасты соевых бобов со свининой.,Корейские блюда,500 с,https://nambafood.kg/dish_image/54952.png
Твенджан-Чиге с говядиной,Суп из пасты соевых бобов со говядиной.,Корейские блюда,500 с,https://nambafood.kg/dish_image/54953.png
Юке-Джан,"Папоротник, грибы, говядина, острый бульон.",Корейские блюда,500 с,https://nambafood.kg/dish_image/54975.png
Неджан-Тан,Суп с говяжьем кишками и требухой.,Корейские блюда,500 с,https://nambafood.kg/dish_image/54922.png
Канпунги допаб,"Курица в кляре жаренная, в кисло-сладком соусе",Корейские блюда,500 с,https://nambafood.kg/dish_image/54904.png
Пулькоги допаб,Говядина с овощами и рисом.,Корейские блюда,500 с,https://nambafood.kg/dish_image/54938.png
Ток-Поки,Рисовый хлеб с острым соусом.,Корейские блюда,500 с,https://nambafood.kg/dish_image/70898.png
Кодыно-Гуи,Жареная скумбрия.,Корейские блюда,500 с,https://nambafood.kg/dish_image/54898.png
Чаджан-Мён,"Лапша, свинина, овощи, соевый соус.",Корейские блюда,500 с,https://nambafood.kg/dish_image/10603.png
Джампонг,"Лапша, кальмары, овощи, грибы, острый бульон.",Корейские блюда,500 с,https://nambafood.kg/dish_image/54901.png
Удон,"Лапша, кальмары, овощи, грибы.",Корейские блюда,500 с,https://nambafood.kg/dish_image/54956.png
Ульмён,"Лапша, кальмары, овощи, грибы, крахмальный бульон.",Корейские блюда,500 с,https://nambafood.kg/dish_image/54957.png
Поккым-Паб с соевым соусом,Жареный рис с овощами + соевый соус и бульон.,Корейские блюда,500 с,https://nambafood.kg/dish_image/54933.png
Поккым-Паб с морским коктейлем,"Жареный рис с овощами + морской коктейль, соевый соус и бульон.",Корейские блюда,600 с,https://nambafood.kg/dish_image/114167.png
Самсон-Чаджан,Лапша с морепродуктами в соевом соусе.,Корейские блюда,600 с,https://nambafood.kg/dish_image/54946.png
Самсон-Джампонг,"Лапша, острый бульон с морепродуктами, овощи, грибы.",Корейские блюда,600 с,https://nambafood.kg/dish_image/54944.png
Самсон-Удон,"Лапша, бульон с морепродуктами и овощами.",Корейские блюда,600 с,https://nambafood.kg/dish_image/10625.png
Самсон-Ульмён,"Лапша, морепродукты, грибы в крахмальном бульоне.",Корейские блюда,600 с,https://nambafood.kg/dish_image/54945.png
Поккым-Удон,"Лапша, острый соус из морепродуктов и овощей.",Корейские блюда,600 с,https://nambafood.kg/dish_image/54934.png
Кун-Манду,Жареные манты с говядиной и джусаем.,Корейские блюда,500 с,https://nambafood.kg/dish_image/54914.png
Чабче-Паб,"Рис, фунчеза с говядиной и овощами + бульон.",Корейские блюда,600 с,https://nambafood.kg/dish_image/54961.png
Омырайс,"Жареный рис с овощами, жареное яйцо и соус из кетчупа.",Корейские блюда,600 с,https://nambafood.kg/dish_image/54925.png
Ким-Паб,"Лист морской капусты, рис, говядина, морковь, редька, огурец, яйцо.",Корейские блюда,350 с,https://nambafood.kg/dish_image/10594.png
Рамён,Корейская лапша быстрого приготовления.,Корейские блюда,300 с,https://nambafood.kg/dish_image/54939.png
Чаптан-Паб,Салат из морепродуктов с овощами и рисом. Не острый.,Корейские блюда,700 с,https://nambafood.kg/dish_image/54965.png
Тубу-Джонголь с говядиной на 2 персоны,Суп из тофу с говядиной.,Корейские блюда,1500 с,https://nambafood.kg/dish_image/10578.png
Тубу-Джонголь со свининой на 2 персоны,Суп из тофу со свининой.,Корейские блюда,1500 с,https://nambafood.kg/dish_image/10579.png
Самгепсаль из свинины на 2 персоны,500 гр. Свинина с салатными листьями и соусом.,Корейские блюда,1300 с,https://nambafood.kg/dish_image/54940.png
Самгепсаль из бекона на 2 персоны,500 гр. Бекон с салатными листьями и соусом.,Корейские блюда,1300 с,https://nambafood.kg/dish_image/114169.png
Неджан-Джонголь на 2 персоны,"Суп с говяжьем кишками и требухой, острый.",Корейские блюда,1500 с,https://nambafood.kg/dish_image/10589.png
Нанжавансы порция,"Говяжьи котлетки в устричном соусе, не острое.",Корейские блюда,1500 с,https://nambafood.kg/dish_image/110591.png
Нанжавансы 0.7,"Говяжьи котлетки в устричном соусе, не острое.",Корейские блюда,1000 с,https://nambafood.kg/dish_image/114171.png
Кимчи-Джонголь из говядины на 2 персоны,Суп из кимчи с грибами.,Корейские блюда,1500 с,https://nambafood.kg/dish_image/110592.png
Кимчи-Джонголь из свинины на 2 персоны,Суп из кимчи с грибами.,Корейские блюда,1500 с,https://nambafood.kg/dish_image/110593.png
Чажан-пап,Рис с соусом чажан и жареное яйцо.,Корейские блюда,500 с,https://nambafood.kg/dish_image/114173.png
Чабче на 1 персону,Фунчеза жареная с говядиной и овощами.,Закуски и Салаты,1000 с,https://nambafood.kg/dish_image/54958.png
Чабче на 2 персоны,Фунчеза жареная с говядиной и овощами.,Закуски и Салаты,1500 с,https://nambafood.kg/dish_image/54959.png
Тансуюк из свинины 1 персону,Свинина в кляре в кисло-сладком соусе.,Закуски и Салаты,1000 с,https://nambafood.kg/dish_image/54948.png
Тансуюк из свинины 2 персоны,Свинина в кляре в кисло-сладком соусе.,Закуски и Салаты,1500 с,https://nambafood.kg/dish_image/54950.png
Тансуюк из говядины 1 персону,Говядина в кляре в кисло-сладком соусе.,Закуски и Салаты,1200 с,https://nambafood.kg/dish_image/54949.png
Тансуюк из говядины 2 персоны,Говядина в кляре в кисло-сладком соусе.,Закуски и Салаты,1700 с,https://nambafood.kg/dish_image/54951.png
Мафа-Тубу со свининой на 1 персону,Тубу со свининой с овощами в остром соусе.,Закуски и Салаты,1000 с,https://nambafood.kg/dish_image/54918.png
Мафа-Тубу со свининой на 2 персоны,Тубу со свининой с овощами в остром соусе.,Закуски и Салаты,1500 с,https://nambafood.kg/dish_image/54915.png
Мафа-Тубу с говядиной на 1 персону,Тубу со говядиной с овощами в остром соусе.,Закуски и Салаты,1000 с,https://nambafood.kg/dish_image/54917.png
Мафа-Тубу с говядиной на 2 персоны,Тубу со говядиной с овощами в остром соусе.,Закуски и Салаты,1500 с,https://nambafood.kg/dish_image/54916.png
Кочу-Чабче на 1 персону,"Зеленый перец с креветками, говядиной, луком, грибами.",Закуски и Салаты,1000 с,https://nambafood.kg/dish_image/54911.png
Кочу-Чабче на 2 персоны,"Зеленый перец с креветками, говядиной, луком, грибами.",Закуски и Салаты,1500 с,https://nambafood.kg/dish_image/54912.png
Канпунги на 1 персону,Курица в кляре жареная в кисло-сладком соусе.,Закуски и Салаты,1000 с,https://nambafood.kg/dish_image/54902.png
Канпунги на 2 персоны,Курица в кляре жареная в кисло-сладком соусе.,Закуски и Салаты,1500 с,https://nambafood.kg/dish_image/54903.png
Чеюк-Поккым из свинины 1 персону,"Свинина жареная с овощами, острое.",Закуски и Салаты,1000 с,https://nambafood.kg/dish_image/54968.png
Чеюк-Поккым из свинины на 2 персоны,"Свинина жареная с овощами, острое.",Закуски и Салаты,1500 с,https://nambafood.kg/dish_image/54967.png
Чеюк-Поккым из говядины на 1 персону,"Говядина жареная с овощами, на выбор: Острое не острое.",Закуски и Салаты,1000 с,https://nambafood.kg/dish_image/65104.png
Чеюк-Поккым из говядины на 2 персоны,"Говядина жареная с овощами, на выбор: Острое не острое.",Закуски и Салаты,1500 с,https://nambafood.kg/dish_image/65103.png
Юсансыль на 1 персону,"Морепродукты с овощами и грибами в устричном соусе, не острое.",Закуски и Салаты,1000 с,https://nambafood.kg/dish_image/10676.png
Юсансыль на 2 персоны,"Морепродукты с овощами и грибами в устричном соусе, не острое.",Закуски и Салаты,1500 с,https://nambafood.kg/dish_image/10675.png
Пальбоче на 1 персону,"Морепродукты с овощами и грибами, острое.",Закуски и Салаты,1000 с,https://nambafood.kg/dish_image/54931.png
