Наименование,Описание,Категория,Цена,Фото
Манная каша и пирожок,"С маслом, изюмом, орехами. Пирожок с картошкой и капустой.",Завтраки,150 с,https://nambafood.kg/dish_image/91886.png
Рисовая каша и пирожок,"С маслом, изюмом, орехами. Пирожок с картошкой и капустой.",Завтраки,150 с,https://nambafood.kg/dish_image/91887.png
Гречневая каша и пирожок,"С маслом, изюмом, орехами. Пирожок с картошкой и капустой.",Завтраки,150 с,https://nambafood.kg/dish_image/91888.png
Овсяная каша и пирожок,"С маслом, изюмом, орехами. Пирожок с картошкой и капустой.",Завтраки,150 с,https://nambafood.kg/dish_image/91889.png
Блины со сметаной,3 шт,Завтраки,130 с,https://nambafood.kg/dish_image/128235.png
Блины с мясом и грибами,2 шт,Завтраки,280 с,https://nambafood.kg/dish_image/128236.png
Блины с творогом,2 шт,Завтраки,230 с,https://nambafood.kg/dish_image/128237.png
Блины с семгой,,Завтраки,490 с,https://nambafood.kg/dish_image/128238.png
Омлет с телятиной и пирожок,Пирожок с картошкой и капустой.,Завтраки,280 с,https://nambafood.kg/dish_image/91895.png
Омлет с овощами и пирожок,Пирожок с картошкой и капустой.,Завтраки,200 с,https://nambafood.kg/dish_image/92200.png
Омлет с сыром и пирожок,Пирожок с картошкой и капустой.,Завтраки,270 с,https://nambafood.kg/dish_image/92511.png
Омлет «Капрезе» и пирожок,Пирожок с картошкой и капустой.,Завтраки,270 с,https://nambafood.kg/dish_image/91896.png
Яичница с сосисками и пирожок,Пирожок с картошкой и капустой.,Завтраки,300 с,https://nambafood.kg/dish_image/92512.png
Завтрак «Чемпиона» с соусом сальса,"Курица, говядина",Завтраки,280 с,https://nambafood.kg/dish_image/128214.png
Сырники со сметаной,,Завтраки,210 с,https://nambafood.kg/dish_image/92201.png
Ассорти Расколбас,"12 шт колбасок, говядина, курица, соленья, картофель Айдахо.",Закуски,1310 с,https://nambafood.kg/dish_image/128233.png
Ассорти Расколбас 0.7,"8 шт колбасок, говядина, курица, соленья, картофель Айдахо.",Закуски,910 с,https://nambafood.kg/dish_image/128234.png
Мясное ассорти,"Язык, отварная телятина, копчёная телятина, курица, сыр.",Закуски,610 с,https://nambafood.kg/dish_image/128204.png
Брускетта с моцареллой и помидорами,,Закуски,310 с,https://nambafood.kg/dish_image/92209.png
Сельдь по-русски,С обжаренным картофелем.,Закуски,250 с,https://nambafood.kg/dish_image/92210.png
Цезарь с курицей,,Салаты,410 с,https://nambafood.kg/dish_image/128210.png
Цезарь с креветками,,Салаты,510 с,https://nambafood.kg/dish_image/128209.png
Салат из языка,,Салаты,360 с,https://nambafood.kg/dish_image/114721.png
Греческий салат,,Салаты,360 с,https://nambafood.kg/dish_image/92513.png
Салат из руколлы с креветками,,Салаты,490 с,https://nambafood.kg/dish_image/92215.png
Салат с курочкой и яйцом Пашот,,Салаты,440 с,https://nambafood.kg/dish_image/92216.png
Салат с тунцом и киноа,,Салаты,440 с,https://nambafood.kg/dish_image/114720.png
Витаминка,,Салаты,290 с,https://nambafood.kg/dish_image/114719.png
Салат с авокадо и красной рыбой,,Салаты,540 с,https://nambafood.kg/dish_image/114718.png
Салат с баклажанами и помидорами,,Салаты,310 с,https://nambafood.kg/dish_image/92517.png
Капрезе,,Салаты,400 с,https://nambafood.kg/dish_image/92218.png
С малосольной семгой,,Салаты,590 с,https://nambafood.kg/dish_image/92220.png
Столичный салат из курицы,,Салаты,290 с,https://nambafood.kg/dish_image/114716.png
Столичный салат из говядины,,Салаты,290 с,https://nambafood.kg/dish_image/114715.png
