Наименование,Описание,Категория,Цена,Фото
Эспрессо,40 мл,Кофе,134 с,https://nambafood.kg/dish_image/22597.png
Эспрессо - доппио,120 мл,Кофе,189 с,https://nambafood.kg/dish_image/22599.png
Эспрессо - ристретто ( короткий),20 мл,Кофе,134 с,https://nambafood.kg/dish_image/22598.png
Эспрессо без кофеина,40 мл,Кофе,150 с,https://nambafood.kg/dish_image/22600.png
Американо,120 мл,Кофе,150 с,https://nambafood.kg/dish_image/22601.png
Американо с сиропом,120 мл,Кофе,180 с,https://nambafood.kg/dish_image/22602.png
Американо с лимоном,120 мл,Кофе,159 с,https://nambafood.kg/dish_image/22604.png
Американо с медом,120 мл,Кофе,159 с,https://nambafood.kg/dish_image/22603.png
Кофе по-восточному,60 мл приготовлен на песке,Кофе,220 с,https://nambafood.kg/dish_image/22418.png
Френч-пресс,300 мл.,Кофе,220 с,https://nambafood.kg/dish_image/22352.png
Капучино,120 мл,Кофе с молоком,179 с,https://nambafood.kg/dish_image/22427.png
Мароккино,120 мл,Кофе с молоком,169 с,https://nambafood.kg/dish_image/22424.png
Кофе «Гляссе»‎‎,120 мл,Кофе с молоком,178 с,https://nambafood.kg/dish_image/22425.png
Кофе по-венски,120 мл,Кофе с молоком,216 с,https://nambafood.kg/dish_image/22426.png
Раф,220 мл,Кофе с молоком,209 с,https://nambafood.kg/dish_image/22423.png
Латте,220 мл,Кофе с молоком,179 с,https://nambafood.kg/dish_image/22421.png
Латте с сиропом,220 мл,Кофе с молоком,220 с,https://nambafood.kg/dish_image/22561.png
Кофе  Оле,150 мл,Кофе с молоком,189 с,https://nambafood.kg/dish_image/22415.png
Чоко-кофе,200 мл,Кофе с молоком,299 с,https://nambafood.kg/dish_image/22605.png
Фидель,220 мл,Кофе с молоком,258 с,https://nambafood.kg/dish_image/22417.png
Просто КАКАО,150 мл,Горячий шоколад,149 с,https://nambafood.kg/dish_image/22356.png
Горячий шоколад  классика,120 мл,Горячий шоколад,220 с,https://nambafood.kg/dish_image/22430.png
Шоколадный поцелуй,120 мл,Горячий шоколад,240 с,https://nambafood.kg/dish_image/22429.png
Жгучий сюрприз,с красным перцем,Горячий шоколад,228 с,https://nambafood.kg/dish_image/22428.png
Бамбл,300 мл.,Холодный кофе,217 с,https://nambafood.kg/dish_image/22609.png
Мокко со льдом,300 мл.,Холодный кофе,229 с,https://nambafood.kg/dish_image/22608.png
Фрапуччино,300 мл.,Холодный кофе,252 с,https://nambafood.kg/dish_image/22607.png
Айс-Латте,300 мл.,Холодный кофе,229 с,https://nambafood.kg/dish_image/22435.png
Картофельный пирог,,Новинки,165 с,https://nambafood.kg/dish_image/53043.png
Запеканка,,Новинки,120 с,https://nambafood.kg/dish_image/53048.png
Фриттата,,Новинки,90 с,https://nambafood.kg/dish_image/53049.png
Граттен,,Новинки,260 с,https://nambafood.kg/dish_image/53040.png
Блины с мясом,,Новинки,135 с,https://nambafood.kg/dish_image/53051.png
Блины без начинки,,Новинки,120 с,https://nambafood.kg/dish_image/53050.png
Каша овсяная,,Новинки,120 с,https://nambafood.kg/dish_image/53052.png
Каша манная,,Новинки,120 с,https://nambafood.kg/dish_image/53053.png
Каша рисовая,,Новинки,120 с,https://nambafood.kg/dish_image/53054.png
Каша гречневая,,Новинки,120 с,https://nambafood.kg/dish_image/53055.png
Омлет,,Новинки,120 с,https://nambafood.kg/dish_image/53056.png
Киш лорен,,Новинки,135 с,https://nambafood.kg/dish_image/53041.png
Шепард пай,,Новинки,133 с,https://nambafood.kg/dish_image/53042.png
Тост с тунцом,,Новинки,160 с,https://nambafood.kg/dish_image/53044.png
Тост с пастормой,,Новинки,160 с,https://nambafood.kg/dish_image/53045.png
Тост сервел,,Новинки,160 с,https://nambafood.kg/dish_image/53046.png
Тост с уткой,,Новинки,160 с,https://nambafood.kg/dish_image/53047.png
Суп чечевичный,,Новинки,95 с,https://nambafood.kg/dish_image/53039.png
Суп грибной,,Новинки,110 с,https://nambafood.kg/dish_image/67789.png
Чизкейк,"Классический сырный пирог (печенье, сыр ""Филадельфия"",ягодный соус.)",Десерты,160 с,https://nambafood.kg/dish_image/22340.png
Тирамису «Классика»‎‎,"Бисквит ""Савоярди"" пропитанный свежесваренным  кофе, ликером Kahlua  и легкий крем с сыром ""Маскорпоне""",Десерты,175 с,https://nambafood.kg/dish_image/22334.png
Домашний творожный  пирог,,Десерты,165 с,https://nambafood.kg/dish_image/22319.png
Штрудель,"слоеное тесто, начинка из яблок, грецкого орехе, изюма и корицы.",Десерты,152 с,https://nambafood.kg/dish_image/22365.png
Мужской идеал,"медовые коржи, крем из сгущенки, грецкие орехи",Десерты,152 с,https://nambafood.kg/dish_image/22329.png
Шоколадно-фисташковое пирожное,"нежный бисквит ""Джаконда"", шоколадный крем, фисташковый мусс.",Десерты,138 с,https://nambafood.kg/dish_image/22331.png
Белый лес,"шоколадный бисквит, легкий воздушный крем,  ""пьяная вишня""",Десерты,214 с,https://nambafood.kg/dish_image/22338.png
Черный лес,"венский шоколадный бисквит, шоколадный крем, консервированная вишня",Десерты,150 с,https://nambafood.kg/dish_image/22337.png
Творожно-шоколадный торт,идеальное сочетание нежного легкого и воздушного творога с ганашем из великолепного шоколада.,Десерты,160 с,https://nambafood.kg/dish_image/22332.png
Шоколадное трио,"венский шоколадный бисквит, мусс из трех видов шоколада",Десерты,160 с,https://nambafood.kg/dish_image/22333.png
Карамельный торт,"маковый бисквит ""Буше"" и карамельный крем",Десерты,169 с,https://nambafood.kg/dish_image/22335.png
Соната,шоколадный бисквит с кремом из вареной сгущенки,Десерты,138 с,https://nambafood.kg/dish_image/22336.png
Творожная фантазия,"песочное тесто, творожная начинка и прослойка из бабушкиного ягодного джема",Десерты,112 с,https://nambafood.kg/dish_image/22339.png
Бабушкин яблочный пирог,легкий песочный корж и яблоки,Десерты,116 с,https://nambafood.kg/dish_image/22320.png
Бабушкин  картофельный пирог,,Десерты,116 с,https://nambafood.kg/dish_image/22325.png
Трюфель,"конфеты ручной работы изи белого, молочного и горького шоколада. (6 шт)",Десерты,168 с,https://nambafood.kg/dish_image/22321.png
Бискотти,,Десерты,119 с,https://nambafood.kg/dish_image/22322.png
Слоеные яблочные розочки,,Десерты,150 с,https://nambafood.kg/dish_image/22317.png
Мороженое с фруктами,,Десерты,299 с,https://nambafood.kg/dish_image/22327.png
Мороженое с сиропом,в ассортименте,Десерты,200 с,https://nambafood.kg/dish_image/22328.png
Красный бархат,,Десерты,160 с,https://nambafood.kg/dish_image/103094.png
Мохито без алкогольный,"0,3 мл",Напитки,275 с,https://nambafood.kg/dish_image/22385.png
Лимонад,"0,3 мл",Напитки,150 с,https://nambafood.kg/dish_image/22386.png
Смузи  в ассортименте,"Клубника, апельсин, банан 0,3 мл",Напитки,200 с,https://nambafood.kg/dish_image/22389.png
