Наименование,Описание,Категория,Цена,Фото
Багет ржаной с солодом,,Хлебобулочные изделия,35 с,https://nambafood.kg/dish_image/71585.png
Омлет с сыром,,Завтраки,139 с,https://nambafood.kg/dish_image/72859.png
Омлет грибами,,Завтраки,139 с,https://nambafood.kg/dish_image/75533.png
Омлет с овощами,,Завтраки,139 с,https://nambafood.kg/dish_image/75532.png
Каша овсяная,,Завтраки,99 с,https://nambafood.kg/dish_image/71594.png
Каша рисовая,,Завтраки,99 с,https://nambafood.kg/dish_image/71595.png
Каша манная,,Завтраки,99 с,https://nambafood.kg/dish_image/71596.png
Блины с джемом,,Завтраки,129 с,https://nambafood.kg/dish_image/120985.png
Блины со сметаной,,Завтраки,129 с,https://nambafood.kg/dish_image/120987.png
Блины с медом,,Завтраки,129 с,https://nambafood.kg/dish_image/120989.png
Сырники с домашним вареньем,,Завтраки,139 с,https://nambafood.kg/dish_image/71524.png
Глазунья в мексиканском стиле,Подается с кукурузной лепешкой.,Завтраки,189 с,https://nambafood.kg/dish_image/143731.png
Оладьи,,Завтраки,99 с,https://nambafood.kg/dish_image/120991.png
Кесадилья с курицей,,Завтраки,260 с,https://nambafood.kg/dish_image/71510.png
Комплексный завтрак №1,"Каша 4 злака, наггетсы и овощной салат",Завтраки,220 с,https://nambafood.kg/dish_image/143671.png
Комплексный завтрак №2,"Блины с творогом, омлет и каша рисовая",Завтраки,220 с,https://nambafood.kg/dish_image/143672.png
Комплексный завтрак №3,"Хлопья с йогуртом, омлет с грибами и спринг ролл с сыром",Завтраки,220 с,https://nambafood.kg/dish_image/143673.png
Комплексный завтрак №4,"Панкейки с джемом, каша овсяная и яйцо глазунья с мини колбасками",Завтраки,220 с,https://nambafood.kg/dish_image/143674.png
Свекольный салат с козьим сыром,И карамелизированным орехом.,Салаты,250 с,https://nambafood.kg/dish_image/143732.png
Салат «Пекариус»‎‎,"клубника, кедровые орехи, лист салата, апельсин, сыр дор блю, руккола и шпинат",Салаты,340 с,https://nambafood.kg/dish_image/143653.png
Греческий салат,,Салаты,250 с,https://nambafood.kg/dish_image/101580.png
Салат с хрустящими баклажанами,Заправленный азиатским соусом.,Салаты,280 с,https://nambafood.kg/dish_image/101579.png
Салат с ростбифом и запеченными овощами,,Салаты,350 с,https://nambafood.kg/dish_image/136640.png
Теплый салат из куриной печени,С нежной зеленью и сливочной заправкой.,Салаты,280 с,https://nambafood.kg/dish_image/101586.png
Цезарь с куриным филе на гриле,,Салаты,310 с,https://nambafood.kg/dish_image/101582.png
Тёплый салат из форели,,Салаты,340 с,https://nambafood.kg/dish_image/136638.png
Салат с пряной форелью,"Слабосоленая форель, шпинат, апельсин, кедровые орехи, лист салата, руккола и творожный сыр",Салаты,410 с,https://nambafood.kg/dish_image/143654.png
Салат «Острячок»‎‎,"Говяжий язык, огурцы, помидоры, красный лук, лист салата и кунжутные семечки",Салаты,320 с,https://nambafood.kg/dish_image/143655.png
Вегетарианский салат,С рукколой и креветками.,Салаты,340 с,https://nambafood.kg/dish_image/143656.png
Салат с редисом,"Молодой редис, лист салата, огурцы и зелень",Салаты,110 с,https://nambafood.kg/dish_image/143668.png
Закуска под водку,,Салаты,220 с,https://nambafood.kg/dish_image/101588.png
Закуска под пиво,,Салаты,290 с,https://nambafood.kg/dish_image/101589.png
Вафли с форелью и творожным сыром,,Закуски,290 с,https://nambafood.kg/dish_image/143733.png
Вафли с томленой телятиной и яйцом пашот,,Закуски,350 с,https://nambafood.kg/dish_image/143734.png
Токпокки с курицей,,Закуски,320 с,https://nambafood.kg/dish_image/136643.png
Грибы эноки в беконе с рисом,,Закуски,320 с,https://nambafood.kg/dish_image/143657.png
Хычины,,Закуски,250 с,https://nambafood.kg/dish_image/143669.png
Кутабы,,Закуски,250 с,https://nambafood.kg/dish_image/143670.png
Пицца «Маргарита»,,Пицца,320 с,https://nambafood.kg/dish_image/143735.png
Пицца «4 сыра»,,Пицца,340 с,https://nambafood.kg/dish_image/71534.png
Куриная пицца,,Пицца,360 с,https://nambafood.kg/dish_image/71531.png
Пицца «Пепперони»,,Пицца,380 с,https://nambafood.kg/dish_image/101590.png
Пицца «Чили»,,Пицца,380 с,https://nambafood.kg/dish_image/72840.png
Пицца шашлычная,,Пицца,380 с,https://nambafood.kg/dish_image/121003.png
Пицца с форелью и творожным сыром,,Пицца,400 с,https://nambafood.kg/dish_image/95312.png
Бургер с котлетой из говядины,,Бургеры,280 с,https://nambafood.kg/dish_image/101592.png
Фирменный бургер со стейком из говядины,,Бургеры,340 с,https://nambafood.kg/dish_image/101593.png
Хот-дог с колбаской гриль,,Бургеры,250 с,https://nambafood.kg/dish_image/143661.png
Сэндвич вегетарианский,С фетаксой и зеленью.,Сэндвичи,190 с,https://nambafood.kg/dish_image/71597.png
Сэндвич с курицей,,Сэндвичи,280 с,https://nambafood.kg/dish_image/101595.png
Сэндвич с говядиной,,Сэндвичи,290 с,https://nambafood.kg/dish_image/71598.png
Круассан с форелью,,Сэндвичи,280 с,https://nambafood.kg/dish_image/143659.png
Сэндвич с тунцом,,Сэндвичи,250 с,https://nambafood.kg/dish_image/143660.png
Сэндвич вегетарианский,,Сэндвичи,190 с,https://nambafood.kg/dish_image/143736.png
Брускетты с форелью,,Брускеты,260 с,https://nambafood.kg/dish_image/71511.png
Брускетта с курицей под соусом терияки,,Брускеты,290 с,https://nambafood.kg/dish_image/95114.png
Панини с сыром,,Панини,180 с,https://nambafood.kg/dish_image/72869.png
Панини с курицей,,Панини,230 с,https://nambafood.kg/dish_image/72867.png
Панини с форелью,,Панини,290 с,https://nambafood.kg/dish_image/72868.png
Уха в азиатском стиле,,Первые блюда,350 с,https://nambafood.kg/dish_image/71501.png
Солянка,,Первые блюда,240 с,https://nambafood.kg/dish_image/71535.png
Чечевичный суп,,Первые блюда,180 с,https://nambafood.kg/dish_image/72844.png
Том ям с морепродуктами,,Первые блюда,350 с,https://nambafood.kg/dish_image/72845.png
Суп-лапша из домашней курочки,,Первые блюда,220 с,https://nambafood.kg/dish_image/71538.png
Суп с пельмешками,,Первые блюда,220 с,https://nambafood.kg/dish_image/121005.png
Рамен с морепродуктами,,Первые блюда,320 с,https://nambafood.kg/dish_image/116029.png
Рамен с говядиной,,Первые блюда,280 с,https://nambafood.kg/dish_image/116027.png
Рамен с курицей,,Первые блюда,260 с,https://nambafood.kg/dish_image/116025.png
Китайский острый суп,,Первые блюда,350 с,https://nambafood.kg/dish_image/136641.png
Курица под соусом блю чиз,,Горячие блюда,380 с,https://nambafood.kg/dish_image/136642.png
Курица терияки,,Горячие блюда,340 с,https://nambafood.kg/dish_image/136644.png
Куриные биточки с микс салатом,,Горячие блюда,320 с,https://nambafood.kg/dish_image/143662.png
Куриное филе в сливочном соусе с картофельными  чипсами,,Горячие блюда,360 с,https://nambafood.kg/dish_image/95314.png
Медальоны из телятины на цветной капусте,,Горячие блюда,480 с,https://nambafood.kg/dish_image/136646.png
Телятина по-тайски с крокетами и рисом с овощами,,Горячие блюда,450 с,https://nambafood.kg/dish_image/136647.png
Филе телятины с грибами и чипсами,,Горячие блюда,450 с,https://nambafood.kg/dish_image/136645.png
Телятина с картофелем,,Горячие блюда,340 с,https://nambafood.kg/dish_image/72873.png
Тибон стейк,,Горячие блюда,620 с,https://nambafood.kg/dish_image/121015.png
Рибай стейк с овощами гриль,,Горячие блюда,520 с,https://nambafood.kg/dish_image/101596.png
Каре ягненка на подушке из овощей,"Нежнейшее каре ягненка, лист салата, помидоры черри и болгарский перец",Горячие блюда,680 с,https://nambafood.kg/dish_image/143663.png
Телятина в горшочке с лесными грибами,,Горячие блюда,360 с,https://nambafood.kg/dish_image/121016.png
Томлённый судак с картофельными клиньями,,Горячие блюда,380 с,https://nambafood.kg/dish_image/136637.png
Форель на оладьях из цукини,,Горячие блюда,450 с,https://nambafood.kg/dish_image/143664.png
Стейк из семги,,Горячие блюда,520 с,https://nambafood.kg/dish_image/121011.png
Паста «Альфредо»,,Горячие блюда,340 с,https://nambafood.kg/dish_image/95313.png
Паста фетучини,С куриной грудкой в сливочном соусе.,Горячие блюда,420 с,https://nambafood.kg/dish_image/71540.png
Болоньезе,,Горячие блюда,310 с,https://nambafood.kg/dish_image/121018.png
Наггетсы,,Детское меню,280 с,https://nambafood.kg/dish_image/71502.png
Фри,100 г,Гарниры,89 с,https://nambafood.kg/dish_image/71602.png
Рис,100 г,Гарниры,69 с,https://nambafood.kg/dish_image/121023.png
Рис с овощами,100 г,Гарниры,129 с,https://nambafood.kg/dish_image/121025.png
Оладьи из цуккини,100 г,Гарниры,159 с,https://nambafood.kg/dish_image/121029.png
Овощи на гриле,100 г,Гарниры,129 с,https://nambafood.kg/dish_image/71604.png
Боул с морепродуктами и булгуром,,Боулы,450 с,https://nambafood.kg/dish_image/143665.png
Тайский боул с рисом,,Боулы,350 с,https://nambafood.kg/dish_image/143666.png
Вегетарианский боул с киноа,,Боулы,450 с,https://nambafood.kg/dish_image/143667.png
WOK вегетарианский,,Wok,240 с,https://nambafood.kg/dish_image/72866.png
WOK лапша с курицей,,Wok,320 с,https://nambafood.kg/dish_image/72860.png
WOK лапша с морепродуктами,,Wok,380 с,https://nambafood.kg/dish_image/72870.png
Раф Баунти,,Кофе,180 с,https://nambafood.kg/dish_image/83365.png
Эспрессо,,Кофе,110 с,https://nambafood.kg/dish_image/71605.png
Американо большой,,Кофе,140 с,https://nambafood.kg/dish_image/71606.png
Латте большой,,Кофе,190 с,https://nambafood.kg/dish_image/71607.png
Капучино большой,,Кофе,190 с,https://nambafood.kg/dish_image/71608.png
Мокко,,Кофе,180 с,https://nambafood.kg/dish_image/71609.png
Апельсиновый с маракуйей,,Лимонады,180 с,https://nambafood.kg/dish_image/72861.png
Лесные ягоды,,Лимонады,180 с,https://nambafood.kg/dish_image/72865.png
Мохито безалкогольный,,Лимонады,180 с,https://nambafood.kg/dish_image/72864.png
Десерт чизкейк,,Десерты,180 с,https://nambafood.kg/dish_image/75466.png
Десерт сникерс,,Десерты,180 с,https://nambafood.kg/dish_image/75464.png
Десерт тирамису,,Десерты,180 с,https://nambafood.kg/dish_image/75473.png
Десерт шоколадный,,Десерты,180 с,https://nambafood.kg/dish_image/75469.png
Десерт медовый,,Десерты,180 с,https://nambafood.kg/dish_image/75465.png
Десерт соната,,Десерты,180 с,https://nambafood.kg/dish_image/75470.png
Десерт три шоколада,,Десерты,180 с,https://nambafood.kg/dish_image/75468.png
Десерт прага,,Десерты,180 с,https://nambafood.kg/dish_image/75475.png
Десерт птичье молоко,,Десерты,180 с,https://nambafood.kg/dish_image/75479.png
Десерт шоколадный фондан,,Десерты,180 с,https://nambafood.kg/dish_image/75482.png
Шоколадный,,Молочные коктейли,220 с,https://nambafood.kg/dish_image/72858.png
Ванильный,,Молочные коктейли,220 с,https://nambafood.kg/dish_image/71553.png
Банановый,,Молочные коктейли,220 с,https://nambafood.kg/dish_image/71556.png
Клубничный,,Молочные коктейли,220 с,https://nambafood.kg/dish_image/71555.png
"Bonaqua с газом \ без газа 0,5","0,5",Безалкогольные напитки,50 с,https://nambafood.kg/dish_image/71616.png
"Coca-cola 0,5 л","0,5",Безалкогольные напитки,80 с,https://nambafood.kg/dish_image/71617.png
"Fanta 0,5 л",,Безалкогольные напитки,80 с,https://nambafood.kg/dish_image/71618.png
"Sprite 0,5 л",,Безалкогольные напитки,80 с,https://nambafood.kg/dish_image/71619.png
Комплекс №3,Хлопья с йогуртом. Омлет с грибами. Спринг ролл с сыром.,Комплексные завтраки,220 с,https://nambafood.kg/dish_image/95297.png
Комплекс №4,"Панкейки с джемом, каша овсяная, яйцо глазурью с мини колбасками.",Комплексные завтраки,220 с,https://nambafood.kg/dish_image/95300.png
Бельгийские вафли,С фруктовым салатом и с шариком мороженого,Летние предложения,280 с,https://nambafood.kg/dish_image/95296.png
