Наименование,Описание,Категория,Цена,Фото
Французский омлет,,Завтраки,220 с,https://nambafood.kg/dish_image/119877.png
Глазунья из 2 яиц,95 г,Завтраки,90 с,https://nambafood.kg/dish_image/88623.png
Глазунья из 3 яиц,140 г,Завтраки,120 с,https://nambafood.kg/dish_image/92372.png
Скрэмбл,,Завтраки,120 с,https://nambafood.kg/dish_image/92376.png
Асаи боул клубничный,"255 г. Подается с тремя добавками на выбор грецкие орехи, банан, изюм, гранола, малина, лепестки обжаренного миндаля.",Завтраки,300 с,https://nambafood.kg/dish_image/92375.png
Асаи боул малиновый,"255 г. Подается с тремя добавками на выбор грецкие орехи, банан, изюм, гранола, малина, лепестки обжаренного миндаля.",Завтраки,300 с,https://nambafood.kg/dish_image/119878.png
Каша овсяная на молоке,,Каши,200 с,https://nambafood.kg/dish_image/87905.png
Мультизлаковая каша на молоке,,Каши,200 с,https://nambafood.kg/dish_image/87908.png
Мультизлаковая каша на миндальном молоке,,Каши,200 с,https://nambafood.kg/dish_image/87909.png
Рисовая каша на молоке,250 г,Каши,200 с,https://nambafood.kg/dish_image/87907.png
"Сырники с малиновым соусом, сметаной и цедрой апельсина",200 г,Сырники,270 с,https://nambafood.kg/dish_image/87911.png
Сырники из рикотты с цедрой апельсина,200 г,Сырники,270 с,https://nambafood.kg/dish_image/96055.png
Сырники из топленого творога,180 г. Ещё одна вариация сырников со сливочным вкусом топленого молока не оставит вас равнодушными! Такого вы точно не пробовали.,Сырники,230 с,https://nambafood.kg/dish_image/96054.png
Сырники из рикотты,200 г,Сырники,270 с,https://nambafood.kg/dish_image/118009.png
Блинчики домашние со сметаной,200 г,Блинчики,150 с,https://nambafood.kg/dish_image/88586.png
Фирменные блинчики с творогом,"240 г. Подается со сметаной и малиной, протертой с сахаром.",Блинчики,220 с,https://nambafood.kg/dish_image/87912.png
Блинчики «Легендарные» с шоколадом,"185 г. По неизменному рецепту блинчиков из меню первой шоколадницы 1964 года, с начинкой из шоколада, изюма и фундука.",Блинчики,240 с,https://nambafood.kg/dish_image/87913.png
Блинчики малиновые,"180 г. Со взбитыми сливками и малиной, протертой сахаром.",Блинчики,220 с,https://nambafood.kg/dish_image/93229.png
Блинчики с сулугуни и шпинатом,"210 г. С начинкой из сыра и зелени с добавлением песто, пармезана и крема балзамик.",Блинчики,240 с,https://nambafood.kg/dish_image/88591.png
Блинчики с мясом,"210 г. С сочным фаршем из говядины, подаются со сметаной.",Блинчики,250 с,https://nambafood.kg/dish_image/88615.png
Блинчики с курицей и сливочным соусом,220 г. С начинкой из куриного филе с шампиньонами и кремом из белых грибов.,Блинчики,250 с,https://nambafood.kg/dish_image/92466.png
"Оладьи с рикоттой, карамелизированным бананом и имбирным маслом","190 г. Пышные оладьи, пикантность которым придает ароматный имбирный соус.",Блинчики,250 с,https://nambafood.kg/dish_image/93227.png
Салат с тунцом-гриль,"185 г. Микс салатов айсберг, лолло россо, романо, руккола с филе тунца-гриль, редисом, помидорами черри, перепелиным яйцом и кунжутом. Готовим тунца методом быстрой прожарки степени raw с обеих сторон образуется слегка поджаренная корочка, а внутри остается сочным и нежным.",Салаты,350 с,https://nambafood.kg/dish_image/88857.png
