Наименование,Описание,Категория,Цена,Фото
Двойной эспрессо,,Кофе,140 с,https://nambafood.kg/dish_image/136368.png
Эспрессо,,Кофе,140 с,https://nambafood.kg/dish_image/136370.png
Макиато,,Кофе,140 с,https://nambafood.kg/dish_image/136492.png
Американо мягкий маленький,,Кофе,140 с,https://nambafood.kg/dish_image/136417.png
Американо крепкий маленький,,Кофе,140 с,https://nambafood.kg/dish_image/136412.png
Американо большой,,Кофе,160 с,https://nambafood.kg/dish_image/136413.png
Американо с молоком мягкий маленький,,Кофе,140 с,https://nambafood.kg/dish_image/136414.png
Американо с молоком крепкий маленький,,Кофе,140 с,https://nambafood.kg/dish_image/136415.png
Американо с молоком большой,,Кофе,160 с,https://nambafood.kg/dish_image/136416.png
Мокко мягкий маленький,,Кофе,140 с,https://nambafood.kg/dish_image/136493.png
Мокко крепкий маленький,,Кофе,140 с,https://nambafood.kg/dish_image/136494.png
Мокко большой,,Кофе,160 с,https://nambafood.kg/dish_image/136497.png
Капучино крепкий маленький,,Кофе,140 с,https://nambafood.kg/dish_image/136495.png
Капучино мягкий маленький,,Кофе,140 с,https://nambafood.kg/dish_image/136496.png
Капучино большой,,Кофе,160 с,https://nambafood.kg/dish_image/136498.png
Латте мягкий маленький,,Кофе,140 с,https://nambafood.kg/dish_image/136499.png
Латте крепкий маленький,,Кофе,140 с,https://nambafood.kg/dish_image/136500.png
Латте большой,,Кофе,160 с,https://nambafood.kg/dish_image/136377.png
Раф мягкий маленький,,Кофе,170 с,https://nambafood.kg/dish_image/136515.png
Раф крепкий маленький,,Кофе,170 с,https://nambafood.kg/dish_image/136516.png
Раф большой,,Кофе,190 с,https://nambafood.kg/dish_image/136517.png
Чайное латте маленький,,Кофе,120 с,https://nambafood.kg/dish_image/136501.png
Чайное латте большой,,Кофе,140 с,https://nambafood.kg/dish_image/136502.png
Матча латте маленький,,Кофе,140 с,https://nambafood.kg/dish_image/136504.png
Матча латте большой,,Кофе,160 с,https://nambafood.kg/dish_image/136505.png
Горячий шоколад черный маленький,,Кофе,140 с,https://nambafood.kg/dish_image/136629.png
Горячий шоколад черный большой,,Кофе,160 с,https://nambafood.kg/dish_image/136630.png
Горячий шоколад белый маленький,,Кофе,140 с,https://nambafood.kg/dish_image/136420.png
Горячий шоколад белый большой,,Кофе,160 с,https://nambafood.kg/dish_image/136421.png
Какао маленький,,Кофе,130 с,https://nambafood.kg/dish_image/136506.png
Какао большой,,Кофе,150 с,https://nambafood.kg/dish_image/136507.png
Ванильный,,Молочные коктейли,150 с,https://nambafood.kg/dish_image/136518.png
Вишневый,,Молочные коктейли,150 с,https://nambafood.kg/dish_image/136527.png
Молочный,,Молочные коктейли,150 с,https://nambafood.kg/dish_image/136528.png
Клубничный,,Молочные коктейли,150 с,https://nambafood.kg/dish_image/136521.png
С корицей,,Молочные коктейли,150 с,https://nambafood.kg/dish_image/136520.png
Кофейный,,Молочные коктейли,150 с,https://nambafood.kg/dish_image/136522.png
Малиновый,,Молочные коктейли,150 с,https://nambafood.kg/dish_image/136523.png
Медовый,,Молочные коктейли,150 с,https://nambafood.kg/dish_image/136519.png
Фруктовый,,Молочные коктейли,150 с,https://nambafood.kg/dish_image/136524.png
Шоколадный,,Молочные коктейли,150 с,https://nambafood.kg/dish_image/136631.png
Айс капучино,,Холодный кофе,160 с,https://nambafood.kg/dish_image/136559.png
Айс латте,,Холодный кофе,160 с,https://nambafood.kg/dish_image/136560.png
Айс американо,,Холодный кофе,160 с,https://nambafood.kg/dish_image/136509.png
Айс мокко,,Холодный кофе,160 с,https://nambafood.kg/dish_image/136510.png
Айс американо с молоком,,Холодный кофе,160 с,https://nambafood.kg/dish_image/136508.png
Фрапучино смузи,,Холодный кофе,170 с,https://nambafood.kg/dish_image/136529.png
Бенучи смузи,,Холодный кофе,170 с,https://nambafood.kg/dish_image/136530.png
Кокочино смузи,,Холодный кофе,170 с,https://nambafood.kg/dish_image/136531.png
Зеленая мелисса,,Холодный чай,120 с,https://nambafood.kg/dish_image/136385.png
Чай с бергамотом,,Холодный чай,120 с,https://nambafood.kg/dish_image/136386.png
Очарованное манго,,Холодный чай,120 с,https://nambafood.kg/dish_image/136387.png
Яблочный нектар,,Холодный чай,120 с,https://nambafood.kg/dish_image/136532.png
Апельсиновый рай,,Холодный чай,120 с,https://nambafood.kg/dish_image/136534.png
Тропический лес,,Холодный чай,120 с,https://nambafood.kg/dish_image/136533.png
Ледяной амаретто,,Холодный чай,120 с,https://nambafood.kg/dish_image/136565.png
Зеленый мандарин,,Холодный чай,120 с,https://nambafood.kg/dish_image/136566.png
Клубничное удовольствие,,Холодный чай,120 с,https://nambafood.kg/dish_image/136535.png
Мате грейпфрут,,Холодный чай,120 с,https://nambafood.kg/dish_image/136536.png
Летний букет,,Холодный чай,120 с,https://nambafood.kg/dish_image/136537.png
Фруктовый микс,,Холодный чай,120 с,https://nambafood.kg/dish_image/136538.png
Мятный чай,,Холодный чай,120 с,https://nambafood.kg/dish_image/136539.png
Сочная дыня,,Холодный чай,120 с,https://nambafood.kg/dish_image/136540.png
Спелый персик,,Холодный чай,120 с,https://nambafood.kg/dish_image/136541.png
Полезный киви,,Холодный чай,120 с,https://nambafood.kg/dish_image/136564.png
Голубая лагуна,,Холодный лимонад,140 с,https://nambafood.kg/dish_image/136388.png
Апельсиновый морс,,Холодный лимонад,120 с,https://nambafood.kg/dish_image/136557.png
Вишневый морс,,Холодный лимонад,120 с,https://nambafood.kg/dish_image/136542.png
Фруктовый морс,,Холодный лимонад,130 с,https://nambafood.kg/dish_image/136543.png
Клубничный лимонад,,Холодный лимонад,140 с,https://nambafood.kg/dish_image/136544.png
Малиновый лимонад,,Холодный лимонад,140 с,https://nambafood.kg/dish_image/136545.png
Имбирный лимонад,,Холодный лимонад,140 с,https://nambafood.kg/dish_image/136558.png
Банановый лимонад,,Холодный лимонад,140 с,https://nambafood.kg/dish_image/136547.png
Киви- коллинз,,Холодный лимонад,140 с,https://nambafood.kg/dish_image/136514.png
Мохито,,Холодный лимонад,140 с,https://nambafood.kg/dish_image/136555.png
Мятный лимонад,,Холодный лимонад,140 с,https://nambafood.kg/dish_image/136556.png
