Наименование,Описание,Категория,Цена,Фото
Яичница с колбасой,,Завтраки,60 с,https://nambafood.kg/dish_image/111969.png
Блины со сметаной,,Завтраки,20 с,https://nambafood.kg/dish_image/111952.png
Блины с творогом,,Завтраки,30 с,https://nambafood.kg/dish_image/111951.png
Сырник 1 шт,,Завтраки,40 с,https://nambafood.kg/dish_image/111682.png
Оладьи пышные,,Завтраки,25 с,https://nambafood.kg/dish_image/111681.png
Каша молочная манная,,Завтраки,60 с,https://nambafood.kg/dish_image/111959.png
Каша молочная гречневая,,Завтраки,60 с,https://nambafood.kg/dish_image/111955.png
Каша молочная овсяная,,Завтраки,60 с,https://nambafood.kg/dish_image/111962.png
Каша молочная пшенная,,Завтраки,60 с,https://nambafood.kg/dish_image/111964.png
Каша молочная рисовая,,Завтраки,60 с,https://nambafood.kg/dish_image/111966.png
Суп чечевичный,,Первые блюда,90 с,https://nambafood.kg/dish_image/111631.png
Солянка сборная мясная,,Первые блюда,115 с,https://nambafood.kg/dish_image/111611.png
Шорпо из говядины,,Первые блюда,200 с,https://nambafood.kg/dish_image/111633.png
Суп грибной,,Первые блюда,90 с,https://nambafood.kg/dish_image/111617.png
Суп с фрикадельками,,Первые блюда,90 с,https://nambafood.kg/dish_image/111980.png
Котлета мясная,Без гарнира,Вторые блюда,90 с,https://nambafood.kg/dish_image/139021.png
Бифштекс с яйцом,,Вторые блюда,110 с,https://nambafood.kg/dish_image/111634.png
Котлета куриная с овощами,,Вторые блюда,185 с,https://nambafood.kg/dish_image/112020.png
Жареный картофель с сосисками,,Вторые блюда,100 с,https://nambafood.kg/dish_image/139022.png
Котлета голландская,,Вторые блюда,130 с,https://nambafood.kg/dish_image/139042.png
Бризоль,,Вторые блюда,125 с,https://nambafood.kg/dish_image/111638.png
Запеканка охотничья,,Вторые блюда,130 с,https://nambafood.kg/dish_image/112010.png
Запеканка рыбная,,Вторые блюда,130 с,https://nambafood.kg/dish_image/112011.png
Запеканка с грибами и мясом,,Вторые блюда,130 с,https://nambafood.kg/dish_image/112012.png
Мясо с овощами,,Вторые блюда,180 с,https://nambafood.kg/dish_image/139030.png
Плов с мясом,,Вторые блюда,180 с,https://nambafood.kg/dish_image/111672.png
Плов с куриной ножкой,,Вторые блюда,160 с,https://nambafood.kg/dish_image/139038.png
Босо лагман,,Вторые блюда,160 с,https://nambafood.kg/dish_image/139039.png
Голубцы,,Вторые блюда,100 с,https://nambafood.kg/dish_image/139040.png
Окорочка запеченые порционные,,Вторые блюда,110 с,https://nambafood.kg/dish_image/111645.png
Измир кофте,,Вторые блюда,200 с,https://nambafood.kg/dish_image/111674.png
Печень жареная,,Вторые блюда,140 с,https://nambafood.kg/dish_image/139044.png
Окорочка жареная острая,,Вторые блюда,130 с,https://nambafood.kg/dish_image/139052.png
Курица с овощами,,Вторые блюда,150 с,https://nambafood.kg/dish_image/111642.png
Рыба жареная минтай,,Вторые блюда,80 с,https://nambafood.kg/dish_image/139037.png
Рыба запеченная форель,,Вторые блюда,140 с,https://nambafood.kg/dish_image/139036.png
Котлета куриная с чипсами,,Вторые блюда,120 с,https://nambafood.kg/dish_image/111656.png
Дапанжи порция,,Вторые блюда,200 с,https://nambafood.kg/dish_image/139041.png
Котлета шамси с сыром,,Вторые блюда,140 с,https://nambafood.kg/dish_image/139043.png
Куриное рагу с овощами,,Вторые блюда,160 с,https://nambafood.kg/dish_image/111661.png
Курица в горшочке,,Вторые блюда,170 с,https://nambafood.kg/dish_image/111662.png
Курица по-испански,,Вторые блюда,150 с,https://nambafood.kg/dish_image/139034.png
Курица по-княжески,,Вторые блюда,200 с,https://nambafood.kg/dish_image/139033.png
Курица по-тайски,,Вторые блюда,150 с,https://nambafood.kg/dish_image/139743.png
Курица под снегом,,Вторые блюда,170 с,https://nambafood.kg/dish_image/139029.png
Куурдак из говядины,,Вторые блюда,170 с,https://nambafood.kg/dish_image/139032.png
Куурдак из окорочков,,Вторые блюда,150 с,https://nambafood.kg/dish_image/139027.png
Куурдак из печени,,Вторые блюда,150 с,https://nambafood.kg/dish_image/139031.png
Мясо по-тайски,,Вторые блюда,150 с,https://nambafood.kg/dish_image/139035.png
Мясо по-французски с фаршем,,Вторые блюда,140 с,https://nambafood.kg/dish_image/114741.png
Фрикасе из курицы,,Вторые блюда,140 с,https://nambafood.kg/dish_image/115626.png
Чахобили,,Вторые блюда,130 с,https://nambafood.kg/dish_image/111647.png
Самсы с мясом,,Выпечка,60 с,https://nambafood.kg/dish_image/139744.png
Самсы с курицей,,Выпечка,60 с,https://nambafood.kg/dish_image/139745.png
Самсы с сыром и курицей,,Выпечка,60 с,https://nambafood.kg/dish_image/115638.png
Хошан с мясом,,Выпечка,45 с,https://nambafood.kg/dish_image/115643.png
Чебуреки с мясом,,Выпечка,35 с,https://nambafood.kg/dish_image/115648.png
Пирожки с капустой,,Выпечка,30 с,https://nambafood.kg/dish_image/139025.png
Пирожки с картофелем,,Выпечка,30 с,https://nambafood.kg/dish_image/139026.png
Салат винегрет,,Салаты,50 с,https://nambafood.kg/dish_image/139741.png
Салат витаминка,,Салаты,50 с,https://nambafood.kg/dish_image/139046.png
Салат грация,,Салаты,50 с,https://nambafood.kg/dish_image/139740.png
Салат морковный,,Салаты,50 с,https://nambafood.kg/dish_image/139047.png
Салат неаполь,,Салаты,60 с,https://nambafood.kg/dish_image/115665.png
Салат пекинский с майонезом,,Салаты,50 с,https://nambafood.kg/dish_image/139742.png
Салат с брокколи,,Салаты,80 с,https://nambafood.kg/dish_image/139049.png
Салат с красной капустой,,Салаты,50 с,https://nambafood.kg/dish_image/115670.png
Салат со спаржей,,Салаты,60 с,https://nambafood.kg/dish_image/139050.png
Салат оливье с колбасой,,Салаты,60 с,https://nambafood.kg/dish_image/139051.png
Салат крабовый,,Салаты,55 с,https://nambafood.kg/dish_image/115660.png
Ватрушки,,Десерты,32 с,https://nambafood.kg/dish_image/115682.png
Булочки с повидлом,,Десерты,25 с,https://nambafood.kg/dish_image/111713.png
Бисквит медовый,,Десерты,72 с,https://nambafood.kg/dish_image/139053.png
Бисквит творожный,,Десерты,70 с,https://nambafood.kg/dish_image/139054.png
Булочки со сгущенкой,,Десерты,32 с,https://nambafood.kg/dish_image/111716.png
Бисквит трюфельный,,Десерты,70 с,https://nambafood.kg/dish_image/139055.png
Бисквит изумруд,,Десерты,72 с,https://nambafood.kg/dish_image/139056.png
Красный бархат,,Десерты,70 с,https://nambafood.kg/dish_image/139058.png
Сочинские с творогом,,Десерты,42 с,https://nambafood.kg/dish_image/139057.png
Торт капучино,1 шт.,Десерты,145 с,https://nambafood.kg/dish_image/115695.png
Торт медовый,1 шт.,Десерты,80 с,https://nambafood.kg/dish_image/115696.png
Торт спартак,,Десерты,80 с,https://nambafood.kg/dish_image/111729.png
Рис гарнир,,Гарниры,45 с,https://nambafood.kg/dish_image/111685.png
Гречка гарнир,,Гарниры,45 с,https://nambafood.kg/dish_image/111686.png
Картофельное пюре,,Гарниры,45 с,https://nambafood.kg/dish_image/111687.png
Макароны гарнир,,Гарниры,45 с,https://nambafood.kg/dish_image/111688.png
