Наименование,Описание,Категория,Цена,Фото
Майда манты с картошкой 1 кг.,,Национальная кухня,360 с,https://nambafood.kg/dish_image/102170.png
Майда манты с джусаем и яйцом 1 кг.,,Национальная кухня,460 с,https://nambafood.kg/dish_image/102171.png
Большие манты с мясом,5 шт.,Национальная кухня,200 с,https://nambafood.kg/dish_image/102173.png
Большие манты с картошкой,5 шт.,Национальная кухня,150 с,https://nambafood.kg/dish_image/102175.png
Большие манты с мясом и с джусаем 5 шт.,,Национальная кухня,200 с,https://nambafood.kg/dish_image/137204.png
"Майда манты с картошкой 0,5 порция",,Национальная кухня,180 с,https://nambafood.kg/dish_image/137207.png
"Майда манты с джусаем 0,5 порция",,Национальная кухня,230 с,https://nambafood.kg/dish_image/137208.png
"Майда манты со шпинатом 0,5 порция",,Национальная кухня,230 с,https://nambafood.kg/dish_image/137209.png
Оромо с мясом с картошкой 1 шт.,,Оромо (до 13:00),70 с,https://nambafood.kg/dish_image/137205.png
Оромо с мясом и с джусаем 1 шт.,,Оромо (до 13:00),70 с,https://nambafood.kg/dish_image/137206.png
