Наименование,Описание,Категория,Цена,Фото
Гюро лагман с говядиной,,Фирменные блюда,195 с,https://nambafood.kg/dish_image/124996.png
Гюро лагман с курицей,,Фирменные блюда,180 с,https://nambafood.kg/dish_image/124997.png
Босо лагман с говядиной,,Фирменные блюда,205 с,https://nambafood.kg/dish_image/124998.png
Босо лагман с курицей,,Фирменные блюда,190 с,https://nambafood.kg/dish_image/124999.png
Казан кавап с курицей и рисом,,Фирменные блюда,205 с,https://nambafood.kg/dish_image/125000.png
Казан кавап с говядиной и рисом,,Фирменные блюда,225 с,https://nambafood.kg/dish_image/125001.png
Курица по-сычуаньски с рисом,,Фирменные блюда,280 с,https://nambafood.kg/dish_image/125002.png
Лазаро с рисом,,Фирменные блюда,210 с,https://nambafood.kg/dish_image/125003.png
Лазаро с лапшой,,Фирменные блюда,210 с,https://nambafood.kg/dish_image/125004.png
Лазыджи с рисом,,Фирменные блюда,205 с,https://nambafood.kg/dish_image/125005.png
Сантайро,,Фирменные блюда,220 с,https://nambafood.kg/dish_image/125006.png
Гюро ганфан с курицей,,Фирменные блюда,190 с,https://nambafood.kg/dish_image/125007.png
Гюро ганфан с говядиной,,Фирменные блюда,195 с,https://nambafood.kg/dish_image/125008.png
Мишоро с рисом,,Фирменные блюда,220 с,https://nambafood.kg/dish_image/125009.png
Мишоро с тесто,,Фирменные блюда,220 с,https://nambafood.kg/dish_image/125010.png
Баклажаны в кисло-сладком соусе,,Фирменные блюда,205 с,https://nambafood.kg/dish_image/125011.png
Стекляная фунчоза с говядиной,,Фирменные блюда,255 с,https://nambafood.kg/dish_image/125012.png
Соомян с говядиной,,Фирменные блюда,215 с,https://nambafood.kg/dish_image/125013.png
Соомян с курицей,,Фирменные блюда,205 с,https://nambafood.kg/dish_image/125014.png
Фри с говядиной,,Фирменные блюда,220 с,https://nambafood.kg/dish_image/125015.png
Фри с курицей,,Фирменные блюда,205 с,https://nambafood.kg/dish_image/125016.png
Рыба в кисло-сладком соусе с рисом,,Фирменные блюда,215 с,https://nambafood.kg/dish_image/125017.png
Хрустящая стручковая фасоль,,Фирменные блюда,225 с,https://nambafood.kg/dish_image/125018.png
Фунчоза сяй,,Фирменные блюда,205 с,https://nambafood.kg/dish_image/125019.png
Пельмени жареные с кетчупом,,Фирменные блюда,195 с,https://nambafood.kg/dish_image/125020.png
Рис,1 порция,Гарниры,55 с,https://nambafood.kg/dish_image/125022.png
Картофель фри,1 порция,Гарниры,85 с,https://nambafood.kg/dish_image/125023.png
Лепешка,1 кусок,Гарниры,6 с,https://nambafood.kg/dish_image/125024.png
Картофель по-деревенски,1 порция,Гарниры,90 с,https://nambafood.kg/dish_image/125025.png
Компот 1 л,,Напитки,110 с,https://nambafood.kg/dish_image/125026.png
Coca cola 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/125027.png
Fanta 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/125028.png
