Наименование,Описание,Категория,Цена,Фото
Салат Ассорти,"Капуста, морковка, перец болгарский 250 гр.",Салаты,105 с,https://nambafood.kg/dish_image/62554.png
Свежий с маслом,"Огурцы, помидор, зелень  250 гр.",Салаты,145 с,https://nambafood.kg/dish_image/62541.png
Свежий с майонезом,"Огурцы, помидор, зелень  250 гр.",Салаты,145 с,https://nambafood.kg/dish_image/62600.png
Морковный,200 гр.,Салаты,105 с,https://nambafood.kg/dish_image/62562.png
Винегрет,"Свекла, морковь, картошка, кваш.капуста   200 гр.",Салаты,105 с,https://nambafood.kg/dish_image/61938.png
Капустный с майонезом,250 гр.,Салаты,115 с,https://nambafood.kg/dish_image/62512.png
Капустный с маслом,250гр,Салаты,105 с,https://nambafood.kg/dish_image/62511.png
Шакарап,"Помидор, зелень, лук  250 гр.",Салаты,125 с,https://nambafood.kg/dish_image/62528.png
Оливье,"Картошка, морковка, огурцы соленые , мясо, яйцо  200 гр.",Салаты,155 с,https://nambafood.kg/dish_image/62555.png
Цезарь,350 гр.,Салаты,255 с,https://nambafood.kg/dish_image/62531.png
Греческий,"Свежие огурцы, помидоры, сыр фетакса, маслины, листья салата, масло оливковое",Салаты,245 с,https://nambafood.kg/dish_image/62553.png
Назик,"Филе копченой курицы, огурцы свежие, яйцо, сыр, майонез Махеев",Салаты,245 с,https://nambafood.kg/dish_image/62557.png
Баклажан острый,"Баклажан, огурцы, перец болгарский острый, кунжутный, соевый соус",Салаты,205 с,https://nambafood.kg/dish_image/62560.png
Китайский салат,320 гр.,Салаты,240 с,https://nambafood.kg/dish_image/83881.png
Салат из грибов,200 гр.,Салаты,205 с,https://nambafood.kg/dish_image/81435.png
Овощная нарезка,600 гр.,Салаты,225 с,https://nambafood.kg/dish_image/81436.png
Шорпо из говядины порция,450 гр,Супы,185 с,https://nambafood.kg/dish_image/62539.png
Шорпо из говядины 0.7,"0,7",Супы,155 с,https://nambafood.kg/dish_image/62540.png
Кесме по домашнему,400 гр.,Супы,165 с,https://nambafood.kg/dish_image/62538.png
Лагман гуйру,400 гр.,Супы,215 с,https://nambafood.kg/dish_image/62559.png
Лагман жидкий порция,500 гр.,Супы,195 с,https://nambafood.kg/dish_image/62524.png
Лагман жидкий 0.7,350гр,Супы,165 с,https://nambafood.kg/dish_image/76379.png
Борщ со сметаной,400 гр.,Супы,165 с,https://nambafood.kg/dish_image/62530.png
Мастава,400 гр.,Супы,165 с,https://nambafood.kg/dish_image/62537.png
Пельмени по домашнему,со сметаной,Супы,185 с,https://nambafood.kg/dish_image/62542.png
Бодоно шорпо,,Супы,225 с,https://nambafood.kg/dish_image/75227.png
Чечевичный суп,,Супы,155 с,https://nambafood.kg/dish_image/75229.png
Жаренные пельмени,,Вторые блюда,205 с,https://nambafood.kg/dish_image/62558.png
Ганфан,,Вторые блюда,195 с,https://nambafood.kg/dish_image/62536.png
Босо лагман,400 гр.,Вторые блюда,235 с,https://nambafood.kg/dish_image/62561.png
Плов с яйцом,Одна порция 400 гр.,Вторые блюда,205 с,https://nambafood.kg/dish_image/62567.png
Плов,Ташкентский лазер  400 гр.,Вторые блюда,185 с,https://nambafood.kg/dish_image/62543.png
Фрикассе,400гр,Вторые блюда,225 с,https://nambafood.kg/dish_image/63219.png
Бифштекс с гарниром на выбор,,Вторые блюда,235 с,https://nambafood.kg/dish_image/75226.png
Гуляш с гарниром,450 гр.,Вторые блюда,225 с,https://nambafood.kg/dish_image/81440.png
Котлеты с гарниром,2 шт.,Вторые блюда,205 с,https://nambafood.kg/dish_image/81441.png
Фрикасе,,Вторые блюда,225 с,https://nambafood.kg/dish_image/81442.png
Курица в тандыре,время приготовления 3 - 4 часа,Шашлыки,550 с,https://nambafood.kg/dish_image/62525.png
Фри,200 гр.,Гарниры,140 с,https://nambafood.kg/dish_image/62534.png
Рис,200 гр.,Гарниры,100 с,https://nambafood.kg/dish_image/61964.png
Пюре,,Гарниры,100 с,https://nambafood.kg/dish_image/75231.png
Сметана,100гр,Соусы,55 с,https://nambafood.kg/dish_image/61965.png
Майонез,50 гр.,Соусы,35 с,https://nambafood.kg/dish_image/81002.png
Кетчуп,50 гр.,Соусы,35 с,https://nambafood.kg/dish_image/61967.png
Приправа по домашнему,100 гр.,Соусы,55 с,https://nambafood.kg/dish_image/62570.png
Хлеб Ассорти,"Лепешка, Боорсок, Хлеб серый.",Мучные изделия,75 с,https://nambafood.kg/dish_image/61934.png
Самсы тандырные 1шт,,Мучные изделия,90 с,https://nambafood.kg/dish_image/62599.png
Свежая жареная форель,1 кг.,Блюда на заказ ( Время приготовления 2 часа ),1100 с,https://nambafood.kg/dish_image/62514.png
Самсы слоеные,1 шт.,Блюда на заказ ( Время приготовления 2 часа ),65 с,https://nambafood.kg/dish_image/75228.png
Плов 1кг,Ташкентский лазер  1 кг.,Блюда на заказ ( Время приготовления 2 часа ),1600 с,https://nambafood.kg/dish_image/62544.png
Куурдак 1кг с говядиной,с говядиной   1 кг.,Блюда на заказ ( Время приготовления 2 часа ),1600 с,https://nambafood.kg/dish_image/62564.png
Куурдак с бараниной 1кг,с бараниной   1 кг.,Блюда на заказ ( Время приготовления 2 часа ),1400 с,https://nambafood.kg/dish_image/62565.png
