Наименование,Описание,Категория,Цена,Фото
A2 Жареная цветная капуста,300 г,Фирменные блюда,380 с,https://nambafood.kg/dish_image/81183.png
A3 Бараньи ребра в чесночном соусе,400 г,Фирменные блюда,990 с,https://nambafood.kg/dish_image/81254.png
A5 Бараньи ребра с картошкой,800 г,Фирменные блюда,990 с,https://nambafood.kg/dish_image/81185.png
A6 Дан пан джи,800 г,Фирменные блюда,710 с,https://nambafood.kg/dish_image/81285.png
A8 Жареная баранья печень с луком,300 г,Фирменные блюда,410 с,https://nambafood.kg/dish_image/81188.png
А11 Жареная говядина с пампушкой,300 г,Фирменные блюда,430 с,https://nambafood.kg/dish_image/80828.png
А12 Жареная баранья печень с острым перцем,300 г,Фирменные блюда,410 с,https://nambafood.kg/dish_image/80500.png
А13 Жареная капуста,300 г,Фирменные блюда,300 с,https://nambafood.kg/dish_image/81286.png
А14 Жареный перец с баклажаном,300 г,Фирменные блюда,320 с,https://nambafood.kg/dish_image/81287.png
А15 Хрустящая курица в пряно-остром соусе,300 г,Фирменные блюда,580 с,https://nambafood.kg/dish_image/80829.png
A19 Хрустящие бараньи ребра,400 г,Фирменные блюда,990 с,https://nambafood.kg/dish_image/81263.png
B1 Вареная говядина в остром соусе,250 г,Холодные закуски,440 с,https://nambafood.kg/dish_image/81264.png
B3 Морская капуста в чесночном соусе,250 г,Холодные закуски,310 с,https://nambafood.kg/dish_image/80406.png
B4 Домашняя курица в пряно-остром соусе,250 г,Холодные закуски,890 с,https://nambafood.kg/dish_image/80507.png
B5 Черная фунчеза в кисло-остром соусе,250 г,Холодные закуски,320 с,https://nambafood.kg/dish_image/80410.png
B7 Огурцы в чесночном соусе,250 г,Холодные закуски,300 с,https://nambafood.kg/dish_image/80396.png
B8 Черные яйца с зеленым перцем,250 г,Холодные закуски,420 с,https://nambafood.kg/dish_image/80412.png
В10 Ароматная говядина,250 г,Холодные закуски,440 с,https://nambafood.kg/dish_image/80512.png
В11 Шпинат в имбирном соусе,250 г,Холодные закуски,320 с,https://nambafood.kg/dish_image/80403.png
B12 Золотые грибы со шпинатом,250 г,Холодные закуски,330 с,https://nambafood.kg/dish_image/80510.png
