Наименование,Описание,Категория,Цена,Фото
A3  Утиное мясо в чесночном соусе,260 г,Салаты,445 с,https://nambafood.kg/dish_image/65767.png
A6  Говядина с огурцами,300g,Салаты,445 с,https://nambafood.kg/dish_image/65768.png
A9 Говяжий язык,300g,Салаты,495 с,https://nambafood.kg/dish_image/65769.png
A12 Требуха в масле чили,300g,Салаты,420 с,https://nambafood.kg/dish_image/65770.png
A14 Черная фунчоза,300g,Салаты,375 с,https://nambafood.kg/dish_image/65772.png
A15	Черные грибы с луком,300g,Салаты,335 с,https://nambafood.kg/dish_image/65773.png
A18	Грибы «золотые нити» в остром соусе,200g,Салаты,375 с,https://nambafood.kg/dish_image/65774.png
A19 Шпинат с тонкими фунчозами,200g,Салаты,335 с,https://nambafood.kg/dish_image/65775.png
A21	 Шпинат в имбирно-соевом соусе,240 г,Салаты,335 с,https://nambafood.kg/dish_image/65777.png
A20 Шпинат с грибами,200g,Салаты,335 с,https://nambafood.kg/dish_image/65776.png
A25 Острая курица «Жомажи»,600g,Салаты,910 с,https://nambafood.kg/dish_image/65778.png
A26	Баклажаны в чесночном соусе,240g,Салаты,335 с,https://nambafood.kg/dish_image/65779.png
A27	 Огурцы в чесночном соусе,300g,Салаты,325 с,https://nambafood.kg/dish_image/65780.png
A29	Шпинат с арахисом,200g,Салаты,335 с,https://nambafood.kg/dish_image/65781.png
A32	Брокколи в чесночном соусе,260g,Салаты,345 с,https://nambafood.kg/dish_image/65782.png
A33 Огурцы с помидорами в соевом соусе,300g,Салаты,310 с,https://nambafood.kg/dish_image/65783.png
A34 Крахмал (Лянфэнь),260g,Салаты,275 с,https://nambafood.kg/dish_image/65784.png
A38 Спаржа с огурцами,300g,Салаты,330 с,https://nambafood.kg/dish_image/65785.png
A39 Холодный маш в соусе,260g,Салаты,275 с,https://nambafood.kg/dish_image/65786.png
A41	Холодный шинкованный картофель в соусе,260g,Салаты,275 с,https://nambafood.kg/dish_image/65788.png
B6  Кисло-острый суп с фунчезой,800 г,Супы,360 с,https://nambafood.kg/dish_image/65789.png
В1 Куриный бульон со сморчоками,1000 г,Супы,1980 с,https://nambafood.kg/dish_image/123820.png
B2 Китайский куриный суп с косточками,2000 г,Супы,1800 с,https://nambafood.kg/dish_image/123826.png
B3 Куриный бульон с грибами,2000 г,Супы,1880 с,https://nambafood.kg/dish_image/123827.png
B4 Куриный бульон с морскими гребешками и с бамбуковыми,2000 г,Супы,1800 с,https://nambafood.kg/dish_image/123828.png
В5 Куриный бульон с морским гребешками (порция),,Супы,450 с,https://nambafood.kg/dish_image/123829.png
В10 Суп с яйцом и морскими водорослями,800 г,Супы,305 с,https://nambafood.kg/dish_image/123830.png
B11 Суп с помидорами и яйцом,800 г,Супы,305 с,https://nambafood.kg/dish_image/123831.png
C4 Говядина соломкой в рыбном соусе,300 г,Говядина,465 с,https://nambafood.kg/dish_image/65794.png
С5 Домашняя жареная говядина,300 г,Говядина,465 с,https://nambafood.kg/dish_image/65795.png
C6 Жареная говядина с джусаем,300 г,Говядина,465 с,https://nambafood.kg/dish_image/65796.png
C7 Говядина соломкой с острым перцем,300 г,Говядина,480 с,https://nambafood.kg/dish_image/65797.png
C9 Говядина в кисло-сладком соусе,300 г,Говядина,455 с,https://nambafood.kg/dish_image/65799.png
C8 Говядина с грибами,300 г,Говядина,475 с,https://nambafood.kg/dish_image/65798.png
C10	Говядина в кисло-остром соусе,300 г,Говядина,455 с,https://nambafood.kg/dish_image/65817.png
C11 Говядина с сельдереем,300 г,Говядина,455 с,https://nambafood.kg/dish_image/65801.png
C12 Говядина с бамбуком,300 г,Говядина,475 с,https://nambafood.kg/dish_image/65802.png
C13 Говядина с овощами в соусе чили,350 г,Говядина,565 с,https://nambafood.kg/dish_image/65803.png
C14 Говядина с овощами,300 г,Говядина,465 с,https://nambafood.kg/dish_image/65804.png
C15	Говядина с чесночными стрелками,300 г,Говядина,475 с,https://nambafood.kg/dish_image/65805.png
C16 Говядина со спаржей,300 г,Говядина,465 с,https://nambafood.kg/dish_image/65806.png
C17 Говядина с черными грибами,300 г,Говядина,465 с,https://nambafood.kg/dish_image/65807.png
C18 Говядина на жаровне,300 г,Говядина,465 с,https://nambafood.kg/dish_image/65808.png
C21 Жареные кусочки говядины с перцем и пампушками,300 г,Говядина,575 с,https://nambafood.kg/dish_image/65809.png
C22	Говядина в самоваре,350 г,Говядина,665 с,https://nambafood.kg/dish_image/65810.png
C23	Смешанная говядина,400 г,Говядина,565 с,https://nambafood.kg/dish_image/65811.png
C24 Сушеный соевый творог с говядиной,300 г,Говядина,455 с,https://nambafood.kg/dish_image/65812.png
C26 Говядина с капустой и фунчозой,400 г,Говядина,535 с,https://nambafood.kg/dish_image/65813.png
C27 Жареная говяжая требуха,300 г,Говядина,495 с,https://nambafood.kg/dish_image/65814.png
C30 Говядина нарезанная соломкой с перцем,300 г,Говядина,455 с,https://nambafood.kg/dish_image/65815.png
C31 Голубцы с перцем по-китайски,300 г,Говядина,575 с,https://nambafood.kg/dish_image/65816.png
D2 Жареные бараньи ребра,500 г.,Баранина,1020 с,https://nambafood.kg/dish_image/65818.png
D3 Ребра баранины в самоваре,500 г,Баранина,1020 с,https://nambafood.kg/dish_image/65819.png
