Наименование,Описание,Категория,Цена,Фото
B3 Говядина с огурцами,300 г,Салаты,455 с,https://nambafood.kg/dish_image/65904.png
B4 Ароматная говядина,300 г,Салаты,505 с,https://nambafood.kg/dish_image/65905.png
B5 Острая курица «Жомажи»,600 г,Салаты,905 с,https://nambafood.kg/dish_image/65906.png
B6 Говяжий язык,300 г,Салаты,505 с,https://nambafood.kg/dish_image/65907.png
B8 Куриный желудок,300 г,Салаты,455 с,https://nambafood.kg/dish_image/65908.png
B10 Грибы «Золотые нити» в остром соусе,300 г,Салаты,365 с,https://nambafood.kg/dish_image/65909.png
B11 Сухожилия в кисло-остром соусе,300 г,Салаты,455 с,https://nambafood.kg/dish_image/65910.png
B12 Черное яйцо с перцем,300 г,Салаты,445 с,https://nambafood.kg/dish_image/65911.png
B13 Черные грибы с луком,300 г,Салаты,395 с,https://nambafood.kg/dish_image/65912.png
B14 Шпинат с грибами,300 г,Салаты,365 с,https://nambafood.kg/dish_image/65913.png
B15 Морская капуста в кисло-остром соусе,300 г,Салаты,345 с,https://nambafood.kg/dish_image/65914.png
B16 Баклажаны в чесночном соусе,300 г,Салаты,375 с,https://nambafood.kg/dish_image/65915.png
B17 Требуха в соевом соусе,300 г,Салаты,425 с,https://nambafood.kg/dish_image/65916.png
B18 Огурцы в чесночном соусе,300 г,Салаты,335 с,https://nambafood.kg/dish_image/65917.png
B19 Шпинат в имбирно-соевом соусе,300 г,Салаты,355 с,https://nambafood.kg/dish_image/65918.png
B20 Огурцы с помидорами в соевом соусе,300 г,Салаты,335 с,https://nambafood.kg/dish_image/65919.png
B22 Жареный арахис,300 г,Салаты,365 с,https://nambafood.kg/dish_image/65920.png
B23 Жареная мойва,300 г,Салаты,445 с,https://nambafood.kg/dish_image/65921.png
B24 Брокколи в чесночном соусе,300 г,Салаты,395 с,https://nambafood.kg/dish_image/65922.png
B26 Черная фунчоза,300 г,Салаты,385 с,https://nambafood.kg/dish_image/65923.png
B27 Крахмал,300 г,Салаты,315 с,https://nambafood.kg/dish_image/65924.png
B28 Курица ломтиками,600 г,Салаты,905 с,https://nambafood.kg/dish_image/65925.png
B29 Пидан тофу,300 г,Салаты,445 с,https://nambafood.kg/dish_image/65926.png
B31 Спаржа с огурцами,300 г,Салаты,365 с,https://nambafood.kg/dish_image/65927.png
B32 Черные и белые грибы,300 г,Салаты,465 с,https://nambafood.kg/dish_image/65929.png
B34 Цыпленок на пару под соусом,600 г,Салаты,855 с,https://nambafood.kg/dish_image/65930.png
"B35 Шпинат, капуста и морковь с майонезом",300 г,Салаты,365 с,https://nambafood.kg/dish_image/65931.png
B36 Черные грибы в соевом соусе,300 г,Салаты,395 с,https://nambafood.kg/dish_image/65932.png
B37 Шпинат с тонкой фунчозой,300 г,Салаты,355 с,https://nambafood.kg/dish_image/65933.png
B38 Холодный марш в соусе,300 г,Салаты,315 с,https://nambafood.kg/dish_image/65934.png
B43 Говядина в соусе «Ганбан»,300 г,Салаты,575 с,https://nambafood.kg/dish_image/65935.png
B45 Спаржа с кунжутным маслом в остром соусе,300 г,Салаты,365 с,https://nambafood.kg/dish_image/65936.png
H2 Кисло-острый суп,800 г,Супы,355 с,https://nambafood.kg/dish_image/65937.png
H3 Суп с овощами,800 г,Супы,355 с,https://nambafood.kg/dish_image/65938.png
H4 Суп с овощами и тофу,800 г,Супы,345 с,https://nambafood.kg/dish_image/65939.png
H5 Суп с яичными и морскими водорослями,800 г,Супы,365 с,https://nambafood.kg/dish_image/65940.png
H6 Суп с помидорами и яйцами,800 г,Супы,335 с,https://nambafood.kg/dish_image/65941.png
H7 Кукурузный суп,800 г,Супы,335 с,https://nambafood.kg/dish_image/65942.png
H8 Суп с говяжьим фаршем и яйцом,800 г,Супы,375 с,https://nambafood.kg/dish_image/65943.png
Н9 Суп с фрикадельками,,Супы,1005 с,https://nambafood.kg/dish_image/123825.png
C1 Говядина в рыбном соусе,300 г,Говядина,465 с,https://nambafood.kg/dish_image/65944.png
C2 Говядина с бамбуками,300 г,Говядина,475 с,https://nambafood.kg/dish_image/65945.png
C3 Говядина с сельдереем,300 г,Говядина,455 с,https://nambafood.kg/dish_image/65946.png
C4 Сушеный соевый творог с говядиной,300 г,Говядина,455 с,https://nambafood.kg/dish_image/65947.png
C5 Говядина соломкой с острым перцем,300 г,Говядина,485 с,https://nambafood.kg/dish_image/65948.png
C7 Говядина нарезанная соломкой с перцем,300 г,Говядина,455 с,https://nambafood.kg/dish_image/65950.png
C9 Говядина на жаровне,300 г,Говядина,445 с,https://nambafood.kg/dish_image/65951.png
C10 Говядина со стрелками чеснока,300 г,Говядина,455 с,https://nambafood.kg/dish_image/65952.png
C11 Говядина со спаржей,300 г,Говядина,445 с,https://nambafood.kg/dish_image/65953.png
C12 Говядина с блинчиками,300 г,Говядина,465 с,https://nambafood.kg/dish_image/65954.png
C13 Говядина с черными грибами,300 г,Говядина,465 с,https://nambafood.kg/dish_image/65955.png
C14 Говядина с капустой и фунчозой,300 г,Говядина,505 с,https://nambafood.kg/dish_image/65956.png
C15 Смешанная говядина,400 г,Говядина,565 с,https://nambafood.kg/dish_image/65957.png
C17 Домашная жареная говядина,300 г,Говядина,445 с,https://nambafood.kg/dish_image/65958.png
C18 Жареные кусочки говядины с перцем и с пампушками,300 г,Говядина,585 с,https://nambafood.kg/dish_image/65959.png
C19 Говядина в самоваре,300 г,Говядина,565 с,https://nambafood.kg/dish_image/65960.png
C20 Кишки говядины на жаровне,300 г,Говядина,455 с,https://nambafood.kg/dish_image/65961.png
C21 Говядина с ананасом,300 г,Говядина,465 с,https://nambafood.kg/dish_image/65962.png
C22 Говядина с картошкой,300 г,Говядина,445 с,https://nambafood.kg/dish_image/65963.png
C24 Говяжьи кишки в самоваре,300 г,Говядина,455 с,https://nambafood.kg/dish_image/65964.png
C25 Говядина с овощами,300 г,Говядина,445 с,https://nambafood.kg/dish_image/65965.png
K3 Китайские блинчики с говядиной,300 г,Говядина,475 с,https://nambafood.kg/dish_image/65966.png
K11 Жареная говядина с жусаем,300 г,Говядина,465 с,https://nambafood.kg/dish_image/65967.png
K12 Говядина в пряно-остром соусе,400 г,Говядина,605 с,https://nambafood.kg/dish_image/65968.png
D1 Жареная баранина с луком,300 г,Баранина,455 с,https://nambafood.kg/dish_image/65969.png
D2 Жареная баранина с перцем,300 г,Баранина,455 с,https://nambafood.kg/dish_image/65970.png
D3 Ребрышки баранины с ароматом чеснока,400 г,Баранина,1005 с,https://nambafood.kg/dish_image/65971.png
D4 Шашлык из баранины,300 г,Баранина,485 с,https://nambafood.kg/dish_image/65972.png
D5 Ребрышки баранины с перцем,500 г,Баранина,1005 с,https://nambafood.kg/dish_image/65973.png
D6 Баранина в кисло-сладком соусе,300 г,Баранина,445 с,https://nambafood.kg/dish_image/65974.png
D7 Тушеные ребра баранины,300 г,Баранина,1005 с,https://nambafood.kg/dish_image/65975.png
D8 Баранина на жаровне,300 г,Баранина,455 с,https://nambafood.kg/dish_image/65976.png
D9 Жареная баранина с блинчиками,300 г,Баранина,465 с,https://nambafood.kg/dish_image/65977.png
D10 Баранина с нарезанными перцами,300 г,Баранина,455 с,https://nambafood.kg/dish_image/65978.png
D11 Целые перцы с бараниной,300 г,Баранина,455 с,https://nambafood.kg/dish_image/65979.png
D12 Баранина с капустой и фунчозой,300 г,Баранина,505 с,https://nambafood.kg/dish_image/65980.png
F12 Дапанжы из баранины,700 г,Баранина,1005 с,https://nambafood.kg/dish_image/65981.png
A0 Кусочки жареной рыбы в кисло-сладком соусе,300 г,Морепродукты,445 с,https://nambafood.kg/dish_image/65982.png
A1 Жареная «Рыба-белка»в кисло-сладком соусе,600 г,Морепродукты,905 с,https://nambafood.kg/dish_image/65983.png
A3 Жареная «Рыба-белка» в кисло-остром соусе,600 г,Морепродукты,905 с,https://nambafood.kg/dish_image/66652.png
A10 Рыба в кисло-остром соусе,300 г,Морепродукты,445 с,https://nambafood.kg/dish_image/66651.png
A9 Рыба на жаровне,300 г,Морепродукты,445 с,https://nambafood.kg/dish_image/65984.png
E3 Хрустящие креветки с арахисом и сухим перцем,300 г,Морепродукты,1815 с,https://nambafood.kg/dish_image/65985.png
E4 Приготовленный на пару свежая рыба,По весу за 1 кг,Морепродукты,980 с,https://nambafood.kg/dish_image/65986.png
E5 Хрустящая свежая рыба в кисло-сладком соусу,По весу за 1 кг,Морепродукты,980 с,https://nambafood.kg/dish_image/65987.png
E6 Креветки с кальмарами в самоваре,300 г,Морепродукты,1695 с,https://nambafood.kg/dish_image/65988.png
E7 Кальмары на жаровне,300 г,Морепродукты,905 с,https://nambafood.kg/dish_image/65989.png
E8 Жареные кальмары с брокколи,300 г,Морепродукты,905 с,https://nambafood.kg/dish_image/65990.png
E9 Хрустящая рыба,300 г,Морепродукты,445 с,https://nambafood.kg/dish_image/65991.png
E10 Креветки в самоваре,300 г,Морепродукты,1580 с,https://nambafood.kg/dish_image/65992.png
E11 Тушеная целиком рыба в коричневом соевом соусе,По весу за 1 кг,Морепродукты,980 с,https://nambafood.kg/dish_image/65993.png
E12 Ракушки с фунчозой и чесноком,10 шт.,Морепродукты,1595 с,https://nambafood.kg/dish_image/65998.png
E13 Осьминог с пикулями,300 г,Морепродукты,1595 с,https://nambafood.kg/dish_image/65994.png
E14 Осьминог с перцем,300 г,Морепродукты,1595 с,https://nambafood.kg/dish_image/65995.png
E16 Ароматизированная жареная рыба,По весу за 1 кг.,Морепродукты,980 с,https://nambafood.kg/dish_image/65996.png
K14 Свежая рыба в чесночном соусе,По весу за 1 кг,Морепродукты,980 с,https://nambafood.kg/dish_image/65997.png
A7 Острая курица в самоваре,600 г,Птица,905 с,https://nambafood.kg/dish_image/65999.png
F1 Курица на шпажках,300 г,Птица,465 с,https://nambafood.kg/dish_image/66001.png
F2 Курица по-гунбао,300 г,Птица,445 с,https://nambafood.kg/dish_image/66002.png
F3 Курица с перцем,300 г,Птица,445 с,https://nambafood.kg/dish_image/66003.png
F4 Курица с кешью,300 г,Птица,585 с,https://nambafood.kg/dish_image/66004.png
F5 Курица с цветной капустой,300 г,Птица,465 с,https://nambafood.kg/dish_image/66005.png
F6 Курица на жаровне,300 г,Птица,445 с,https://nambafood.kg/dish_image/66006.png
F7 Жареные куриные крылышки с ароматом чеснока,10 шт.,Птица,905 с,https://nambafood.kg/dish_image/66007.png
F8 Курица в кисло-сладком соусе,300 г,Птица,445 с,https://nambafood.kg/dish_image/66008.png
F9 Курица в кисло-остром соусе,300 г,Птица,445 с,https://nambafood.kg/dish_image/66009.png
F10 Курица с грибами,300 г,Птица,455 с,https://nambafood.kg/dish_image/66010.png
F11 Утиная грудка с брокколи,300 г,Птица,545 с,https://nambafood.kg/dish_image/66011.png
F13 Жареное куриное филе с ароматом чеснока,300 г,Птица,475 с,https://nambafood.kg/dish_image/66012.png
F14 Дапанжы с курицей,800 г,Птица,795 с,https://nambafood.kg/dish_image/66013.png
F15 Острая курица с перцем,300 г,Птица,675 с,https://nambafood.kg/dish_image/66014.png
F16 Курица в самоваре,300 г,Птица,605 с,https://nambafood.kg/dish_image/66015.png
F19 Курица с грибами «Cянгу»,300 г,Птица,705 с,https://nambafood.kg/dish_image/66016.png
"F20 Куриные крылышки, запеченные в соли",10 шт.,Птица,525 с,https://nambafood.kg/dish_image/66018.png
K8 Жареная курица с косточками,300 г,Птица,705 с,https://nambafood.kg/dish_image/66020.png
K13 Филе курицы с сухим перцем,300 г,Птица,525 с,https://nambafood.kg/dish_image/66021.png
G1 Жареные баклажаны в соевом соусе,300 г,Овощные блюда,365 с,https://nambafood.kg/dish_image/66022.png
G2 Картошка в самоваре,300 г,Овощные блюда,355 с,https://nambafood.kg/dish_image/66023.png
G4 Тофу на жаровне,300 г,Овощные блюда,365 с,https://nambafood.kg/dish_image/66025.png
G5 Жареный маш с жусаем,300 г,Овощные блюда,355 с,https://nambafood.kg/dish_image/66026.png
G6 Жареный жусай с пластинками из соевого творога,300 г,Овощные блюда,365 с,https://nambafood.kg/dish_image/66027.png
G7 Жареные креветки с жусаем,300 г,Овощные блюда,1195 с,https://nambafood.kg/dish_image/66028.png
G8 Жареные баклажаны с фасолью,300 г,Овощные блюда,425 с,https://nambafood.kg/dish_image/66029.png
G9 Жареный перец с яйцом,300 г,Овощные блюда,425 с,https://nambafood.kg/dish_image/66030.png
G10 Тофу по домашнему,300 г,Овощные блюда,365 с,https://nambafood.kg/dish_image/66031.png
G11 Жареная цветная капуста,300 г,Овощные блюда,405 с,https://nambafood.kg/dish_image/66032.png
G12 Кисло-острый жареный картофель тонкой соломкой,300 г,Овощные блюда,315 с,https://nambafood.kg/dish_image/66033.png
G13 Жареные брокколи с чесноком,300 г,Овощные блюда,395 с,https://nambafood.kg/dish_image/66034.png
G14 Жареный помидор с яйцом,300 г,Овощные блюда,355 с,https://nambafood.kg/dish_image/66035.png
G15 Жареные жусай с яйцом,300 г,Овощные блюда,365 с,https://nambafood.kg/dish_image/66036.png
G16 Жареные грибы в кляре,200 г,Овощные блюда,375 с,https://nambafood.kg/dish_image/66037.png
G17 Сушеный соевый творог с сельдереем,300 г,Овощные блюда,375 с,https://nambafood.kg/dish_image/66038.png
G18 Жареный шпинат с чесноком,300 г,Овощные блюда,355 с,https://nambafood.kg/dish_image/66039.png
G19 Жареная фасоль,300 г,Овощные блюда,435 с,https://nambafood.kg/dish_image/66040.png
G20 Цветная капуста в самоваре,300 г,Овощные блюда,405 с,https://nambafood.kg/dish_image/66041.png
G21 Жареный бамбук с перцем,300 г,Овощные блюда,375 с,https://nambafood.kg/dish_image/66042.png
G22 Жареная капуста с перцем,300 г,Овощные блюда,315 с,https://nambafood.kg/dish_image/66043.png
G23 Тофу в остром соусе,300 г,Овощные блюда,355 с,https://nambafood.kg/dish_image/66044.png
G24 Жареный баклажан с перцем,300 г,Овощные блюда,395 с,https://nambafood.kg/dish_image/66045.png
G25 Жареные древесные грибы с луком,300 г,Овощные блюда,365 с,https://nambafood.kg/dish_image/66046.png
G26 «Превосходный» творог из яйца,300 г,Овощные блюда,375 с,https://nambafood.kg/dish_image/66047.png
K17 Фунчоза на жаровне,300 г,Овощные блюда,385 с,https://nambafood.kg/dish_image/66048.png
K1 Жареная сладкая тыква,300 г,Овощные блюда,465 с,https://nambafood.kg/dish_image/66049.png
B47 Пельмени с говядиной,20 шт.,Гарниры,335 с,https://nambafood.kg/dish_image/66050.png
B48 Пельмени с бараниной,20 шт.,Гарниры,335 с,https://nambafood.kg/dish_image/66051.png
B50 Пельмени с жусаем и яйцом,20 шт.,Гарниры,335 с,https://nambafood.kg/dish_image/66052.png
I1 Жареный рис с морепродуктами,300 г,Гарниры,275 с,https://nambafood.kg/dish_image/66053.png
I2 Жареный рис с яйцом,300 г,Гарниры,155 с,https://nambafood.kg/dish_image/66054.png
I3 Жареный рис с колбасой,300 г,Гарниры,155 с,https://nambafood.kg/dish_image/66055.png
J2 Картофель фри,300 г,Гарниры,155 с,https://nambafood.kg/dish_image/66056.png
I4 Лепешка,1 шт.,Гарниры,40 с,https://nambafood.kg/dish_image/66057.png
J1 Пампушка,1 шт.,Гарниры,50 с,https://nambafood.kg/dish_image/66058.png
I5 Рис,1 ч,Гарниры,60 с,https://nambafood.kg/dish_image/66059.png
Соки в ассортименте,1 л.,Напитки,150 с,https://nambafood.kg/dish_image/66060.png
Coca Cola 1 л.,1 л.,Напитки,120 с,https://nambafood.kg/dish_image/66061.png
Fanta 1 л.,1 л.,Напитки,120 с,https://nambafood.kg/dish_image/66062.png
Sprite 1 л.,1 л.,Напитки,120 с,https://nambafood.kg/dish_image/66063.png
Bonaqua с газом 1 л,,Напитки,70 с,https://nambafood.kg/dish_image/140705.png
Bonaqua без газа 1 л,,Напитки,70 с,https://nambafood.kg/dish_image/140706.png
