Наименование,Описание,Категория,Цена,Фото
A2 Утиное мясо в чесночном соусе,260 г,Салаты,450 с,https://nambafood.kg/dish_image/81401.png
A4 Ароматная говядина,200 г,Салаты,495 с,https://nambafood.kg/dish_image/66071.png
A5 Говядина с огурцами,300 г,Салаты,455 с,https://nambafood.kg/dish_image/66072.png
A6  Морская капуста,300 г,Салаты,350 с,https://nambafood.kg/dish_image/66081.png
A7 Шинкованные бычьи легкие с говядиной,300 г,Салаты,515 с,https://nambafood.kg/dish_image/131335.png
A8 Говяжий язык,300 г,Салаты,455 с,https://nambafood.kg/dish_image/66073.png
A9 Требуха в масле чили,300 г,Салаты,420 с,https://nambafood.kg/dish_image/66082.png
A10 Черная фунчоза,300 г,Салаты,345 с,https://nambafood.kg/dish_image/66093.png
A11 Черные грибы с луком,300 г,Салаты,345 с,https://nambafood.kg/dish_image/66078.png
A12 Черное яйцо с перцем,200 г,Салаты,420 с,https://nambafood.kg/dish_image/66077.png
A13 Черные грибы в остром соусе,300 г,Салаты,365 с,https://nambafood.kg/dish_image/83777.png
A14  Грибы «Золотые нити» в остром соусе,200 г,Салаты,345 с,https://nambafood.kg/dish_image/66080.png
A15 Шпинат с тонкой фунчозой,200 г,Салаты,335 с,https://nambafood.kg/dish_image/66099.png
A16 Шпинат с грибами,200 г,Салаты,345 с,https://nambafood.kg/dish_image/66079.png
A17 Шпинат в имбирно-соевом соусе,240 г,Салаты,335 с,https://nambafood.kg/dish_image/66083.png
A20	Цыпленок на пару под соусом,300 г,Салаты,495 с,https://nambafood.kg/dish_image/81784.png
A21 Острая курица «Жомажи»,600 г,Салаты,920 с,https://nambafood.kg/dish_image/66069.png
A22  Баклажаны в чесночном соусе,240 г,Салаты,345 с,https://nambafood.kg/dish_image/66084.png
A23 Огурцы в чесночном соусе,300 г,Салаты,310 с,https://nambafood.kg/dish_image/66085.png
A24 Шпинат с арахисом,200 г,Салаты,335 с,https://nambafood.kg/dish_image/81785.png
A27 Брокколи в чесночном соусе,260 г,Салаты,335 с,https://nambafood.kg/dish_image/66092.png
A28 Огурцы с помидорами в соевом соусе,300 г,Салаты,315 с,https://nambafood.kg/dish_image/66086.png
A29 Крахмал «Лянфэнь»,260 г,Салаты,290 с,https://nambafood.kg/dish_image/66094.png
A33  Спаржа с огурцами,300 г,Салаты,345 с,https://nambafood.kg/dish_image/66096.png
A34 Холодный маш в соусе,260 г,Салаты,275 с,https://nambafood.kg/dish_image/66097.png
