Наименование,Описание,Категория,Цена,Фото
Восточный,"Говядина отварная, овощи чеснок, заправляется соевом соусе",Салаты,220 с,https://nambafood.kg/dish_image/139732.png
Японский,"Говядина, лист салата, овощи ческнок, соевой соус",Салаты,230 с,https://nambafood.kg/dish_image/139705.png
Греческий,"Салат микс,черри огурцы, перец, маслины, оливки, сыр кремлите,заправляется греческом соусе",Салаты,230 с,https://nambafood.kg/dish_image/139729.png
Теплый салат с курицей,"Микс салат, курица, овощи, соус цитрусовый",Салаты,240 с,https://nambafood.kg/dish_image/139727.png
Баклажаны в кисладком соусе,"Баклажаны обжаренные, черри, соус кисло-сладкий",Салаты,230 с,https://nambafood.kg/dish_image/139733.png
Салат от шефа,"Руккола, кабачки, баклажаны, черри, сыр крелятте, семечки",Салаты,240 с,https://nambafood.kg/dish_image/139706.png
Свежий,"Огурцы, помидоры, лук, зелень",Салаты,130 с,https://nambafood.kg/dish_image/139707.png
Шакарап,"Помидор, лук, зелень",Салаты,120 с,https://nambafood.kg/dish_image/139708.png
Чучвара по домашнему,Домашние пельмени собственного приготовления в бульоне,Первые блюда,150 с,https://nambafood.kg/dish_image/139912.png
Мастава,Мясной рисовый суп с овощами,Первые блюда,150 с,https://nambafood.kg/dish_image/139919.png
Мампар особый,"Говядина, картофель, морковь, помидоры тесто",Первые блюда,150 с,https://nambafood.kg/dish_image/139921.png
Шорпо,"Говядина, овощи",Первые блюда,160 с,https://nambafood.kg/dish_image/139923.png
Суп-лапша с курицей,"Куриный бульон, домашняя лапша курица",Первые блюда,150 с,https://nambafood.kg/dish_image/139925.png
Чечевичный крем суп,"Чечевица, лимон, крутоны",Первые блюда,160 с,https://nambafood.kg/dish_image/139927.png
Лагман жидкий,"Сяй, говядина с овощами, лапша ручного изготовления",Вторые блюда,220 с,https://nambafood.kg/dish_image/139709.png
Ганфан,"Сяй, говядина с овощами, рис",Вторые блюда,220 с,https://nambafood.kg/dish_image/139722.png
Манты с мясом,6 шт.,Вторые блюда,200 с,https://nambafood.kg/dish_image/139723.png
Манты с тыквой,6 шт.,Вторые блюда,180 с,https://nambafood.kg/dish_image/139724.png
Дымляма в горошочке,Тушенная говядина с овощами,Вторые блюда,230 с,https://nambafood.kg/dish_image/139725.png
Раяна,Бонфиле с картошкой и помидорами,Вторые блюда,300 с,https://nambafood.kg/dish_image/139932.png
Баранья рулька,Баранья голень с пюре,Вторые блюда,450 с,https://nambafood.kg/dish_image/139735.png
Цыпленок табака,Свежеприготовленный цыпленок под пресом со специями),Вторые блюда,450 с,https://nambafood.kg/dish_image/139726.png
Мясо по-казахски,"Говядина, тонко раскатанное тесто",Вторые блюда,230 с,https://nambafood.kg/dish_image/139721.png
Плов Самаркандский 1 кг.,"Рис лазер, марковь, говядина, нут, изюм",Блюда на заказ ( Время приготовления 2 часа ),1500 с,https://nambafood.kg/dish_image/139935.png
Шашлык ассорти,"2 кг, шашлык баранина, шашлык говядина, шашлык крылышки, кебаб, крылышки барбекью, шашлык ферганский, овощи на углях, рис",Блюда на заказ ( Время приготовления 2 часа ),2000 с,https://nambafood.kg/dish_image/139734.png
Фри,,Гарниры,80 с,https://nambafood.kg/dish_image/139910.png
Рис,,Гарниры,60 с,https://nambafood.kg/dish_image/139915.png
Пюре,,Гарниры,60 с,https://nambafood.kg/dish_image/139917.png
Овощи на углях,,Гарниры,150 с,https://nambafood.kg/dish_image/139930.png
Сельдь по-русски,,Закуски,250 с,https://nambafood.kg/dish_image/139714.png
Помидоры собственного приготовления,,Закуски,200 с,https://nambafood.kg/dish_image/139711.png
Ассорти свежих овощей,,Закуски,300 с,https://nambafood.kg/dish_image/139710.png
Лепешка,,Выпечка,25 с,https://nambafood.kg/dish_image/139712.png
Самсы по восточному,,Выпечка,70 с,https://nambafood.kg/dish_image/139713.png
Хачапури по аджарски,,Выпечка,259 с,https://nambafood.kg/dish_image/139716.png
Боорсок,200 г,Выпечка,60 с,https://nambafood.kg/dish_image/139715.png
Бургер от шефа,,Fast food,200 с,https://nambafood.kg/dish_image/139717.png
Клаб сэндвич,,Fast food,200 с,https://nambafood.kg/dish_image/139731.png
Шаурма на углях,"говядина, капуста, помидор, огурцы, фри, соус",Fast food,160 с,https://nambafood.kg/dish_image/139718.png
Шоколадный фондан,,Десерты,170 с,https://nambafood.kg/dish_image/139719.png
Чизкейк классический,,Десерты,170 с,https://nambafood.kg/dish_image/139720.png
Coca-Cola 1 л,,Напитки,120 с,https://nambafood.kg/dish_image/139736.png
Fanta 1 л,,Напитки,120 с,https://nambafood.kg/dish_image/139737.png
Sprite 1 л,,Напитки,120 с,https://nambafood.kg/dish_image/139738.png
Компот 1 л,,Напитки,120 с,https://nambafood.kg/dish_image/139739.png
