Наименование,Описание,Категория,Цена,Фото
Каттама с луком,,Выпечка - только по предзаказу,200 с,https://nambafood.kg/dish_image/104308.png
Каттама с сыром,,Выпечка - только по предзаказу,200 с,https://nambafood.kg/dish_image/104309.png
Каттама со шпинатом,,Выпечка - только по предзаказу,200 с,https://nambafood.kg/dish_image/104311.png
Каттама с черносливом и орехами,,Выпечка - только по предзаказу,200 с,https://nambafood.kg/dish_image/104312.png
Каттама классическая,,Выпечка - только по предзаказу,150 с,https://nambafood.kg/dish_image/104313.png
Боорсоки классические 1 кг.,,Выпечка - только по предзаказу,200 с,https://nambafood.kg/dish_image/104314.png
Боорсоки круглые 1 кг.,,Выпечка - только по предзаказу,240 с,https://nambafood.kg/dish_image/104315.png
Боорсоки рифленые 1 кг.,,Выпечка - только по предзаказу,240 с,https://nambafood.kg/dish_image/104316.png
Самсы с мясом 1 шт.,,Выпечка - только по предзаказу,40 с,https://nambafood.kg/dish_image/104317.png
Пирамида 8 ярусов,,Выпечка - только по предзаказу,290 с,https://nambafood.kg/dish_image/104320.png
Мини кексы 1 шт.,,Выпечка - только по предзаказу,20 с,https://nambafood.kg/dish_image/116889.png
Лочира 1 шт.,,Выпечка - только по предзаказу,100 с,https://nambafood.kg/dish_image/116890.png
