Наименование,Описание,Категория,Цена,Фото
Салат капустный с маслом,,Салаты,50 с,https://nambafood.kg/dish_image/98709.png
Салат капустный с майонезом,,Салаты,50 с,https://nambafood.kg/dish_image/98710.png
Салат капустный со сметаной,,Салаты,50 с,https://nambafood.kg/dish_image/98711.png
Салат морковный,,Салаты,50 с,https://nambafood.kg/dish_image/98712.png
Салат свекольный с маслом,,Салаты,60 с,https://nambafood.kg/dish_image/98713.png
Салат свекольный с майонезом,,Салаты,60 с,https://nambafood.kg/dish_image/98714.png
Салат свекольный со сметаной,,Салаты,60 с,https://nambafood.kg/dish_image/98715.png
Салат «Витаминка»,,Салаты,85 с,https://nambafood.kg/dish_image/101833.png
Шакарап с маслом,,Салаты,90 с,https://nambafood.kg/dish_image/47914.png
Шакарап с майонезом,,Салаты,90 с,https://nambafood.kg/dish_image/98716.png
Шакарап со сметаной,,Салаты,90 с,https://nambafood.kg/dish_image/98717.png
Свежий салат с маслом,,Салаты,90 с,https://nambafood.kg/dish_image/98718.png
Салат свежий с майонезом,,Салаты,90 с,https://nambafood.kg/dish_image/98719.png
Салат свежий со сметаной,,Салаты,90 с,https://nambafood.kg/dish_image/98720.png
Оливье,,Салаты,120 с,https://nambafood.kg/dish_image/47837.png
Греческий салат,,Салаты,140 с,https://nambafood.kg/dish_image/98722.png
Восточный салат,,Салаты,150 с,https://nambafood.kg/dish_image/98721.png
Цезарь с курицей,,Салаты,200 с,https://nambafood.kg/dish_image/127273.png
Каша рисовая,,Завтраки,70 с,https://nambafood.kg/dish_image/58049.png
Каша гречневая,,Завтраки,70 с,https://nambafood.kg/dish_image/116645.png
Каша овсяная,,Завтраки,70 с,https://nambafood.kg/dish_image/58052.png
Сырники,3 шт.,Завтраки,70 с,https://nambafood.kg/dish_image/98723.png
Блины с мясом,2 шт.,Завтраки,70 с,https://nambafood.kg/dish_image/48032.png
Блины с творогом,2 шт.,Завтраки,60 с,https://nambafood.kg/dish_image/48033.png
Блины со сметаной,3 шт.,Завтраки,50 с,https://nambafood.kg/dish_image/47816.png
Яичница,,Завтраки,50 с,https://nambafood.kg/dish_image/98724.png
Омлет с грибами,,Завтраки,70 с,https://nambafood.kg/dish_image/58053.png
Омлет с овощами,,Завтраки,70 с,https://nambafood.kg/dish_image/58054.png
Сметана,50 гр.,Завтраки,40 с,https://nambafood.kg/dish_image/101834.png
Джусай тухум,,Завтраки,120 с,https://nambafood.kg/dish_image/58055.png
Жареные сосиски,2 шт.,Завтраки,70 с,https://nambafood.kg/dish_image/98725.png
Вареники со сметаной,,Завтраки,110 с,https://nambafood.kg/dish_image/127274.png
Чечевичный суп,,Первые блюда,120 с,https://nambafood.kg/dish_image/47852.png
Рассольник,порция,Первые блюда,130 с,https://nambafood.kg/dish_image/98726.png
Борщ,порция,Первые блюда,130 с,https://nambafood.kg/dish_image/47817.png
Пельмени,порция,Первые блюда,140 с,https://nambafood.kg/dish_image/116646.png
Мампар,,Первые блюда,150 с,https://nambafood.kg/dish_image/47881.png
Мастава,,Первые блюда,150 с,https://nambafood.kg/dish_image/47883.png
Суп лапша из курицы,,Первые блюда,120 с,https://nambafood.kg/dish_image/116647.png
Суп с фрикадельками,,Первые блюда,140 с,https://nambafood.kg/dish_image/47907.png
Чучвара,,Первые блюда,160 с,https://nambafood.kg/dish_image/47913.png
Солянка сборная,,Первые блюда,160 с,https://nambafood.kg/dish_image/47902.png
Шорпо из баранины,,Первые блюда,175 с,https://nambafood.kg/dish_image/47915.png
Шорпо из говядины,,Первые блюда,175 с,https://nambafood.kg/dish_image/116648.png
Окрошка,порция,Первые блюда,130 с,https://nambafood.kg/dish_image/47836.png
Сантавро,,Первые блюда,180 с,https://nambafood.kg/dish_image/130476.png
Самсы с мясом,1 шт.,Мучные изделия,50 с,https://nambafood.kg/dish_image/47845.png
Самсы с курицей,1 шт.,Мучные изделия,50 с,https://nambafood.kg/dish_image/47846.png
Самсы с курицей и сыром,,Мучные изделия,50 с,https://nambafood.kg/dish_image/98727.png
Беляши,,Мучные изделия,40 с,https://nambafood.kg/dish_image/98728.png
Пирожки с капустой,,Мучные изделия,25 с,https://nambafood.kg/dish_image/98729.png
Пирожки с картошкой,,Мучные изделия,25 с,https://nambafood.kg/dish_image/102723.png
Пирожки печеные с капустой,,Мучные изделия,30 с,https://nambafood.kg/dish_image/98730.png
Хошаны,,Мучные изделия,50 с,https://nambafood.kg/dish_image/98731.png
