Наименование,Описание,Категория,Цена,Фото
Свежий салат,200 г,Салаты,250 с,https://nambafood.kg/dish_image/48383.png
Салат яичный,200 г,Салаты,250 с,https://nambafood.kg/dish_image/48398.png
Китайский салат,200 г,Салаты,280 с,https://nambafood.kg/dish_image/48350.png
Цезарь с курицей,200 г,Салаты,300 с,https://nambafood.kg/dish_image/38982.png
Оливье,200 г,Салаты,250 с,https://nambafood.kg/dish_image/48361.png
Греческий салат,200 г,Салаты,280 с,https://nambafood.kg/dish_image/48340.png
Баклажаны в кисло-сладком соусе,300 г,Салаты,320 с,https://nambafood.kg/dish_image/125228.png
Салат «Густо»,300 г,Салаты,250 с,https://nambafood.kg/dish_image/125230.png
Фасолевый салат,285 г,Салаты,180 с,https://nambafood.kg/dish_image/125232.png
Эзме,200 г,Салаты,250 с,https://nambafood.kg/dish_image/125238.png
Чобан салат,200 г,Салаты,250 с,https://nambafood.kg/dish_image/125234.png
Свекольный салат со шпинатом,200 г,Салаты,260 с,https://nambafood.kg/dish_image/125236.png
Окунь с брокколи,300 г,Салаты,290 с,https://nambafood.kg/dish_image/125242.png
Мангал салат,200 г,Салаты,250 с,https://nambafood.kg/dish_image/124510.png
Жажык,200 г,Салаты,180 с,https://nambafood.kg/dish_image/48344.png
Хайдари,150 г,Салаты,180 с,https://nambafood.kg/dish_image/48389.png
Хумус,150 г,Салаты,180 с,https://nambafood.kg/dish_image/125244.png
Келле пача,250 г,Супы и завтраки,220 с,https://nambafood.kg/dish_image/48349.png
"Яйла 0,7",150 г,Супы и завтраки,150 с,https://nambafood.kg/dish_image/48399.png
Яйла,250 г,Супы и завтраки,180 с,https://nambafood.kg/dish_image/48400.png
Ишкембе,250 г,Супы и завтраки,220 с,https://nambafood.kg/dish_image/125245.png
"Чечевичный суп 0,7",160 г,Супы и завтраки,150 с,https://nambafood.kg/dish_image/48391.png
Чечевичный суп,250 г,Супы и завтраки,180 с,https://nambafood.kg/dish_image/48392.png
Менемен,200 г,Супы и завтраки,220 с,https://nambafood.kg/dish_image/48358.png
Турецкий завтрак на 1 персону,300 г,Супы и завтраки,300 с,https://nambafood.kg/dish_image/126551.png
Турецкий завтрак на 2 персоны,400 г,Супы и завтраки,590 с,https://nambafood.kg/dish_image/126553.png
