Наименование,Описание,Категория,Цена,Фото
Закусочный сет,"Килька соленая, скумбрия, килька в томате,",Холодные  закуски,1500 с,https://nambafood.kg/dish_image/142563.png
Овощная нарезка,,Холодные  закуски,550 с,https://nambafood.kg/dish_image/142351.png
Хумус классический с тостами,150 г,Холодные  закуски,310 с,https://nambafood.kg/dish_image/125043.png
Фаршмак копченный,,Холодные  закуски,270 с,https://nambafood.kg/dish_image/141993.png
Рулетики из баклажана и цукини с крем-чизом и помидором,,Холодные  закуски,310 с,https://nambafood.kg/dish_image/141994.png
Паштет из куриной печени,500 г. Луковым конфитюрами и хрустящим багетом.,Холодные  закуски,260 с,https://nambafood.kg/dish_image/124679.png
Мясное изобилие,"500 г. Бастурма из говядины, отварной язык, куриный рулет, шпигованная говядина, ростбиф, чесночный соус.",Холодные  закуски,1100 с,https://nambafood.kg/dish_image/132988.png
Ассорти соленых овощей домашнего приготовления,"600 г. Капуста квашенная, соленый помидоры, корнишоны, маслины, оливки, перец болгарский соленый, шампиньоны маринованные, патиссоны",Холодные  закуски,450 с,https://nambafood.kg/dish_image/141995.png
Тар-тар из тунца на рисовых чипсах,180 гр.,Холодные  закуски,450 с,https://nambafood.kg/dish_image/132939.png
Буженина томленная,350 гр.,Холодные  закуски,660 с,https://nambafood.kg/dish_image/132943.png
Сало крученное с чесноком и зеленью,250 гр.,Холодные  закуски,290 с,https://nambafood.kg/dish_image/132949.png
Ассорти сала,"500 гр. С зеленым луком ,горчицей ,хреном и чесночными гренками",Холодные  закуски,690 с,https://nambafood.kg/dish_image/132945.png
Рыбное ассорти,"450 гр. Форель, семга, скумбрия, красная икра и крем-чиз",Холодные  закуски,1100 с,https://nambafood.kg/dish_image/132953.png
Сельдь по-русски с картофельными клиньями,350 гр.,Холодные  закуски,340 с,https://nambafood.kg/dish_image/132955.png
Сет под водочку,"Мини-брускеты с сельдью, с творожным сыром и спелыми томатами, фаршмак, соленья, молодой картофель, сало картофель, сало копченое",Холодные  закуски,370 с,https://nambafood.kg/dish_image/142572.png
Ассорти из закусочных бутербродов,,Холодные  закуски,360 с,https://nambafood.kg/dish_image/142573.png
Домашнее взбитое масло с луком фри и белым салом,250 гр.,Холодные  закуски,250 с,https://nambafood.kg/dish_image/132951.png
Закуска под вино,"Куриная пастурма, ростбиф, виноград, микс орехов, цукаты, оливки, каперсы, сыр пармезан, сыр маасдам, сыр чеддер, гриссини",Холодные  закуски,920 с,https://nambafood.kg/dish_image/142564.png
Брускетта с ростбифом,2 шт,Закуски на хлебе,320 с,https://nambafood.kg/dish_image/124688.png
Брускетта с семгой,2 шт,Закуски на хлебе,360 с,https://nambafood.kg/dish_image/101188.png
Брускетта с томатами,2 шт,Закуски на хлебе,220 с,https://nambafood.kg/dish_image/101187.png
Тост с сыром страчателла и клубникой,,Закуски на хлебе,340 с,https://nambafood.kg/dish_image/142343.png
"Тост с тамбовским окороком, яйцом пашот и соусом гуакамоле",,Закуски на хлебе,180 с,https://nambafood.kg/dish_image/142344.png
Тост с творожным сыром и спелыми томатами,,Закуски на хлебе,220 с,https://nambafood.kg/dish_image/142352.png
Клаб сендвич с говядиной,300 г,Горячие закуски,480 с,https://nambafood.kg/dish_image/101137.png
Клаб сендвич с курицей,300 г,Горячие закуски,360 с,https://nambafood.kg/dish_image/80718.png
Жульен с морепродуктами,,Горячие закуски,890 с,https://nambafood.kg/dish_image/132992.png
Пивной сет,"Чесночные гренки, домашнего приготовления наггетсы ,куриные крылышки, жаренные пельмешки,2 соуса",Горячие закуски,680 с,https://nambafood.kg/dish_image/132918.png
Мойва в кляре ореховом,300 г.,Горячие закуски,390 с,https://nambafood.kg/dish_image/132920.png
Сосиски из свинины на гриле,3 шт. Подаются с квашенной капустой  и горчицей,Горячие закуски,510 с,https://nambafood.kg/dish_image/132963.png
Язык в сливочном соусе,,Горячие закуски,380 с,https://nambafood.kg/dish_image/132985.png
Сет сосисок на гриле,"говядина, баранина, курица",Горячие закуски,980 с,https://nambafood.kg/dish_image/132916.png
Жульен из курицы и грибов,300 г. С ароматной золотистой корочкой.,Горячие закуски,390 с,https://nambafood.kg/dish_image/101200.png
"Паппарделле со взбитым шпинатом, креветками и сыром страчателла",,Горячие закуски,680 с,https://nambafood.kg/dish_image/142574.png
Запеченный халуми с медово-горчичным халуми,,Горячие закуски,330 с,https://nambafood.kg/dish_image/142575.png
Запеченый халуми с медово-горчичным соусом,,Горячие закуски,330 с,https://nambafood.kg/dish_image/142571.png
Салат с запеченным халуми,"В сочетании свежей зелени, печенного перца, граната и красного лука",Салаты,310 с,https://nambafood.kg/dish_image/141983.png
Сельдь под шубой,300 г,Салаты,310 с,https://nambafood.kg/dish_image/80694.png
Греческий,,Салаты,340 с,https://nambafood.kg/dish_image/132926.png
Винегрет,300 г,Салаты,290 с,https://nambafood.kg/dish_image/132974.png
Оливье с курицей,250 г,Салаты,270 с,https://nambafood.kg/dish_image/95395.png
Оливье с языком,250 г,Салаты,290 с,https://nambafood.kg/dish_image/95397.png
Оливье с докторской колбасой,,Салаты,260 с,https://nambafood.kg/dish_image/141985.png
Оливье с семгой и креветками,250 г,Салаты,390 с,https://nambafood.kg/dish_image/101151.png
Салат из запеченной свеклы,"300 г. Салат из запеченной свеклы с рукколой, сыром страчателла и консервированными персиками",Салаты,340 с,https://nambafood.kg/dish_image/142342.png
Теплый салат с запеченной семгой и цитрусовой заправкой,,Салаты,420 с,https://nambafood.kg/dish_image/141986.png
Нежная Моцарелла,"300 г. Нежная Моцарелла со спелыми томатами, соусом песто и фисташками.",Салаты,390 с,https://nambafood.kg/dish_image/101168.png
Салат с ростбифом и клубникой,300 г,Салаты,410 с,https://nambafood.kg/dish_image/142338.png
"Салат со спелыми томатами, авокадо и сыром страчателла",В сочетании шпинатного мусса,Салаты,450 с,https://nambafood.kg/dish_image/141987.png
