Наименование,Описание,Категория,Цена,Фото
Сельдь по-русски,"300 гр. Селедка, картошка, огурцы маринованные, лук репчатый.",Салаты и закуски,240 с,https://nambafood.kg/dish_image/22190.png
Погребок,"300 гр. Черри, корнишоны, патиссоны, квашеная капуста.",Салаты и закуски,240 с,https://nambafood.kg/dish_image/22184.png
Салат Цунами,"200 гр. Курица, грибы вешенки, яйцо, огурцы соленые, сыр голландский, майонез.",Салаты и закуски,310 с,https://nambafood.kg/dish_image/70966.png
Оливье,"200 гр. Картошка, морковь, колбаса халал, яйцо, горошек, майонез.",Салаты и закуски,240 с,https://nambafood.kg/dish_image/25482.png
Китайский салат,"300 гр. Язык говяжий, огурцы, болгарский перец, репчатый лук, чесной, соевый соус.",Салаты и закуски,260 с,https://nambafood.kg/dish_image/112459.png
Греческий салат,"300 гр. Свежие помидоры, огурцы, болгарский перец, сыр фетакса, оливки, листья салата, лимонный сок.",Салаты и закуски,210 с,https://nambafood.kg/dish_image/22183.png
Кавказская нарезка,"300 гр. Свежие помидоры, огурцы, брынза, болгарский перец, зелень.",Салаты и закуски,180 с,https://nambafood.kg/dish_image/22191.png
Шакарап,"200 гр. Свежие помидоры, болгарский перец, репчатый лук.",Салаты и закуски,170 с,https://nambafood.kg/dish_image/22180.png
Баклажан с кунжутом,"200 гр. Баклажан, говядина, перец болгарский, помидоры, кунжут, зелень, специи.",Салаты и закуски,260 с,https://nambafood.kg/dish_image/112463.png
Сельдь под шубой,"200 гр. Селедка, картофель, морковь, свекла, яйцо, майонез.",Салаты и закуски,190 с,https://nambafood.kg/dish_image/112460.png
Солнышко,"200 гр. Копченые окорочка, крабовые палочки, шампиньоны, свежие огурцы, яйцо, маслины, чипсы и специи.",Салаты и закуски,310 с,https://nambafood.kg/dish_image/112468.png
Салат «Мечта»‎‎,"300 гр. Окорочка, свежие помидоры, листья салата, чеснок, уксус яблочный, масло растительное, шампиньоны, черный перец.",Салаты и закуски,270 с,https://nambafood.kg/dish_image/112467.png
Салат «Мексиканский»‎‎,"300 гр. Шпинат, говядина, свежие помидоры, перец красный, лук репчатый, соус табаско, кетчуп, чеснок, масло растительное.",Салаты и закуски,310 с,https://nambafood.kg/dish_image/112462.png
Свежий салат по-домашнему,"300 гр. Свежие помидоры, огурцы, лук, оливковое масло, майонез, сметана.",Салаты и закуски,180 с,https://nambafood.kg/dish_image/22182.png
Салат «Витаминка»‎‎,"300 гр. Свежая капуста, свекла, морковь, зелень, репчатый лук, зеленое яблоко, оливковое масло, яблочный уксус.",Салаты и закуски,160 с,https://nambafood.kg/dish_image/52077.png
Салат морковный,"300 гр. Морковь, свежие огурцы, зелень.",Салаты и закуски,110 с,https://nambafood.kg/dish_image/70967.png
Цезарь с креветкой,250 гр.,Салаты и закуски,390 с,https://nambafood.kg/dish_image/52076.png
Цезарь с курицей,250 гр.,Салаты и закуски,330 с,https://nambafood.kg/dish_image/52075.png
Шашлык стейк из баранины,300 гр.,Шашлыки,360 с,https://nambafood.kg/dish_image/22168.png
Мякоть из баранины,200 гр.,Шашлыки,300 с,https://nambafood.kg/dish_image/22165.png
Бон-филе говядина,200 гр.,Шашлыки,300 с,https://nambafood.kg/dish_image/22166.png
"Семечки ""Бараньи ребрышки""",300 гр.,Шашлыки,310 с,https://nambafood.kg/dish_image/67780.png
Люля кебаб,200 гр,Шашлыки,250 с,https://nambafood.kg/dish_image/22167.png
Шашлык куриные крылышки,300 гр.,Шашлыки,210 с,https://nambafood.kg/dish_image/22164.png
Шашлык печень в шубе,200 гр.,Шашлыки,210 с,https://nambafood.kg/dish_image/22163.png
Шашлык из шампиньонов,1 п.,Шашлыки,200 с,https://nambafood.kg/dish_image/52089.png
Шашлык окорочка,300 гр.,Шашлыки,190 с,https://nambafood.kg/dish_image/22162.png
Овощной шашлык,1 п.,Шашлыки,160 с,https://nambafood.kg/dish_image/52090.png
Форель на решетке с овощами (цена за 100гр),цена за 100 гр. (1 порц. около 500 гр и выше).,Шашлыки,120 с,https://nambafood.kg/dish_image/25483.png
Колбаски на решетке из баранины,1 порция,Шашлыки,540 с,https://nambafood.kg/dish_image/67897.png
Колбаски на решетке из говядины,1 порция,Шашлыки,540 с,https://nambafood.kg/dish_image/67895.png
Колбаски на решетке из курицы,1 порция,Шашлыки,560 с,https://nambafood.kg/dish_image/67896.png
Картофель фри,200 гр.,Гарниры,110 с,https://nambafood.kg/dish_image/22178.png
Крокеты,200 гр.,Гарниры,110 с,https://nambafood.kg/dish_image/22177.png
Смайлики,6 шт.,Гарниры,90 с,https://nambafood.kg/dish_image/22176.png
Дольки со специями,200 гр.,Гарниры,140 с,https://nambafood.kg/dish_image/67784.png
Блинчики со сметаной,3 шт.,Гарниры,90 с,https://nambafood.kg/dish_image/25478.png
Блинчики со сгущенкой,3 шт.,Гарниры,90 с,https://nambafood.kg/dish_image/25479.png
Отварной рис,,Гарниры,80 с,https://nambafood.kg/dish_image/67785.png
Маринад Шашлык стейк из баранины 1 палочка,300 г,Маринады,360 с,https://nambafood.kg/dish_image/141470.png
Маринад мякоть из баранины 1 палочка,200 г,Маринады,300 с,https://nambafood.kg/dish_image/141471.png
Маринад бон-филе говядина 1 палочка,200 г,Маринады,300 с,https://nambafood.kg/dish_image/141472.png
Маринад люля кебаб 1 палочка,200 г,Маринады,250 с,https://nambafood.kg/dish_image/141473.png
Маринад куриные крылышки 1 палочка,300 г,Маринады,210 с,https://nambafood.kg/dish_image/141474.png
Маринад окорочка 1 палочка,300 г,Маринады,190 с,https://nambafood.kg/dish_image/141475.png
Соус Соццабели,30 гр.,Соусы,40 с,https://nambafood.kg/dish_image/25904.png
Чесночный соус,50 гр.,Соусы,40 с,https://nambafood.kg/dish_image/25905.png
Сырный соус,30 гр.,Соусы,40 с,https://nambafood.kg/dish_image/25908.png
Кетчуп,30 гр.,Соусы,20 с,https://nambafood.kg/dish_image/25906.png
Майонез,30 гр.,Соусы,20 с,https://nambafood.kg/dish_image/25907.png
Хачапури по-аджарски,1 п.,Мучные изделия,320 с,https://nambafood.kg/dish_image/112466.png
Хачапури по-грузински,1 п.,Мучные изделия,300 с,https://nambafood.kg/dish_image/70971.png
Серый хлеб,1 п.,Мучные изделия,15 с,https://nambafood.kg/dish_image/52078.png
Лепешка,1 шт.,Мучные изделия,40 с,https://nambafood.kg/dish_image/25909.png
Хычины с картошкой и сыром,1 п.,Мучные изделия,150 с,https://nambafood.kg/dish_image/52081.png
Хычины с сыром и зеленью,1 п.,Мучные изделия,150 с,https://nambafood.kg/dish_image/52082.png
Боорсоки порция,,Мучные изделия,60 с,https://nambafood.kg/dish_image/70972.png
Сок натуральный J7,1 литр,Напитки,150 с,https://nambafood.kg/dish_image/22174.png
Сок натуральный Грация,1 литр,Напитки,150 с,https://nambafood.kg/dish_image/52083.png
Coca-Cola 1 л,,Напитки,120 с,https://nambafood.kg/dish_image/140445.png
Fanta 1 л,,Напитки,120 с,https://nambafood.kg/dish_image/140446.png
Sprite 1 л,,Напитки,120 с,https://nambafood.kg/dish_image/140447.png
Боржоми,"0,5 литр",Напитки,120 с,https://nambafood.kg/dish_image/140448.png
Минеральная вода BonAqua (без газа),1 литр,Напитки,50 с,https://nambafood.kg/dish_image/52043.png
Минеральная вода BonAqua (с газом),1 литр,Напитки,50 с,https://nambafood.kg/dish_image/52044.png
Компот,1 л.,Напитки,100 с,https://nambafood.kg/dish_image/25910.png
Лещ,100 г,К пиву,70 с,https://nambafood.kg/dish_image/25912.png
