Наименование,Описание,Категория,Цена,Фото
Каша рисовая с яблоками,,Завтраки (готовят до 11:00),130 с,https://nambafood.kg/dish_image/144586.png
Каша манная с бананами,,Завтраки (готовят до 11:00),130 с,https://nambafood.kg/dish_image/144291.png
Английский завтрак,"Сосиски, сырники и куриные яйца",Завтраки (готовят до 11:00),170 с,https://nambafood.kg/dish_image/144585.png
Сырники,,Завтраки (готовят до 11:00),150 с,https://nambafood.kg/dish_image/144587.png
Блинчики со сгущенкой,2 шт.,Завтраки (готовят до 11:00),90 с,https://nambafood.kg/dish_image/144588.png
Блинчкик со сметаной,3 шт.,Завтраки (готовят до 11:00),90 с,https://nambafood.kg/dish_image/144589.png
Мясное ассорти,"400 г. Рулет из курицы, рулет из баранины, телятина шпигованная и говяжий язык",Блюда на заказ,1000 с,https://nambafood.kg/dish_image/144590.png
Рыбное ассорти,"300 г. Эсколар, семга копченая и икра. Нежный бархатистый вкус рыбы с оттенками солоноватости",Блюда на заказ,950 с,https://nambafood.kg/dish_image/144591.png
Казы,150 г,Блюда на заказ,490 с,https://nambafood.kg/dish_image/144592.png
Плов 1 кг,"Рис лазер, говядина и морковь",Блюда на заказ,1800 с,https://nambafood.kg/dish_image/144696.png
Пирожок 1 кг,"Бараньи рёбра, картофель и лук",Блюда на заказ,2200 с,https://nambafood.kg/dish_image/144697.png
Дапанжи 1 кг,"Курица, картошка, полу горький перец и лапша",Блюда на заказ,1500 с,https://nambafood.kg/dish_image/144698.png
Фирменный салат «ZOR»‎‎,"Грибы, вареный язык, перец, шпинат, морковь и специи",Салаты,300 с,https://nambafood.kg/dish_image/144593.png
Цезарь с креветками,Свежие листья салата с перепелиными яйцами с добавлением айсберга и креветок под соусом цезарь,Салаты,380 с,https://nambafood.kg/dish_image/144295.png
Цезарь с семгой,"Свежие листья салата с соленой семгой, под соусом цезарь и с добавлением айсберга",Салаты,360 с,https://nambafood.kg/dish_image/144296.png
Цезарь с курицей,Свежие листья салата с нежным куриным филе и хрустящими домашними сухариками под соусом цезарь и с сыром пармезан,Салаты,320 с,https://nambafood.kg/dish_image/144594.png
Руккола с креветками,"Листья салата, руккола с апельсином, киви и креветок",Салаты,330 с,https://nambafood.kg/dish_image/144595.png
Фаршированные баклажаны,Нежный говяжий фарш с баклажанами под соусом «Арой»‎‎,Салаты,350 с,https://nambafood.kg/dish_image/144596.png
Салат из баклажанов,"Помидор, кинза, перец полу горький и говядина",Салаты,250 с,https://nambafood.kg/dish_image/144597.png
Хрустящая семга,"Семга свежая, шпинат, лист салата, яйцо и цитрусовый дрессинг",Салаты,350 с,https://nambafood.kg/dish_image/144598.png
Гнездо глухаря,"Отварная телятина, огурцы, яйцо, кукуруза и картофель пай",Салаты,250 с,https://nambafood.kg/dish_image/144374.png
Фунчеза с овощами (теплый),"Фунчеза темная, говядина, овощи, лапиза и соевый соус",Салаты,380 с,https://nambafood.kg/dish_image/144599.png
Салат «Жаза»‎‎,"Говяжий фарш, омлет и соевый соус",Салаты,340 с,https://nambafood.kg/dish_image/144600.png
Восточный,"Филе телятины со свежими огурцами и томатами, заправленные соевым соусом",Салаты,250 с,https://nambafood.kg/dish_image/144601.png
Греческий,"Сыр фетакса, овощи, лимон и соус греческий",Салаты,300 с,https://nambafood.kg/dish_image/144602.png
Свежий,"Помидор, огурцы, лук репчатый и оливковое масло",Салаты,140 с,https://nambafood.kg/dish_image/144303.png
Морковный,"Чеснок, морковь и масло растительное",Салаты,90 с,https://nambafood.kg/dish_image/144304.png
Фруктовый салат,"Банан, мёд, мята, яблоки и киви",Салаты,270 с,https://nambafood.kg/dish_image/144305.png
Хрустящий баклажан,"Кусочки хрустящего баклажана, со свежими томатами черри, заправленные сладко-острым соусом",Салаты,330 с,https://nambafood.kg/dish_image/144603.png
Курица по-сычуаньски,"Окорочка, арахис, лапиза, перец, лук и соус сычуаньский",Салаты,380 с,https://nambafood.kg/dish_image/144604.png
Фирменный суп «ZOR»‎‎,"Бараньи ребра, шпинат, фасоль, кукуруза, черные грибы, перепелиные яйца и фунчеза",Супы,250 с,https://nambafood.kg/dish_image/144644.png
Шорпо из баранины,"Баранина, картофель, морковь и зелень",Супы,200 с,https://nambafood.kg/dish_image/144645.png
Чучвара,Говядина рубленая и тесто,Супы,200 с,https://nambafood.kg/dish_image/144646.png
Сантару,Китайский острый суп с мясом и овощами,Супы,220 с,https://nambafood.kg/dish_image/144647.png
Мампар,"Тесто, овощная зажарка и говядина",Супы,200 с,https://nambafood.kg/dish_image/144648.png
Суп с фрикадельками и брокколи,"Фарш говяжий, перепелиные яйца и брокколи",Супы,220 с,https://nambafood.kg/dish_image/144649.png
Суп грибной,"Лапша, курица и морковь",Супы,170 с,https://nambafood.kg/dish_image/144650.png
Суп чечевичный,"Чечевица, томат, сливки, лимон и сухари",Супы,190 с,https://nambafood.kg/dish_image/144651.png
Медальоны с овощами,"Бон филе, сливочный соус и овощи гриль",Блюда из говядины,590 с,https://nambafood.kg/dish_image/144605.png
Тибон стейк с фри,"Говяжий стейк, соус сальса и фри",Блюда из говядины,780 с,https://nambafood.kg/dish_image/144606.png
Рибай стейк с овощами гриль,Говяжий стейк из сочного мяса и овощи гриль,Блюда из говядины,780 с,https://nambafood.kg/dish_image/144607.png
Ковбой стейк с картофелем по-деревенски,Стейк с косточкой с картофелем по-деревенски и соус сальса,Блюда из говядины,760 с,https://nambafood.kg/dish_image/144608.png
Бефстроганов,Мясо телятины в сливочном соусе,Блюда из говядины,300 с,https://nambafood.kg/dish_image/144609.png
Бризоль,"Говяжий фарш, яичный омлет, помидоры, чеснок и майонез",Блюда из говядины,260 с,https://nambafood.kg/dish_image/144614.png
Бифштекс с яйцом,Нежное говяжье мясо в сливочном соусе,Блюда из говядины,280 с,https://nambafood.kg/dish_image/144610.png
Вареники с картошкой,,Блюда из говядины,140 с,https://nambafood.kg/dish_image/144314.png
Стейк из семги под икорным соусом,Свежая семга в сливочном соусе с красной икрой,Блюда из рыбы,680 с,https://nambafood.kg/dish_image/144612.png
Цыпленок табака,1 шт. Цыпленок с картофелем и соусом сальсеп,Блюда из курицы,480 с,https://nambafood.kg/dish_image/144613.png
Фрикасе из курицы,"Куриное филе, сливочный соус и кукуруза",Блюда из курицы,320 с,https://nambafood.kg/dish_image/144319.png
Болоньезе,"Лапша спагетти, фарш говяжий, томатный соус, овощи и сыр пармезан",Пасты,380 с,https://nambafood.kg/dish_image/144643.png
Фетучини с семгой,"Лапша спагетти, сёмга свежая, помидор черри, зелень, сливочный соус и лимон",Пасты,380 с,https://nambafood.kg/dish_image/144615.png
Фетучини с курицей,"Лапша спагетти, куриная грудка, помидор черри, зелень, сливочный соус и лимон",Пасты,350 с,https://nambafood.kg/dish_image/144373.png
«ZOR»‎‎ лагман,"Нежное мясо говядины и баранины, овощи, грибы чёрные, томат, лапиза и лапша",Восточная кухня,300 с,https://nambafood.kg/dish_image/144616.png
Гуйро лагман,"Говядина, баранина, овощи и специи",Восточная кухня,260 с,https://nambafood.kg/dish_image/144320.png
Суйро лагман,Рубленное мясо говядины и мелко нарезанные овощи,Восточная кухня,280 с,https://nambafood.kg/dish_image/144321.png
Жидкий лагман,"Мясо баранины и говядины, овощи с лапизой",Восточная кухня,230 с,https://nambafood.kg/dish_image/144618.png
Босо лагман,"Жаренный с мясом ,овощи лапша , овощи заправленные с соусом и томатом",Восточная кухня,260 с,https://nambafood.kg/dish_image/144617.png
Манты с мясом 5 шт.,,Восточная кухня,250 с,https://nambafood.kg/dish_image/144619.png
Суу манты,,Восточная кухня,220 с,https://nambafood.kg/dish_image/144620.png
Манты жаренные,,Восточная кухня,240 с,https://nambafood.kg/dish_image/144325.png
Ган-фан,"Рис, баранина и говядина, овощи",Восточная кухня,230 с,https://nambafood.kg/dish_image/144330.png
Гуйро ган-фан,Рис вареный и гуйру сяй,Восточная кухня,260 с,https://nambafood.kg/dish_image/144327.png
Плов лазер с говядиной,,Восточная кухня,250 с,https://nambafood.kg/dish_image/144621.png
Гошнан,"Тонкое тесто, говядина и лук",Восточная кухня,260 с,https://nambafood.kg/dish_image/144622.png
Бешбармак (говядина),"Лапша, мясо и лук",Восточная кухня,300 с,https://nambafood.kg/dish_image/144623.png
Бешбармак (конина с казы),"Лапша, казы, конина",Восточная кухня,380 с,https://nambafood.kg/dish_image/144624.png
