Наименование,Описание,Категория,Цена,Фото
Рукола с маринованной форелью,200 г,Салаты и закуски,240 с,https://nambafood.kg/dish_image/144091.png
Маринованная семга,,Салаты и закуски,420 с,https://nambafood.kg/dish_image/144092.png
Хрустящие баклажаны,,Салаты и закуски,170 с,https://nambafood.kg/dish_image/144093.png
Запеченная свекла с твороженным сыром,,Салаты и закуски,170 с,https://nambafood.kg/dish_image/144096.png
Салат «Свежесть»‎‎,,Салаты и закуски,170 с,https://nambafood.kg/dish_image/144095.png
Цезарь с курицей,,Салаты и закуски,340 с,https://nambafood.kg/dish_image/144098.png
Ассорти брускетт,,Салаты и закуски,295 с,https://nambafood.kg/dish_image/144100.png
Греческий салат,,Салаты и закуски,300 с,https://nambafood.kg/dish_image/144097.png
Руккола с креветками,,Салаты и закуски,380 с,https://nambafood.kg/dish_image/144099.png
Капрезе,"Буффало, моцарелла, песто соус, бальзамический уксус, оливковое масло",Салаты и закуски,300 с,https://nambafood.kg/dish_image/59252.png
Салат с сыром на гриле,,Салаты и закуски,300 с,https://nambafood.kg/dish_image/144176.png
Салат «Гриль овощи с сырными рулетиками»‎‎,,Салаты и закуски,280 с,https://nambafood.kg/dish_image/144177.png
Салат «Гриль овощи с сырными рулетиками»‎‎,,Салаты и закуски,280 с,https://nambafood.kg/dish_image/144178.png
Панини с тунцом,,Салаты и закуски,210 с,https://nambafood.kg/dish_image/144190.png
Салат по деревенски,,Салаты и закуски,170 с,https://nambafood.kg/dish_image/144191.png
Окрошка,,Супы,170 с,https://nambafood.kg/dish_image/144101.png
Чечевичный суп,,Супы,170 с,https://nambafood.kg/dish_image/59256.png
Кисло-острый суп,,Супы,170 с,https://nambafood.kg/dish_image/111155.png
Том Ям,,Супы,350 с,https://nambafood.kg/dish_image/144168.png
Тыквенный суп,,Супы,170 с,https://nambafood.kg/dish_image/144169.png
Суп минестроне,,Супы,170 с,https://nambafood.kg/dish_image/144192.png
Фетучини с форелью,,Паста \ Ризотто,350 с,https://nambafood.kg/dish_image/135620.png
Ньекки с сыром пармезан,"Соус из копченого баклажана, помидоры и травы.",Паста \ Ризотто,270 с,https://nambafood.kg/dish_image/59938.png
Пенне томатно-сливочный соус,"Сливочный соус, грибы, сыр пармезан, черные оливки.",Паста \ Ризотто,320 с,https://nambafood.kg/dish_image/144102.png
Спагетти в томатном соусе,,Паста \ Ризотто,245 с,https://nambafood.kg/dish_image/135621.png
Бургер от шеф повара,"Говядина, сыр Чеддер, говяжий бекон.",Ассорти от шеф повара,350 с,https://nambafood.kg/dish_image/144170.png
Клаб сэндвич с курицей,и картофелем фри.,Ассорти от шеф повара,240 с,https://nambafood.kg/dish_image/144171.png
Круассан с малосоленой форелью и яйцом пашот,,Ассорти от шеф повара,220 с,https://nambafood.kg/dish_image/144181.png
Удон,,Вторые блюда,260 с,https://nambafood.kg/dish_image/135600.png
Манты,,Вторые блюда,230 с,https://nambafood.kg/dish_image/144179.png
Куриная грудка в сливочном соусе с гриба и картофельным пюре,,Вторые блюда,300 с,https://nambafood.kg/dish_image/144172.png
Жаровня из говядины,,Вторые блюда,270 с,https://nambafood.kg/dish_image/135606.png
Люля кебаб,,Вторые блюда,220 с,https://nambafood.kg/dish_image/135601.png
Бифштекс с яйцом и картофельным пюре,,Вторые блюда,270 с,https://nambafood.kg/dish_image/144174.png
Запеченная форель,,Вторые блюда,370 с,https://nambafood.kg/dish_image/135607.png
Куриная грудка капрезе,,Вторые блюда,480 с,https://nambafood.kg/dish_image/144180.png
Филе миньон,,Блюда от Шеф-повара,670 с,https://nambafood.kg/dish_image/144173.png
Бургер от Шеф повара,,Блюда от Шеф-повара,370 с,https://nambafood.kg/dish_image/135609.png
Стейк «Нью-Йорк»‎‎ с овощами,320 г,Мясо,720 с,https://nambafood.kg/dish_image/135610.png
Рибай с картофельным пюре,320 г,Мясо,920 с,https://nambafood.kg/dish_image/135611.png
Стейк «Тибон»‎‎ говядина с картофелем,,Мясо,820 с,https://nambafood.kg/dish_image/135612.png
Тибон баранины на гриле,с картофелем,Мясо,820 с,https://nambafood.kg/dish_image/59285.png
Ковбой стейк,350 г,Мясо,900 с,https://nambafood.kg/dish_image/144175.png
Филе семги с рисом,160 г,Рыба и морепродукты,720 с,https://nambafood.kg/dish_image/135613.png
Пицца Маргарита,"Сыр моцарелла, помидоры, базилик.",Пицца 30 см,320 с,https://nambafood.kg/dish_image/59910.png
Поло э фунджи,,Пицца 30 см,445 с,https://nambafood.kg/dish_image/144105.png
Пицца Пепперони,"Пепперони, моцарелла, помидоры.",Пицца 30 см,385 с,https://nambafood.kg/dish_image/59911.png
Рукола э пармиджано,,Пицца 30 см,400 с,https://nambafood.kg/dish_image/144103.png
Пицца Мит Фист,"Куриная ветчина, пепперони, говядина, моцарелла.",Пицца 30 см,410 с,https://nambafood.kg/dish_image/59914.png
Чили,,Пицца 30 см,500 с,https://nambafood.kg/dish_image/144104.png
Пицца 4 сыра,"Пармезан, дорблю, чеддер, моцарелла.",Пицца 30 см,365 с,https://nambafood.kg/dish_image/59272.png
Картофельное пюре,,Гарниры,80 с,https://nambafood.kg/dish_image/135614.png
Картофель фри,,Гарниры,110 с,https://nambafood.kg/dish_image/135615.png
Луковые колечки с чесночным соусом,,Гарниры,200 с,https://nambafood.kg/dish_image/135616.png
Овощи гриль,,Гарниры,160 с,https://nambafood.kg/dish_image/135618.png
Картофель по домашнему,,Гарниры,110 с,https://nambafood.kg/dish_image/135619.png
Мусс три шоколада,,Десерты,210 с,https://nambafood.kg/dish_image/144106.png
Хлебная корзина на 1 персону 150 г,"гриссини, фокачча, багет",Хлеб,95 с,https://nambafood.kg/dish_image/59300.png
Хлебная корзина на 2 персоны 300 г,"гриссини, фокачча, багет",Хлеб,170 с,https://nambafood.kg/dish_image/59299.png
Coca-Cola 1 л.,,Прохладительные напитки,145 с,https://nambafood.kg/dish_image/59930.png
Fanta 1 л,,Прохладительные напитки,145 с,https://nambafood.kg/dish_image/59931.png
Sprite 1 л.,,Прохладительные напитки,145 с,https://nambafood.kg/dish_image/59932.png
