Наименование,Описание,Категория,Цена,Фото
Телятина в остром соусе,300 гр.,Салаты,590 с,https://nambafood.kg/dish_image/55570.png
Фаршированные баклажаны с фаршем в кисло-сладком соусе,480 гр.,Салаты,530 с,https://nambafood.kg/dish_image/55578.png
Пряная нарезка из телятины (студень),250 гр.,Салаты,590 с,https://nambafood.kg/dish_image/55560.png
Салат из телячьего языка с золотыми грибами,300 гр.,Салаты,610 с,https://nambafood.kg/dish_image/55564.png
Сыр тофу по-домашнему,300 гр.,Салаты,590 с,https://nambafood.kg/dish_image/47134.png
Стручковая фасоль с сухим острым перцем,250 гр.,Салаты,590 с,https://nambafood.kg/dish_image/55567.png
Кальмары в обжаренной овощной крошке,,Салаты,690 с,https://nambafood.kg/dish_image/140419.png
Огурцы в чесночном соусе,250 гр.,Вегетарианские блюда,350 с,https://nambafood.kg/dish_image/55557.png
Овощной салат в кисло-остром соусе,350 гр.,Вегетарианские блюда,380 с,https://nambafood.kg/dish_image/55556.png
Брокколи в пикантном соусе,,Вегетарианские блюда,380 с,https://nambafood.kg/dish_image/102391.png
Припущенные брокколи с чесноком,250 гр.,Вегетарианские блюда,380 с,https://nambafood.kg/dish_image/55538.png
Жареный джусай с яйцами,250 гр.,Вегетарианские блюда,380 с,https://nambafood.kg/dish_image/42794.png
Картофель пай в кисло-остром соусе,,Вегетарианские блюда,370 с,https://nambafood.kg/dish_image/102392.png
Мини чебуреки с джусаем,,Вегетарианские блюда,420 с,https://nambafood.kg/dish_image/70294.png
Шпинат с черными грибами и арахисом,250 гр.,Вегетарианские блюда,460 с,https://nambafood.kg/dish_image/55584.png
Обжаренные баклажаны с болгарским перцем,350 гр.,Вегетарианские блюда,410 с,https://nambafood.kg/dish_image/55555.png
Черная фунчеза в кисло-остром соусе,250 гр.,Вегетарианские блюда,370 с,https://nambafood.kg/dish_image/55585.png
Пикантный салат из сыра тофу в нежном соусе,250 гр.,Вегетарианские блюда,370 с,https://nambafood.kg/dish_image/55565.png
Жареный шпинат,350 гр.,Вегетарианские блюда,370 с,https://nambafood.kg/dish_image/55540.png
Обжаренная капуста с фунчезой,400 гр.,Вегетарианские блюда,460 с,https://nambafood.kg/dish_image/55542.png
Салат из зеленого чеснока,,Вегетарианские блюда,370 с,https://nambafood.kg/dish_image/102393.png
Тофу с баклажанами в пикантном соусе,,Вегетарианские блюда,530 с,https://nambafood.kg/dish_image/140415.png
Кисло-острый суп из ягненка,1200 гр.,Первые блюда,670 с,https://nambafood.kg/dish_image/55543.png
Суп из морепродуктов,1200 гр.,Первые блюда,650 с,https://nambafood.kg/dish_image/55569.png
Вонтон-суп с пельмешками и овощами,1200 гр.,Первые блюда,670 с,https://nambafood.kg/dish_image/55539.png
Суп из курицы Даньхуатан,,Первые блюда,650 с,https://nambafood.kg/dish_image/102394.png
Суп «Сан-лажитанг»‎‎,,Первые блюда,650 с,https://nambafood.kg/dish_image/140416.png
Суп «Хайжень танг»‎‎,,Первые блюда,650 с,https://nambafood.kg/dish_image/140418.png
Телятина с черными грибами,350 гр.,Вторые блюда телятина,630 с,https://nambafood.kg/dish_image/55575.png
Жареная телятина с болгарским перцем,350 гр.,Вторые блюда телятина,630 с,https://nambafood.kg/dish_image/55573.png
Жареная телятина с овощами,400 гр.,Вторые блюда телятина,650 с,https://nambafood.kg/dish_image/55574.png
Пельмени с телятиной и зеленью,12 шт.,Вторые блюда телятина,550 с,https://nambafood.kg/dish_image/55544.png
Телятина по-пекински,420 гр.,Вторые блюда телятина,670 с,https://nambafood.kg/dish_image/55572.png
Юбасай с телятиной,400 гр.,Вторые блюда телятина,610 с,https://nambafood.kg/dish_image/55586.png
Требуха с Болгарским перцем в остром соусе,400 гр.,Вторые блюда телятина,630 с,https://nambafood.kg/dish_image/55587.png
Телятина на жаровне,350 гр.,Вторые блюда телятина,610 с,https://nambafood.kg/dish_image/55571.png
