Наименование,Описание,Категория,Цена,Фото
Язык говяжий в остром соусе,Порция: 200 гр.,Салаты и закуски,365 с,https://nambafood.kg/dish_image/59340.png
Салат «Цезарь»‎‎ с филе курицы,Порция: 200 гр.,Салаты и закуски,340 с,https://nambafood.kg/dish_image/59341.png
Требуха соломкой в кисло-остром соусе,Порция: 200 гр.,Салаты и закуски,215 с,https://nambafood.kg/dish_image/59342.png
Огурцы с телятиной соломкой,Порция: 200 гр.,Салаты и закуски,285 с,https://nambafood.kg/dish_image/59348.png
Брокколи в ароматно-чесночном соусе,Порция: 200 гр.,Салаты и закуски,245 с,https://nambafood.kg/dish_image/59350.png
Салат с грибами «Муэр»‎‎,Порция: 200 гр.,Салаты и закуски,230 с,https://nambafood.kg/dish_image/59351.png
«Джин Жэнь Гу»‎‎ в кисло-остром соусе,Порция: 200 гр.,Салаты и закуски,325 с,https://nambafood.kg/dish_image/59352.png
«Джин Жэнь Гу»‎‎ с овощами,Порция: 200 гр.,Салаты и закуски,300 с,https://nambafood.kg/dish_image/59353.png
Шпинат в чесночном соусе,Порция: 200 гр.,Салаты и закуски,280 с,https://nambafood.kg/dish_image/59356.png
Оливье,Порция: 200 гр.,Салаты и закуски,295 с,https://nambafood.kg/dish_image/59357.png
Салат «Солнце»‎‎,Порция: 200 гр.,Салаты и закуски,280 с,https://nambafood.kg/dish_image/59360.png
Закуска по-китайски,Порция: 200 гр.,Салаты и закуски,360 с,https://nambafood.kg/dish_image/59361.png
Баклажаны с овощами,Порция: 200 гр.,Салаты и закуски,295 с,https://nambafood.kg/dish_image/59362.png
Баклажаны в ароматно-остром соусе,Порция: 200 гр.,Салаты и закуски,295 с,https://nambafood.kg/dish_image/59363.png
Телятина с филе куриным и свежим перцем,Порция: 200 гр.,Салаты и закуски,330 с,https://nambafood.kg/dish_image/59364.png
Кальмары в пряно-остром соусе,Порция: 200 гр.,Салаты и закуски,395 с,https://nambafood.kg/dish_image/59365.png
Теплый салат с телятиной с тофу,Порция: 200 гр.,Салаты и закуски,315 с,https://nambafood.kg/dish_image/59557.png
Баранина на жаровне,Порция: 300 гр.,Блюда из баранины,390 с,https://nambafood.kg/dish_image/59372.png
Блинчики с жареной бараниной,Порция: 300 гр.,Блюда из баранины,440 с,https://nambafood.kg/dish_image/59375.png
Баранина соломкой со свежим перцем,Порция: 300 гр.,Блюда из баранины,390 с,https://nambafood.kg/dish_image/59376.png
Баранина с пекинской капустой и фунчёзой,Порция: 300 гр.,Блюда из баранины,380 с,https://nambafood.kg/dish_image/59377.png
Баранина «Цумбо»‎‎,Порция: 300 гр.,Блюда из баранины,390 с,https://nambafood.kg/dish_image/59378.png
«Да паэн ён пэй»‎‎,Порция: 800 гр.,Блюда из баранины,895 с,https://nambafood.kg/dish_image/59379.png
Бараньи ребра «Континенталь»‎‎,Порция: 800 гр.,Блюда из баранины,1270 с,https://nambafood.kg/dish_image/59380.png
Баранья нога по-сычуаньски,Порция: 1200 гр.,Блюда из баранины,2490 с,https://nambafood.kg/dish_image/59381.png
Телятина в бамбуковом бочонке,Порция: 300 гр.,Блюда из говядины,375 с,https://nambafood.kg/dish_image/59382.png
Блинчики с жареной телятиной,Порция: 300 гр.,Блюда из говядины,420 с,https://nambafood.kg/dish_image/59384.png
Говядина соломкой в пикантном соусе,Порция: 300 гр.,Блюда из говядины,380 с,https://nambafood.kg/dish_image/59386.png
Телятина в кисло-остром соусе,Порция: 300 гр.,Блюда из говядины,385 с,https://nambafood.kg/dish_image/59387.png
Шашлык по-китайски,Порция: 300 гр.,Блюда из говядины,375 с,https://nambafood.kg/dish_image/59388.png
Шашлык на шпажках,Порция: 300 гр.,Блюда из говядины,370 с,https://nambafood.kg/dish_image/59389.png
Жареная телятина с древесными грибами «Муэр»‎‎,Порция: 300 гр.,Блюда из говядины,355 с,https://nambafood.kg/dish_image/59390.png
Телятина жареная с картофелем лепестками,Порция: 300 гр.,Блюда из говядины,365 с,https://nambafood.kg/dish_image/59391.png
Телятина с сельдереем,Порция: 300 гр.,Блюда из говядины,370 с,https://nambafood.kg/dish_image/59392.png
Телятина «Цумбо»‎‎,Порция: 300 гр.,Блюда из говядины,370 с,https://nambafood.kg/dish_image/59394.png
Телятина со свежим перцем,Порция: 300 гр.,Блюда из говядины,380 с,https://nambafood.kg/dish_image/59396.png
Требуха тушенная жареная с луком,Порция: 300 гр.,Блюда из говядины,335 с,https://nambafood.kg/dish_image/59397.png
Хрустящая телятина в остром соусе,Порция: 300 гр.,Блюда из говядины,385 с,https://nambafood.kg/dish_image/59398.png
"Телятина, жареная с фунчезой",Порция: 300 гр.,Блюда из говядины,355 с,https://nambafood.kg/dish_image/59399.png
Телятина в сливовом соусе,Порция: 300 гр.,Блюда из говядины,540 с,https://nambafood.kg/dish_image/59400.png
Телятина в соусе Мао,Порция: 350 гр.,Блюда из говядины,495 с,https://nambafood.kg/dish_image/59401.png
Телятина на жаровне,Порция: 300 гр.,Блюда из говядины,375 с,https://nambafood.kg/dish_image/59402.png
Телятина со стручками фасоли,Порция: 300 гр.,Блюда из говядины,385 с,https://nambafood.kg/dish_image/59558.png
Телятина с баклажанами,Порция: 300 гр.,Блюда из говядины,380 с,https://nambafood.kg/dish_image/59559.png
Тофу по-домашнему,Порция: 300 гр.,Блюда из говядины,350 с,https://nambafood.kg/dish_image/59403.png
Курица кусочками в пряно-остром соусе,Порция: 300 гр.,Блюда из птицы,370 с,https://nambafood.kg/dish_image/59406.png
Филе куриное с древесными грибами «Муэр»‎‎,Порция: 300 гр.,Блюда из птицы,350 с,https://nambafood.kg/dish_image/59407.png
Филе куриное «Кумбо»‎‎,Порция: 300 гр.,Блюда из птицы,370 с,https://nambafood.kg/dish_image/59408.png
Филе куриное в кисло-остром соусе,Порция: 300 гр.,Блюда из птицы,390 с,https://nambafood.kg/dish_image/59413.png
Филе куриное в пикантном соусе,Порция: 300 гр.,Блюда из птицы,365 с,https://nambafood.kg/dish_image/59415.png
Филе куриное в кисло-сладком соусе,Порция: 300 гр.,Блюда из птицы,390 с,https://nambafood.kg/dish_image/59416.png
Да паэн джи,Порция: 1200 гр.,Блюда из птицы,820 с,https://nambafood.kg/dish_image/59418.png
Хрустящие крылышки,Порция: 600 гр.,Блюда из птицы,510 с,https://nambafood.kg/dish_image/59419.png
Лазы джи в казанке,Порция: 600 гр.,Блюда из птицы,590 с,https://nambafood.kg/dish_image/59421.png
Филе куриное на жаровне,Порция: 300 гр.,Блюда из птицы,350 с,https://nambafood.kg/dish_image/59561.png
Курица кусочками хрустящая,Порция: 300 гр.,Блюда из птицы,365 с,https://nambafood.kg/dish_image/105250.png
Пекинская Утка (Время приготовления 1 час),Порция: 1500 гр.,Блюда из птицы,3200 с,https://nambafood.kg/dish_image/59405.png
Филе судака в кунжутных зернах,Порция: 300 гр.,Блюда из рыбы и морепродуктов,395 с,https://nambafood.kg/dish_image/59562.png
Филе судака в кисло-остром соусе,Порция: 300 гр.,Блюда из рыбы и морепродуктов,400 с,https://nambafood.kg/dish_image/59424.png
Филе судака в кисло-сладком соусе,Порция: 300 гр.,Блюда из рыбы и морепродуктов,410 с,https://nambafood.kg/dish_image/59425.png
Мойва хрустящая,Порция: 200 гр.,Блюда из рыбы и морепродуктов,320 с,https://nambafood.kg/dish_image/59426.png
Зеленые мидии под ароматным соусом,Порция: 500 гр.,Блюда из рыбы и морепродуктов,1110 с,https://nambafood.kg/dish_image/59431.png
Радужная форель на пару,Порция: 950 гр.,Блюда из рыбы и морепродуктов,1100 с,https://nambafood.kg/dish_image/59432.png
Тигровые креветки в ароматно-остром соусе,Порция: 250 гр.,Блюда из рыбы и морепродуктов,995 с,https://nambafood.kg/dish_image/59433.png
Осьминожки в пикантном соусе,Порция: 300 гр.,Блюда из рыбы и морепродуктов,695 с,https://nambafood.kg/dish_image/59434.png
Шашлычки из тигровых креветок,Порция: 200 гр.,Блюда из рыбы и морепродуктов,995 с,https://nambafood.kg/dish_image/59435.png
Тигровые креветки в кисло-сладком соусе,Порция: 250 гр,Блюда из рыбы и морепродуктов,995 с,https://nambafood.kg/dish_image/59436.png
Тигровые креветки в чесночном соусе,Порция: 250 гр,Блюда из рыбы и морепродуктов,995 с,https://nambafood.kg/dish_image/59438.png
Морской гребешок с грибами и свежим перцем,Порция: 200 гр,Блюда из рыбы и морепродуктов,985 с,https://nambafood.kg/dish_image/59439.png
Форель под соусом Пао Цзяо,Порция: 950 гр,Блюда из рыбы и морепродуктов,1100 с,https://nambafood.kg/dish_image/59440.png
Камбала под гуаньдунским соусом,Порция: 800 гр.,Блюда из рыбы и морепродуктов,695 с,https://nambafood.kg/dish_image/59441.png
Филе судака на жаровне,Порция: 300 гр.,Блюда из рыбы и морепродуктов,395 с,https://nambafood.kg/dish_image/59443.png
Морепродукты на жаровне,Порция: 200 гр.,Блюда из рыбы и морепродуктов,450 с,https://nambafood.kg/dish_image/59565.png
"Рыба ""Виноградная гроздь"" в кисло-остром соусе",Порция : 500гр,Блюда из рыбы и морепродуктов,895 с,https://nambafood.kg/dish_image/76843.png
Кальмары с луком и перцем,Порция: 200 гр.,Блюда из рыбы и морепродуктов,490 с,https://nambafood.kg/dish_image/105251.png
Грибы в кляре,Порция: 200 гр,Блюда из овощей,205 с,https://nambafood.kg/dish_image/59445.png
Свежий перец в соевом соусе,Порция: 300 гр.,Блюда из овощей,220 с,https://nambafood.kg/dish_image/59446.png
Побеги бамбука со свежим перцем,Порция: 300 гр.,Блюда из овощей,295 с,https://nambafood.kg/dish_image/59447.png
Тофу с овощами,Порция: 300 гр.,Блюда из овощей,220 с,https://nambafood.kg/dish_image/59449.png
Тофу в пряно-остром соусе,Порция: 200 гр,Блюда из овощей,235 с,https://nambafood.kg/dish_image/59450.png
Стручки фасоли в пряно-остром соусе,Порция: 300 гр.,Блюда из овощей,420 с,https://nambafood.kg/dish_image/59452.png
Баклажаны тушеные в красном соусе,Порция: 300 гр.,Блюда из овощей,285 с,https://nambafood.kg/dish_image/59453.png
Шпинат жареный,Порция: 300 гр.,Блюда из овощей,290 с,https://nambafood.kg/dish_image/59454.png
Картофель соломкой в кисло-остром соусе,Порция: 300 гр.,Блюда из овощей,235 с,https://nambafood.kg/dish_image/59455.png
Ди Сан Чен,Порция: 300 гр.,Блюда из овощей,265 с,https://nambafood.kg/dish_image/59456.png
Рис отварной,Порция: 150 гр.,Гарниры,90 с,https://nambafood.kg/dish_image/59457.png
Картофель «Фри»‎‎,Порция: 100 гр.,Гарниры,140 с,https://nambafood.kg/dish_image/59458.png
Рис жареный по-домашнему,Порция: 200 гр.,Гарниры,180 с,https://nambafood.kg/dish_image/59459.png
Картофель лепестками,Порция: 150 гр.,Гарниры,180 с,https://nambafood.kg/dish_image/59461.png
Рис жареный с морепродуктами,Порция: 200 гр.,Гарниры,195 с,https://nambafood.kg/dish_image/59463.png
Рис жареный с овощами и яйцом,Порция: 200 гр.,Гарниры,175 с,https://nambafood.kg/dish_image/59464.png
Картофельные крокеты,Порция: 180 гр.,Гарниры,150 с,https://nambafood.kg/dish_image/59465.png
Картофель по-деревенски,Порция: 150 гр.,Гарниры,190 с,https://nambafood.kg/dish_image/76844.png
Бульон с фрикадельками,Порция: 300 гр.,Бульоны,190 с,https://nambafood.kg/dish_image/59466.png
"Холодный корейский суп ""Кукси""",Порция: 400 гр.,Бульоны,205 с,https://nambafood.kg/dish_image/59467.png
Бульон с мясом и грибами,Порция: 300 гр.,Бульоны,190 с,https://nambafood.kg/dish_image/59468.png
Бульон «Сяньшэн» с морепродуктами,Порция: 300 гр.,Бульоны,195 с,https://nambafood.kg/dish_image/59469.png
Бульон кисло-острый,Порция: 300 гр.,Бульоны,195 с,https://nambafood.kg/dish_image/59470.png
Чечевичный суп,Порция: 300 гр.,Бульоны,195 с,https://nambafood.kg/dish_image/59471.png
Том Ям,Порция: 300 гр.,Бульоны,325 с,https://nambafood.kg/dish_image/59472.png
Солянка,Порция: 300 гр.,Бульоны,205 с,https://nambafood.kg/dish_image/59473.png
Мисо суп,Порция: 300 гр.,Бульоны,195 с,https://nambafood.kg/dish_image/59474.png
Окрошка,Порция: 300 гр.,Бульоны,195 с,https://nambafood.kg/dish_image/59475.png
Клаб Сэндвич,Порция: 200 гр.,Детское меню,195 с,https://nambafood.kg/dish_image/59476.png
Блинчики с джемом и сметаной,Порция: 3 шт.,Детское меню,120 с,https://nambafood.kg/dish_image/59478.png
Сосиски барбекю,Порция: 1 шт.,Детское меню,75 с,https://nambafood.kg/dish_image/59479.png
Крабовые палочки в кляре,Порция: 200 гр,Детское меню,235 с,https://nambafood.kg/dish_image/59481.png
Котлеты с пюре,Порция: 250 гр.,Детское меню,275 с,https://nambafood.kg/dish_image/59482.png
Чупа-Чупс из курицы,Порция: 200 гр,Детское меню,315 с,https://nambafood.kg/dish_image/59568.png
Фруктовое ассорти,Порция: 500 гр.,Десерт,580 с,https://nambafood.kg/dish_image/59570.png
Творожные шарики в карамели,Порция: 200 гр.,Десерт,285 с,https://nambafood.kg/dish_image/59489.png
Тирамису,Порция: 100 гр,Десерт,185 с,https://nambafood.kg/dish_image/59571.png
Три шоколада,Порция: 100 гр.,Десерт,185 с,https://nambafood.kg/dish_image/59572.png
Нью-Йорк 'Чизкейк',Порция: 100 гр.,Десерт,185 с,https://nambafood.kg/dish_image/59573.png
Лепешка,Порция: 1 шт.,Хлеб,40 с,https://nambafood.kg/dish_image/59491.png
Хлеб чёрный,Порция: 1 шт.,Хлеб,50 с,https://nambafood.kg/dish_image/59492.png
Момо,Порция: 1 шт.,Хлеб,35 с,https://nambafood.kg/dish_image/59493.png
"Сет ""Бамбук""",Порция: 52 шт.,Сеты,1735 с,https://nambafood.kg/dish_image/59521.png
