Наименование,Описание,Категория,Цена,Фото
«‎Молоканские»‎ соленья (Бол.),"500 гр.(капуста,зеленые помидоры, перец острый) \ 500 gr. (Cabbage, green tomatoes, hot pepper)",Закуски \ Snacks,590 с,https://nambafood.kg/dish_image/56252.png
Шор,150 гр.(домашняя творожная масса с зеленью) \ 150 gr. (Home-made curd mass with greens),Закуски \ Snacks,275 с,https://nambafood.kg/dish_image/56291.png
Рулеты из баклажан с овощами,"200 гр.(баклажаны, огурцы, помидоры, зелень, яйца, чеснок, сметана, майонез) \ 200 gr. (Eggplants, cucumber, tomatoes, eggs, garlic, mayonnaise, sour cream)",Закуски \ Snacks,520 с,https://nambafood.kg/dish_image/56925.png
Конвертики из сыра сулугуни (Мал.),"200 г.(сыр сулугуни,творожная масса с зеленью,помидоры черри,соус песто) \ 200 g (Suluguni cheese, curd with greens, cherry tomatoes, pesto sauce)",Закуски \ Snacks,340 с,https://nambafood.kg/dish_image/56210.png
Конвертики из сыра сулугуни (Бол.),"370 гр.(сыр сулугуни,творожная масса с зеленью,помидоры черри,соус песто) \ 370 g. (Suluguni cheese, curd with greens, cherry tomatoes, pesto sauce)",Закуски \ Snacks,690 с,https://nambafood.kg/dish_image/56211.png
Паштет из печени с тостами,150 гр.,Закуски \ Snacks,340 с,https://nambafood.kg/dish_image/56216.png
Ассорти рыбное (Бол.),"500 гр.(семга соленая,эсколар копченый,тигровые креветки,икра красная) \ 500g. (Salted salmon, smoked escolar, tiger prawns, red caviar)",Закуски \ Snacks,1740 с,https://nambafood.kg/dish_image/56236.png
Помидоры с яйцом по-бакински,250 гр.,Горячие закуски \ Hot snack,290 с,https://nambafood.kg/dish_image/56266.png
Шампиньоны с соусом терияки,"300 гр. шампиньоны, кинза, крахмал, соус терияки. / 300 gr. Champignons, cilantro, starch, teriyaki sause.",Горячие закуски \ Hot snack,520 с,https://nambafood.kg/dish_image/104803.png
«‎Кю-кю»‎ с зеленью,"200 гр.(шпинат,мята,петрушка,кинза,яйцо,грецкий орех,помидоры,сливочное масло,чесно) \ 200 gr. (Spinach, mint, parsley, cilantro, egg, walnut, tomatoes, butter, garlic)",Горячие закуски \ Hot snack,390 с,https://nambafood.kg/dish_image/56256.png
Сырные палочки в темпуре,210 гр.,Горячие закуски \ Hot snack,420 с,https://nambafood.kg/dish_image/56217.png
Рафикус с грибами,"250 гр.(лаваш,курица,шампиньоны,томатная паста,сыр,специи) \ 250 gr. (Pita bread, chicken, champignons, tomato paste, cheese, spices)",Горячие закуски \ Hot snack,390 с,https://nambafood.kg/dish_image/56267.png
Грибы по-бакински,"300 гр. (шампиньоны, сыр сулугуни, майонез, зелень) / 300 gr. (champignons, suluguni cheese, mayonnaise, greens)",Горячие закуски \ Hot snack,440 с,https://nambafood.kg/dish_image/104828.png
Баклажаны с соусом Терияки,"300 гр. (баклажаны, кинза, крахмал, соус терияки) 300 gr. (eggplants, cilantro, starch, teriyaki sause)",Горячие закуски \ Hot snack,650 с,https://nambafood.kg/dish_image/104805.png
Кутабы с мясом,3 шт.,Горячие закуски \ Hot snack,295 с,https://nambafood.kg/dish_image/56982.png
Кутабы с сыром и зеленью,3 шт.,Горячие закуски \ Hot snack,210 с,https://nambafood.kg/dish_image/56983.png
Кутабы с сыром,3шт.,Горячие закуски \ Hot snack,210 с,https://nambafood.kg/dish_image/56984.png
Кутабы с зеленью,3шт.,Горячие закуски \ Hot snack,170 с,https://nambafood.kg/dish_image/56985.png
Кутабы с тыквой,3 шт.,Горячие закуски \ Hot snack,160 с,https://nambafood.kg/dish_image/56241.png
Кольца кальмара с соусом,150 гр.,Горячие закуски \ Hot snack,620 с,https://nambafood.kg/dish_image/56209.png
Тигровые креветки в темпуре,150 гр.,Горячие закуски \ Hot snack,740 с,https://nambafood.kg/dish_image/56986.png
Ассорти мясное (Бол.),"500 гр.(запеченная телятина(Бон-филе),язык отв.,куриный рулет,бастурма,горчица,аджика) \ 500 gr. (Baked veal (Bon-sirloin), otv., Chicken roll, basturma, mustard, adjika)",Ассорти закуски \ Assorted snacks,1199 с,https://nambafood.kg/dish_image/56234.png
Ассорти сырное (Бол.),"500 гр. (сыр Бияз, сулугуни Баку,сыр гуда Баку,сырный рулет,брынза,тархун) \ 500 gr. (Biyaz cheese, Suluguni Baku, Baku cheese, cheese roll, cheese, tarragon)",Ассорти закуски \ Assorted snacks,1299 с,https://nambafood.kg/dish_image/107558.png
Ассорти овощное «‎Баку»‎ (Мал.),"250 гр. (Бакинские огурцы и помидоры,стручковый перец,тархун) \ 250 gr. (Baku cucumbers and tomatoes, chilli pepper, tarragon)",Ассорти закуски \ Assorted snacks,520 с,https://nambafood.kg/dish_image/56229.png
"Ассорти овощное ""Баку"" (Бол.)","500 гр.(Бакинские огурцы и помидоры,стручковый перец,тархун) \ 500 gr. (Baku cucumbers and tomatoes, chilli pepper, tarragon)",Ассорти закуски \ Assorted snacks,970 с,https://nambafood.kg/dish_image/56230.png
Теплый салат с морепродуктами,"300 гр.(осьминог,кольца кальмаров,тигровые креветки,гребешки,айсберг,помидоры черри,фирменный соус) \ 300 gr. (Octopus, calamari rings, tiger shrimps, scallops, iceberg, cherry tomatoes, special sauce)",Салаты \ Salads,720 с,https://nambafood.kg/dish_image/107561.png
«‎Чобан»‎ салат,"200 гр.(огурцы,помидоры,зелень,лук,лимон,масло оливковое) \ 200 gr. (Cucumbers, tomatoes, greens, onion, lemon, olive oil)",Салаты \ Salads,350 с,https://nambafood.kg/dish_image/56293.png
Греческий салат,"250 гр.(огурцы,помидоры,лист салата,перепелиные яйца,сыр фетакса,оливки с косточкой,оливковое масло) \ 250 gr. (Cucumbers, tomatoes, lettuce, quail eggs, fetaxa cheese, pitted olives, olive oil)",Салаты \ Salads,390 с,https://nambafood.kg/dish_image/56242.png
«‎Мангал»‎ салат из овощей на гриле,"250 гр.(баклажаны,помидоры,перец болгарский,лук репчатый,кинза,базилик,петрушка,кукурузное масло) \ 250 gr. (Eggplants, tomatoes, Bulgarian pepper, onion, cilantro, basil, parsley, corn oil)",Салаты \ Salads,320 с,https://nambafood.kg/dish_image/56250.png
Салат с языком и перцем,"250 гр.(язык говяжий,огурцы,помидоры,болгарский перец,соевый соус,огурцы,специи,лук,кунжутное масло) \ 250 gr. (Beef tongue, cucumbers, tomatoes, Bulgarian pepper, soy sauce, cucumbers, spices, onions, sesame oil)",Салаты \ Salads,570 с,https://nambafood.kg/dish_image/56275.png
Салат «‎Нар» ‎с фасолью,"200 гр.(фасоль,грецкий орех,гранат,кинза,виноградный уксус, масло кукурузное) \ 200 gr. (Beans, walnut, pomegranate, cilantro, grape vinegar, corn oil)",Салаты \ Salads,320 с,https://nambafood.kg/dish_image/56262.png
Томато Моцарелла с соусом песто,"300 гр.(томаты,сыр моцарелла,базилик,соус песто) \ 300 gr. (Tomatoes, mozzarella cheese, basil, pesto sauce)",Салаты \ Salads,570 с,https://nambafood.kg/dish_image/56279.png
Цезарь с курицей,"250 гр.(куриная грудка,пармезан,айсберг,сухарики,помидоры черри,cоус цезарь,специи) \ 250 gr. (Chicken breast, parmesan, iceberg, crackers, cherry tomatoes, sauce Caesar, spices)",Салаты \ Salads,540 с,https://nambafood.kg/dish_image/56284.png
Цезарь с креветками,"250 гр.(тигровые креветки,пармезан,айсберг,сухарики,помидоры черри,соус цезарь,специи) \ 250 gr. (Tiger prawns, parmesan, iceberg, crackers, cherry tomatoes, caesar sauce, spices)",Салаты \ Salads,670 с,https://nambafood.kg/dish_image/56283.png
Свежая зелень,"150 гр.(тархун,лук зеленый,кинза,райхон,петрушка,острый стручковый перец,укроп) \ 150 gr. (Tarragon, green onion, cilantro, rayon, parsley, hot peppers, dill)",Салаты \ Salads,220 с,https://nambafood.kg/dish_image/56276.png
Сельдь под шубой,"250 гр.(яйцо,сельдь,картофель,свекла,морковь,лук репчатый,майонез,специи) \ 250 gr. (Egg, herring, potato, beet, carrot, onion, mayonnaise, spices)",Салаты \ Salads,320 с,https://nambafood.kg/dish_image/56263.png
«‎Столичный»‎ салат,"250 гр.(яйца,огурцы,картофель,горошек,курица,лук красный,специи,майонез) \ 250 gr. (Eggs, cucumbers, potatoes, peas, chicken, red onion, spices, mayonnaise)",Салаты \ Salads,320 с,https://nambafood.kg/dish_image/56264.png
Салат из телятины с зернами граната,"250 гр.(телятина, гранат, айсберг, помидоры черри, огурцы, гранатовый соус, специи) \ 250 gr. (Veal, pomegranate, cilantro, cherry tomatoes, cucumbers, pomegranate sauce, spices)",Салаты \ Salads,570 с,https://nambafood.kg/dish_image/56261.png
Салат «‎Гнездо»‎,"250 гр. (айсберг, куриное филе, картофель, лист салата, огурец, черри, чеснок, яйца, брынза, майонез) 250 gr. (iceberg salad, chicken fillet, potatoes, lettuce leaf, cucumber, tomato, garlic, egg, feta cheese, mayonnaise)",Салаты \ Salads,390 с,https://nambafood.kg/dish_image/104806.png
