Наименование,Описание,Категория,Цена,Фото
Рисовая каша с бананом,,Завтраки,155 с,https://nambafood.kg/dish_image/115470.png
Овсяная каша с изюмом,,Завтраки,155 с,https://nambafood.kg/dish_image/115471.png
Манная каша с цедрой,,Завтраки,155 с,https://nambafood.kg/dish_image/115467.png
Турецкий завтрак,,Завтраки,445 с,https://nambafood.kg/dish_image/130143.png
Английский завтрак,,Завтраки,345 с,https://nambafood.kg/dish_image/130144.png
Американский завтрак,,Завтраки,345 с,https://nambafood.kg/dish_image/130145.png
Глазунья с сосиской,,Завтраки,215 с,https://nambafood.kg/dish_image/130146.png
Свежий салат,,Салаты,295 с,https://nambafood.kg/dish_image/115431.png
Цезарь с курицей,,Салаты,395 с,https://nambafood.kg/dish_image/115352.png
Цезарь с креветками,,Салаты,555 с,https://nambafood.kg/dish_image/115430.png
Салат «Мексиканский»,"Микс салат, тортилья, слабосоленая семга, творожный сыр, оливковое масло.",Салаты,510 с,https://nambafood.kg/dish_image/115346.png
Салат «Оазис»,"Кабачки, брынза, говядина, перец калифорния, лук репчатый, майонез.",Салаты,410 с,https://nambafood.kg/dish_image/115350.png
Азиатский салат,"Говядина, овощи, заправка, соевый соус",Салаты,325 с,https://nambafood.kg/dish_image/116575.png
Бальзамино с лососем,,Салаты,405 с,https://nambafood.kg/dish_image/115432.png
Бальзамино с говядиной,"Микс салат, черри, перепелиное яйцо, оливки, маслины, кедр орешки, бальзамический уксус, бон филе говядина.",Салаты,405 с,https://nambafood.kg/dish_image/115354.png
Руккола с креветками,"Руккола, креветки, пармезан, черри, мед, бальзамический крем.",Салаты,495 с,https://nambafood.kg/dish_image/115353.png
Греческий салат,,Салаты,325 с,https://nambafood.kg/dish_image/130136.png
Салат из судака,,Салаты,355 с,https://nambafood.kg/dish_image/130137.png
Салат с бараниной и брынзой,,Салаты,365 с,https://nambafood.kg/dish_image/130138.png
Витаминка,,Салаты,205 с,https://nambafood.kg/dish_image/130139.png
Свит салат,,Салаты,285 с,https://nambafood.kg/dish_image/130141.png
Шакарап,,Салаты,230 с,https://nambafood.kg/dish_image/130142.png
Рыбная нарезка,"Эсколар копченый, семга слабосоленая.",Закуски,815 с,https://nambafood.kg/dish_image/115355.png
Мясной микс,"Жая, язык говяжий, куриный рулет, шпигованная говядина.",Закуски,825 с,https://nambafood.kg/dish_image/115345.png
Овощная нарезка,"Огурцы, помидоры, зелень, перец калифорния, сыр брынза.",Закуски,445 с,https://nambafood.kg/dish_image/115349.png
Французская сырница,"Дорблю, пармезан, моцарелла, адыгейский сыр, савоярди, яблоко.",Закуски,725 с,https://nambafood.kg/dish_image/115348.png
Русская закуска,"Селедка, картофель, соленые огурцы, красный лук.",Закуски,315 с,https://nambafood.kg/dish_image/115343.png
Фруктовая нарезка,,Закуски,800 с,https://nambafood.kg/dish_image/130148.png
Ассорти из разносолов,,Закуски,375 с,https://nambafood.kg/dish_image/130149.png
Крылышки в панировке,,Закуски,445 с,https://nambafood.kg/dish_image/130150.png
Суп чечевичный,,Первые блюда,245 с,https://nambafood.kg/dish_image/115377.png
Уха по-царски,,Первые блюда,355 с,https://nambafood.kg/dish_image/115376.png
Шорпо из говядины,,Первые блюда,265 с,https://nambafood.kg/dish_image/115375.png
Шорпо из баранины,,Первые блюда,265 с,https://nambafood.kg/dish_image/115374.png
Cолянка,,Первые блюда,265 с,https://nambafood.kg/dish_image/115372.png
Суп грибной,,Первые блюда,245 с,https://nambafood.kg/dish_image/115359.png
Том-ям с морепродуктами,,Первые блюда,485 с,https://nambafood.kg/dish_image/115362.png
Куриный суп с лапшой,,Первые блюда,215 с,https://nambafood.kg/dish_image/130151.png
Куриный рулет,"Курица, моцарелла, шпинат, перец калифорния.",Основные блюда,600 с,https://nambafood.kg/dish_image/115363.png
Форель по турецки,,Основные блюда,790 с,https://nambafood.kg/dish_image/116588.png
Семга под икорным соусом,,Основные блюда,950 с,https://nambafood.kg/dish_image/115398.png
Медальон микс,"Говядина бон филе с лодки картофеля, с сливочо-грибным соусом и микс салатом",Основные блюда,750 с,https://nambafood.kg/dish_image/115399.png
Мясо слоенка,"Слоеное тесто, бон-филе, сливки, моцарелла, кедр-орешки.",Основные блюда,535 с,https://nambafood.kg/dish_image/115365.png
Колбаски говяжьи,,Основные блюда,600 с,https://nambafood.kg/dish_image/115371.png
Колбаски куриные,,Основные блюда,600 с,https://nambafood.kg/dish_image/115369.png
Судак в конверте,"Судак, кабачки, баклажан, помидор, морковь.",Основные блюда,555 с,https://nambafood.kg/dish_image/115366.png
Цыпленок табака,"Цыпленок табака, овощи, картофель дольки, тортилья, соус стейк.",Основные блюда,485 с,https://nambafood.kg/dish_image/115368.png
Такос с курицей,"Тортилья, помидор, отварная курица, лук репчатый, соус сметана.",Основные блюда,475 с,https://nambafood.kg/dish_image/115367.png
Форель под кокосовым соусом карри,,Основные блюда,745 с,https://nambafood.kg/dish_image/130157.png
Рибай стейк,"Говядина, овощи гриль, стейк соус",Стейки,950 с,https://nambafood.kg/dish_image/115422.png
Ковбой стейк,"Говядина, овощи гриль, стейк соус",Стейки,900 с,https://nambafood.kg/dish_image/115423.png
Нью-Йорк стейк,"Говядина, овощи гриль, стейк соус",Стейки,900 с,https://nambafood.kg/dish_image/115424.png
Тибон стейк,,Стейки,900 с,https://nambafood.kg/dish_image/130163.png
Фетучини с лососем,,Паста,505 с,https://nambafood.kg/dish_image/115443.png
Фетучини курица с грибами,,Паста,345 с,https://nambafood.kg/dish_image/115442.png
Фарфале с морепродуктами,,Паста,525 с,https://nambafood.kg/dish_image/115440.png
Пенне с курицей,,Паста,315 с,https://nambafood.kg/dish_image/115439.png
Болоньезе классическая,,Паста,365 с,https://nambafood.kg/dish_image/115437.png
Шашлык из баранины,,Шашлыки,400 с,https://nambafood.kg/dish_image/115414.png
Люля кебаб из говядины,,Шашлыки,300 с,https://nambafood.kg/dish_image/115418.png
Шашлык Куриная грудка,,Шашлыки,280 с,https://nambafood.kg/dish_image/115416.png
Шашлык Куриные крылья,,Шашлыки,255 с,https://nambafood.kg/dish_image/115419.png
