Наименование,Описание,Категория,Цена,Фото
Шашлык куриное филе,230 гр.,Шашлыки,250 с,https://nambafood.kg/dish_image/60852.png
Шашлык куриные крылышки,270 гр.,Шашлыки,230 с,https://nambafood.kg/dish_image/60859.png
Люля кебаб,250 гр.,Шашлыки,270 с,https://nambafood.kg/dish_image/60846.png
Шашлык баранина мякоть,250 гр.,Шашлыки,350 с,https://nambafood.kg/dish_image/60853.png
Шашлык бараньи ребрышки (семечки),200 гр.,Шашлыки,350 с,https://nambafood.kg/dish_image/60854.png
Шашлык почки бараньи,200 гр.,Шашлыки,270 с,https://nambafood.kg/dish_image/60421.png
Шашлык говядина мякоть,220 гр.,Шашлыки,400 с,https://nambafood.kg/dish_image/60843.png
Форель на мангале,600 гр.,Шашлыки,700 с,https://nambafood.kg/dish_image/60425.png
Картофель в пряном соусе запечённый на мангале,180 гр.,Шашлыки,150 с,https://nambafood.kg/dish_image/104376.png
Овощи на мангале,400 гр.,Шашлыки,200 с,https://nambafood.kg/dish_image/60860.png
Шампиньоны в пряном соусе,200 гр.,Шашлыки,300 с,https://nambafood.kg/dish_image/60427.png
Ножки шампиньонов в фирменном соусе,130 гр.,Шашлыки,250 с,https://nambafood.kg/dish_image/104377.png
Соус к шашлыку,120 гр.,Шашлыки,50 с,https://nambafood.kg/dish_image/60428.png
Лаваш,1 шт.,Шашлыки,25 с,https://nambafood.kg/dish_image/60429.png
Ассорти Гурман,"2-Антрекот, 2-Особый, 2-Баранина мякоть, 2-Ребра(семечки), 2-Говядина, 2-Куриное филе, 2-Куриные крылышки, 2-Форель на мангале, 2-Картофель запеченный в пряном соусе, 2-овощи на мангале, кабачки, 2-шампиньоны в пряном соусе, 2-соус к шашлыку",Ассорти из шашлыков,8000 с,https://nambafood.kg/dish_image/95364.png
Ассорти Дубровский,"1-Особый, 2-Форель, 2-Антрекот, 2-Говядина, 2-Баранина мякоть, 2-Куриные крылышки, 2-Картофель запеченный в пряном соусе, 2-Шампиньоны в пряном соусе, 2-овощи на мангал, кабачки",Ассорти из шашлыков,6500 с,https://nambafood.kg/dish_image/95365.png
Ассорти шашлыков от Видади,"Баранина, атрекот, говядина, ребра (семечки), куриное филе, куриные крылышки, люля кебаб, форель на мангале, шампиньоны в пряном соусе, картофель запечённый в пряном соусе, овощи на мангале",Ассорти из шашлыков,4300 с,https://nambafood.kg/dish_image/95363.png
Ассорти из шашлыков,"Баранина мякоть, антрекот, говядина, ребра (семечки), куриное филе, куриные крылышки, люля кебаб, овощи на мангале",Ассорти из шашлыков,3300 с,https://nambafood.kg/dish_image/95366.png
Рыбное ассорти,"300 гр. Сёмга копчёная, эсколар, тигровые креветки, креметте, зелень",Холодные закуски,850 с,https://nambafood.kg/dish_image/76048.png
Рулетики из баклажан,250 гр. Жареные баклажаны с начинкой из помидоров под пикантным соусом,Холодные закуски,350 с,https://nambafood.kg/dish_image/76047.png
Селедка с румяным картофелем,"300 гр. Филе сельди, дольки жареного картофеля, корнишоны",Холодные закуски,400 с,https://nambafood.kg/dish_image/76049.png
Ассорти Мясное,"400 гр. Куриный рулет, конина копчёная, филе курицы копчёное, ростбиф, зелень",Холодные закуски,800 с,https://nambafood.kg/dish_image/105568.png
Кавказская закуска,"400 гр. Брынза, помидоры, огурцы, перец болгарский, букет из зелени.",Холодные закуски,450 с,https://nambafood.kg/dish_image/76046.png
