Наименование,Описание,Категория,Цена,Фото
Фирменный «Салам Баку»‎‎,"Говядина, зелень, репчатый лук,гранат, майонез",Салаты,350 с,https://nambafood.kg/dish_image/135158.png
Салат «Нежность»‎‎,"Копч.курица ,яйцо,огурцы, пай, майонез",Салаты,250 с,https://nambafood.kg/dish_image/135166.png
Салат «Греческий»‎‎,"Лист салата, помидоры,огурцы,фетакса,маслины",Салаты,230 с,https://nambafood.kg/dish_image/135162.png
Салат «Китайский»‎‎,"250 г. Говядина, огурцы, помидоры, зелень,чеснок,болг.перец)",Салаты,270 с,https://nambafood.kg/dish_image/135169.png
Салат «Мужской каприз»‎‎,"Говядина, огурцы,гол.сыр,яйцо, майонез",Салаты,270 с,https://nambafood.kg/dish_image/135161.png
Салат «Свежий»‎‎,"Помидоры, огурцы, зелень,крас.лук",Салаты,200 с,https://nambafood.kg/dish_image/135168.png
Цезарь с курицей,"Айсберг, сухари, лист салата, черри, соус Цезарь, пармезан, куриное филе, яйцо",Салаты,300 с,https://nambafood.kg/dish_image/135156.png
Цезарь с креветками,"Айсберг, сухари, лист салата, черри, соус Цезарь, пармезан, креветки",Салаты,380 с,https://nambafood.kg/dish_image/135157.png
Шакарап,,Салаты,190 с,https://nambafood.kg/dish_image/143908.png
Салат «Острый язычок»‎‎,"Гов.язык, помидоры, огурцы, болг.перец, кр.лук, зелень",Салаты,270 с,https://nambafood.kg/dish_image/135163.png
Кавказская нарезка,"400 г. Брынза, огурцы, помидоры,бол.перец, зелень",Закуски,300 с,https://nambafood.kg/dish_image/135171.png
Овощная нарезка,"300 г. Помидоры, огурцы,болг.перец, зелень",Закуски,260 с,https://nambafood.kg/dish_image/135172.png
Соленья по домашнему,400 г,Закуски,280 с,https://nambafood.kg/dish_image/135174.png
Соленые огурцы,200 г,Закуски,70 с,https://nambafood.kg/dish_image/135175.png
Соленые помидоры,200 г,Закуски,100 с,https://nambafood.kg/dish_image/135176.png
Маринованные острые перчики,,Закуски,50 с,https://nambafood.kg/dish_image/135177.png
Зелень,100 г,Закуски,100 с,https://nambafood.kg/dish_image/135178.png
Брынза,100 г,Закуски,100 с,https://nambafood.kg/dish_image/135179.png
Хашлама,"Баранина, помидоры,лук репчатый, зелень, помидоры,петрушка",Первые блюда,350 с,https://nambafood.kg/dish_image/135146.png
Боз баш,"Баранина, картофель и овощи",Первые блюда,300 с,https://nambafood.kg/dish_image/143903.png
Кюфта по азербайджански с говядиной,"Большая кифтеля по специальному рецепту,с добавлением картофеля и нохута",Первые блюда,260 с,https://nambafood.kg/dish_image/135149.png
Харчо по-грузински,"Национальный грузинский острый суп на основе риса, грецких орехов и говядины",Первые блюда,250 с,https://nambafood.kg/dish_image/135153.png
Рамен с говядиной,"Говядина, зеленый лук, лапша и нори",Первые блюда,230 с,https://nambafood.kg/dish_image/143904.png
Пельмешки по домашнему,Домашние пельмешки из баранины и говядины.,Первые блюда,180 с,https://nambafood.kg/dish_image/135155.png
Чечевичный суп,,Первые блюда,150 с,https://nambafood.kg/dish_image/135145.png
Грибной крем-суп,,Первые блюда,200 с,https://nambafood.kg/dish_image/143905.png
Солянка мясная,,Первые блюда,250 с,https://nambafood.kg/dish_image/143906.png
Окрошка мясная,,Первые блюда,220 с,https://nambafood.kg/dish_image/143907.png
Хинкал по азербайджански,,Вторые блюда,260 с,https://nambafood.kg/dish_image/135348.png
Хинкали по грузински,Мучное изделия начиненные сочным фаршем из говядины и баранины и зелени,Вторые блюда,260 с,https://nambafood.kg/dish_image/135353.png
Телятина по бакински,,Вторые блюда,300 с,https://nambafood.kg/dish_image/135358.png
Чыгыртма из цыпленка,,Вторые блюда,250 с,https://nambafood.kg/dish_image/135359.png
Долма из виноградных листьев,"Национальное Азербайджанское блюдо.виноградные листья начиненные, сочным фаршем из говядины и баранины",Вторые блюда,400 с,https://nambafood.kg/dish_image/135351.png
Особая баранина,300 г,Шашлыки,370 с,https://nambafood.kg/dish_image/135190.png
Рёбрышки- семечки,Баранина,Шашлыки,350 с,https://nambafood.kg/dish_image/135189.png
Мякоть баранина,300 г,Шашлыки,340 с,https://nambafood.kg/dish_image/135185.png
Люля-кебаб,Баранина,Шашлыки,250 с,https://nambafood.kg/dish_image/135201.png
Печень в рубашке,Баранина,Шашлыки,250 с,https://nambafood.kg/dish_image/135194.png
Печень с курдюком,Баранина,Шашлыки,250 с,https://nambafood.kg/dish_image/135195.png
Куриное филе,300 г,Шашлыки,270 с,https://nambafood.kg/dish_image/136473.png
Крылышки,300 г,Шашлыки,250 с,https://nambafood.kg/dish_image/136478.png
Куриное бедро,300 г,Шашлыки,250 с,https://nambafood.kg/dish_image/136477.png
Грибной шампиньоны,300 г,Шашлыки,250 с,https://nambafood.kg/dish_image/135188.png
Овощной,300 г,Шашлыки,150 с,https://nambafood.kg/dish_image/135183.png
Картофель на мангале,300 г,Шашлыки,120 с,https://nambafood.kg/dish_image/135184.png
Ассорти «Сабаиль»‎‎,"2.5 кг. мякоть 1 порция, говядина 1 порция, курица 1 порция, люля кебаб 1 порция, печень1 порция, грибной 1 порция, овощной 1 порция, картофель 1 порция.",Ассорти из шашлыков . Время приготовления 1 час,2200 с,https://nambafood.kg/dish_image/135211.png
Ассорти «Ичери-шехер»‎‎,"4.5 кг. мякоть 2 порции, говядина 2 порции, люля кебаб 1 порция, грибной 2 порции, овощной 2 порции, картофель 2 порции, люля курин 1 порция, печень 1 порция, из курицы 2 порции.",Ассорти из шашлыков . Время приготовления 1 час,3700 с,https://nambafood.kg/dish_image/135210.png
Ассорти «Янардаг»‎‎,"5.5 кг. Мякоть 2 порции, говядина 2 порции, курица 3 п, люля кебаб 2 порции, печень 2 порции, люля куриный 2 порции, грибной 2 порции, овощной 2 порции, картофель 2 порции.",Ассорти из шашлыков . Время приготовления 1 час,4800 с,https://nambafood.kg/dish_image/135209.png
