Наименование,Описание,Категория,Цена,Фото
Испанские улитки,6 шт. Заправленные ароматным маслом с прованскими травами.,Сезон улиток и мидий,689 с,https://nambafood.kg/dish_image/100863.png
Морские гребешки с соусом унаги,"4 шт. Приправленные травами и морской солью, запеченные в печи, с японским соусом унаги.",Сезон улиток и мидий,729 с,https://nambafood.kg/dish_image/100865.png
Морские гребешки с соусом спайси,"4 шт. Обжаренные в ароматном масле, с соусом спайси.",Сезон улиток и мидий,689 с,https://nambafood.kg/dish_image/100866.png
Испаниские мидии,4-5 шт. Маринованные с прованскими травами.,Сезон улиток и мидий,599 с,https://nambafood.kg/dish_image/100862.png
Сырное плато,Со свежими фруктами.,Холодные закуски,979 с,https://nambafood.kg/dish_image/100872.png
Ассорти из свежих овощей,С зеленью и домашней брынзой.,Холодные закуски,499 с,https://nambafood.kg/dish_image/100869.png
Мясное плато,"С добавлением валеной телятины, куриного рулета, копченой утки, салями.",Холодные закуски,699 с,https://nambafood.kg/dish_image/100870.png
Традиционная русская закуска,"Запеченный картофель, сельдь, хрустящие огурцы, маринованный лук.",Холодные закуски,389 с,https://nambafood.kg/dish_image/100873.png
Традиционные домашние соленья,С лесными грибами.,Холодные закуски,399 с,https://nambafood.kg/dish_image/100985.png
Рыбное плато,"С добавлением соленой семги, копченой семги, копченного эсколара и белых тостов.",Холодные закуски,899 с,https://nambafood.kg/dish_image/100871.png
Салат «Santa Fe»,"Хрустящий микс из салатов с добавлением кабачков, рукколы, слайса из помидоров, авокадо, кукурузы и фасоли, подается с куриной грудкой Су-вид. Заправляется фирменным соусом  «Hunts».",Салаты,429 с,https://nambafood.kg/dish_image/69313.png
Spring салат,"Сочный микс из салатов: брокколи, с цветной капустой, радичо, руккола, редис, мята, и слайсы из моркови. Заправляется луковым дрессингом.",Салаты,319 с,https://nambafood.kg/dish_image/69312.png
Салат с семгой,Семга в устричном соусе с подушкой из микс салата и свежих овощей.,Салаты,499 с,https://nambafood.kg/dish_image/100986.png
Салат «Фаттуш»,Нежнейшие рулетики из баклажан фаршированные мягким сыром и помидорами.,Салаты,379 с,https://nambafood.kg/dish_image/100887.png
Салат «Капрезе»,"Традиционный итальянский салат с сыром моцарелла, томатами под соусом песто.",Салаты,469 с,https://nambafood.kg/dish_image/100883.png
Салат с кониной,"С перепелиными яйцами, помидорами черри под соусом из имбиря.",Салаты,469 с,https://nambafood.kg/dish_image/9319.png
Салат «Баварский»,"Теплый салат из копченых сосисок и отварного картофеля, подается с микс салатом, заправленный бальзамическим дрессингом.",Салаты,369 с,https://nambafood.kg/dish_image/100881.png
Салат из телятины,"Обжаренная вырезка с древесными грибами, заправленная кориандровым дрессингом. Подается с микс салатом.",Салаты,479 с,https://nambafood.kg/dish_image/100882.png
Цезарь с курицей,,Салаты,449 с,https://nambafood.kg/dish_image/100889.png
Греческий салат,C домашней брынзой и цитрусовой заправкой.,Салаты,369 с,https://nambafood.kg/dish_image/100880.png
Цезарь с семгой,,Салаты,569 с,https://nambafood.kg/dish_image/100890.png
Цезарь с креветками,,Салаты,619 с,https://nambafood.kg/dish_image/100888.png
Кесадилья с курицей,"Традицонно-мексиканская лепешка с начинкой из курицы, плавленного сыра, перца, лука, помидора и фасоли.",Горячие закуски,359 с,https://nambafood.kg/dish_image/100856.png
Кесадилья с говядиной,"Традиционно-мексиканская лепешка с начинкой из говядины, плавленного сыра, перца, лука, помидора и фасоли.",Горячие закуски,399 с,https://nambafood.kg/dish_image/100857.png
Мини чебуреки с курицей,10 шт.,Горячие закуски,249 с,https://nambafood.kg/dish_image/100860.png
Мини чебуреки с ягненком,10 шт.,Горячие закуски,269 с,https://nambafood.kg/dish_image/100861.png
Креветки на печи «Хоспер»,С фаршированными помидорами.,Горячие закуски,1129 с,https://nambafood.kg/dish_image/100858.png
Костный деликатес,,Горячие закуски,499 с,https://nambafood.kg/dish_image/134302.png
Крылышки «Хоспер»,"Куриные крылышки, запеченные в хоспере с соусом сальса.",Горячие закуски,379 с,https://nambafood.kg/dish_image/100859.png
Бургер,,Бургеры,399 с,https://nambafood.kg/dish_image/100853.png
Дабл чизбургер,,Бургеры,529 с,https://nambafood.kg/dish_image/100854.png
Чизбургер,,Бургеры,419 с,https://nambafood.kg/dish_image/100855.png
Суп лапша по-домашнему с курицей,,Супы,179 с,https://nambafood.kg/dish_image/100898.png
Бульон с мясом конины и картофелем,,Супы,229 с,https://nambafood.kg/dish_image/100891.png
Мексиканский острый суп с говядиной,,Супы,249 с,https://nambafood.kg/dish_image/100895.png
Суп «Андалусский»,"Насыщенный бульон из говяжих позвонков, с добавлением ароматных овощей, лука порей, шампиньонов и нута.",Супы,339 с,https://nambafood.kg/dish_image/69315.png
Крем-суп из чечевицы,C копченой уткой.,Супы,199 с,https://nambafood.kg/dish_image/100893.png
Нежный крем-суп из лосося,,Супы,289 с,https://nambafood.kg/dish_image/100896.png
Крем-суп из броколли,,Супы,269 с,https://nambafood.kg/dish_image/100892.png
Крем-суп из шампиньонов,Со сливками.,Супы,299 с,https://nambafood.kg/dish_image/100894.png
Говяжьи ребрышки в соусе BBQ,"Говяжье ребрышки, запеченные под соусом BBQ , подаются с брокколи",Premium Menu,999 с,https://nambafood.kg/dish_image/69316.png
Стейк  «Machete»,"Стейк из мягкой части брюшины, подается с картофельным пюре, томатами черри и соусом Демиглас",Premium Menu,949 с,https://nambafood.kg/dish_image/69317.png
Томагавк стейк,Стейк из толстого края реберной части,Premium Menu,2499 с,https://nambafood.kg/dish_image/144386.png
Рибай Prime,"Стейк из отруба толстого края реберной части. Ранг  «Prime» , указывает на максимальную мраморность стейка",Premium Menu,2399 с,https://nambafood.kg/dish_image/69321.png
