Наименование,Описание,Категория,Цена,Фото
Каша манная,,Завтраки,70 с,https://nambafood.kg/dish_image/132430.png
Каша рисовая,,Завтраки,70 с,https://nambafood.kg/dish_image/132431.png
Яичница 3 шт.,,Завтраки,75 с,https://nambafood.kg/dish_image/132432.png
Вареное яйцо,,Завтраки,20 с,https://nambafood.kg/dish_image/132433.png
Борщ красный,,Первые блюда,120 с,https://nambafood.kg/dish_image/132434.png
Гороховый суп,,Первые блюда,120 с,https://nambafood.kg/dish_image/132436.png
Суп лапша из курицы,,Первые блюда,120 с,https://nambafood.kg/dish_image/132437.png
Суп лапша из говядины,,Первые блюда,120 с,https://nambafood.kg/dish_image/132438.png
Пельмени,,Первые блюда,130 с,https://nambafood.kg/dish_image/132439.png
Бризоль,400 гр.,Вторые блюда,200 с,https://nambafood.kg/dish_image/95344.png
Рагу из курицы,300 гр.,Вторые блюда,150 с,https://nambafood.kg/dish_image/101349.png
Манты с мясом,300 гр. 5 шт.,Вторые блюда,190 с,https://nambafood.kg/dish_image/95243.png
Оромо с мясом,"300 гр. Говядина, картошка, лук",Вторые блюда,95 с,https://nambafood.kg/dish_image/95341.png
Оромо с овощами,"300 гр. Картошка, жусай, лук",Вторые блюда,80 с,https://nambafood.kg/dish_image/95242.png
Голубцы,3 шт.,Вторые блюда,150 с,https://nambafood.kg/dish_image/94579.png
Курица с овощами,,Вторые блюда,150 с,https://nambafood.kg/dish_image/132440.png
Вареники с картошкой 10 шт.,,Вторые блюда,100 с,https://nambafood.kg/dish_image/132441.png
Лагман жаренный,,Вторые блюда,150 с,https://nambafood.kg/dish_image/132442.png
Плов,,Вторые блюда,150 с,https://nambafood.kg/dish_image/132443.png
Куурдак из баранины порция,,Вторые блюда,190 с,https://nambafood.kg/dish_image/132444.png
Гречка,200 гр.,Гарниры,65 с,https://nambafood.kg/dish_image/93050.png
Макароны,200 гр.,Гарниры,65 с,https://nambafood.kg/dish_image/93051.png
Рис,200 гр.,Гарниры,65 с,https://nambafood.kg/dish_image/93052.png
Самсы с мясом,,Мучное,50 с,https://nambafood.kg/dish_image/95249.png
Сочинские с творогом,,Мучное,40 с,https://nambafood.kg/dish_image/132445.png
Сочинские с сгущенкой,,Мучное,40 с,https://nambafood.kg/dish_image/132446.png
Самсы с курицей,,Мучное,50 с,https://nambafood.kg/dish_image/132447.png
Самсы с тыквой,,Мучное,45 с,https://nambafood.kg/dish_image/132448.png
Пирожки жаренные с картошкой,,Мучное,35 с,https://nambafood.kg/dish_image/132449.png
Компот 1 л.,,Напитки,100 с,https://nambafood.kg/dish_image/132450.png
