Наименование,Описание,Категория,Цена,Фото
Яичница с сосисками,,Завтраки,110 с,https://nambafood.kg/image_by_id/138990
Яичница глазунья 3 шт.,,Завтраки,75 с,https://nambafood.kg/dish_image/137892.png
Блины с творогом 3 шт.,,Завтраки,85 с,https://nambafood.kg/dish_image/137893.png
Блины с джемом 3 шт.,,Завтраки,85 с,https://nambafood.kg/dish_image/137894.png
Блины со сметаной 3 шт.,,Завтраки,75 с,https://nambafood.kg/dish_image/137895.png
Шорпо с говядиной,,Супы,180 с,https://nambafood.kg/dish_image/137880.png
Лагман жидкий,,Супы,170 с,https://nambafood.kg/dish_image/137881.png
Солянка,,Супы,165 с,https://nambafood.kg/dish_image/137896.png
Мампар,,Супы,165 с,https://nambafood.kg/dish_image/137882.png
Чучвара,,Супы,155 с,https://nambafood.kg/dish_image/137878.png
Борщ с говядиной,,Супы,155 с,https://nambafood.kg/dish_image/137879.png
Мастава,,Супы,155 с,https://nambafood.kg/dish_image/137883.png
Форель,,Европейская кухня,230 с,https://nambafood.kg/dish_image/137877.png
Бефстроганов,С мясом говядины,Европейская кухня,180 с,https://nambafood.kg/dish_image/138966.png
Бифштекс,,Европейская кухня,180 с,https://nambafood.kg/dish_image/138968.png
Гуляш со сложным,,Европейская кухня,175 с,https://nambafood.kg/dish_image/138967.png
Фрикасе с рисом в сливочном соусе,,Европейская кухня,175 с,https://nambafood.kg/dish_image/137874.png
Котлета 1 шт.,,Европейская кухня,85 с,https://nambafood.kg/dish_image/138970.png
Мясное трио,,Европейская кухня,345 с,https://nambafood.kg/dish_image/137887.png
Оливье,,Салаты,75 с,https://nambafood.kg/dish_image/138974.png
Шакарап,,Салаты,65 с,https://nambafood.kg/dish_image/138969.png
Фри,,Гарниры,80 с,https://nambafood.kg/dish_image/137888.png
Рис,,Гарниры,50 с,https://nambafood.kg/dish_image/137889.png
Пюре,,Гарниры,50 с,https://nambafood.kg/dish_image/137890.png
Гречка,,Гарниры,50 с,https://nambafood.kg/dish_image/137891.png
Казан кебаб по-уйгурски,,Восточные блюда,220 с,https://nambafood.kg/dish_image/138971.png
Мушуро,,Восточные блюда,190 с,https://nambafood.kg/dish_image/137872.png
Куурдак с говядиной,,Восточные блюда,220 с,https://nambafood.kg/dish_image/137885.png
Бешбармак,,Восточные блюда,190 с,https://nambafood.kg/dish_image/137898.png
Фри с мясом,,Восточные блюда,180 с,https://nambafood.kg/dish_image/137900.png
Манты с говядиной,,Восточные блюда,180 с,https://nambafood.kg/dish_image/137897.png
Плов ташкентский,,Восточные блюда,185 с,https://nambafood.kg/dish_image/137899.png
Босо лагман,,Восточные блюда,180 с,https://nambafood.kg/dish_image/137870.png
Гюро лагман,,Восточные блюда,180 с,https://nambafood.kg/dish_image/138977.png
Гюро ганфан,,Восточные блюда,180 с,https://nambafood.kg/dish_image/137868.png
Лазыджи,,Восточные блюда,175 с,https://nambafood.kg/dish_image/137867.png
Острая фунчеза,,Восточные блюда,200 с,https://nambafood.kg/dish_image/137865.png
Острый лагман,Жареный на открытом огне,Восточные блюда,190 с,https://nambafood.kg/dish_image/137864.png
Жаровня с говядиной,,Восточные блюда,220 с,https://nambafood.kg/dish_image/137886.png
Тар-тар,,Соусы,25 с,https://nambafood.kg/dish_image/138973.png
Сметана,,Соусы,20 с,https://nambafood.kg/dish_image/138975.png
Кетчуп,,Соусы,15 с,https://nambafood.kg/dish_image/138976.png
Лепешка,,Хлеб,23 с,https://nambafood.kg/dish_image/138979.png
Компот 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/137652.png
Bonaqua,,Напитки,39 с,https://nambafood.kg/dish_image/137653.png
Fuse tea 1 л,,Напитки,70 с,https://nambafood.kg/dish_image/137654.png
"Fuse tea 0,5 л",,Напитки,50 с,https://nambafood.kg/dish_image/137655.png
Coca-Cola 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/137656.png
Fanta 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/137657.png
