Наименование,Описание,Категория,Цена,Фото
Сет «Африка»‎‎,"32 шт. 880 гр. Казуми (белый соус), Ролл Калифорния с лососем, Ролл Филадельфия спешл, Ролл Филадельфия ХОТ (спайси соус) + Coca Cola 1 л",Coca-Cola Комбо,950 с,https://nambafood.kg/dish_image/135051.png
Сет Хит Запеченный,"32 шт. 1040 гр. Ролл Хоккайдо, Ролл Киото (спайси соус), Ролл Филадельфия Хот (спайси соус), Ролл Цыпа (спайси соус) Coca Cola 1 л",Coca-Cola Комбо,1150 с,https://nambafood.kg/dish_image/135052.png
Сет «Лова-Лова»‎‎,"24 шт. Ролл Филадельфия Хот (спайси соус), Ролл Тамаши, Ролл Калифорния классик. Coca Cola 1 л",Coca-Cola Комбо,940 с,https://nambafood.kg/dish_image/135053.png
Ролл Угорь,"8 шт./ 115 г. угорь, кунжут, нори, рис",Классические роллы,180 с,https://nambafood.kg/dish_image/111762.png
Ролл Сочный лосось,"8 шт./ 115 г. лист салата, лосось, спайси соус, нори, рис",Классические роллы,150 с,https://nambafood.kg/dish_image/111763.png
Ролл Сочный краб,"8 шт./ 115 г. лист салата, мясо краба (имитация), спайси соус, нори, рис",Классические роллы,100 с,https://nambafood.kg/dish_image/111764.png
Ролл Сочная креветка,"8 шт./ 115 г. лист салата, спайси соус, креветки, нори, рис",Классические роллы,150 с,https://nambafood.kg/dish_image/111765.png
Ролл Огурец,"8 шт./ 115 г. кунжут, огурец, нори, рис",Классические роллы,100 с,https://nambafood.kg/dish_image/111766.png
Ролл Лосось,"8 шт./ 110 г. лосось, нори, рис",Классические роллы,150 с,https://nambafood.kg/dish_image/111767.png
Ролл Казуми,"8 шт., 210 гр. Майонез, мясо краба (имитация), белый соус, нори, рис.",Запеченные Роллы,210 с,https://nambafood.kg/dish_image/112005.png
Ролл Азуми 2.0,"8 шт., 250 гр. Кунжут, копченая курица, спайси соус, твердый сыр, мягкий сыр, огурец, нори, рис.",Запеченные Роллы,270 с,https://nambafood.kg/dish_image/111773.png
Ролл Хоккайдо,"8 шт., 245 гр. Лист салата, белый соус, кунжут, томат, копченая курица, мягкий сыр, нори, рис.",Запеченные Роллы,260 с,https://nambafood.kg/dish_image/111774.png
Ролл Филадельфия Хот,"8 шт., 265 гр. Мясо краба (имитация), кунжут, лосось, спайси соус, твердый сыр, мягкий сыр, огурец, нори, рис.",Запеченные Роллы,330 с,https://nambafood.kg/dish_image/111769.png
