Наименование,Описание,Категория,Цена,Фото
Рисовая каша,,Завтраки,79 с,https://nambafood.kg/dish_image/115884.png
Овсяная каша,,Завтраки,79 с,https://nambafood.kg/dish_image/115886.png
Вареное яйцо,1 шт.,Завтраки,25 с,https://nambafood.kg/dish_image/115888.png
Глазунья из двух яиц,,Завтраки,79 с,https://nambafood.kg/dish_image/115882.png
Блинчики со сметаной,3 шт.,Завтраки,99 с,https://nambafood.kg/dish_image/115876.png
Блинчики с джемом,3 шт.,Завтраки,99 с,https://nambafood.kg/dish_image/115878.png
Сырники со сметаной,3 шт.,Завтраки,129 с,https://nambafood.kg/dish_image/115880.png
Морковный салат,,Салаты,80 с,https://nambafood.kg/dish_image/64393.png
Свекольный салат,,Салаты,100 с,https://nambafood.kg/dish_image/115891.png
Винегрет,,Салаты,100 с,https://nambafood.kg/dish_image/115890.png
Витаминка,,Салаты,100 с,https://nambafood.kg/dish_image/115967.png
Свежий салат,,Салаты,100 с,https://nambafood.kg/dish_image/115964.png
Греческий салат,,Салаты,120 с,https://nambafood.kg/dish_image/115962.png
Оливье,,Салаты,130 с,https://nambafood.kg/dish_image/64392.png
Лукошко,,Салаты,120 с,https://nambafood.kg/dish_image/115968.png
Куриный суп лапша,,Супы,150 с,https://nambafood.kg/dish_image/115959.png
Борщ,,Супы,160 с,https://nambafood.kg/dish_image/86682.png
Чечевичный суп,,Супы,160 с,https://nambafood.kg/dish_image/115892.png
Мампар,,Супы,170 с,https://nambafood.kg/dish_image/115961.png
Шорпо,,Супы,190 с,https://nambafood.kg/dish_image/115957.png
Солянка,,Супы,220 с,https://nambafood.kg/dish_image/62448.png
Котлеты из говядины с гречкой,,Горячие блюда,225 с,https://nambafood.kg/dish_image/115943.png
Котлеты из говядины с рисом,,Горячие блюда,225 с,https://nambafood.kg/dish_image/115947.png
Котлеты из курицы с гречкой,,Горячие блюда,180 с,https://nambafood.kg/dish_image/115945.png
Котлеты из курицы с рисом,,Горячие блюда,180 с,https://nambafood.kg/dish_image/115949.png
Жидкий лагман,,Горячие блюда,200 с,https://nambafood.kg/dish_image/115951.png
Босо лагман,,Горячие блюда,240 с,https://nambafood.kg/dish_image/115866.png
Гюро лагман,,Горячие блюда,250 с,https://nambafood.kg/dish_image/65839.png
Пельмени «Жадина-Говядина» 12 шт,Пельмени с говядиной.,Пельмени,200 с,https://nambafood.kg/dish_image/44012.png
Пельмени «Жадина-Говядина» 18 шт,Пельмени с говядиной.,Пельмени,270 с,https://nambafood.kg/dish_image/43953.png
Пельмени «Грибная охота» 12 шт,Пельмени из говядины + жареные шампиньоны.,Пельмени,195 с,https://nambafood.kg/dish_image/43952.png
Пельмени «Грибная охота» 18 шт,Пельмени из говядины + жареные шампиньоны.,Пельмени,275 с,https://nambafood.kg/dish_image/43951.png
Пельмени «Непростой барашек» 12 шт,Пельмени из баранины.,Пельмени,210 с,https://nambafood.kg/dish_image/44139.png
Пельмени «Непростой барашек» 18 шт,Пельмени из баранины.,Пельмени,285 с,https://nambafood.kg/dish_image/44138.png
Пельмени «Барашкино счастье» 12 шт,Пельмени из баранины + джусай.,Пельмени,215 с,https://nambafood.kg/dish_image/115871.png
Пельмени «Барашкино счастье» 18 шт,Пельмени из баранины + джусай.,Пельмени,275 с,https://nambafood.kg/dish_image/115872.png
Пельмени «Чииииз!» 12 шт,Пельмени с пармезаном + гауда + моцарелла.,Пельмени,215 с,https://nambafood.kg/dish_image/43965.png
Пельмени «Чииииз!» 18 шт,Пельмени с пармезаном + гауда + моцарелла.,Пельмени,290 с,https://nambafood.kg/dish_image/43964.png
Пельмени «Цыпа-цыпа» 12 шт,Пельмени с курицей + пармезан + базилик.,Пельмени,205 с,https://nambafood.kg/dish_image/43963.png
Пельмени «Цыпа-цыпа» 18 шт,Пельмени с курицей + пармезан + базилик.,Пельмени,285 с,https://nambafood.kg/dish_image/43962.png
Пельмени «Забавная пара» 12 шт,Пельмени с креветкой + курица.,Пельмени,240 с,https://nambafood.kg/dish_image/43955.png
Пельмени «Забавная пара» 18 шт,Пельмени с креветкой + курица.,Пельмени,360 с,https://nambafood.kg/dish_image/43954.png
Пельмени «Рыбка моя» 12 шт,Пельмени с семгой.,Пельмени,330 с,https://nambafood.kg/dish_image/44242.png
Пельмени «Рыбка моя» 18 шт,Пельмени с семгой.,Пельмени,480 с,https://nambafood.kg/dish_image/44243.png
Пельмени «Микс» 12 шт,Жадина говядина + Цыпа-Цыпа + Забавная пара + Мятная история,Пельмени,225 с,https://nambafood.kg/dish_image/47095.png
Пельмени «Микс» 18 шт,Жадина говядина + Цыпа-Цыпа + Забавная пара + Мятная история,Пельмени,295 с,https://nambafood.kg/dish_image/47096.png
Бабулины вареники 12 шт,Вареники с картошкой.,Вареники,135 с,https://nambafood.kg/dish_image/115873.png
Бабулины вареники 18 шт,Вареники с картошкой.,Вареники,175 с,https://nambafood.kg/dish_image/115874.png
Вареники «Малиновка» 12 шт,Вареники с творогом + малина.,Вареники,175 с,https://nambafood.kg/dish_image/115868.png
Вареники «Малиновка» 18 шт,Вареники с творогом + малина.,Вареники,225 с,https://nambafood.kg/dish_image/115869.png
Вареники «Зимняя вишня» 12 шт,Вареники с вишней.,Вареники,175 с,https://nambafood.kg/dish_image/43944.png
Вареники «Зимняя вишня» 18 шт,Вареники с вишней.,Вареники,225 с,https://nambafood.kg/dish_image/43943.png
Вареники «Тарас Бульба» 12 шт,Вареники с картошкой + грибы.,Вареники,165 с,https://nambafood.kg/dish_image/45110.png
Вареники «Тарас Бульба» 18 шт,Вареники с картошкой + грибы.,Вареники,200 с,https://nambafood.kg/dish_image/45111.png
Вареники «Белым бело» 12 шт,Вареники с творогом.,Вареники,190 с,https://nambafood.kg/dish_image/43942.png
Вареники «Белым бело» 18 шт,Вареники с творогом.,Вареники,250 с,https://nambafood.kg/dish_image/43941.png
Манты «Беседа с аксакалом»,Манты с говядиной.,Манты,220 с,https://nambafood.kg/dish_image/43946.png
Манты «Антошка с картошкой»,Картошка + говяжий жир.,Манты,160 с,https://nambafood.kg/dish_image/115867.png
Манты «Белорусские»,Манты с мясом и картошкой.,Манты,190 с,https://nambafood.kg/dish_image/43945.png
Манты микс,,Манты,200 с,https://nambafood.kg/dish_image/115865.png
Манты «Монгол»,Манты с говядина + конина.,Манты,200 с,https://nambafood.kg/dish_image/115870.png
Манты «Деликатес»,Манты с кониной.,Манты,190 с,https://nambafood.kg/dish_image/43947.png
Манты «Я у мамы мясоед»,Манты с бараниной и говядиной.,Манты,240 с,https://nambafood.kg/dish_image/44237.png
Хлеб белый,1 кусочек.,Хлеб,5 с,https://nambafood.kg/dish_image/84352.png
Хлеб серый,1 кусочек.,Хлеб,5 с,https://nambafood.kg/dish_image/115927.png
Хлебная корзина,По 3 кусочка белого и серого хлеба.,Хлеб,50 с,https://nambafood.kg/dish_image/115929.png
Компот из вишни 0.5,,Напитки,60 с,https://nambafood.kg/dish_image/44901.png
Компот из сухофруктов 0.5,,Напитки,60 с,https://nambafood.kg/dish_image/75531.png
Coca cola 1 л,,Напитки,110 с,https://nambafood.kg/dish_image/115913.png
Fanta 1 л,,Напитки,110 с,https://nambafood.kg/dish_image/115915.png
Sprite 1 л,,Напитки,110 с,https://nambafood.kg/dish_image/115917.png
