Наименование,Описание,Категория,Цена,Фото
Погребок,"Черри маринованые, патиссоны, корнишоны, грибы маринованые",Холодные закуски,340 с,https://nambafood.kg/dish_image/105066.png
Селедка по-русски,"Селедка, огурцы маринованые, картофель, лук",Холодные закуски,250 с,https://nambafood.kg/dish_image/140856.png
Кавказская нарезка,"Огурцы, помидоры, брынза, зелень",Холодные закуски,350 с,https://nambafood.kg/dish_image/90060.png
Мясное ассорти,"Коченная бастурма, куринный рулет, утиное филе, язык",Холодные закуски,750 с,https://nambafood.kg/dish_image/59765.png
Ассорти рыбное,"Эсколар, семга, зелень, икра красная, черри, оливки, лимон",Холодные закуски,930 с,https://nambafood.kg/dish_image/140857.png
Скумбрия копченая,,Холодные закуски,280 с,https://nambafood.kg/dish_image/104731.png
Сырная тарелка,,Холодные закуски,340 с,https://nambafood.kg/dish_image/104732.png
Закуска  «Азия»‎‎,"Казы, карта, чучук",Холодные закуски,820 с,https://nambafood.kg/dish_image/90084.png
Рулетики из баклажанов и кабачков,"Кабачки, яйцо куриное, куриное филе, майонез, помидоры, раст.масло, голландский сыр, баклажан, фетакса, перец болгарский, листья салата",Холодные закуски,620 с,https://nambafood.kg/dish_image/141059.png
Китайский салат,"300 гр. Говядина, огурцы, помидоры, перец, соевый соус",Салаты,290 с,https://nambafood.kg/dish_image/105073.png
Шакарап,"300 гр. Помидоры, лук, перец, масло.",Салаты,130 с,https://nambafood.kg/dish_image/59802.png
Острый салат с языком,"270 гр. Говяжий язык, помидоры, огурцы, зеленый лук, перец, соус",Салаты,290 с,https://nambafood.kg/dish_image/59769.png
Салат  «Партофино»‎‎,"300 гр. Курица копченная, маслины, огурцы, сыр, помидор, листья салата, майонез",Салаты,290 с,https://nambafood.kg/dish_image/105062.png
Греческий салат,"300 гр. Огурцы, помидор, оливки, маслины, сыр фетакса",Салаты,270 с,https://nambafood.kg/dish_image/59735.png
Салат «Фреш»,"Огурцы, помидоры, листья салата, красный лук, перец болгарский, масло растительное",Салаты,180 с,https://nambafood.kg/dish_image/141064.png
Цезарь из курицы,"300 гр. Куриная грудка, сыр пармезан, соус цезарь, айсберг.",Салаты,310 с,https://nambafood.kg/dish_image/59799.png
Салат  «Фантазия»‎‎,"300 гр. Куриная грудка, яйцо, корнишоны, сыр, пай, майонез",Салаты,310 с,https://nambafood.kg/dish_image/59793.png
Тайский салат,"300 гр. Помидоры , огурцы. Болг.перец,говядина, масло растительное,специи, соевый соус,уксус, чеснок",Салаты,320 с,https://nambafood.kg/dish_image/90071.png
Салат «Утиная охота»‎‎,"Утиное филе копченое, цветная капуста, брокколи, сыр тильзитский, черри, соус горчичный",Салаты,330 с,https://nambafood.kg/dish_image/105061.png
Салат Ассорти,,Салаты,280 с,https://nambafood.kg/dish_image/105064.png
Салат по-итальянски,"Куриное филе, фасоль стручковая, цветная капуста, черри, перец болгарский, чеснок, соус чили, лимонный сок, масло растительное, специи",Салаты,290 с,https://nambafood.kg/dish_image/141062.png
Грибная поляна,"Куриное филе, куриное яйцо. огурцы, кукуруза консерв., опята маринованные, майонез, листья салата",Салаты,290 с,https://nambafood.kg/dish_image/141069.png
Салат острячок,"Мясо говядина, куриное филе, помидоры, огурцы, лук репчатый, кетчуп, майонез",Салаты,280 с,https://nambafood.kg/dish_image/141068.png
Баклажан с соусом терияки,"Баклажан, масл растительное, перец полугорьский, соус для баклажан",Салаты,270 с,https://nambafood.kg/dish_image/141065.png
Алабама,"Куриное филе, фасоль стручковая, вешенки, фасоль консерв., перец болгарский, шпинат, лук репчатый, растительное масло. тобако соус, кетчуп, чеснок, уксус, соль, перец черный, красный",Салаты,330 с,https://nambafood.kg/dish_image/141061.png
Ким-чи,"Басай, помидоры, устричный соус, огонёк, специи",Салаты,100 с,https://nambafood.kg/dish_image/141063.png
Салат со шпинатом,,Салаты,350 с,https://nambafood.kg/dish_image/140858.png
Хе из рыбы,,Салаты,320 с,https://nambafood.kg/dish_image/140859.png
Шорпо,"Говядина, морковь, картофель, зелень",Первые блюда,210 с,https://nambafood.kg/dish_image/59804.png
Тоос кол суп,"Мясо говяжье, нохат, маш, томат, овощная зажарка, лапша",Первые блюда,210 с,https://nambafood.kg/dish_image/59789.png
Чучвара,"Фарш из говядины, овощи, томат",Первые блюда,210 с,https://nambafood.kg/dish_image/59801.png
Суп с фрикадельками,"Яйцо перепелиное, овощи, зелень, фарш из говядины",Первые блюда,210 с,https://nambafood.kg/dish_image/59788.png
Солянка,"Мясо утиное, окорочка копченая, колбаса, говядина, огурцы маринованые",Первые блюда,220 с,https://nambafood.kg/dish_image/59783.png
Чечевичный крем-суп,"Чечевица, сливки, лимон",Первые блюда,160 с,https://nambafood.kg/dish_image/59800.png
Мясо по-Казахски,"Мясо говядина, лапша, лук",Первые блюда,210 с,https://nambafood.kg/dish_image/59767.png
Суп «Гулазык»‎‎,"Мясо говядина, лапша, сузмо, лук репчатый",Первые блюда,200 с,https://nambafood.kg/dish_image/141071.png
Мампар,,Первые блюда,200 с,https://nambafood.kg/dish_image/104716.png
Суп по-славянски,,Первые блюда,200 с,https://nambafood.kg/dish_image/105059.png
Пельмени,,Первые блюда,210 с,https://nambafood.kg/dish_image/104718.png
Суп тыквенный,"Тыква, лук репчатый, морковь, сливочное масло, тыквенные семечки, сливки",Первые блюда,160 с,https://nambafood.kg/dish_image/141070.png
Кисло-острый суп,"на 4-5 персон. Говядина, грибы черные, шпинат, фунчеза, помидоры, специи, чеснок",Первые блюда,700 с,https://nambafood.kg/dish_image/90062.png
