Наименование,Описание,Категория,Цена,Фото
Лосось копченый,,Холодные  закуски,680 с,https://nambafood.kg/dish_image/89820.png
Опалённый лосось в соусе сашими,острая рыба в соусе,Холодные  закуски,660 с,https://nambafood.kg/dish_image/102709.png
Терадито из тунца,,Холодные  закуски,690 с,https://nambafood.kg/dish_image/143939.png
Коктейль из креветок,,Холодные  закуски,680 с,https://nambafood.kg/dish_image/102710.png
Цезарь с курицей,,Салаты,550 с,https://nambafood.kg/dish_image/143935.png
Цезарь с креветками,,Салаты,640 с,https://nambafood.kg/dish_image/64994.png
Салат из печеной свеклы,С творожным сыром и орехами.,Салаты,350 с,https://nambafood.kg/dish_image/65012.png
Салат с киноа и рукколой,,Салаты,390 с,https://nambafood.kg/dish_image/89822.png
Салат из спелых овощей с сыром,,Салаты,390 с,https://nambafood.kg/dish_image/102715.png
Зеленый салат с морепродуктами,"кальмары, креветки",Салаты,540 с,https://nambafood.kg/dish_image/89797.png
Салат «Нисуаз»,"Микс салат, тунец, каперсы, анчоусы, оливки, картофель, яйца перепелиные.",Салаты,620 с,https://nambafood.kg/dish_image/66537.png
Сыр Буратта со сладкими помидорами и рукколой,,Салаты,750 с,https://nambafood.kg/dish_image/121667.png
Чука с рукколой и копченым угрем,С соусом «Гамадари»,Салаты,570 с,https://nambafood.kg/dish_image/89817.png
Теплый салат с морепродуктами,,Салаты,720 с,https://nambafood.kg/dish_image/134296.png
Салат с лососем и киноа,,Салаты,750 с,https://nambafood.kg/dish_image/134185.png
Салат из спелых овощей с сыром,,Салаты,390 с,https://nambafood.kg/dish_image/143938.png
Фиш энд чипс,,Горячие закуски,750 с,https://nambafood.kg/dish_image/134186.png
Филе форели терияки с айсбергом и гуакамоле,,Горячие закуски,1200 с,https://nambafood.kg/dish_image/134187.png
Печенный баклажан с креветками и ореховым соусом,,Горячие закуски,820 с,https://nambafood.kg/dish_image/137339.png
Соте из морепродуктов,,Горячие закуски,1200 с,https://nambafood.kg/dish_image/89806.png
Соте из мидий с соусом в сливочном соусе,,Горячие закуски,750 с,https://nambafood.kg/dish_image/134297.png
Хрустящие кольца кальмара,,Горячие закуски,560 с,https://nambafood.kg/dish_image/63593.png
Креветки темпура,,Горячие закуски,720 с,https://nambafood.kg/dish_image/134299.png
Бобы Эдамаме,,Горячие закуски,450 с,https://nambafood.kg/dish_image/89802.png
Спринг роллы с креветками,,Горячие закуски,520 с,https://nambafood.kg/dish_image/134189.png
Штрудель с семгой в сливочно-икорном соусе,,Горячие закуски,650 с,https://nambafood.kg/dish_image/89834.png
Блины с рваной телятиной и грибами 2 шт.,,Горячие закуски,420 с,https://nambafood.kg/dish_image/134298.png
Осьминог печеный с картофелем и лечо,,Морские деликатесы,1600 с,https://nambafood.kg/dish_image/134191.png
Фаланги камчатского краба с соусом айоли,500 г,Морские деликатесы,4700 с,https://nambafood.kg/dish_image/134200.png
Запеченные фаланги краба с сыром Чеддер,,Морские деликатесы,4800 с,https://nambafood.kg/dish_image/89843.png
Фернандо вонголе по-португальски,,Морские деликатесы,900 с,https://nambafood.kg/dish_image/134198.png
Гребешки на створке,Запеченные на гриле 2 шт.,Морские деликатесы,1200 с,https://nambafood.kg/dish_image/63592.png
Куриный суп с домашней лапшой,,Супы,360 с,https://nambafood.kg/dish_image/63604.png
Фирменная уха,,Супы,490 с,https://nambafood.kg/dish_image/143936.png
Азиатский суп Том-ям,,Супы,680 с,https://nambafood.kg/dish_image/89801.png
Суп Бузара,,Супы,460 с,https://nambafood.kg/dish_image/134194.png
Биск из крабов с фасолью и чесночными крутонами,,Супы,590 с,https://nambafood.kg/dish_image/134192.png
Сибас запеченный целиком с соусом чимичури и зеленым салатом,,Горячие блюда,1300 с,https://nambafood.kg/dish_image/134196.png
Сибас запеченный в соли,,Горячие блюда,1200 с,https://nambafood.kg/dish_image/102730.png
"Филе сибаса гриль, с овощным соте",,Горячие блюда,1200 с,https://nambafood.kg/dish_image/102727.png
Скумбрия гриль,,Горячие блюда,750 с,https://nambafood.kg/dish_image/102720.png
Рулет из форели,,Горячие блюда,830 с,https://nambafood.kg/dish_image/63579.png
Филе судака по-провански на подушке из брокколи в сливочно-шпинатном соусе,,Горячие блюда,740 с,https://nambafood.kg/dish_image/134300.png
Стейк из семги в стиле Нобу,На подушке из пряного риса.,Горячие блюда,1200 с,https://nambafood.kg/dish_image/89845.png
Рыбные котлеты с пюре и соусом тартар,,Горячие блюда,610 с,https://nambafood.kg/dish_image/89846.png
Котлеты с мясом камчатского краба,,Горячие блюда,880 с,https://nambafood.kg/dish_image/102731.png
Палтус с сальсой,,Горячие блюда,1200 с,https://nambafood.kg/dish_image/134197.png
Дорадо в хрустящей панировке,,Горячие блюда,1200 с,https://nambafood.kg/dish_image/89796.png
Нельма в сливочно-цитрусовом соусе,,Горячие блюда,1000 с,https://nambafood.kg/dish_image/143933.png
Лазурный чили лосось,На подушке из стручковой фасоли,Горячие блюда,1200 с,https://nambafood.kg/dish_image/143934.png
"Рулет из форели с «дымком», фаршированный креветками и базиликом",,Горячие блюда,830 с,https://nambafood.kg/dish_image/143937.png
Запеченный цыпленок с соусом Божоле,,"Не рыба, а мясо",720 с,https://nambafood.kg/dish_image/89848.png
