Наименование,Описание,Категория,Цена,Фото
Шорпо,,Супы,170 с,https://nambafood.kg/dish_image/68409.png
Шорпо 0.5,,Супы,110 с,https://nambafood.kg/dish_image/68410.png
Мампар,,Супы,200 с,https://nambafood.kg/dish_image/68399.png
Мампар 0.5,,Супы,150 с,https://nambafood.kg/dish_image/68400.png
Чучвара,,Супы,200 с,https://nambafood.kg/dish_image/68457.png
"Чучвара 0,5",,Супы,150 с,https://nambafood.kg/dish_image/68458.png
Борщ,,Супы,170 с,https://nambafood.kg/dish_image/68453.png
Борщ 0.7,,Супы,110 с,https://nambafood.kg/dish_image/68454.png
Пельмени со сметаной,,Супы,200 с,https://nambafood.kg/dish_image/68431.png
Пельмени со сметаной 0.5,,Супы,150 с,https://nambafood.kg/dish_image/68432.png
Лагман,,Азия,230 с,https://nambafood.kg/dish_image/68381.png
Лагман 0.5,,Азия,160 с,https://nambafood.kg/dish_image/68382.png
Гюро Лагман,,Азия,260 с,https://nambafood.kg/dish_image/68395.png
Гюро Лагман 0.5,,Азия,190 с,https://nambafood.kg/dish_image/121635.png
Ганфан,,Азия,230 с,https://nambafood.kg/dish_image/68446.png
Ганфан 0.5,,Азия,160 с,https://nambafood.kg/dish_image/68447.png
Гюро Ганфан,,Азия,260 с,https://nambafood.kg/dish_image/68393.png
Гюро - Ган- фан 0.5,,Азия,190 с,https://nambafood.kg/dish_image/68394.png
Босо Лагман,,Азия,260 с,https://nambafood.kg/dish_image/68455.png
Босо Лагман 0.5,,Азия,190 с,https://nambafood.kg/dish_image/68456.png
Гюро Сяй,без лапши,Азия,190 с,https://nambafood.kg/dish_image/118794.png
Плов по-узгенски,,Азия,230 с,https://nambafood.kg/dish_image/93753.png
Плов по-узгенски 0.5,,Азия,170 с,https://nambafood.kg/dish_image/93762.png
Плов лазер,,Азия,230 с,https://nambafood.kg/dish_image/68417.png
"Плов Лазер 0,5",,Азия,170 с,https://nambafood.kg/dish_image/68418.png
Манты,,Азия,200 с,https://nambafood.kg/dish_image/68401.png
Манты шт,1 шт.,Азия,40 с,https://nambafood.kg/dish_image/68402.png
Манты жареные,5 шт.,Азия,220 с,https://nambafood.kg/dish_image/68403.png
Манты жареные шт,1 шт,Азия,44 с,https://nambafood.kg/dish_image/68404.png
Гош-нан,1 шт.,Азия,220 с,https://nambafood.kg/dish_image/68448.png
Самсы,,Азия,70 с,https://nambafood.kg/dish_image/68422.png
Пельмени жареные,,Европа,220 с,https://nambafood.kg/dish_image/68415.png
Пельмени жареные 0.5,,Европа,150 с,https://nambafood.kg/dish_image/68416.png
Суу манты порция 22 шт.,,Европа,200 с,https://nambafood.kg/dish_image/111295.png
"Суу манты (вареники с мясом) 0,5",,Европа,140 с,https://nambafood.kg/dish_image/111296.png
Вареники с картошкой,22шт,Европа,160 с,https://nambafood.kg/dish_image/111306.png
"Вареники с картошкой 0,5",,Европа,100 с,https://nambafood.kg/dish_image/111307.png
Бифштекс с яйцом и рисом,,Европа,250 с,https://nambafood.kg/dish_image/68452.png
Бифштекс с яйцом и пюре,,Европа,250 с,https://nambafood.kg/dish_image/68426.png
Бифштекс с яйцом и гречкой,,Европа,250 с,https://nambafood.kg/dish_image/68450.png
Бифштекс с яйцом и фри,,Европа,250 с,https://nambafood.kg/dish_image/111304.png
Бифштекс со сложным гарниром,"рис, пюре, гречка",Европа,250 с,https://nambafood.kg/dish_image/68451.png
Бифштекс без яйца с пюре,,Европа,210 с,https://nambafood.kg/dish_image/111303.png
Бифштекс без яйца с гречкой,,Европа,210 с,https://nambafood.kg/dish_image/111302.png
Бифштекс без яйца с фри,,Европа,210 с,https://nambafood.kg/dish_image/111301.png
Бифштекс без яйца со сложным гарниром,,Европа,210 с,https://nambafood.kg/dish_image/111300.png
Бифштекс с яйцом без гарнира,без гарнира,Европа,180 с,https://nambafood.kg/dish_image/93766.png
Бифштекс без яйца  без гарнира,Без гарнира,Европа,140 с,https://nambafood.kg/dish_image/111299.png
Биштекс без яйца с рисом,,Европа,210 с,https://nambafood.kg/dish_image/138239.png
Бефстроганов с рисом,,Европа,270 с,https://nambafood.kg/dish_image/93756.png
Бефстроганов с рисом 0.5,,Европа,200 с,https://nambafood.kg/dish_image/93757.png
Бефстроганов с пюре,,Европа,270 с,https://nambafood.kg/dish_image/68438.png
Бефстроганов с пюре 0.5,,Европа,200 с,https://nambafood.kg/dish_image/68439.png
Бефстроганов с гречкой,,Европа,270 с,https://nambafood.kg/dish_image/68442.png
Бефстроганов с гречкой 0.5,,Европа,200 с,https://nambafood.kg/dish_image/68443.png
Бефстроганов с фри порция,,Европа,270 с,https://nambafood.kg/dish_image/68440.png
Бефстроганов с фри 0.5,,Европа,235 с,https://nambafood.kg/dish_image/68441.png
Бефстроганов со сложным гарниром,"рис, пюре, гречка",Европа,270 с,https://nambafood.kg/dish_image/93759.png
"Бефстроганов со сложным гарниром 0,5","рис, пюре, гречка",Европа,200 с,https://nambafood.kg/dish_image/93760.png
Бефстроганов без гарнира,Без гарнира,Европа,200 с,https://nambafood.kg/dish_image/93751.png
"Бефстроганов без гарнира 0,5","0,5",Европа,165 с,https://nambafood.kg/dish_image/93761.png
Гуляш с пюре,,Европа,270 с,https://nambafood.kg/dish_image/93764.png
Гуляш с пюре 0.5,,Европа,200 с,https://nambafood.kg/dish_image/93765.png
Гуляш с рисом,,Европа,270 с,https://nambafood.kg/dish_image/68391.png
Гуляш с рисом  0.5,,Европа,200 с,https://nambafood.kg/dish_image/68392.png
