Наименование,Описание,Категория,Цена,Фото
Цезарь с креветками,300 гр.,Салаты,375 с,https://nambafood.kg/dish_image/91638.png
Руккола с креветками,,Салаты,375 с,https://nambafood.kg/dish_image/114276.png
Цезарь с курицей,230 гр.,Салаты,275 с,https://nambafood.kg/dish_image/91639.png
Салат  «Руккола»‎,,Салаты,275 с,https://nambafood.kg/dish_image/114278.png
Восточный салат,,Салаты,265 с,https://nambafood.kg/dish_image/96481.png
Греческий салат,300 гр.,Салаты,265 с,https://nambafood.kg/dish_image/91640.png
Салат с языком,,Салаты,255 с,https://nambafood.kg/dish_image/99282.png
Лаззат,"300 гр. Огурцы, лук, мясо говядина, соевый соус, кинза, перец чили, чеснок.",Салаты,255 с,https://nambafood.kg/dish_image/91634.png
Золотое гнездо,"300 гр. Огурцы, ветчина, яйцо, сыр, лук, майонез.",Салаты,225 с,https://nambafood.kg/dish_image/91636.png
Оливье,300 гр.,Салаты,195 с,https://nambafood.kg/dish_image/91633.png
Овощной салат,300 гр.,Салаты,195 с,https://nambafood.kg/dish_image/91637.png
Суп Нарын,,Супы,205 с,https://nambafood.kg/dish_image/99283.png
Крем-суп грибной,"Грибы шампиньоны, грибы вешенки, лук репчатый, сливки. Подаётся с гренками.",Супы,205 с,https://nambafood.kg/dish_image/96246.png
Солянка,,Супы,205 с,https://nambafood.kg/dish_image/99284.png
Мясо по-казахски,,Супы,205 с,https://nambafood.kg/dish_image/99285.png
Чучвара,"Говядина, морковь, картофель, редька, подается со сметаной.",Супы,205 с,https://nambafood.kg/dish_image/96247.png
Мастава,,Супы,205 с,https://nambafood.kg/dish_image/99286.png
Шорпо с говядиной,"Говядина, картофель, морковь, болгарский перец, бульон.",Супы,205 с,https://nambafood.kg/dish_image/96248.png
Ачуу эт из говядины,,Горячие блюда,305 с,https://nambafood.kg/dish_image/91603.png
Бефстроганов,Без гарнира,Горячие блюда,285 с,https://nambafood.kg/dish_image/91604.png
Курица на мангале,,Горячие блюда,275 с,https://nambafood.kg/dish_image/114280.png
Фрикасе из курицы,,Горячие блюда,255 с,https://nambafood.kg/dish_image/114282.png
Котлеты по-домашнему,На гарнир королевский рис.,Горячие блюда,255 с,https://nambafood.kg/dish_image/99273.png
Босо лагман,,Горячие блюда,245 с,https://nambafood.kg/dish_image/91605.png
Хумо из курицы,,Горячие блюда,225 с,https://nambafood.kg/dish_image/91607.png
Ганфан,,Горячие блюда,225 с,https://nambafood.kg/dish_image/91606.png
Уйгурский лагман,,Горячие блюда,225 с,https://nambafood.kg/dish_image/91609.png
Котлеты куриные,Без гарнира,Горячие блюда,205 с,https://nambafood.kg/dish_image/91618.png
Манты с мясом 5 шт.,,Горячие блюда,205 с,https://nambafood.kg/dish_image/96249.png
Сёмга запеченная,Подается с гарниром на выбор: рис или пюре,Горячие блюда,505 с,https://nambafood.kg/dish_image/91617.png
Цыплёнок табака,,Горячие блюда,405 с,https://nambafood.kg/dish_image/91619.png
Куурдак «Хабиби»‎,,Горячие блюда,345 с,https://nambafood.kg/dish_image/91614.png
Казан-кебаб из говядины,Без гарнира,Горячие блюда,345 с,https://nambafood.kg/dish_image/91612.png
Мясо по-тайски,,Горячие блюда,285 с,https://nambafood.kg/dish_image/91610.png
Мясо по-французски,,Горячие блюда,285 с,https://nambafood.kg/dish_image/99274.png
Курица с овощами,,Горячие блюда,285 с,https://nambafood.kg/dish_image/99275.png
Шамур,,Горячие блюда,265 с,https://nambafood.kg/dish_image/91611.png
Плов «Ханский»‎,"500 гр. Мясо говядина, чучук, перепелиные и куриные яйца, огурцы, помидоры.",Горячие блюда,285 с,https://nambafood.kg/dish_image/96482.png
Жаровня из говядины,"Говядина, лук, огурцы, болгарский перец.",Горячие блюда,255 с,https://nambafood.kg/dish_image/96250.png
Картофель по-домашнему,,Горячие блюда,245 с,https://nambafood.kg/dish_image/91620.png
Болоньезе,,Паста,325 с,https://nambafood.kg/dish_image/91645.png
Карбонара с грибами,,Паста,305 с,https://nambafood.kg/dish_image/91644.png
Феттучини с курицей,,Паста,305 с,https://nambafood.kg/dish_image/91642.png
Карбонара с курицей,,Паста,305 с,https://nambafood.kg/dish_image/91643.png
Куриные крылышки острые,,Горячие закуски,205 с,https://nambafood.kg/dish_image/91704.png
Картошка с грибами,,Горячие закуски,205 с,https://nambafood.kg/dish_image/91706.png
Рис с курицей,"440 гр. Курица, рис, огурцы, яйца, лук репчатый",Горячие закуски,195 с,https://nambafood.kg/dish_image/91689.png
Жульен с курицей и грибами,,Горячие закуски,175 с,https://nambafood.kg/dish_image/99289.png
Жульен с курицей,,Горячие закуски,175 с,https://nambafood.kg/dish_image/99290.png
Язык в горчичном соусе,,Холодные закуски,405 с,https://nambafood.kg/dish_image/99287.png
